Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  50.84  51.96  50.51  50.91  7095600  50.91
2014-02-27  50.6  50.92  50.47  50.91  5052900  50.91
2014-02-26  49.95  50.97  49.93  50.74  5710700  50.74
2014-02-25  50.93  51.13  50.5  50.72  5425000  50.72
2014-02-24  51.01  51.56  50.83  50.85  5693000  50.85
2014-02-21  51.82  51.97  51.01  51.04  5842700  51.04
2014-02-20  51.19  52.11  50.73  51.86  6078900  51.86
2014-02-19  51.17  51.86  50.64  51.19  5242800  51.19
2014-02-18  50.64  51.56  50.56  51.46  4984900  51.46
2014-02-14  50.56  50.91  50.17  50.73  4118700  50.73
2014-02-13  50.3  50.52  49.88  50.35  4946000  50.35
2014-02-12  49.63  50.93  49.59  50.56  6534500  50.56
2014-02-11  49.41  49.97  49.04  49.66  7217600  49.66
2014-02-10  48.75  50.19  48.72  49.55  7907500  49.55
2014-02-07  48.0  49.03  47.66  48.89  6979500  48.89
2014-02-06  47.89  48.18  47.45  47.93  4957800  47.93
2014-02-05  47.76  48.07  47.16  47.73  6987100  47.73
2014-02-04  47.18  47.97  46.95  47.95  9606100  47.95
2014-02-03  49.4  49.49  47.06  47.35  10314600  47.35
2014-01-31  49.94  50.55  49.07  49.23  12863500  49.23
2014-01-30  47.97  48.88  47.9  48.31  7669500  48.31
2014-01-29  47.15  47.84  46.98  47.61  7608500  47.61
2014-01-28  47.08  48.47  47.08  47.69  12298600  47.69
2014-01-27  47.79  47.83  46.42  46.83  10749800  46.83
2014-01-24  48.42  49.1  47.77  47.79  9197900  47.79
2014-01-23  48.74  49.06  48.39  48.87  7270500  48.87
2014-01-22  49.98  50.0  48.62  49.08  8181700  49.08
2014-01-21  50.26  50.92  49.91  50.0  5823000  50.0
2014-01-17  50.64  50.66  50.01  50.06  8606800  50.06
2014-01-16  50.1  50.62  50.02  50.5  4972300  50.5
2014-01-15  50.65  50.67  50.07  50.11  4728400  50.11
2014-01-14  49.94  50.88  49.63  50.6  6610800  50.6
2014-01-13  50.66  50.74  49.64  49.83  7055200  49.83
2014-01-10  50.87  51.09  50.36  50.5  5517700  50.5
2014-01-09  50.19  51.25  49.48  50.82  6960300  50.82
2014-01-08  50.23  50.7  49.84  49.96  6811100  49.96
2014-01-07  50.44  50.8  49.9  50.09  9719900  50.09
2014-01-06  52.28  52.28  49.63  49.99  11871100  49.99
2014-01-03  51.84  52.26  51.56  51.89  4794300  51.89
2014-01-02  51.71  51.92  51.11  51.57  4569100  51.57
2013-12-31  52.57  52.64  51.94  52.39  3019700  52.39
2013-12-30  52.31  52.61  52.18  52.59  2898800  52.59
2013-12-27  52.51  52.64  51.97  52.14  2354100  52.14
2013-12-26  52.17  52.64  51.93  52.57  2401500  52.57
2013-12-24  52.37  52.38  51.87  51.95  1747000  51.95
2013-12-23  52.32  52.53  51.83  52.17  4957700  52.17
2013-12-20  52.36  52.6  51.88  52.18  12471800  52.18
2013-12-19  52.8  52.8  51.61  52.22  8383400  52.22
2013-12-18  52.36  54.0  51.81  53.89  9635600  53.89
2013-12-17  53.01  53.5  52.58  53.21  7987300  53.21
2013-12-16  53.0  54.35  52.56  52.95  9846300  52.95
2013-12-13  51.89  52.19  51.43  51.96  6465300  51.96
2013-12-12  52.15  52.21  51.39  51.98  7766400  51.98
2013-12-11  52.26  52.84  51.62  52.26  10775500  52.26
2013-12-10  50.85  53.7  50.32  51.73  14906900  51.73
2013-12-09  51.05  51.41  50.37  50.81  5470800  50.81
2013-12-06  49.78  51.1  49.66  50.95  7285800  50.95
2013-12-05  49.03  49.68  48.67  49.37  5449100  49.37
2013-12-04  49.36  49.9  48.91  49.28  5309200  49.28
2013-12-03  48.75  49.87  48.59  49.58  9480100  49.58
2013-12-02  48.11  48.3  47.64  48.01  4321900  48.01
2013-11-29  48.05  48.55  47.69  48.07  4044300  48.07
2013-11-27  48.45  48.56  47.86  47.87  3414900  47.87
2013-11-26  48.0  48.8  47.93  48.22  4732300  48.22
2013-11-25  48.62  48.89  47.94  48.03  3343200  48.03
2013-11-22  48.27  48.76  48.19  48.56  5810100  48.56
2013-11-21  47.9  48.29  47.61  48.19  4459800  48.19
2013-11-20  48.04  48.16  47.45  47.57  3120300  47.57
2013-11-19  48.35  48.62  47.99  48.08  4050700  48.08
2013-11-18  48.51  49.57  48.35  48.49  8585700  48.49
2013-11-15  47.65  48.37  47.62  48.06  6257100  48.06
2013-11-14  47.61  48.09  47.31  47.66  3411800  47.66
2013-11-13  46.98  47.55  46.91  47.47  3745100  47.47
2013-11-12  48.07  48.1  46.91  47.11  5351100  47.11
2013-11-11  47.85  48.29  47.81  48.19  2282900  48.19
2013-11-08  46.76  47.72  46.46  47.65  5190900  47.65
2013-11-07  47.79  47.98  46.81  46.87  4444900  46.87
2013-11-06  48.12  48.35  47.62  47.67  4308100  47.67
2013-11-05  48.21  48.38  47.65  47.79  4095400  47.79
2013-11-04  48.81  48.81  47.63  48.38  4095600  48.38
2013-11-01  48.26  48.95  48.12  48.58  3866900  48.58
2013-10-31  48.3  48.62  48.06  48.07  4563700  48.07
2013-10-30  49.18  49.18  48.34  48.42  4011600  48.42
2013-10-29  49.09  49.81  49.09  49.4  5022900  49.4
2013-10-28  48.74  49.58  48.58  49.03  5555000  49.03
2013-10-25  48.71  49.44  48.18  48.91  6956800  48.91
2013-10-24  48.24  48.59  47.36  47.55  5077900  47.55
2013-10-23  48.38  48.48  47.9  47.95  4130300  47.95
2013-10-22  48.0  48.92  47.73  48.61  6937500  48.61
2013-10-21  47.7  48.17  47.38  47.97  4713200  47.97
2013-10-18  48.0  48.57  47.39  47.95  9212900  47.95
2013-10-17  46.58  47.94  46.58  47.79  7242400  47.79
2013-10-16  45.95  46.9  45.84  46.69  4399900  46.69
2013-10-15  45.69  46.02  45.39  45.72  3533300  45.72
2013-10-14  44.86  46.09  44.72  45.97  3377300  45.97
2013-10-11  45.34  45.34  44.61  45.29  2985700  45.29
2013-10-10  44.74  45.32  44.16  45.32  3967500  45.32
2013-10-09  43.97  44.55  43.58  44.06  5113000  44.06
2013-10-08  45.52  45.55  43.65  43.78  7091500  43.78
2013-10-07  45.35  46.2  45.32  45.32  4703700  45.32
2013-10-04  45.41  46.1  45.23  46.02  4141400  46.02
2013-10-03  44.84  45.56  44.35  45.24  7020800  45.24
2013-10-02  44.58  45.2  44.36  45.18  4056800  45.18
2013-10-01  44.06  45.13  44.06  45.03  4159700  45.03
2013-09-30  43.77  44.2  43.29  43.98  5818400  43.98
2013-09-27  44.12  44.15  43.29  43.59  6617300  43.59
2013-09-26  44.57  44.86  44.06  44.25  5033900  44.25
2013-09-25  45.32  45.39  44.27  44.57  4571900  44.57
2013-09-24  46.16  46.16  45.17  45.21  7162700  45.21
2013-09-23  46.76  46.76  46.14  46.31  3179500  46.31
2013-09-20  46.65  47.2  46.54  47.04  10495300  47.04
2013-09-19  47.41  47.43  46.52  46.61  5326500  46.61
2013-09-18  46.4  47.61  46.1  47.12  6689400  47.12
2013-09-17  45.15  46.9  45.09  46.8  7293800  46.8
2013-09-16  44.56  45.18  44.43  45.05  3531700  45.05
2013-09-13  43.96  44.14  43.69  44.14  2273500  44.14
2013-09-12  44.09  44.2  43.75  43.95  2597900  43.95
2013-09-11  44.06  44.22  43.65  44.2  3441700  44.2
2013-09-10  43.83  44.06  43.36  44.03  4282300  44.03
2013-09-09  43.15  43.7  42.78  43.69  3287500  43.69
2013-09-06  42.81  43.61  42.18  43.16  3992200  43.16
2013-09-05  42.31  42.93  42.28  42.78  3355500  42.78
2013-09-04  41.89  42.42  41.88  42.41  3190700  42.41
2013-09-03  42.28  42.56  41.6  41.88  2925600  41.88
2013-08-30  42.05  42.31  41.6  41.9  3170700  41.9
2013-08-29  41.61  42.37  41.56  41.91  2788900  41.91
2013-08-28  41.82  42.1  41.64  41.85  3009700  41.85
2013-08-27  42.3  42.37  41.89  41.92  4473000  41.92
2013-08-26  42.7  43.01  42.46  42.72  3493400  42.72
2013-08-23  42.29  42.77  42.13  42.7  2738100  42.7
2013-08-22  41.69  42.38  41.58  42.2  4077700  42.2
2013-08-21  42.1  42.16  41.54  41.6  4118800  41.6
2013-08-20  42.56  42.75  42.13  42.25  2803000  42.25
2013-08-19  42.3  43.08  42.24  42.65  3326900  42.65
2013-08-16  42.22  42.42  41.71  42.28  6093300  42.28
2013-08-15  43.86  43.88  42.41  42.49  4363100  42.49
2013-08-14  44.1  44.47  43.7  43.83  2990500  43.83
2013-08-13  44.37  44.43  43.93  44.18  2791800  44.18
2013-08-12  43.97  44.45  43.65  44.29  3826400  44.29
2013-08-09  44.15  44.25  43.72  43.96  3290800  43.96
2013-08-08  44.11  44.43  43.87  44.31  2892400  44.31
2013-08-07  43.96  44.12  43.49  43.83  3299400  43.83
2013-08-06  43.68  44.24  43.68  44.13  4980600  44.13
2013-08-05  44.29  44.61  43.73  43.96  2953500  43.96
2013-08-02  44.35  44.66  44.06  44.56  3190700  44.56
2013-08-01  44.38  45.13  44.28  44.49  3652400  44.49
2013-07-31  44.09  45.14  44.06  44.72  6020600  44.72
2013-07-30  44.32  44.47  43.46  43.95  3619700  43.95
2013-07-29  43.98  44.69  43.73  44.31  4326200  44.31
2013-07-26  44.26  44.36  43.43  44.04  4491100  44.04
2013-07-25  42.68  43.69  42.62  43.5  4088500  43.5
2013-07-24  43.54  43.63  42.66  42.91  3088100  42.91
2013-07-23  44.17  44.34  43.49  43.57  3535100  43.57
2013-07-22  43.56  44.35  43.07  44.22  3810500  44.22
2013-07-19  43.75  44.16  43.39  43.78  4317900  43.78
2013-07-18  43.23  43.82  43.08  43.58  3043700  43.58
2013-07-17  43.24  43.42  43.01  43.23  3645400  43.23
2013-07-16  43.8  44.02  42.97  43.08  3714500  43.08
2013-07-15  44.19  44.21  43.79  43.87  3265800  43.87
2013-07-12  43.2  44.36  43.07  44.3  5693900  44.3
2013-07-11  43.21  43.37  42.61  43.05  4061400  43.05
2013-07-10  42.24  42.98  42.24  42.78  3080100  42.78
2013-07-09  42.87  43.1  42.14  42.21  3805700  42.21
2013-07-08  41.8  42.57  41.72  42.56  3978300  42.56
