Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  68.17  68.38  67.47  67.85  1681800  67.85
2014-02-27  68.01  68.31  67.65  68.01  1401600  68.01
2014-02-26  68.87  69.17  67.96  68.26  1539100  68.26
2014-02-25  68.39  68.99  68.24  68.72  1497200  68.72
2014-02-24  68.31  69.22  68.31  68.58  1363100  68.58
2014-02-21  68.42  69.15  68.16  68.4  1113100  68.4
2014-02-20  68.4  68.65  67.57  68.39  1469800  68.39
2014-02-19  68.12  69.02  67.98  68.11  1937400  68.11
2014-02-18  68.06  68.96  67.99  68.5  1544800  68.5
2014-02-14  67.73  68.36  67.6  68.0  1110500  68.0
2014-02-13  67.37  68.19  66.88  67.89  1286200  67.89
2014-02-12  67.57  68.58  67.34  67.5  1965400  67.5
2014-02-11  66.0  67.66  65.96  67.33  2487800  67.33
2014-02-10  66.23  66.25  65.49  66.14  2913600  66.14
2014-02-07  65.65  66.36  65.47  66.31  1551300  66.31
2014-02-06  64.63  65.38  64.17  65.28  1553900  65.28
2014-02-05  64.6  64.9  64.06  64.5  2421400  64.5
2014-02-04  65.15  65.45  64.63  64.78  1865000  64.78
2014-02-03  66.89  66.89  64.87  64.94  3542200  64.94
2014-01-31  66.37  67.26  65.9  66.99  3733500  66.99
2014-01-30  67.41  67.91  67.41  67.53  1437200  67.53
2014-01-29  66.44  67.69  66.44  67.03  1906900  67.03
2014-01-28  66.51  67.66  66.46  67.49  1897300  67.49
2014-01-27  66.81  67.28  66.41  66.58  2836200  66.58
2014-01-24  69.03  69.59  67.02  67.02  3513300  67.02
2014-01-23  69.76  70.64  68.98  69.4  2110900  69.4
2014-01-22  70.56  70.63  69.56  70.04  1845400  70.04
2014-01-21  70.64  70.93  70.03  70.28  1368000  70.28
2014-01-17  70.44  70.7  70.08  70.29  1545100  70.29
2014-01-16  70.36  70.44  70.02  70.26  1082200  70.26
2014-01-15  70.5  70.5  69.79  70.31  1251500  70.31
2014-01-14  70.42  70.72  69.37  70.3  2427300  70.3
2014-01-13  71.18  71.51  70.14  70.37  1806500  70.37
2014-01-10  71.24  71.3  70.79  71.09  1582600  71.09
2014-01-09  71.2  71.67  70.85  71.13  1610000  71.13
2014-01-08  70.08  71.16  70.03  70.89  2084000  70.89
2014-01-07  69.58  70.68  69.58  70.21  1531600  70.21
2014-01-06  70.1  70.3  69.11  69.45  1301400  69.45
2014-01-03  69.65  69.97  69.57  69.7  1101300  69.7
2014-01-02  69.87  69.99  69.24  69.65  1148400  69.65
2013-12-31  70.28  70.4  69.85  70.07  627100  70.07
2013-12-30  70.01  70.28  69.77  70.14  642200  70.14
2013-12-27  70.21  70.21  69.59  69.97  897700  69.97
2013-12-26  70.01  70.39  69.77  70.06  640500  70.06
2013-12-24  69.77  70.18  69.7  69.9  417900  69.9
2013-12-23  69.89  70.03  69.53  69.79  1124700  69.79
2013-12-20  69.37  70.0  69.32  69.58  2221000  69.58
2013-12-19  69.13  69.51  68.93  69.39  1964900  69.39
2013-12-18  68.36  69.43  67.92  69.37  1727100  69.37
2013-12-17  68.48  68.52  67.8  68.11  1700300  68.11
2013-12-16  68.6  68.9  67.9  68.21  1753800  68.21
2013-12-13  68.57  68.72  67.5  68.21  1849400  68.21
2013-12-12  68.96  69.32  68.45  68.53  2192600  68.53
2013-12-11  69.43  69.74  68.5  68.56  1972000  68.56
2013-12-10  69.87  69.9  68.51  69.53  3159700  69.53
2013-12-09  70.22  70.96  70.0  70.38  1460400  70.38
2013-12-06  69.64  70.12  69.36  70.05  1299100  70.05
2013-12-05  69.0  69.37  68.64  68.9  2130300  68.9
2013-12-04  70.11  70.58  68.54  69.22  2574900  69.22
2013-12-03  70.3  70.48  69.79  70.33  1787900  70.33
2013-12-02  70.54  71.13  70.38  70.64  1091800  70.64
2013-11-29  70.46  70.64  70.15  70.29  396100  70.29
2013-11-27  70.35  70.67  69.92  70.26  862600  70.26
2013-11-26  70.53  70.92  70.05  70.37  1528500  70.37
2013-11-25  69.56  70.51  69.56  70.18  1077700  70.18
2013-11-22  69.57  69.95  69.55  69.78  1310300  69.78
2013-11-21  69.06  69.8  69.04  69.55  1137100  69.55
2013-11-20  68.64  69.38  68.56  69.1  1294300  69.1
2013-11-19  68.77  69.25  68.43  68.63  1513200  68.63
2013-11-18  69.75  69.76  68.7  68.91  1464300  68.91
2013-11-15  68.88  69.37  68.66  69.26  1408000  69.26
2013-11-14  68.1  69.12  68.02  68.98  1378100  68.98
2013-11-13  67.43  68.02  67.26  68.02  1245800  68.02
2013-11-12  67.71  67.97  67.35  67.82  1347300  67.82
2013-11-11  67.61  67.88  67.19  67.64  1020400  67.64
2013-11-08  66.46  67.55  66.29  67.53  1504500  67.53
2013-11-07  66.95  67.01  66.13  66.27  1523600  66.27
2013-11-06  66.71  66.94  66.1  66.7  1410100  66.7
2013-11-05  66.63  67.32  66.34  66.41  2041600  66.41
2013-11-04  66.04  66.64  65.8  66.63  2724400  66.63
2013-11-01  65.1  65.92  64.71  65.92  2300900  65.92
2013-10-31  64.6  65.53  64.17  64.88  1838200  64.88
2013-10-30  65.49  65.5  64.42  64.77  1677800  64.77
2013-10-29  64.93  65.35  64.66  65.35  1334100  65.35
2013-10-28  64.71  64.93  64.08  64.75  1442000  64.75
2013-10-25  64.39  64.86  64.1  64.79  1074000  64.79
2013-10-24  63.75  64.49  63.75  64.19  1090600  64.19
2013-10-23  63.19  63.56  62.8  63.39  1229900  63.39
2013-10-22  63.74  64.11  63.09  63.32  1582000  63.32
2013-10-21  64.13  64.19  63.18  63.43  1819800  63.43
2013-10-18  64.53  64.61  63.88  64.16  1112000  64.16
2013-10-17  63.33  64.35  63.21  64.17  1674900  64.17
2013-10-16  62.59  63.32  62.51  63.31  1016100  63.31
2013-10-15  62.62  62.85  62.2  62.38  855600  62.38
2013-10-14  62.03  62.71  61.76  62.68  1068100  62.68
2013-10-11  62.05  62.45  61.95  62.22  1234500  62.22
2013-10-10  61.37  62.05  61.22  62.0  1209100  62.0
2013-10-09  60.87  61.06  60.36  60.85  1638400  60.85
2013-10-08  61.55  62.02  60.65  60.77  1777200  60.77
2013-10-07  61.84  61.93  61.45  61.54  742500  61.54
2013-10-04  61.17  62.11  61.0  62.04  1327400  62.04
2013-10-03  61.64  61.91  60.76  61.0  2136200  61.0
2013-10-02  61.75  61.87  61.15  61.77  1196800  61.77
2013-10-01  60.76  62.07  60.68  62.05  1117700  62.05
2013-09-30  60.48  60.85  60.27  60.68  1040200  60.68
2013-09-27  60.49  60.93  60.31  60.86  688300  60.86
2013-09-26  60.55  61.02  60.27  60.74  869600  60.74
2013-09-25  60.41  60.91  60.41  60.59  1044900  60.59
2013-09-24  61.3  61.47  60.42  60.49  1332800  60.49
2013-09-23  61.26  61.41  60.86  61.15  813100  61.15
2013-09-20  61.81  61.88  61.06  61.23  1631000  61.23
2013-09-19  61.42  62.01  61.35  61.8  1217700  61.8
2013-09-18  61.21  61.29  60.39  61.07  1137200  61.07
2013-09-17  60.58  61.17  60.51  61.17  933100  61.17
2013-09-16  60.38  60.84  60.24  60.53  1012900  60.53
2013-09-13  60.21  60.36  59.67  59.86  1274100  59.86
2013-09-12  60.0  60.6  59.95  60.04  1430900  60.04
2013-09-11  59.02  60.07  59.0  60.07  2026200  60.07
2013-09-10  58.59  59.09  58.48  58.96  1080300  58.96
2013-09-09  57.91  58.39  57.75  58.26  940800  58.26
2013-09-06  57.8  58.23  57.08  57.84  885800  57.84
2013-09-05  57.6  57.93  57.48  57.75  890600  57.75
2013-09-04  57.23  57.9  57.19  57.73  981100  57.73
2013-09-03  57.06  57.48  56.81  56.99  1054500  56.99
2013-08-30  56.8  57.0  56.25  56.53  871700  56.53
2013-08-29  56.48  56.94  56.27  56.76  766800  56.76
2013-08-28  56.43  56.74  55.85  56.57  1282700  56.57
2013-08-27  56.65  56.73  56.2  56.48  1368300  56.48
2013-08-26  57.01  57.38  56.92  57.04  820100  57.04
2013-08-23  57.01  57.23  56.7  57.05  1493600  57.05
2013-08-22  56.82  57.26  56.74  57.03  1602600  57.03
2013-08-21  56.87  57.15  56.55  56.68  1515700  56.68
2013-08-20  56.52  57.21  56.39  57.05  1888100  57.05
2013-08-19  56.15  56.7  56.11  56.46  2008100  56.46
2013-08-16  56.61  56.8  56.14  56.14  2227200  56.14
2013-08-15  57.32  57.39  56.4  56.88  2153200  56.88
2013-08-14  57.53  57.97  57.39  57.42  1784600  57.42
2013-08-13  58.08  58.35  57.37  57.53  2300100  57.53
2013-08-12  58.29  58.62  57.84  58.06  1544100  58.06
2013-08-09  58.84  59.13  58.62  58.87  1223200  58.87
2013-08-08  58.74  59.05  58.28  58.99  1578900  58.99
2013-08-07  57.69  58.55  57.6  58.12  1414300  58.12
2013-08-06  58.42  58.42  57.75  58.05  1060800  58.05
2013-08-05  57.77  58.47  57.68  58.41  1129300  58.41
2013-08-02  58.14  58.19  57.64  57.87  1560100  57.87
2013-08-01  57.77  58.5  57.75  58.18  1746200  58.18
2013-07-31  57.93  58.35  57.39  57.66  1848600  57.66
2013-07-30  58.22  58.27  57.48  57.62  2487500  57.62
2013-07-29  57.76  58.17  57.56  57.78  1440900  57.78
2013-07-26  56.81  57.97  56.68  57.86  1714300  57.86
2013-07-25  55.61  57.09  55.22  57.01  2869300  57.01
2013-07-24  57.7  58.67  55.98  56.17  3089500  56.17
2013-07-23  58.36  58.39  57.0  57.03  4014200  57.03
2013-07-22  58.12  58.48  57.98  58.37  1237800  58.37
2013-07-19  57.64  58.28  57.52  58.19  1552000  58.19
2013-07-18  57.97  58.33  57.43  57.7  2058500  57.7
2013-07-17  57.77  58.07  57.56  57.86  1137300  57.86
2013-07-16  57.72  58.0  57.53  57.67  2045900  57.67
2013-07-15  57.96  58.2  57.46  57.63  1693300  57.63
2013-07-12  57.41  57.81  57.08  57.78  1359100  57.78
2013-07-11  56.48  57.54  56.48  57.49  2337200  57.49
2013-07-10  55.37  56.01  55.33  55.96  1551500  55.96
2013-07-09  55.87  56.24  55.22  55.32  2101000  55.32
2013-07-08  55.24  55.71  55.01  55.69  1481200  55.69
2013-07-05  54.93  55.08  54.33  54.98  1629300  54.98
2013-07-03  53.93  54.66  53.83  54.51  1157000  54.51
2013-07-02  54.47  54.74  54.09  54.26  2008500  54.26
2013-07-01  55.52  55.64  54.39  54.43  2845300  54.43
2013-06-28  54.91  55.73  54.45  55.24  3350300  55.24
2013-06-27  54.79  55.18  54.52  54.73  2446300  54.73
2013-06-26  53.21  54.71  53.21  54.46  2503200  54.46
2013-06-25  53.18  53.21  52.51  52.99  2846600  52.99
2013-06-24  53.46  53.74  52.69  53.05  2936800  53.05
2013-06-21  53.67  54.35  53.58  53.77  2668500  53.77
2013-06-20  54.89  55.02  53.44  53.57  3015200  53.57
2013-06-19  55.2  55.8  54.81  54.98  2227200  54.98
2013-06-18  55.09  55.39  54.8  55.27  1805600  55.27
2013-06-17  54.56  55.1  54.48  55.08  2929400  55.08
2013-06-14  53.87  54.63  53.83  54.35  1985300  54.35
2013-06-13  54.04  54.12  53.48  53.99  2551400  53.99
2013-06-12  54.45  54.77  54.15  54.18  3673500  54.18
2013-06-11  53.4  54.61  53.38  54.24  3596200  54.24
2013-06-10  52.58  53.28  52.42  53.15  2497500  53.15
2013-06-07  52.15  52.7  52.15  52.39  3489200  52.39
2013-06-06  52.26  52.52  51.89  52.0  3420300  52.0
2013-06-05  52.49  52.82  52.29  52.35  3433100  52.35
2013-06-04  52.18  52.84  52.14  52.7  2779700  52.7
2013-06-03  53.45  53.57  51.83  52.13  3582100  52.13
2013-05-31  53.92  54.14  53.51  53.51  2534700  53.51
2013-05-30  53.44  54.45  53.34  54.15  1743800  54.15
2013-05-29  53.61  53.93  52.67  53.34  2679200  53.34
2013-05-28  54.2  54.62  53.47  53.8  2759300  53.8
2013-05-24  53.79  53.99  53.47  53.87  1935100  53.87
2013-05-23  53.75  54.23  53.49  54.01  1816000  54.01
2013-05-22  54.15  54.53  53.8  53.89  2471600  53.89
2013-05-21  54.2  54.37  53.83  54.08  1698200  54.08
2013-05-20  54.44  54.66  54.14  54.25  1712700  54.25
2013-05-17  53.87  54.49  53.61  54.41  2180100  54.41
2013-05-16  54.07  54.48  53.72  53.83  1766600  53.83
2013-05-15  54.22  54.69  53.88  54.23  2859300  54.23
2013-05-14  53.7  54.21  53.48  54.18  2369200  54.18
2013-05-13  53.9  54.09  53.67  53.7  2022800  53.7
2013-05-10  54.2  54.22  53.85  54.06  1324800  54.06
2013-05-09  54.13  54.31  53.71  54.03  1708200  54.03
2013-05-08  54.24  54.42  53.84  54.31  2598700  54.31
2013-05-07  53.82  54.26  53.6  54.2  2142100  54.2
2013-05-06  53.71  53.93  53.56  53.62  1401200  53.62
2013-05-03  54.22  54.29  53.64  53.79  1850800  53.79
2013-05-02  53.08  54.08  53.01  54.07  2157900  54.07
2013-05-01  53.29  53.62  52.99  53.07  2418000  53.07
2013-04-30  53.3  53.36  52.84  53.35  2064900  53.35
2013-04-29  52.57  53.51  52.49  53.29  3329100  53.29
2013-04-26  52.24  52.84  52.03  52.5  5365100  52.5
2013-04-25  55.03  55.2  52.37  52.65  7988800  52.65
2013-04-24  55.52  55.79  54.83  55.02  3091300  55.02
2013-04-23  55.59  56.1  55.15  55.5  2419400  55.5
2013-04-22  55.62  55.64  54.86  55.4  2571100  55.4
2013-04-19  54.81  55.19  54.45  55.12  2023400  55.12
2013-04-18  54.28  55.27  54.24  54.65  4273900  54.65
2013-04-17  53.99  54.4  53.67  54.27  3176700  54.27
2013-04-16  53.71  54.21  53.35  54.17  2050600  54.17
2013-04-15  53.37  53.58  53.07  53.27  2243200  53.27
2013-04-12  53.02  53.56  52.92  53.41  1269300  53.41
2013-04-11  52.52  53.38  52.49  53.04  2354400  53.04
2013-04-10  53.16  53.23  52.32  52.54  3148400  52.54
2013-04-09  52.0  52.4  51.75  52.17  3118200  52.17
2013-04-08  51.44  51.95  50.95  51.88  2294600  51.88
2013-04-05  50.7  51.38  50.68  51.34  1596400  51.34
2013-04-04  50.95  52.08  50.93  51.08  2840100  51.08
2013-04-03  51.82  52.07  50.58  50.95  4837400  50.95
2013-04-02  51.18  52.6  51.11  51.66  4047700  51.66
2013-04-01  50.64  50.92  50.56  50.9  1429400  50.9
2013-03-28  50.24  50.84  50.07  50.72  2835600  50.72
