Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  97.0  98.1  96.85  97.87  1780000  97.87
2014-02-27  96.02  96.98  95.96  96.76  1250200  96.76
2014-02-26  96.38  96.8  95.97  96.1  1126600  96.1
2014-02-25  96.73  96.91  96.34  96.53  1268500  96.53
2014-02-24  97.1  97.86  96.78  96.79  1409700  96.79
2014-02-21  97.08  97.85  96.67  97.19  1264100  97.19
2014-02-20  96.6  97.28  95.89  96.78  1579200  96.78
2014-02-19  97.27  97.87  96.64  96.67  1517300  96.67
2014-02-18  97.1  97.6  96.84  97.46  1450400  97.46
2014-02-14  96.14  96.99  96.0  96.97  1426200  96.97
2014-02-13  95.0  96.2  94.95  96.14  1339900  96.14
2014-02-12  96.2  96.56  95.62  95.71  1676800  95.71
2014-02-11  95.33  96.85  95.22  96.81  2353900  96.81
2014-02-10  94.19  95.03  93.93  95.03  1712500  95.03
2014-02-07  94.08  94.65  93.65  94.6  2124700  94.6
2014-02-06  93.39  94.19  93.03  93.49  2986500  93.49
2014-02-05  92.54  93.57  92.52  93.25  2561300  93.25
2014-02-04  93.21  93.63  92.59  92.84  2569000  92.84
2014-02-03  93.44  93.88  92.26  92.6  3813700  92.6
2014-01-31  93.74  94.45  93.52  93.81  2871400  93.81
2014-01-30  94.64  95.37  94.04  95.14  2339300  95.14
2014-01-29  93.89  94.53  92.89  94.03  3466700  94.03
2014-01-28  93.19  94.85  93.11  94.57  2603200  94.57
2014-01-27  92.02  93.8  92.0  93.05  3022500  93.05
2014-01-24  94.18  94.18  92.19  92.19  2526500  92.19
2014-01-23  96.24  96.24  94.01  94.18  2879500  94.18
2014-01-22  96.61  96.99  95.97  96.01  1615500  96.01
2014-01-21  97.28  97.56  96.01  96.37  2649000  96.37
2014-01-17  97.32  97.72  96.84  97.1  4253700  97.1
2014-01-16  97.79  98.16  97.15  97.3  1564900  97.3
2014-01-15  98.14  98.61  97.66  97.99  1583900  97.99
