Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  83.31  83.81  82.73  83.35  2420000  83.35
2014-02-27  82.4  83.69  81.94  83.36  2108000  83.36
2014-02-26  83.76  83.8  83.11  83.4  1987600  83.4
2014-02-25  84.0  84.0  82.97  83.41  2189700  83.41
2014-02-24  83.71  84.75  83.61  83.95  1843100  83.95
2014-02-21  83.6  84.19  83.53  83.8  2366600  83.8
2014-02-20  83.16  83.59  82.94  83.38  2465300  83.38
2014-02-19  82.42  83.74  82.24  83.26  3801400  83.26
2014-02-18  82.1  82.75  81.78  82.59  2013800  82.59
2014-02-14  81.73  82.43  81.38  82.11  2024000  82.11
2014-02-13  80.86  81.98  80.63  81.74  1895000  81.74
2014-02-12  80.84  81.84  80.84  81.21  2489300  81.21
2014-02-11  80.53  80.89  80.15  80.55  2159900  80.55
2014-02-10  80.19  80.58  79.78  79.97  2399900  79.97
2014-02-07  78.81  80.73  78.67  80.58  3437500  80.58
2014-02-06  77.87  78.74  77.79  78.52  2224800  78.52
2014-02-05  77.87  78.53  77.42  77.57  3163200  77.57
2014-02-04  78.39  78.51  77.9  78.08  2608200  78.08
2014-02-03  80.02  80.68  77.66  78.09  3745100  78.09
2014-01-31  80.0  80.38  78.82  79.88  3696800  79.88
2014-01-30  81.05  81.34  80.19  80.72  2244700  80.72
2014-01-29  81.27  81.77  80.13  80.32  2703500  80.32
2014-01-28  81.73  81.91  80.93  81.3  2995700  81.3
2014-01-27  81.34  81.9  80.18  81.15  2640300  81.15
2014-01-24  83.29  83.3  81.17  81.18  3370800  81.18
2014-01-23  84.81  85.07  83.5  83.92  4147500  83.92
2014-01-22  84.46  85.88  84.46  85.4  3564100  85.4
2014-01-21  84.22  85.04  83.86  84.93  3031300  84.93
2014-01-17  83.64  84.9  83.63  84.43  3762200  84.43
2014-01-16  83.54  84.26  83.14  84.12  4183500  84.12
2014-01-15  82.09  84.31  81.61  84.22  4284900  84.22
2014-01-14  80.78  82.25  80.71  81.95  3288600  81.95
2014-01-13  82.71  82.74  80.8  81.06  3941400  81.06
2014-01-10  82.75  83.22  82.39  83.2  4369200  83.2
2014-01-09  82.02  83.05  82.0  82.95  4054200  82.95
2014-01-08  81.29  82.2  81.25  82.15  4217400  82.15
2014-01-07  80.84  81.94  80.66  81.52  3368400  81.52
2014-01-06  81.31  81.5  80.44  80.54  2312300  80.54
2014-01-03  81.21  81.82  81.09  81.4  1812600  81.4
2014-01-02  81.5  81.92  81.09  81.13  2405400  81.13
2013-12-31  81.68  82.46  81.48  82.22  2113800  82.22
2013-12-30  81.71  82.2  80.68  82.06  2551900  82.06
2013-12-27  82.46  83.45  82.43  82.51  2466200  82.51
2013-12-26  81.47  82.53  81.23  82.15  2399200  82.15
2013-12-24  80.86  81.39  80.65  81.31  1564700  81.31
2013-12-23  80.51  81.7  79.98  81.55  4405000  81.55
2013-12-20  79.72  80.98  79.6  80.55  6782700  80.55
2013-12-19  77.52  79.95  77.49  79.51  10933800  79.51
2013-12-18  74.15  75.8  74.15  75.62  6325600  75.62
2013-12-17  74.53  74.79  73.96  74.0  4082900  74.0
2013-12-16  74.09  74.86  74.09  74.62  4172100  74.62
2013-12-13  74.27  74.62  73.79  73.94  2841400  73.94
2013-12-12  74.42  74.87  74.04  74.08  3266300  74.08
2013-12-11  75.51  76.0  74.28  74.4  3000800  74.4
2013-12-10  75.11  75.69  74.37  75.41  2350700  75.41
2013-12-09  75.64  75.98  75.01  75.13  2434400  75.13
