Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  51.15  51.15  50.48  50.82  2141400  50.82
2014-02-27  50.81  51.2  50.75  51.03  1395200  51.03
2014-02-26  50.67  51.36  50.56  50.84  1579000  50.84
2014-02-25  50.62  50.67  50.12  50.43  2206400  50.43
2014-02-24  50.92  51.24  50.58  50.59  2096300  50.59
2014-02-21  51.0  51.23  50.72  50.75  1969500  50.75
2014-02-20  51.35  51.5  50.64  51.03  3741300  51.03
2014-02-19  51.52  51.99  51.03  51.19  4079500  51.19
2014-02-18  50.08  50.97  50.08  50.86  3936600  50.86
2014-02-14  50.05  50.62  49.9  50.4  2168200  50.4
2014-02-13  49.33  50.33  49.27  50.32  2124700  50.32
2014-02-12  49.6  49.83  49.36  49.53  1802500  49.53
2014-02-11  48.95  49.53  48.83  49.39  1230800  49.39
2014-02-10  48.42  48.96  48.39  48.86  1458700  48.86
2014-02-07  48.22  48.61  47.91  48.61  1822100  48.61
2014-02-06  47.66  48.33  47.51  48.0  1797900  48.0
2014-02-05  47.08  47.66  46.92  47.5  2589400  47.5
2014-02-04  47.35  47.4  46.88  47.34  2333300  47.34
2014-02-03  47.88  48.0  46.8  46.92  2892200  46.92
2014-01-31  47.99  48.38  47.72  47.92  1927500  47.92
2014-01-30  48.51  48.76  48.06  48.53  1385400  48.53
2014-01-29  47.97  48.56  47.75  47.92  1994100  47.92
2014-01-28  47.82  48.4  47.76  48.16  1777400  48.16
2014-01-27  47.97  48.37  47.76  47.87  1888300  47.87
2014-01-24  49.03  49.03  47.86  47.9  2628300  47.9
2014-01-23  49.85  49.94  48.97  49.05  2236500  49.05
2014-01-22  49.49  50.17  49.39  50.0  1659900  50.0
2014-01-21  49.59  49.76  49.1  49.62  2228500  49.62
2014-01-17  49.21  49.58  48.85  49.02  3104300  49.02
2014-01-16  50.12  50.14  49.37  49.46  2885000  49.46
2014-01-15  49.39  49.97  49.37  49.66  2120700  49.66
2014-01-14  48.58  49.66  48.54  49.35  2879900  49.35
2014-01-13  48.85  49.18  48.3  48.51  2989700  48.51
2014-01-10  49.07  49.23  48.78  49.17  2072200  49.17
2014-01-09  49.09  49.27  48.83  49.16  2470900  49.16
2014-01-08  49.35  49.54  49.02  49.35  1201600  49.35
2014-01-07  49.13  49.42  48.98  49.23  1338500  49.23
2014-01-06  48.99  49.14  48.79  48.97  2165000  48.97
2014-01-03  48.91  49.43  48.78  49.25  1644700  49.25
2014-01-02  49.16  49.39  48.68  48.92  2799000  48.92
2013-12-31  50.63  50.83  50.33  50.56  857000  50.56
2013-12-30  50.14  50.53  50.14  50.48  918400  50.48
2013-12-27  50.4  50.56  50.26  50.33  631000  50.33
2013-12-26  50.47  50.54  50.19  50.37  688700  50.37
2013-12-24  50.0  50.47  49.98  50.26  710000  50.26
2013-12-23  49.86  50.26  49.68  50.25  1873100  50.25
2013-12-20  49.27  49.9  49.09  49.65  2828400  49.65
2013-12-19  49.41  49.41  48.73  49.3  1589500  49.3
2013-12-18  48.55  49.42  48.28  49.42  1771600  49.42
2013-12-17  48.28  48.64  48.18  48.58  1419600  48.58
2013-12-16  48.15  48.49  48.04  48.39  1536300  48.39
2013-12-13  48.06  48.08  47.67  48.06  1831800  48.06
2013-12-12  48.38  48.51  47.66  47.76  2107200  47.76
2013-12-11  48.66  48.86  48.26  48.32  1376900  48.32
2013-12-10  48.49  48.86  48.36  48.55  1485100  48.55
2013-12-09  49.14  49.23  48.54  48.65  1563300  48.65
2013-12-06  49.03  49.14  48.56  48.91  2217900  48.91
2013-12-05  48.42  48.61  48.22  48.46  2226300  48.46
2013-12-04  48.8  49.0  48.11  48.41  2455100  48.41
2013-12-03  47.72  49.12  47.72  48.86  5500700  48.86
2013-12-02  47.13  47.76  47.13  47.72  2629500  47.72
2013-11-29  47.97  48.12  47.51  47.54  1909500  47.54
2013-11-27  46.54  47.89  45.47  47.86  7832300  47.86
2013-11-26  48.44  49.34  48.44  49.22  1918100  49.22
2013-11-25  49.19  49.2  48.55  48.96  1902300  48.96
2013-11-22  49.07  49.15  48.77  49.06  1459500  49.06
2013-11-21  48.72  49.2  48.31  49.07  1197000  49.07
2013-11-20  48.76  48.84  48.11  48.39  2245800  48.39
2013-11-19  49.48  49.54  48.69  48.75  1500900  48.75
2013-11-18  49.97  49.98  49.31  49.4  1780900  49.4
2013-11-15  49.61  50.08  49.35  49.98  1796000  49.98
2013-11-14  49.66  49.7  49.26  49.65  1070800  49.65
