Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  77.88  78.47  77.2  77.78  2351400  77.78
2014-02-27  77.12  77.9  77.1  77.72  2008900  77.72
2014-02-26  77.45  77.52  76.81  77.42  2294400  77.42
2014-02-25  76.98  77.23  76.28  77.01  1554000  77.01
2014-02-24  76.31  77.48  76.2  76.8  1727200  76.8
2014-02-21  76.78  76.99  76.12  76.2  1955600  76.2
2014-02-20  76.24  76.89  75.86  76.51  1245200  76.51
2014-02-19  76.04  76.96  75.91  76.15  1603100  76.15
2014-02-18  76.45  76.57  75.76  76.49  1792600  76.49
2014-02-14  75.75  76.49  75.3  76.27  1707500  76.27
2014-02-13  75.25  76.28  75.2  76.21  2027500  76.21
2014-02-12  75.57  75.9  74.8  75.58  4027600  75.58
2014-02-11  74.12  74.9  74.01  74.66  2522100  74.66
2014-02-10  75.48  75.61  73.83  74.45  2007900  74.45
2014-02-07  74.4  74.96  73.95  74.89  1693400  74.89
2014-02-06  73.45  74.33  73.1  74.2  2357400  74.2
2014-02-05  76.32  76.32  72.69  73.53  2865100  73.53
2014-02-04  77.92  77.92  71.91  74.95  3906500  74.95
2014-02-03  76.61  76.78  73.79  74.08  3181300  74.08
2014-01-31  76.0  77.14  75.94  76.6  1861600  76.6
2014-01-30  76.95  77.64  76.35  77.3  1398200  77.3
2014-01-29  76.44  77.24  76.18  76.53  1638400  76.53
2014-01-28  76.38  77.2  76.21  77.03  1559200  77.03
2014-01-27  76.35  77.53  76.35  76.5  1735100  76.5
2014-01-24  78.81  78.82  76.96  76.97  2107900  76.97
2014-01-23  81.93  82.5  78.86  79.31  1433800  79.31
2014-01-22  80.41  80.72  80.04  80.38  1304400  80.38
2014-01-21  80.42  80.8  79.81  80.32  1448100  80.32
2014-01-17  79.52  80.34  79.44  79.97  2741100  79.97
2014-01-16  80.04  80.26  79.71  79.81  1050200  79.81
2014-01-15  80.0  80.64  79.71  80.09  2025100  80.09
2014-01-14  79.31  80.03  78.94  79.95  1607100  79.95
2014-01-13  80.28  80.33  78.84  79.05  2087500  79.05
2014-01-10  81.06  81.11  79.96  80.35  1474300  80.35
2014-01-09  83.0  83.0  80.53  80.63  1444700  80.63
2014-01-08  80.3  80.74  79.91  80.35  1870100  80.35
2014-01-07  79.98  81.02  79.89  80.78  1376200  80.78
2014-01-06  80.61  80.97  79.39  79.81  1535000  79.81
2014-01-03  80.21  81.37  80.0  80.73  1948100  80.73
2014-01-02  80.17  80.45  79.38  79.86  1965900  79.86
2013-12-31  81.24  81.55  80.65  80.8  1104600  80.8
2013-12-30  80.82  81.1  80.51  81.08  718700  81.08
2013-12-27  80.96  81.14  80.56  80.72  723000  80.72
2013-12-26  80.45  80.87  80.13  80.75  875300  80.75
2013-12-24  79.78  80.29  79.6  80.22  599600  80.22
2013-12-23  80.31  80.4  79.72  79.94  1426200  79.94
2013-12-20  79.42  80.24  78.98  79.97  3547300  79.97
2013-12-19  79.35  79.85  78.87  79.43  2483200  79.43
2013-12-18  77.72  79.15  77.12  79.09  2858900  79.09
2013-12-17  76.8  77.52  76.62  77.25  1712100  77.25
2013-12-16  77.53  77.97  77.19  77.52  1359200  77.52
2013-12-13  77.66  77.77  76.98  77.02  1654800  77.02
2013-12-12  77.21  77.75  77.1  77.15  2987200  77.15
2013-12-11  78.3  78.55  77.22  77.43  2905400  77.43
2013-12-10  78.38  78.57  77.88  78.03  2000400  78.03
2013-12-09  79.22  79.29  78.08  78.53  2375400  78.53
2013-12-06  78.96  79.28  78.64  79.17  1870700  79.17
2013-12-05  78.47  79.04  77.92  78.05  2218900  78.05
2013-12-04  79.4  79.64  78.25  78.84  1861500  78.84
2013-12-03  79.86  80.33  79.21  79.85  2847300  79.85
2013-12-02  79.46  79.64  78.95  79.08  1367500  79.08
2013-11-29  79.69  80.16  79.49  79.53  835000  79.53
2013-11-27  79.81  80.03  79.47  79.84  1063400  79.84
2013-11-26  82.67  83.31  79.31  79.82  2319500  79.82
2013-11-25  79.51  79.91  79.45  79.63  1687200  79.63
2013-11-22  79.16  79.55  79.07  79.52  1550400  79.52
2013-11-21  78.83  79.38  78.64  79.29  1925000  79.29
2013-11-20  79.42  79.64  78.33  78.57  2875800  78.57
2013-11-19  78.32  79.95  77.8  79.22  6780200  79.22
2013-11-18  76.89  77.23  76.67  76.89  1761400  76.89
2013-11-15  76.4  76.93  76.08  76.86  2347700  76.86
2013-11-14  76.17  76.96  76.04  76.5  2190300  76.5
2013-11-13  75.18  76.03  74.78  75.98  2436900  75.98
2013-11-12  75.23  75.44  74.93  75.26  1812600  75.26
2013-11-11  75.37  75.58  75.04  75.3  1166700  75.3
2013-11-08  74.98  75.57  74.75  75.55  1379200  75.55
2013-11-07  75.68  75.94  74.75  74.87  1532700  74.87
2013-11-06  74.88  75.59  74.86  75.37  1253500  75.37
2013-11-05  74.79  75.21  74.28  75.05  1166900  75.05
