Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  54.1  54.16  51.89  52.48  6954000  52.48
2014-02-27  57.2  58.68  53.72  54.28  11608800  54.28
2014-02-26  54.82  55.03  53.89  54.72  3835000  54.72
2014-02-25  54.45  54.77  54.03  54.66  2481200  54.66
2014-02-24  55.4  55.98  54.45  54.47  4212900  54.47
2014-02-21  55.1  55.55  54.62  55.4  2534700  55.4
2014-02-20  54.37  54.98  53.6  54.9  1847400  54.9
2014-02-19  54.52  55.17  54.37  54.47  2309600  54.47
2014-02-18  54.17  54.86  53.8  54.52  2750800  54.52
2014-02-14  53.94  54.97  53.94  54.17  3345400  54.17
2014-02-13  53.51  54.49  53.39  54.13  3033100  54.13
2014-02-12  52.93  53.88  52.76  53.77  3001500  53.77
2014-02-11  52.55  53.09  52.3  52.92  1961000  52.92
2014-02-10  51.84  52.49  51.75  52.28  2340700  52.28
2014-02-07  51.05  52.19  50.82  51.99  2649700  51.99
2014-02-06  49.89  51.11  49.7  50.96  1827300  50.96
2014-02-05  49.87  50.11  49.37  49.96  1699200  49.96
2014-02-04  49.79  50.38  49.63  50.12  2032300  50.12
2014-02-03  51.01  51.49  48.93  49.33  4320300  49.33
2014-01-31  50.77  51.63  50.7  51.25  2155300  51.25
2014-01-30  51.55  51.9  50.71  51.52  4046100  51.52
2014-01-29  50.76  51.0  49.61  49.65  2729000  49.65
2014-01-28  50.48  51.29  50.46  51.24  1818700  51.24
2014-01-27  50.63  50.95  49.33  50.59  3640900  50.59
2014-01-24  51.65  51.65  50.25  50.44  4245200  50.44
2014-01-23  52.68  52.68  51.71  51.86  3593200  51.86
2014-01-22  53.18  53.5  52.31  52.37  3108300  52.37
2014-01-21  53.42  54.18  53.03  53.3  2153300  53.3
2014-01-17  53.63  53.73  53.04  53.24  2123200  53.24
2014-01-16  53.22  53.73  52.98  53.6  2403300  53.6
2014-01-15  52.83  53.62  52.8  53.29  3241200  53.29
2014-01-14  51.65  52.74  51.29  52.64  2876400  52.64
2014-01-13  52.0  52.7  51.31  51.57  4561700  51.57
2014-01-10  51.14  51.48  50.64  51.47  2182700  51.47
2014-01-09  50.82  51.68  50.74  51.08  3716400  51.08
2014-01-08  49.5  50.55  49.05  50.24  2047400  50.24
2014-01-07  48.89  50.1  48.63  49.68  2002500  49.68
2014-01-06  48.98  49.29  48.29  48.55  1856500  48.55
2014-01-03  49.11  49.5  48.78  48.9  1934200  48.9
2014-01-02  49.33  49.74  48.88  49.25  2488000  49.25
2013-12-31  49.79  50.5  49.61  50.32  2002300  50.32
2013-12-30  49.6  49.79  49.07  49.58  909900  49.58
2013-12-27  49.61  49.9  49.39  49.54  1206100  49.54
2013-12-26  49.63  49.85  49.36  49.39  1499200  49.39
2013-12-24  49.35  49.73  49.18  49.7  852500  49.7
2013-12-23  49.31  49.53  49.07  49.46  1854700  49.46
2013-12-20  48.1  49.22  47.84  49.19  5075500  49.19
2013-12-19  48.13  48.45  47.89  48.05  1617200  48.05
2013-12-18  47.34  48.3  46.6  48.27  2921000  48.27
2013-12-17  47.19  47.71  47.0  47.5  2172000  47.5
2013-12-16  47.71  48.0  47.17  47.19  2471800  47.19
2013-12-13  45.99  48.39  45.8  47.74  5599300  47.74
2013-12-12  45.85  46.17  45.25  45.51  3244300  45.51
2013-12-11  46.94  47.05  45.64  45.75  3141000  45.75
2013-12-10  46.29  46.98  46.26  46.79  2518500  46.79
2013-12-09  45.8  46.85  45.75  46.78  2023800  46.78
2013-12-06  46.56  46.57  46.16  46.42  2032700  46.42
2013-12-05  46.18  46.56  45.81  45.94  2270100  45.94
2013-12-04  45.81  46.47  45.58  46.29  2598700  46.29
2013-12-03  45.4  45.98  45.2  45.77  2491300  45.77
2013-12-02  45.27  45.55  44.95  45.42  1871700  45.42
2013-11-29  45.28  45.4  44.97  45.25  1174000  45.25
2013-11-27  45.4  45.74  45.05  45.44  2152000  45.44
2013-11-26  45.39  45.52  45.0  45.28  2557100  45.28
2013-11-25  45.55  45.73  44.93  45.39  3758600  45.39
2013-11-22  43.64  45.95  43.55  45.86  7218700  45.86
2013-11-21  42.58  43.6  42.21  43.53  4250400  43.53
2013-11-20  42.5  43.04  42.21  42.34  2803400  42.34
2013-11-19  43.18  43.35  42.16  42.28  3622000  42.28
2013-11-18  44.14  44.4  43.24  43.3  2327200  43.3
2013-11-15  44.2  45.03  43.88  44.11  2898400  44.11
2013-11-14  42.97  44.21  42.9  44.13  2635400  44.13
2013-11-13  43.54  43.7  43.15  43.54  2652800  43.54
2013-11-12  43.29  43.74  43.25  43.61  2003300  43.61
2013-11-11  42.71  43.74  42.44  43.48  3665000  43.48
2013-11-08  41.89  42.77  41.73  42.76  2151400  42.76
2013-11-07  42.25  43.17  41.41  41.76  3885700  41.76
2013-11-06  41.96  42.15  41.54  42.02  2775700  42.02
2013-11-05  41.65  42.01  41.06  41.71  3311200  41.71
2013-11-04  41.85  42.0  41.5  41.8  2733900  41.8
2013-11-01  40.11  41.94  40.09  41.89  5897300  41.89
2013-10-31  40.1  40.34  39.85  39.9  2224700  39.9
2013-10-30  40.3  40.72  39.93  40.04  2625700  40.04
2013-10-29  39.86  40.3  39.51  40.3  2255700  40.3
2013-10-28  39.8  40.04  39.46  39.67  1188000  39.67
2013-10-25  40.52  40.52  39.71  39.87  1341800  39.87
2013-10-24  39.59  40.36  39.54  40.2  2350600  40.2
2013-10-23  39.76  39.99  39.24  39.49  1898200  39.49
2013-10-22  40.27  40.41  39.9  40.0  1644800  40.0
2013-10-21  40.36  40.62  39.83  40.02  1995600  40.02
2013-10-18  40.39  40.72  40.12  40.28  2712300  40.28
2013-10-17  40.52  40.69  39.85  40.41  3446500  40.41
2013-10-16  41.0  41.14  40.66  40.78  2079000  40.78
2013-10-15  41.04  41.16  40.7  40.89  3259100  40.89
2013-10-14  40.6  41.33  40.11  41.0  3443300  41.0
2013-10-11  40.57  41.13  40.39  41.05  2203000  41.05
2013-10-10  40.13  40.76  40.09  40.61  2643400  40.61
