Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  31.43  31.5  30.49  30.71  4458300  30.71
2014-02-27  30.94  31.45  30.88  31.34  3209300  31.34
2014-02-26  31.57  31.67  30.76  30.9  3784600  30.9
2014-02-25  31.24  31.78  31.24  31.7  5407100  31.7
2014-02-24  30.68  31.56  30.44  31.27  5092700  31.27
2014-02-21  30.84  31.08  30.49  30.57  5542600  30.57
2014-02-20  31.24  31.61  30.85  30.86  3881200  30.86
2014-02-19  31.25  31.97  31.13  31.45  4315400  31.45
2014-02-18  31.56  31.68  31.08  31.3  2924700  31.3
2014-02-14  31.16  31.65  31.03  31.61  3940900  31.61
2014-02-13  30.49  31.56  30.39  31.3  5330300  31.3
2014-02-12  30.81  31.21  30.43  30.55  3931100  30.55
2014-02-11  30.84  31.15  30.5  30.71  4151300  30.71
2014-02-10  31.19  32.27  30.44  30.93  6970700  30.93
2014-02-07  30.24  31.6  30.07  31.53  12644900  31.53
2014-02-06  29.85  30.4  29.74  29.96  5775500  29.96
2014-02-05  29.95  30.25  29.63  29.75  4767200  29.75
2014-02-04  28.86  30.32  28.69  30.2  8335000  30.2
2014-02-03  30.05  30.4  28.65  28.83  9806400  28.83
2014-01-31  30.47  30.86  29.96  30.04  13857900  30.04
2014-01-30  31.5  33.13  29.56  31.4  36645400  31.4
2014-01-29  37.93  38.21  37.61  37.81  4651800  37.81
2014-01-28  38.13  38.52  37.84  38.28  2978600  38.28
2014-01-27  39.22  39.22  37.77  38.14  4235500  38.14
2014-01-24  38.69  38.97  38.56  38.58  4630500  38.58
2014-01-23  39.12  39.28  38.79  38.82  2901900  38.82
2014-01-22  39.38  39.6  39.26  39.36  2224600  39.36
2014-01-21  39.69  40.24  39.32  39.38  4397400  39.38
2014-01-17  39.07  39.87  38.94  39.46  2882800  39.46
2014-01-16  38.76  39.29  38.7  38.99  1935500  38.99
2014-01-15  38.74  38.81  38.38  38.75  3415200  38.75
2014-01-14  38.72  39.17  37.9  38.74  4698600  38.74
2014-01-13  38.89  39.38  38.64  38.81  2462300  38.81
2014-01-10  39.14  39.5  38.79  38.88  2250800  38.88
2014-01-09  39.4  39.66  38.85  39.02  3492900  39.02
2014-01-08  39.93  40.28  39.11  39.26  2971500  39.26
2014-01-07  39.49  40.1  39.47  39.99  2390900  39.99
2014-01-06  39.47  39.82  39.28  39.45  2448200  39.45
2014-01-03  39.57  39.7  39.21  39.3  2134200  39.3
2014-01-02  40.2  40.4  39.18  39.42  3834400  39.42
2013-12-31  40.38  40.64  39.96  40.26  2587900  40.26
2013-12-30  40.94  41.18  40.22  40.37  1985300  40.37
2013-12-27  40.68  41.05  40.67  40.94  2162900  40.94
2013-12-26  39.99  40.82  39.98  40.73  2475400  40.73
2013-12-24  39.76  40.01  39.76  39.95  548000  39.95
2013-12-23  39.57  39.89  39.51  39.8  2000400  39.8
2013-12-20  39.95  39.95  39.23  39.49  3475000  39.49
2013-12-19  39.99  40.22  39.68  39.74  2110000  39.74
2013-12-18  39.39  40.03  39.07  39.94  4132500  39.94
2013-12-17  39.47  39.8  39.26  39.3  2348000  39.3
2013-12-16  38.79  39.42  38.74  39.31  3671000  39.31
2013-12-13  38.99  39.08  38.2  38.6  4722600  38.6
2013-12-12  39.4  39.55  38.97  39.05  3188700  39.05
2013-12-11  39.65  40.25  39.34  39.5  2339300  39.5
2013-12-10  39.5  39.87  39.1  39.61  3608500  39.61
2013-12-09  40.33  40.73  39.42  39.49  3518100  39.49
2013-12-06  40.82  41.41  40.21  40.31  3388700  40.31
2013-12-05  40.26  40.67  40.07  40.53  2443000  40.53
2013-12-04  40.09  40.91  39.94  40.42  1941700  40.42
2013-12-03  39.86  40.57  39.61  40.26  3286000  40.26
2013-12-02  40.56  40.95  40.04  40.14  3093100  40.14
2013-11-29  40.74  40.8  40.29  40.35  1470500  40.35
2013-11-27  40.67  41.13  40.46  40.64  2418900  40.64
2013-11-26  41.21  41.73  40.61  40.64  4504200  40.64
2013-11-25  42.13  42.16  39.51  41.25  20415200  41.25
2013-11-22  43.27  44.17  43.27  43.78  2997000  43.78
2013-11-21  43.56  44.11  43.0  43.13  4725800  43.13
2013-11-20  44.76  45.81  42.82  43.61  7999900  43.61
2013-11-19  42.44  43.05  42.43  42.59  2670000  42.59
2013-11-18  42.9  42.98  42.35  42.55  2574600  42.55
2013-11-15  43.28  43.4  42.79  43.03  1896400  43.03
2013-11-14  42.61  43.24  42.05  43.15  2278400  43.15
2013-11-13  42.17  42.67  42.01  42.52  1935100  42.52
2013-11-12  42.25  42.64  42.07  42.37  1943800  42.37
2013-11-11  42.36  42.72  42.26  42.46  1573300  42.46
2013-11-08  42.35  42.54  41.92  42.18  2170700  42.18
2013-11-07  43.24  43.59  42.22  42.41  2304600  42.41
2013-11-06  43.02  43.61  42.94  43.04  1299200  43.04
2013-11-05  42.84  43.17  42.53  42.93  1509500  42.93
2013-11-04  43.31  43.45  42.07  42.96  2058100  42.96
2013-11-01  43.17  43.78  42.82  43.24  1946000  43.24
2013-10-31  42.64  43.74  42.59  43.15  2903500  43.15
2013-10-30  42.38  43.06  42.27  42.75  4399200  42.75
2013-10-29  41.73  42.56  41.59  42.38  2605000  42.38
2013-10-28  41.85  41.97  41.44  41.56  1753100  41.56
2013-10-25  41.97  42.1  41.76  41.95  2177200  41.95
2013-10-24  41.43  42.02  41.4  41.96  2753700  41.96
2013-10-23  41.18  41.49  40.92  41.37  2271600  41.37
2013-10-22  40.63  41.26  40.49  41.24  2161200  41.24
2013-10-21  40.73  40.88  40.29  40.62  2443000  40.62
2013-10-18  40.33  40.99  40.29  40.78  3703500  40.78
2013-10-17  39.53  40.12  39.37  40.09  2584600  40.09
2013-10-16  38.97  39.65  38.17  39.65  3179000  39.65
2013-10-15  39.81  40.35  38.95  38.95  3056700  38.95
2013-10-14  39.03  40.02  38.9  39.8  3208600  39.8
2013-10-11  39.52  39.59  39.02  39.14  3553300  39.14
