Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.23  40.62  40.16  40.41  1146800  40.41
2014-02-27  40.41  40.7  40.03  40.15  1298500  40.15
2014-02-26  40.59  40.67  40.28  40.44  1246300  40.44
2014-02-25  40.44  40.88  40.38  40.49  2362500  40.49
2014-02-24  40.98  41.56  40.86  40.9  3494300  40.9
2014-02-21  41.0  42.24  39.92  40.88  5257700  40.88
2014-02-20  38.42  38.9  38.27  38.81  2454400  38.81
2014-02-19  38.78  39.0  38.16  38.27  2192000  38.27
2014-02-18  38.74  39.03  38.66  38.89  1224400  38.89
2014-02-14  38.34  38.65  38.25  38.63  761900  38.63
2014-02-13  37.93  38.4  37.85  38.39  1349000  38.39
2014-02-12  38.1  38.25  37.97  38.04  814500  38.04
2014-02-11  37.6  38.19  37.56  38.14  1262500  38.14
2014-02-10  37.34  37.67  37.0  37.67  1242800  37.67
2014-02-07  37.29  37.47  37.17  37.44  1225400  37.44
2014-02-06  36.93  37.21  36.78  37.17  1439300  37.17
2014-02-05  37.18  37.21  36.74  36.93  2168200  36.93
2014-02-04  37.8  37.8  37.1  37.22  3733400  37.22
2014-02-03  37.85  38.34  37.59  37.66  3280600  37.66
2014-01-31  37.07  37.94  36.85  37.84  2720100  37.84
2014-01-30  36.71  37.29  36.64  37.26  1209600  37.26
2014-01-29  36.43  36.74  36.33  36.62  1613100  36.62
2014-01-28  36.28  36.55  36.2  36.53  1117400  36.53
2014-01-27  35.99  36.42  35.88  36.25  2037000  36.25
2014-01-24  36.35  36.54  35.91  35.91  1787600  35.91
2014-01-23  36.47  36.59  36.23  36.47  1414400  36.47
2014-01-22  36.68  36.84  36.46  36.63  1688200  36.63
2014-01-21  36.32  36.66  36.24  36.64  914000  36.64
2014-01-17  36.2  36.25  36.08  36.15  826200  36.15
2014-01-16  35.95  36.19  35.89  36.17  1057000  36.17
2014-01-15  36.31  36.4  35.93  35.95  1351800  35.95
2014-01-14  36.25  36.49  36.16  36.31  1420000  36.31
2014-01-13  36.44  36.57  36.04  36.23  1363400  36.23
2014-01-10  36.17  36.66  35.99  36.52  2106600  36.52
2014-01-09  36.02  36.09  35.86  36.04  1226300  36.04
2014-01-08  36.14  36.19  35.8  35.94  1618500  35.94
2014-01-07  35.81  36.25  35.81  36.22  1653700  36.22
2014-01-06  35.7  35.82  35.42  35.76  2837500  35.76
2014-01-03  35.63  35.69  35.22  35.4  1206500  35.4
2014-01-02  36.05  36.11  35.47  35.53  1394300  35.53
2013-12-31  36.25  36.33  36.07  36.16  1051300  36.16
2013-12-30  35.92  36.21  35.89  36.14  872000  36.14
2013-12-27  35.94  36.1  35.76  36.0  656000  36.0
2013-12-26  36.1  36.18  35.8  35.95  767600  35.95
2013-12-24  35.86  36.14  35.67  36.04  373500  36.04
2013-12-23  36.28  36.44  35.8  35.86  1715600  35.86
2013-12-20  35.88  36.43  35.86  36.15  3266300  36.15
2013-12-19  35.8  35.85  35.37  35.79  1706100  35.79
2013-12-18  35.26  35.96  34.84  35.9  1906000  35.9
2013-12-17  35.23  35.46  35.11  35.25  1365300  35.25
2013-12-16  35.07  35.43  35.07  35.25  2542800  35.25
2013-12-13  35.22  35.24  34.92  35.02  1489400  35.02
2013-12-12  34.77  35.34  34.71  35.12  2299700  35.12
2013-12-11  35.29  35.38  34.78  34.81  1512600  34.81
2013-12-10  35.69  35.78  35.2  35.24  2581100  35.24
2013-12-09  36.04  36.16  35.65  35.72  1956900  35.72
2013-12-06  35.88  36.24  35.52  36.04  1790400  36.04
2013-12-05  36.01  36.1  35.62  35.69  1704900  35.69
2013-12-04  35.71  36.19  35.58  36.15  1427400  36.15
2013-12-03  35.57  35.92  35.47  35.91  1987300  35.91
2013-12-02  35.53  35.84  35.17  35.66  1427700  35.66
2013-11-29  35.53  35.69  35.39  35.46  766700  35.46
2013-11-27  35.86  35.97  35.42  35.58  948800  35.58
2013-11-26  36.13  36.24  35.81  35.82  1370800  35.82
2013-11-25  36.39  36.48  36.12  36.19  791200  36.19
2013-11-22  36.3  36.52  36.19  36.27  1858700  36.27
2013-11-21  36.28  36.9  36.03  36.34  2145600  36.34
2013-11-20  36.52  36.72  36.24  36.27  1519100  36.27
2013-11-19  36.53  36.73  36.4  36.56  1371300  36.56
2013-11-18  36.54  36.79  36.34  36.62  1309800  36.62
2013-11-15  36.15  36.54  36.04  36.54  1253000  36.54
2013-11-14  35.9  36.56  35.74  36.27  2148500  36.27
2013-11-13  35.33  35.78  34.87  35.78  1246300  35.78
2013-11-12  35.87  35.93  35.31  35.58  1004700  35.58
2013-11-11  36.0  36.06  35.75  35.96  1034000  35.96
2013-11-08  35.72  36.04  35.13  36.01  1644600  36.01
2013-11-07  36.1  36.44  35.77  35.86  1190800  35.86
2013-11-06  35.85  36.24  35.82  36.23  971300  36.23
