Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  13.8  13.86  13.57  13.65  9202800  13.65
2014-02-27  14.08  14.1  13.74  13.78  10288000  13.78
2014-02-26  14.17  14.37  14.02  14.17  9411200  14.17
2014-02-25  14.26  14.39  14.15  14.29  4971900  14.29
2014-02-24  14.62  14.68  14.23  14.27  9062200  14.27
2014-02-21  14.53  14.78  14.46  14.63  4392900  14.63
2014-02-20  14.37  14.76  14.37  14.52  5707300  14.52
2014-02-19  14.67  14.81  14.36  14.41  6897500  14.41
2014-02-18  14.65  14.94  14.62  14.76  4366100  14.76
2014-02-14  14.44  14.62  14.42  14.62  2871900  14.62
2014-02-13  14.21  14.6  14.2  14.49  3640600  14.49
2014-02-12  14.33  14.36  14.17  14.31  4655900  14.31
2014-02-11  14.05  14.49  14.03  14.33  4940400  14.33
2014-02-10  14.02  14.11  13.82  14.05  3095300  14.05
2014-02-07  14.0  14.1  13.92  14.06  3439100  14.06
2014-02-06  13.85  13.99  13.79  13.96  3388800  13.96
2014-02-05  13.74  13.92  13.58  13.84  3564300  13.84
2014-02-04  13.76  13.89  13.62  13.83  4359500  13.83
2014-02-03  14.06  14.22  13.68  13.71  5421100  13.71
2014-01-31  13.78  14.1  13.71  14.06  7542400  14.06
2014-01-30  13.8  13.97  13.73  13.95  3184900  13.95
2014-01-29  13.75  13.91  13.63  13.7  7127300  13.7
2014-01-28  13.6  13.92  13.57  13.92  5337000  13.92
2014-01-27  13.67  13.7  13.37  13.59  8703400  13.59
2014-01-24  14.08  14.08  13.49  13.67  12287800  13.67
2014-01-23  14.3  14.35  14.01  14.14  5266300  14.14
2014-01-22  14.38  14.54  14.34  14.42  3384100  14.42
2014-01-21  14.41  14.5  14.23  14.38  4683800  14.38
2014-01-17  14.31  14.39  14.22  14.25  3437900  14.25
2014-01-16  14.23  14.32  14.13  14.26  4247100  14.26
2014-01-15  14.4  14.42  14.18  14.25  5268500  14.25
2014-01-14  14.22  14.4  14.13  14.39  4268300  14.39
2014-01-13  14.4  14.46  14.16  14.21  4807200  14.21
2014-01-10  14.45  14.65  14.43  14.48  4807700  14.48
2014-01-09  14.31  14.49  14.22  14.41  5359500  14.41
2014-01-08  14.49  14.56  14.16  14.25  6992400  14.25
2014-01-07  14.31  14.75  14.31  14.54  10596900  14.54
2014-01-06  14.29  14.4  14.08  14.29  5067000  14.29
2014-01-03  14.23  14.3  14.06  14.15  4104700  14.15
2014-01-02  14.46  14.51  14.14  14.22  3987200  14.22
2013-12-31  14.4  14.5  14.34  14.46  2330800  14.46
2013-12-30  14.43  14.47  14.23  14.41  4131800  14.41
2013-12-27  14.46  14.55  14.31  14.4  2515100  14.4
2013-12-26  14.42  14.59  14.4  14.41  2892100  14.41
2013-12-24  14.31  14.48  14.18  14.42  1851900  14.42
2013-12-23  14.32  14.44  14.29  14.34  4803000  14.34
2013-12-20  14.12  14.36  14.09  14.27  9718700  14.27
2013-12-19  14.09  14.19  13.98  14.07  5860800  14.07
2013-12-18  14.0  14.22  13.76  14.16  7681100  14.16
2013-12-17  13.94  14.01  13.79  13.89  6803400  13.89
2013-12-16  13.77  14.06  13.7  13.91  9762600  13.91
2013-12-13  13.48  13.9  13.44  13.63  37696900  13.63
2013-12-12  13.97  14.22  13.72  13.8  14114500  13.8
2013-12-11  14.42  14.52  14.23  14.27  5386500  14.27
2013-12-10  14.64  14.7  14.39  14.44  5185500  14.44
2013-12-09  14.99  15.01  14.62  14.66  4751100  14.66
2013-12-06  14.83  15.09  14.73  14.97  7457300  14.97
2013-12-05  15.21  15.24  14.63  14.69  11045800  14.69
2013-12-04  14.77  15.48  14.67  15.25  13164800  15.25
2013-12-03  14.36  14.84  14.3  14.83  7908600  14.83
2013-12-02  14.52  14.65  14.4  14.42  3855900  14.42
2013-11-29  14.4  14.61  14.35  14.52  2144900  14.52
2013-11-27  14.45  14.5  14.26  14.42  3496600  14.42
2013-11-26  14.45  14.5  14.23  14.38  3802300  14.38
2013-11-25  14.62  14.68  14.45  14.48  3494500  14.48
2013-11-22  14.55  14.68  14.5  14.57  3777100  14.57
2013-11-21  14.65  14.72  14.55  14.58  3720300  14.58
2013-11-20  14.7  14.78  14.52  14.54  4933700  14.54
2013-11-19  14.92  14.98  14.6  14.65  7229000  14.65
2013-11-18  15.23  15.25  14.89  14.91  5661700  14.91
2013-11-15  15.11  15.24  14.95  15.22  6125700  15.22
2013-11-14  15.1  15.19  14.95  15.14  7375400  15.14
2013-11-13  14.73  15.07  14.6  15.06  7122300  15.06
2013-11-12  14.48  14.88  14.46  14.81  11397800  14.81
2013-11-11  14.14  14.51  14.1  14.51  6251600  14.51
2013-11-08  13.69  14.19  13.56  14.16  6265800  14.16
2013-11-07  14.04  14.31  13.57  13.65  6617100  13.65
2013-11-06  13.91  14.04  13.88  14.0  3820100  14.0
2013-11-05  13.99  14.04  13.88  13.91  4566600  13.91
2013-11-04  14.0  14.15  13.89  14.07  6881700  14.07
2013-11-01  14.03  14.12  13.87  13.94  5283600  13.94
2013-10-31  14.17  14.24  13.92  14.04  4648600  14.04
2013-10-30  14.28  14.44  14.08  14.19  3010200  14.19
2013-10-29  14.3  14.37  14.18  14.21  2169300  14.21
2013-10-28  14.22  14.31  14.12  14.26  4283000  14.26
2013-10-25  14.01  14.25  13.94  14.22  2466000  14.22
2013-10-24  13.98  14.1  13.88  13.98  3740400  13.98
2013-10-23  14.17  14.27  13.92  13.96  4324600  13.96
2013-10-22  14.19  14.33  14.16  14.21  4098100  14.21
2013-10-21  14.1  14.28  14.05  14.13  3700800  14.13
2013-10-18  14.01  14.23  13.95  14.12  3790200  14.12
2013-10-17  13.64  14.12  13.59  13.97  6067900  13.97
2013-10-16  13.52  13.71  13.48  13.66  3055100  13.66
2013-10-15  13.65  13.72  13.42  13.45  2888200  13.45
2013-10-14  13.54  13.73  13.37  13.72  3896300  13.72
2013-10-11  13.47  13.64  13.41  13.6  2375300  13.6
2013-10-10  13.22  13.48  13.12  13.46  4400200  13.46
2013-10-09  13.24  13.29  13.11  13.14  4135700  13.14
2013-10-08  13.28  13.49  13.18  13.21  3388300  13.21
2013-10-07  13.2  13.29  13.16  13.2  2716200  13.2
2013-10-04  13.18  13.38  13.11  13.29  2664900  13.29
2013-10-03  13.22  13.25  13.07  13.16  2856900  13.16
2013-10-02  13.26  13.32  13.13  13.26  3229400  13.26
2013-10-01  13.24  13.36  13.17  13.29  2272600  13.29
2013-09-30  13.3  13.34  13.15  13.2  3764000  13.2
2013-09-27  13.47  13.53  13.28  13.38  2771300  13.38
2013-09-26  13.43  13.56  13.4  13.5  2705500  13.5
2013-09-25  13.45  13.57  13.19  13.42  3453100  13.42
2013-09-24  13.44  13.51  13.33  13.43  4684200  13.43
2013-09-23  13.22  13.49  13.22  13.42  5136200  13.42
2013-09-20  13.49  13.51  13.26  13.29  4232000  13.29
2013-09-19  13.61  13.68  13.42  13.5  2635900  13.5
2013-09-18  13.2  13.66  13.12  13.56  4670800  13.56
2013-09-17  13.29  13.37  13.21  13.23  5708200  13.23
2013-09-16  13.31  13.46  13.17  13.26  4866500  13.26
2013-09-13  13.28  13.35  13.14  13.18  3764200  13.18
2013-09-12  13.37  13.4  13.19  13.29  3657500  13.29
2013-09-11  13.49  13.49  13.28  13.34  4061700  13.34
2013-09-10  13.3  13.48  13.26  13.48  5811600  13.48
2013-09-09  13.01  13.23  12.99  13.2  4148400  13.2
2013-09-06  12.67  13.28  12.67  13.01  10308800  13.01
2013-09-05  12.51  12.65  12.51  12.63  2394300  12.63
2013-09-04  12.64  12.67  12.47  12.56  2562300  12.56
2013-09-03  12.79  12.86  12.56  12.62  3430600  12.62
2013-08-30  12.72  12.78  12.57  12.63  3229600  12.63
2013-08-29  12.78  12.88  12.64  12.7  1931200  12.7
2013-08-28  12.64  12.84  12.59  12.78  3171600  12.78
2013-08-27  12.71  12.85  12.63  12.65  5698100  12.65
2013-08-26  12.85  12.98  12.75  12.87  5002600  12.87
2013-08-23  12.87  12.89  12.71  12.83  2044600  12.83
2013-08-22  12.57  12.86  12.52  12.8  3461000  12.8
2013-08-21  12.57  12.64  12.44  12.54  3547300  12.54
2013-08-20  12.45  12.64  12.31  12.61  3770200  12.61
2013-08-19  12.51  12.56  12.3  12.41  4464800  12.41
2013-08-16  12.7  12.7  12.47  12.58  2733000  12.58
2013-08-15  12.82  12.86  12.66  12.73  3644500  12.73
2013-08-14  12.87  12.99  12.79  12.91  3424300  12.91
2013-08-13  13.03  13.03  12.81  12.89  4810200  12.89
2013-08-12  12.98  13.04  12.92  13.0  3170700  13.0
2013-08-09  13.03  13.25  13.0  13.01  3605600  13.01
2013-08-08  12.81  13.3  12.7  13.05  5706200  13.05
2013-08-07  12.6  12.8  12.51  12.79  4572700  12.79
2013-08-06  12.62  12.74  12.57  12.68  5994600  12.68
2013-08-05  12.49  12.74  12.45  12.7  4252400  12.7
2013-08-02  12.58  12.62  12.41  12.58  2713900  12.58
2013-08-01  12.45  12.62  12.32  12.58  3259700  12.58
2013-07-31  12.27  12.51  12.16  12.36  4778400  12.36
2013-07-30  12.37  12.4  12.26  12.3  3755300  12.3
2013-07-29  12.35  12.42  12.27  12.28  2804900  12.28
2013-07-26  12.26  12.37  12.2  12.36  2518700  12.36
2013-07-25  12.25  12.35  12.13  12.33  3674300  12.33
2013-07-24  12.6  12.6  12.2  12.3  2570000  12.3
2013-07-23  12.56  12.7  12.43  12.64  2056500  12.64
2013-07-22  12.7  12.75  12.54  12.56  2993600  12.56
2013-07-19  12.61  12.78  12.59  12.71  3721600  12.71
2013-07-18  12.62  12.71  12.6  12.63  3592700  12.63
2013-07-17  12.74  12.78  12.55  12.62  3123800  12.62
2013-07-16  12.72  12.77  12.6  12.65  3469600  12.65
2013-07-15  12.48  12.78  12.46  12.75  3748400  12.75
2013-07-12  12.38  12.5  12.33  12.48  3330800  12.48
2013-07-11  12.29  12.42  12.27  12.41  4191200  12.41
2013-07-10  11.89  12.16  11.86  12.14  6342200  12.14
2013-07-09  11.86  11.99  11.85  11.91  5249200  11.91
2013-07-08  11.78  11.9  11.77  11.81  4803900  11.81
2013-07-05  11.76  11.8  11.61  11.75  3694300  11.75
2013-07-03  11.59  11.86  11.51  11.72  2864900  11.72
2013-07-02  11.79  11.93  11.66  11.7  5972000  11.7
2013-07-01  12.0  12.0  11.74  11.79  5311800  11.79
2013-06-28  11.86  11.99  11.75  11.87  7134900  11.87
2013-06-27  11.85  11.98  11.78  11.84  7370700  11.84
2013-06-26  11.64  11.86  11.6  11.8  5247600  11.8
2013-06-25  11.4  11.67  11.29  11.56  6100000  11.56
2013-06-24  11.27  11.48  11.13  11.3  5858200  11.3
2013-06-21  11.4  11.5  11.06  11.37  7723500  11.37
2013-06-20  11.52  11.63  11.27  11.32  7258000  11.32
2013-06-19  12.02  12.06  11.57  11.57  7135400  11.57
2013-06-18  12.16  12.18  12.02  12.05  7075900  12.05
2013-06-17  12.3  12.36  12.06  12.13  4514300  12.13
2013-06-14  12.29  12.38  12.17  12.24  2304400  12.24
2013-06-13  12.05  12.29  12.0  12.27  3163100  12.27
2013-06-12  12.28  12.31  11.98  12.06  3640800  12.06
2013-06-11  12.04  12.27  11.94  12.19  4736500  12.19
2013-06-10  12.39  12.43  12.12  12.14  3919100  12.14
2013-06-07  12.2  12.49  12.16  12.39  4139200  12.39
2013-06-06  11.94  12.21  11.9  12.16  5945900  12.16
2013-06-05  12.09  12.13  11.9  11.95  4877000  11.95
2013-06-04  12.19  12.26  12.06  12.16  6288900  12.16
2013-06-03  12.09  12.27  11.92  12.17  7857800  12.17
2013-05-31  12.16  12.39  12.08  12.08  5623100  12.08
2013-05-30  12.28  12.54  12.18  12.19  4496400  12.19
2013-05-29  12.21  12.31  11.95  12.25  6643300  12.25
2013-05-28  12.63  12.65  12.15  12.3  7682500  12.3
2013-05-24  12.68  12.71  12.48  12.54  2892400  12.54
2013-05-23  12.63  12.86  12.43  12.78  5943900  12.78
2013-05-22  12.89  13.12  12.63  12.72  7910800  12.72
2013-05-21  12.8  12.92  12.71  12.87  8428200  12.87
2013-05-20  12.86  12.9  12.73  12.81  4060700  12.81
2013-05-17  12.75  12.87  12.73  12.86  4908300  12.86
2013-05-16  12.89  12.94  12.66  12.74  8298400  12.74
2013-05-15  13.01  13.14  12.85  12.95  10861600  12.95
2013-05-14  12.89  13.15  12.85  13.0  5578600  13.0
2013-05-13  13.11  13.11  12.83  12.88  5855100  12.88
2013-05-10  12.87  13.19  12.6  13.18  12089500  13.18
2013-05-09  13.65  13.66  13.05  13.09  7820500  13.09
2013-05-08  13.79  13.87  13.65  13.77  4829200  13.77
2013-05-07  13.7  13.85  13.63  13.83  5013500  13.83
2013-05-06  13.68  13.73  13.57  13.7  2747200  13.7
2013-05-03  13.78  13.85  13.66  13.69  4678400  13.69
2013-05-02  13.73  13.75  13.57  13.7  3763500  13.7
2013-05-01  13.73  13.81  13.61  13.67  3918100  13.67
2013-04-30  13.56  13.81  13.49  13.73  10961000  13.73
2013-04-29  13.37  13.61  13.32  13.53  6864000  13.53
2013-04-26  13.32  13.41  13.2  13.3  8188000  13.3
2013-04-25  13.09  13.43  12.99  13.29  7344100  13.29
2013-04-24  13.01  13.11  12.9  13.07  3718100  13.07
2013-04-23  12.83  13.03  12.73  12.98  4965100  12.98
2013-04-22  12.72  12.85  12.54  12.76  3847500  12.76
2013-04-19  12.37  12.72  12.37  12.71  5083200  12.71
2013-04-18  12.48  12.52  12.37  12.46  6448900  12.46
2013-04-17  12.62  12.64  12.31  12.48  9794700  12.48
2013-04-16  12.59  12.74  12.55  12.71  3786200  12.71
2013-04-15  12.91  13.03  12.5  12.53  5645000  12.53
2013-04-12  12.71  12.94  12.69  12.94  4166000  12.94
2013-04-11  12.71  12.82  12.69  12.77  4612400  12.77
2013-04-10  12.57  12.77  12.51  12.69  5271900  12.69
2013-04-09  12.48  12.56  12.35  12.48  6840400  12.48
2013-04-08  12.24  12.45  12.2  12.43  8949000  12.43
2013-04-05  12.21  12.42  12.2  12.27  6562800  12.27
2013-04-04  12.31  12.46  12.29  12.37  3259000  12.37
2013-04-03  12.36  12.41  12.25  12.3  4900500  12.3
2013-04-02  12.38  12.39  12.27  12.35  3064000  12.35
2013-04-01  12.41  12.45  12.23  12.35  3016500  12.35
2013-03-28  12.41  12.45  12.31  12.41  4020600  12.41
2013-03-27  12.17  12.39  12.1  12.38  4543500  12.38
2013-03-26  12.23  12.35  12.18  12.23  5049500  12.23
2013-03-25  12.34  12.39  12.1  12.15  6163200  12.15
2013-03-22  12.31  12.35  12.21  12.25  5071800  12.25
2013-03-21  12.47  12.53  12.26  12.26  4838200  12.26
