Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  63.39  64.48  63.38  64.08  2534700  64.08
2014-02-27  62.5  63.4  62.49  63.38  1530500  63.38
2014-02-26  62.78  62.99  62.41  62.6  1480400  62.6
2014-02-25  62.33  62.84  62.15  62.52  1827700  62.52
2014-02-24  62.26  62.88  62.26  62.3  1881200  62.3
2014-02-21  62.97  63.0  62.13  62.32  2372300  62.32
2014-02-20  62.57  63.06  62.34  62.92  1529000  62.92
2014-02-19  62.74  63.65  62.4  62.44  1585700  62.44
2014-02-18  63.09  63.15  62.84  63.03  1389700  63.03
2014-02-14  62.67  63.25  62.66  63.13  1479500  63.13
2014-02-13  62.18  62.82  62.0  62.79  1303400  62.79
2014-02-12  62.33  62.95  62.3  62.75  1617900  62.75
2014-02-11  62.05  62.25  61.42  62.04  2350000  62.04
2014-02-10  62.14  62.63  61.78  62.06  1874000  62.06
2014-02-07  61.41  62.42  61.12  62.31  2314600  62.31
2014-02-06  61.23  61.63  61.0  61.36  2172100  61.36
2014-02-05  61.53  61.94  60.09  61.39  2716100  61.39
2014-02-04  60.62  61.28  60.45  61.11  2436700  61.11
2014-02-03  62.49  62.55  60.33  60.36  3034100  60.36
2014-01-31  61.87  62.98  61.65  62.41  2203400  62.41
2014-01-30  62.18  62.98  62.08  62.83  1574000  62.83
2014-01-29  61.37  62.48  61.36  61.75  2498200  61.75
2014-01-28  61.47  62.17  61.47  62.08  1788200  62.08
2014-01-27  61.81  62.2  60.97  61.42  2818300  61.42
2014-01-24  62.91  63.23  61.92  61.92  3171900  61.92
2014-01-23  63.82  63.92  62.88  63.18  2022700  63.18
2014-01-22  64.48  64.61  63.87  64.02  1396100  64.02
2014-01-21  64.54  64.9  64.03  64.45  2177600  64.45
2014-01-17  64.43  65.09  64.24  64.33  2144400  64.33
2014-01-16  64.41  64.77  64.17  64.45  1658300  64.45
2014-01-15  64.33  64.73  64.3  64.56  2019900  64.56
2014-01-14  64.01  64.43  63.84  64.32  1777800  64.32
2014-01-13  64.45  64.62  63.62  63.72  2409800  63.72
2014-01-10  64.19  64.87  63.72  64.78  1837200  64.78
2014-01-09  64.31  64.47  63.71  63.89  2311900  63.89
2014-01-08  64.6  64.79  64.03  64.25  1725900  64.25
2014-01-07  64.64  65.14  64.48  64.7  1913100  64.7
2014-01-06  65.81  65.89  63.94  64.5  4244200  64.5
2014-01-03  65.69  66.15  65.66  65.76  1279100  65.76
2014-01-02  66.24  66.3  65.42  65.57  1914700  65.57
2013-12-31  66.47  66.61  66.18  66.4  1210100  66.4
2013-12-30  66.85  67.21  66.25  66.29  1950600  66.29
2013-12-27  66.75  66.98  66.47  66.85  990300  66.85
2013-12-26  66.01  67.03  65.92  66.71  1313400  66.71
2013-12-24  65.84  66.15  65.76  66.09  884100  66.09
2013-12-23  65.7  66.21  65.6  65.96  2238300  65.96
2013-12-20  65.53  66.1  65.16  65.26  4240400  65.26
2013-12-19  65.85  66.01  65.51  65.61  2466100  65.61
2013-12-18  65.88  66.29  65.09  66.2  3184700  66.2
2013-12-17  65.98  66.05  65.48  65.62  1446700  65.62
2013-12-16  65.79  66.23  65.58  65.97  1451900  65.97
2013-12-13  65.53  65.86  65.22  65.57  1316300  65.57
2013-12-12  65.43  65.6  65.15  65.25  2286000  65.25
2013-12-11  65.86  65.86  65.2  65.33  1913700  65.33
2013-12-10  65.83  66.0  65.61  65.88  1694000  65.88
2013-12-09  66.19  66.42  65.85  66.06  1692400  66.06
2013-12-06  66.02  66.33  65.71  66.24  1460100  66.24
2013-12-05  65.06  65.96  64.96  65.31  1938900  65.31
2013-12-04  65.13  65.75  64.83  65.32  1674600  65.32
2013-12-03  65.63  65.92  64.74  65.15  2298000  65.15
2013-12-02  65.96  66.83  65.72  65.86  1886400  65.86
2013-11-29  66.17  66.57  65.96  65.98  941000  65.98
2013-11-27  66.28  66.31  65.87  66.05  1170100  66.05
2013-11-26  65.86  66.39  65.86  66.05  1612400  66.05
2013-11-25  66.11  66.42  65.72  65.83  1091500  65.83
2013-11-22  65.84  66.3  65.8  66.18  1379400  66.18
2013-11-21  65.83  66.4  65.69  66.15  1922700  66.15
2013-11-20  65.95  66.19  65.64  65.82  1378400  65.82
2013-11-19  66.51  66.62  65.83  65.89  1649000  65.89
2013-11-18  66.79  67.07  66.37  66.5  2248600  66.5
2013-11-15  66.43  66.75  65.66  66.71  2768800  66.71
2013-11-14  65.52  66.73  65.44  66.7  2148800  66.7
2013-11-13  64.65  65.52  64.5  65.52  2086400  65.52
2013-11-12  64.66  65.04  64.25  64.51  1709400  64.51
2013-11-11  64.82  65.24  64.75  64.93  1396000  64.93
2013-11-08  63.7  65.07  63.64  65.0  2731000  65.0
2013-11-07  64.18  64.84  63.49  63.53  2229000  63.53
2013-11-06  63.84  64.3  63.74  64.08  1797700  64.08
2013-11-05  64.26  64.32  63.65  63.72  2310900  63.72
2013-11-04  64.27  64.41  63.76  64.32  2504900  64.32
2013-11-01  64.43  64.71  64.16  64.36  2028800  64.36
2013-10-31  64.03  64.59  63.91  64.24  3363800  64.24
2013-10-30  63.94  65.03  63.28  64.28  6336700  64.28
2013-10-29  65.92  66.24  65.76  66.24  1910700  66.24
2013-10-28  65.48  66.03  65.23  65.71  1634200  65.71
2013-10-25  65.35  65.58  65.11  65.55  1710600  65.55
2013-10-24  65.1  65.43  64.57  65.39  1305200  65.39
2013-10-23  65.2  65.26  64.39  64.86  1257200  64.86
2013-10-22  65.03  65.75  65.01  65.31  1711900  65.31
2013-10-21  64.71  65.12  64.32  64.75  2044100  64.75
2013-10-18  65.4  65.4  64.21  65.03  3546300  65.03
2013-10-17  64.74  65.43  64.58  65.36  1598900  65.36
2013-10-16  64.05  64.98  63.85  64.89  2453300  64.89
2013-10-15  63.48  64.04  63.37  63.6  1861300  63.6
2013-10-14  63.32  63.92  62.89  63.76  1131500  63.76
2013-10-11  62.91  63.77  62.74  63.75  1767700  63.75
2013-10-10  62.33  62.93  62.25  62.89  1601400  62.89
2013-10-09  61.56  61.83  61.25  61.57  1445300  61.57
2013-10-08  62.12  62.4  61.4  61.44  1848800  61.44
2013-10-07  62.45  62.75  62.2  62.2  1204700  62.2
2013-10-04  62.1  63.21  62.06  63.0  1574600  63.0
2013-10-03  62.19  62.47  61.47  62.19  1723300  62.19
2013-10-02  62.27  62.49  61.82  62.49  2030600  62.49
2013-10-01  61.9  62.71  61.89  62.7  2168200  62.7
2013-09-30  60.82  61.5  60.59  61.28  2110000  61.28
2013-09-27  61.37  61.78  61.24  61.5  1689100  61.5
2013-09-26  61.45  61.94  61.38  61.8  1438200  61.8
2013-09-25  61.44  61.75  61.19  61.5  1436800  61.5
2013-09-24  61.22  61.8  61.18  61.31  2586500  61.31
2013-09-23  61.3  61.73  61.05  61.3  1906900  61.3
2013-09-20  61.56  61.95  61.3  61.61  2580200  61.61
2013-09-19  62.24  62.28  61.23  61.45  2967200  61.45
2013-09-18  61.39  62.24  61.16  62.15  2790800  62.15
2013-09-17  61.16  61.59  61.12  61.51  1361300  61.51
2013-09-16  61.32  61.43  60.97  61.17  2151900  61.17
2013-09-13  60.37  60.47  60.18  60.35  1904000  60.35
2013-09-12  60.21  60.49  59.82  60.18  1702900  60.18
2013-09-11  59.27  60.26  59.16  60.13  2182100  60.13
2013-09-10  58.78  59.37  58.59  59.24  1756000  59.24
2013-09-09  57.86  58.38  57.72  58.38  1639300  58.38
2013-09-06  58.35  58.35  57.11  57.72  1471700  57.72
2013-09-05  58.22  58.65  58.1  58.25  1068000  58.25
2013-09-04  57.59  58.71  57.46  58.28  1591000  58.28
2013-09-03  57.86  58.48  56.97  57.5  1437700  57.5
2013-08-30  57.42  57.54  56.89  57.13  1776900  57.13
2013-08-29  57.09  57.77  56.71  57.26  1349200  57.26
2013-08-28  57.23  57.72  57.08  57.11  1632300  57.11
2013-08-27  58.02  58.06  57.09  57.1  2194400  57.1
2013-08-26  59.19  59.36  58.68  58.69  1191700  58.69
2013-08-23  59.36  59.54  58.85  59.15  1264500  59.15
2013-08-22  58.84  59.5  58.74  59.26  1239800  59.26
2013-08-21  59.11  59.11  58.31  58.6  1719000  58.6
2013-08-20  58.81  59.34  58.36  59.14  1204400  59.14
2013-08-19  59.31  59.47  58.79  58.81  2132900  58.81
2013-08-16  59.21  59.77  59.09  59.51  2546600  59.51
2013-08-15  59.92  60.1  59.14  59.36  2437600  59.36
2013-08-14  60.84  60.92  60.34  60.63  1652000  60.63
2013-08-13  60.5  60.99  60.16  60.89  1536400  60.89
