Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  128.5  129.48  126.09  127.0  2441500  127.0
2014-02-27  126.39  128.61  126.02  128.55  2787400  128.55
2014-02-26  125.41  128.4  125.18  127.29  3207300  127.29
2014-02-25  124.42  125.55  124.27  125.49  1654900  125.49
2014-02-24  123.8  126.18  123.36  124.45  2376200  124.45
2014-02-21  126.86  127.03  124.83  125.02  1794700  125.02
2014-02-20  125.82  127.35  124.78  127.2  1966100  127.2
2014-02-19  125.08  127.93  124.75  124.95  2867900  124.95
2014-02-18  123.64  126.72  123.02  125.54  2591800  125.54
2014-02-14  124.95  125.39  123.85  124.52  1927600  124.52
2014-02-13  122.14  124.99  121.95  124.92  2417900  124.92
2014-02-12  122.7  124.88  122.58  123.16  2678100  123.16
2014-02-11  121.78  123.07  118.95  122.66  2935800  122.66
2014-02-10  118.7  123.74  118.44  122.91  4582100  122.91
2014-02-07  116.87  118.83  115.69  118.79  2405500  118.79
2014-02-06  116.93  118.45  116.26  117.32  2353200  117.32
2014-02-05  115.51  116.51  110.57  115.15  3295600  115.15
2014-02-04  113.64  115.79  113.56  114.64  2339300  114.64
2014-02-03  114.96  115.89  111.91  112.22  2363300  112.22
2014-01-31  113.63  115.79  112.87  114.55  2541200  114.55
2014-01-30  115.42  116.02  114.57  115.06  1816500  115.06
2014-01-29  113.65  115.68  113.2  114.19  1834400  114.19
2014-01-28  113.75  115.21  112.39  113.94  2364900  113.94
2014-01-27  115.2  115.62  113.6  113.85  1851100  113.85
2014-01-24  115.95  116.58  114.15  114.82  3014300  114.82
2014-01-23  117.69  117.69  114.11  116.31  3310100  116.31
2014-01-22  117.73  119.75  115.47  118.47  4830600  118.47
2014-01-21  120.85  121.48  118.98  120.02  1928100  120.02
2014-01-17  123.78  123.78  119.89  120.1  2622700  120.1
2014-01-16  121.29  121.39  117.89  119.77  3358500  119.77
2014-01-15  121.01  123.39  120.9  121.85  3311600  121.85
2014-01-14  114.79  121.3  113.77  121.17  5954300  121.17
2014-01-13  114.41  115.44  113.97  114.37  1723700  114.37
2014-01-10  114.73  115.95  114.33  115.14  1602100  115.14
2014-01-09  114.6  114.96  113.48  114.62  1474100  114.62
2014-01-08  112.66  115.99  112.52  114.5  2346400  114.5
2014-01-07  111.56  112.63  111.56  112.51  1777200  112.51
2014-01-06  112.12  112.46  110.49  110.78  2343200  110.78
2014-01-03  110.71  112.12  110.65  112.02  1798700  112.02
2014-01-02  110.71  111.21  109.6  110.24  2399500  110.24
2013-12-31  110.71  111.41  109.48  111.04  1409100  111.04
2013-12-30  110.69  111.03  110.42  110.71  1352200  110.71
2013-12-27  109.86  110.84  109.48  110.81  1611600  110.81
2013-12-26  108.57  109.89  108.27  109.86  1179000  109.86
2013-12-24  108.6  109.1  107.99  108.58  1363100  108.58
2013-12-23  107.9  108.63  106.22  107.35  2560900  107.35
2013-12-20  104.71  109.85  104.71  107.69  7523600  107.69
2013-12-19  100.84  106.52  100.42  103.72  5678800  103.72
2013-12-18  98.96  101.26  98.74  101.09  2526400  101.09
2013-12-17  99.96  100.1  98.34  99.03  2619600  99.03
2013-12-16  97.21  100.69  97.21  100.19  3629100  100.19
2013-12-13  96.77  96.94  95.85  96.53  1269400  96.53
2013-12-12  95.98  97.42  95.43  96.79  1983200  96.79
2013-12-11  97.69  97.95  95.43  95.61  1233700  95.61
2013-12-10  97.82  97.94  96.96  97.37  882300  97.37
2013-12-09  98.41  98.48  97.62  98.0  1401500  98.0
2013-12-06  97.98  98.55  97.85  98.16  1634800  98.16
2013-12-05  95.43  96.74  95.3  96.46  1477100  96.46
2013-12-04  95.57  96.4  94.97  95.88  1483600  95.88
2013-12-03  96.24  96.24  94.94  95.95  1857800  95.95
2013-12-02  96.84  96.96  96.19  96.38  1294500  96.38
2013-11-29  97.36  97.64  96.67  97.01  550900  97.01
2013-11-27  97.33  97.9  97.14  97.23  794400  97.23
2013-11-26  97.83  97.99  97.33  97.35  1620400  97.35
2013-11-25  98.49  98.75  97.77  97.86  1637000  97.86
2013-11-22  98.97  99.12  98.23  98.53  1432400  98.53
2013-11-21  98.68  99.31  98.56  98.74  2670700  98.74
2013-11-20  98.23  98.73  98.13  98.55  2270300  98.55
2013-11-19  96.74  98.27  96.7  98.06  2812000  98.06
2013-11-18  96.46  97.18  95.52  96.98  2413300  96.98
2013-11-15  95.68  96.53  95.04  96.32  2355100  96.32
2013-11-14  94.59  95.48  94.3  95.32  2366500  95.32
2013-11-13  91.62  94.77  91.4  94.71  3666800  94.71
2013-11-12  90.68  91.7  89.66  91.62  1390100  91.62
2013-11-11  89.92  90.99  89.55  90.95  1519800  90.95
2013-11-08  88.49  89.98  88.33  89.87  2195200  89.87
2013-11-07  88.72  89.24  88.26  88.4  3071500  88.4
2013-11-06  89.86  89.97  88.33  88.72  3284900  88.72
2013-11-05  89.91  90.11  88.87  89.16  1227800  89.16
2013-11-04  90.75  90.82  89.72  90.03  2155000  90.03
2013-11-01  90.68  91.09  89.94  90.41  2283300  90.41
2013-10-31  91.25  91.5  90.52  90.53  1850400  90.53
2013-10-30  92.82  93.09  90.96  91.25  2305500  91.25
2013-10-29  94.1  94.13  91.9  92.61  3398900  92.61
2013-10-28  92.7  93.3  92.28  93.29  2750700  93.29
2013-10-25  92.91  92.91  91.83  92.73  2065800  92.73
2013-10-24  91.63  92.78  91.59  92.72  1866400  92.72
2013-10-23  91.7  92.3  91.15  91.49  1521200  91.49
2013-10-22  90.45  92.23  90.44  91.67  2111900  91.67
2013-10-21  90.82  90.9  90.07  90.39  1819500  90.39
2013-10-18  90.5  90.66  89.99  90.66  2401100  90.66
2013-10-17  89.71  90.67  89.54  90.61  2838500  90.61
2013-10-16  89.5  90.48  89.41  89.73  2744000  89.73
2013-10-15  90.06  90.42  89.58  89.63  2026100  89.63
2013-10-14  89.42  90.29  89.21  90.15  1972100  90.15
2013-10-11  89.67  90.25  89.43  89.88  1773400  89.88
2013-10-10  89.26  90.05  89.2  89.78  1589700  89.78
2013-10-09  89.59  90.32  88.28  88.45  2998200  88.45
2013-10-08  89.78  89.97  88.85  88.88  2264500  88.88
2013-10-07  90.01  90.53  89.76  90.06  1277700  90.06
2013-10-04  90.25  90.72  90.11  90.58  1716300  90.58
2013-10-03  90.3  90.62  89.88  90.18  1867400  90.18
2013-10-02  90.07  90.66  89.87  90.32  1536200  90.32
2013-10-01  90.24  91.0  90.2  90.69  1422600  90.69
2013-09-30  90.63  91.17  90.0  90.37  1763900  90.37
2013-09-27  91.34  91.51  90.69  90.96  2604100  90.96
2013-09-26  91.52  91.74  91.08  91.48  2048600  91.48
2013-09-25  91.59  91.68  90.77  91.62  2744300  91.62
2013-09-24  91.53  91.79  90.93  91.6  1994200  91.6
2013-09-23  92.56  92.61  91.03  91.62  2172300  91.62
2013-09-20  91.44  93.01  91.32  92.55  4655700  92.55
2013-09-19  89.11  91.49  88.97  91.12  3258000  91.12
2013-09-18  88.77  88.88  87.8  88.82  2062800  88.82
2013-09-17  89.09  89.92  88.81  88.88  1047900  88.88
2013-09-16  89.74  89.77  88.81  89.2  983900  89.2
2013-09-13  89.19  89.42  88.23  88.69  1251900  88.69
2013-09-12  88.14  89.31  87.67  88.78  2463400  88.78
2013-09-11  88.1  88.48  86.87  87.67  3410500  87.67
2013-09-10  89.57  89.77  88.56  88.71  1672100  88.71
2013-09-09  89.27  89.33  87.97  88.79  1162300  88.79
2013-09-06  89.21  90.07  88.55  89.13  1414000  89.13
2013-09-05  88.77  89.22  88.02  88.99  1174700  88.99
2013-09-04  89.69  89.78  88.72  88.79  1890900  88.79
2013-09-03  89.3  90.17  89.09  89.74  1375500  89.74
2013-08-30  88.42  88.68  87.94  88.3  1146000  88.3
2013-08-29  87.47  88.68  87.44  88.26  1076600  88.26
2013-08-28  87.68  88.63  87.43  87.87  1304300  87.87
2013-08-27  88.04  88.63  87.57  87.88  1184400  87.88
2013-08-26  89.42  90.32  89.01  89.07  1247100  89.07
2013-08-23  90.66  90.72  89.41  89.46  1261000  89.46
2013-08-22  90.19  91.02  90.15  90.72  828000  90.72
2013-08-21  91.53  91.53  89.95  90.25  2060600  90.25
2013-08-20  89.92  93.17  89.68  91.99  3149700  91.99
2013-08-19  87.51  89.07  87.51  88.7  1314100  88.7
2013-08-16  87.55  88.44  86.95  87.8  1540200  87.8
2013-08-15  89.89  89.94  87.48  87.97  2445900  87.97
2013-08-14  90.36  91.28  90.28  90.47  979600  90.47
2013-08-13  90.94  91.13  89.35  90.32  2418400  90.32
2013-08-12  90.61  91.73  90.45  90.94  1043600  90.94
2013-08-09  91.83  92.45  90.92  90.97  1161700  90.97
2013-08-08  90.53  92.32  90.43  92.16  1454800  92.16
2013-08-07  90.43  91.15  90.16  90.2  1295000  90.2
2013-08-06  91.87  92.01  90.63  90.71  1797700  90.71
2013-08-05  91.36  92.83  91.36  91.86  1585500  91.86
2013-08-02  91.26  91.87  91.15  91.63  1790600  91.63
2013-08-01  91.63  92.79  90.89  91.14  2463400  91.14
2013-07-31  91.37  92.97  90.19  90.99  4001700  90.99
2013-07-30  90.73  91.4  90.12  90.88  2555900  90.88
2013-07-29  91.94  91.94  89.95  90.13  2291300  90.13
2013-07-26  90.86  92.21  90.16  92.12  1320100  92.12
2013-07-25  90.35  92.11  90.35  91.43  1704900  91.43
2013-07-24  90.83  91.56  89.96  90.29  1454700  90.29
2013-07-23  91.1  91.5  90.23  90.46  1335500  90.46
2013-07-22  91.75  92.16  90.36  90.77  1758700  90.77
2013-07-19  91.85  92.01  89.88  91.83  1607000  91.83
2013-07-18  91.35  92.25  91.13  91.66  1682600  91.66
2013-07-17  90.19  92.69  90.05  91.19  1976300  91.19
2013-07-16  92.06  92.06  89.27  90.01  2753500  90.01
2013-07-15  90.72  92.36  89.92  92.23  1914200  92.23
2013-07-12  89.84  90.43  89.35  90.38  2122500  90.38
2013-07-11  91.16  91.7  88.98  89.3  3281100  89.3
2013-07-10  87.77  89.29  87.62  89.19  3191100  89.19
2013-07-09  85.96  87.49  85.7  87.12  3095200  87.12
2013-07-08  84.71  87.32  84.71  85.52  2556600  85.52
2013-07-05  84.19  85.18  83.83  84.23  1947500  84.23
2013-07-03  83.45  84.71  83.11  84.12  2174400  84.12
2013-07-02  83.55  84.71  82.43  84.51  2853600  84.51
2013-07-01  85.21  85.21  83.64  83.78  2463600  83.78
2013-06-28  85.31  85.51  83.92  84.12  3694700  84.12
2013-06-27  86.93  87.58  84.98  85.3  4101300  85.3
2013-06-26  85.63  87.58  85.27  86.68  5143800  86.68
2013-06-25  83.26  86.57  83.03  85.12  8935300  85.12
2013-06-24  87.44  88.11  81.21  81.87  15498900  81.87
2013-06-21  94.9  95.37  90.71  92.56  11773400  92.56
2013-06-20  98.74  98.99  95.76  96.1  2357800  96.1
2013-06-19  101.41  101.44  99.1  99.13  2141900  99.13
2013-06-18  101.65  102.02  100.51  101.34  1873400  101.34
2013-06-17  101.33  102.79  100.85  101.33  2387800  101.33
2013-06-14  101.35  101.7  100.52  100.99  1135900  100.99
2013-06-13  100.04  101.43  99.49  101.38  1934100  101.38
2013-06-12  100.87  101.95  100.08  100.09  1335500  100.09
2013-06-11  98.96  101.24  98.47  100.24  1634300  100.24
2013-06-10  99.7  100.24  99.0  100.04  1522600  100.04
2013-06-07  99.32  100.59  99.02  99.6  1934100  99.6
2013-06-06  97.3  99.2  96.66  99.2  2125900  99.2
2013-06-05  98.3  98.74  96.81  97.11  1285900  97.11
2013-06-04  98.96  99.58  97.85  98.32  1462300  98.32
2013-06-03  99.35  99.82  97.35  98.79  2687000  98.79
2013-05-31  100.5  101.32  99.29  99.34  2236900  99.34
2013-05-30  100.17  102.18  100.17  100.92  2226600  100.92
2013-05-29  99.51  101.35  98.98  99.87  2660100  99.87
2013-05-28  99.36  100.38  98.4  99.56  2773600  99.56
2013-05-24  97.44  98.43  96.74  97.88  1833800  97.88
2013-05-23  96.79  98.48  96.62  97.82  4355500  97.82
2013-05-22  98.38  99.19  97.32  97.59  2802700  97.59
2013-05-21  98.68  99.5  97.71  98.39  3800000  98.39
2013-05-20  101.19  101.19  97.97  98.3  2585800  98.3
2013-05-17  100.36  101.23  99.42  101.21  2566600  101.21
2013-05-16  102.3  102.3  99.89  100.22  2663000  100.22
2013-05-15  103.2  103.87  102.52  102.62  2621500  102.62
2013-05-14  103.51  104.59  102.93  103.57  1909600  103.57
2013-05-13  103.7  104.0  103.15  103.65  1300000  103.65
2013-05-10  103.67  104.25  102.85  103.97  1511700  103.97
2013-05-09  103.26  104.1  102.63  102.95  1482600  102.95
2013-05-08  104.57  105.01  102.94  103.1  2135800  103.1
2013-05-07  104.72  104.72  103.97  104.53  1967000  104.53
2013-05-06  104.9  105.09  103.4  104.08  2328800  104.08
