Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  49.31  50.2  49.2  49.77  11428800  49.77
2014-02-27  48.7  49.36  48.46  49.31  9634600  49.31
2014-02-26  48.99  49.01  48.28  48.72  13389700  48.72
2014-02-25  49.45  49.46  48.81  49.01  9343400  49.01
2014-02-24  49.1  49.8  49.0  49.45  10042200  49.45
2014-02-21  49.23  49.3  48.98  48.98  10718800  48.98
2014-02-20  49.2  49.47  48.91  49.22  9824800  49.22
2014-02-19  49.96  50.23  49.18  49.25  10267300  49.25
2014-02-18  49.15  50.43  49.0  50.17  14941000  50.17
2014-02-14  48.9  49.23  48.0  48.98  26846200  48.98
2014-02-13  48.75  49.74  48.3  49.59  11815500  49.59
2014-02-12  49.25  49.72  48.83  49.04  10448900  49.04
2014-02-11  48.9  49.31  48.26  49.0  10560200  49.0
2014-02-10  49.02  49.26  48.62  48.88  5927900  48.88
2014-02-07  48.15  49.05  47.64  49.01  9367800  49.01
2014-02-06  47.82  48.28  47.56  47.72  9026300  47.72
2014-02-05  47.28  47.89  47.02  47.64  8655000  47.64
2014-02-04  46.87  48.09  46.85  47.62  9050700  47.62
2014-02-03  48.0  48.24  46.8  46.88  12990400  46.88
2014-01-31  48.01  48.59  47.77  47.96  12707000  47.96
2014-01-30  48.45  49.09  48.44  48.88  7203300  48.88
2014-01-29  48.12  48.53  47.8  47.95  9845100  47.95
2014-01-28  48.56  49.13  48.1  48.46  13377900  48.46
2014-01-27  48.02  48.59  46.81  47.29  17878200  47.29
2014-01-24  48.78  49.15  47.85  47.86  11843000  47.86
2014-01-23  50.02  50.02  48.71  49.21  10797000  49.21
2014-01-22  50.8  51.07  50.11  50.29  9958500  50.29
2014-01-21  51.17  51.42  50.18  50.58  8217200  50.58
2014-01-17  51.4  51.55  50.8  50.89  7156400  50.89
2014-01-16  52.07  52.1  51.32  51.5  6213600  51.5
2014-01-15  52.02  52.34  51.0  52.11  5928600  52.11
2014-01-14  51.66  51.96  51.33  51.76  5626300  51.76
2014-01-13  52.07  52.47  51.4  51.46  9258500  51.46
2014-01-10  52.21  52.34  51.68  52.22  8603600  52.22
2014-01-09  51.88  52.29  51.71  52.11  8165200  52.11
2014-01-08  51.23  51.93  51.02  51.81  9960600  51.81
2014-01-07  50.67  51.37  50.61  51.21  9061100  51.21
2014-01-06  51.55  51.58  50.48  50.52  9264200  50.52
2014-01-03  50.67  51.23  50.61  50.92  7277400  50.92
2014-01-02  50.81  51.3  50.47  50.71  9196100  50.71
2013-12-31  51.21  51.34  50.91  51.05  4956300  51.05
2013-12-30  51.1  51.31  51.02  51.11  4159600  51.11
2013-12-27  50.99  51.33  50.9  51.18  4297500  51.18
2013-12-26  51.3  51.38  50.93  51.0  4185100  51.0
2013-12-24  51.23  51.31  50.98  51.28  2338000  51.28
2013-12-23  51.42  51.47  51.08  51.24  5408800  51.24
2013-12-20  50.33  51.11  50.26  51.03  10954900  51.03
2013-12-19  50.0  50.62  49.86  50.36  9069900  50.36
2013-12-18  49.33  50.27  49.0  50.25  15302100  50.25
2013-12-17  50.03  50.1  49.24  49.36  14939500  49.36
2013-12-16  50.86  51.05  50.17  50.28  15584100  50.28
2013-12-13  49.44  49.96  49.19  49.73  8262500  49.73
2013-12-12  48.56  49.97  48.42  49.42  14566800  49.42
2013-12-11  49.14  49.26  48.59  48.7  8684900  48.7
2013-12-10  49.46  49.72  49.18  49.3  9262500  49.3
2013-12-09  49.69  50.21  49.45  49.56  6949400  49.56
2013-12-06  48.74  49.71  48.61  49.55  9826800  49.55
2013-12-05  48.7  48.84  48.03  48.19  9131500  48.19
2013-12-04  48.45  49.22  48.3  48.94  8267000  48.94
2013-12-03  49.43  49.55  48.47  48.65  12229800  48.65
2013-12-02  49.67  50.15  49.51  49.61  8425600  49.61
2013-11-29  49.64  50.05  49.44  49.65  4413400  49.65
2013-11-27  49.29  49.61  49.01  49.55  6177500  49.55
2013-11-26  49.92  49.95  49.25  49.29  6384300  49.29
2013-11-25  49.49  50.3  49.46  49.7  8023700  49.7
2013-11-22  48.87  49.57  48.82  49.49  9173300  49.49
2013-11-21  48.37  49.01  48.35  48.82  9811700  48.82
2013-11-20  48.77  48.8  47.93  48.16  10474100  48.16
2013-11-19  48.71  49.03  48.41  48.68  7254200  48.68
2013-11-18  49.37  49.42  48.7  48.86  7130900  48.86
2013-11-15  49.1  49.49  48.91  49.2  10091900  49.2
2013-11-14  48.64  49.23  48.3  49.21  10289700  49.21
2013-11-13  48.03  48.56  47.8  48.48  12084300  48.48
2013-11-12  48.61  48.86  47.91  48.09  10822200  48.09
2013-11-11  48.36  48.96  48.29  48.74  7471400  48.74
2013-11-08  47.49  48.84  47.4  48.44  15671400  48.44
2013-11-07  47.6  48.04  47.01  47.2  17749200  47.2
2013-11-06  48.4  48.48  47.38  47.49  19388800  47.49
2013-11-05  48.91  49.0  48.17  48.19  13164900  48.19
2013-11-04  48.37  49.07  48.26  48.98  18396900  48.98
2013-11-01  48.57  49.0  47.92  48.18  51746100  48.18
2013-10-31  51.82  52.0  51.33  51.55  12978600  51.55
2013-10-30  52.32  52.4  51.4  51.87  7883000  51.87
2013-10-29  51.48  52.17  51.32  52.14  8085500  52.14
2013-10-28  51.73  51.82  51.12  51.33  6891300  51.33
2013-10-25  51.79  52.17  51.55  51.75  5735200  51.75
2013-10-24  51.89  52.05  51.24  51.7  7613100  51.7
2013-10-23  52.04  52.12  51.36  51.76  6277100  51.76
2013-10-22  52.17  53.22  52.04  52.18  10496900  52.18
2013-10-21  52.38  52.66  51.81  51.9  7282100  51.9
2013-10-18  52.07  52.29  51.6  52.19  8125500  52.19
2013-10-17  51.04  51.8  50.87  51.75  6922200  51.75
2013-10-16  50.24  51.38  50.17  51.16  9334500  51.16
2013-10-15  50.08  50.46  49.8  49.92  7396400  49.92
2013-10-14  49.53  50.23  49.47  50.13  6925700  50.13
2013-10-11  49.57  49.9  49.33  49.9  6766100  49.9
2013-10-10  48.19  49.52  48.14  49.48  11424100  49.48
2013-10-09  47.58  47.97  47.08  47.63  10523200  47.63
2013-10-08  48.7  48.96  47.57  47.6  8806000  47.6
2013-10-07  48.94  49.02  48.62  48.63  5298400  48.63
2013-10-04  48.77  49.45  48.61  49.43  5700000  49.43
2013-10-03  48.96  49.38  48.24  48.75  7884300  48.75
2013-10-02  48.77  49.12  48.49  49.12  6839200  49.12
2013-10-01  48.42  49.22  48.41  49.0  6652100  49.0
2013-09-30  48.51  49.02  48.22  48.53  7642600  48.53
2013-09-27  49.08  49.28  48.85  49.05  6019700  49.05
2013-09-26  49.59  49.7  49.1  49.35  5690700  49.35
2013-09-25  49.25  49.56  48.92  49.44  9457000  49.44
2013-09-24  49.04  49.83  48.99  49.14  6304300  49.14
2013-09-23  49.5  49.58  48.82  49.06  10175300  49.06
2013-09-20  49.87  50.25  49.59  49.85  10201800  49.85
2013-09-19  50.69  50.72  49.71  49.76  11023500  49.76
2013-09-18  50.19  50.89  50.07  50.47  9975500  50.47
2013-09-17  49.57  50.4  49.23  50.36  8993800  50.36
2013-09-16  50.06  50.14  49.53  49.59  8848900  49.59
2013-09-13  49.28  49.67  49.04  49.6  8199000  49.6
2013-09-12  49.8  49.83  49.05  49.18  7342400  49.18
2013-09-11  49.31  49.65  48.84  49.65  7975100  49.65
2013-09-10  49.45  49.66  49.08  49.32  9210400  49.32
2013-09-09  48.16  48.99  48.15  48.99  10510000  48.99
2013-09-06  48.71  48.72  47.91  47.99  9875400  47.99
2013-09-05  48.24  48.74  48.1  48.47  9852100  48.47
