Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  29.81  30.05  29.73  29.89  1868200  29.89
2014-02-27  29.75  29.89  29.63  29.81  1464600  29.81
2014-02-26  29.8  30.04  29.7  29.76  1484100  29.76
2014-02-25  29.67  29.94  29.52  29.8  1259300  29.8
2014-02-24  29.55  29.82  29.46  29.57  1134200  29.57
2014-02-21  29.31  29.65  29.07  29.47  1518900  29.47
2014-02-20  29.67  29.89  29.18  29.28  1808900  29.28
2014-02-19  29.67  30.03  29.61  29.76  3067400  29.76
2014-02-18  29.75  29.84  29.63  29.78  2088100  29.78
2014-02-14  29.89  29.98  29.66  29.74  1884600  29.74
2014-02-13  29.62  30.1  29.55  29.99  1892700  29.99
2014-02-12  29.77  30.01  29.53  29.75  2315500  29.75
2014-02-11  29.91  30.49  29.74  29.91  3288900  29.91
2014-02-10  29.32  30.07  29.24  29.9  3352600  29.9
2014-02-07  28.25  29.33  27.75  29.27  3177300  29.27
2014-02-06  28.11  28.52  28.09  28.5  2194400  28.5
2014-02-05  27.71  28.12  27.56  28.12  2057500  28.12
2014-02-04  27.6  27.86  27.36  27.78  2354800  27.78
2014-02-03  27.76  27.81  27.42  27.48  1906400  27.48
2014-01-31  27.31  27.86  27.26  27.73  2207000  27.73
2014-01-30  27.19  27.82  27.09  27.59  2345300  27.59
2014-01-29  26.67  27.11  26.64  27.07  2388500  27.07
2014-01-28  26.42  26.85  26.36  26.85  1170500  26.85
2014-01-27  26.52  26.65  26.22  26.38  1453700  26.38
2014-01-24  26.78  26.8  26.48  26.5  1647100  26.5
2014-01-23  26.99  27.06  26.73  26.82  953200  26.82
2014-01-22  27.02  27.2  26.96  27.09  868300  27.09
2014-01-21  26.98  27.2  26.85  26.94  889300  26.94
2014-01-17  26.73  26.99  26.56  26.9  1521700  26.9
2014-01-16  26.51  26.67  26.43  26.66  1295600  26.66
2014-01-15  26.42  26.61  26.42  26.49  1297000  26.49
2014-01-14  26.15  26.63  26.15  26.46  1657700  26.46
2014-01-13  26.1  26.23  26.02  26.06  1214400  26.06
2014-01-10  25.57  26.36  25.54  26.18  1605700  26.18
2014-01-09  25.63  25.68  25.37  25.5  1764400  25.5
2014-01-08  25.57  25.58  25.3  25.53  1577400  25.53
2014-01-07  25.78  25.88  25.62  25.62  856200  25.62
2014-01-06  25.67  25.85  25.41  25.73  2265300  25.73
2014-01-03  25.65  25.88  25.56  25.69  1206200  25.69
2014-01-02  25.68  25.92  25.44  25.69  844900  25.69
2013-12-31  25.87  26.0  25.63  25.69  870700  25.69
2013-12-30  25.84  25.95  25.75  25.89  511400  25.89
2013-12-27  25.67  25.86  25.44  25.84  1012100  25.84
2013-12-26  25.65  25.94  25.42  25.69  529700  25.69
2013-12-24  25.52  25.69  25.47  25.65  274800  25.65
2013-12-23  25.75  25.79  25.52  25.55  668000  25.55
2013-12-20  25.49  25.7  25.12  25.67  1721600  25.67
2013-12-19  25.79  25.79  24.86  25.48  1237400  25.48
2013-12-18  25.53  25.89  25.03  25.84  2253800  25.84
2013-12-17  25.51  25.64  25.33  25.57  1288000  25.57
2013-12-16  25.53  25.55  25.28  25.5  1147600  25.5
2013-12-13  25.35  25.62  25.2  25.45  1331000  25.45
2013-12-12  25.23  25.61  25.02  25.23  1542200  25.23
2013-12-11  25.85  25.95  25.23  25.3  1393400  25.3
2013-12-10  25.8  26.16  25.7  25.86  942500  25.86
