Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  54.27  54.8  54.01  54.26  3521100  54.26
2014-02-27  53.57  54.24  53.34  54.23  2373200  54.23
2014-02-26  53.5  53.77  53.19  53.57  2025700  53.57
2014-02-25  53.49  53.68  53.23  53.37  2714500  53.37
2014-02-24  53.31  54.02  52.97  53.58  3995900  53.58
2014-02-21  53.12  53.73  52.93  53.58  3665700  53.58
2014-02-20  52.94  53.37  52.16  53.19  4347800  53.19
2014-02-19  51.73  51.95  51.37  51.52  3504900  51.52
2014-02-18  52.82  52.89  51.9  51.91  3507200  51.91
2014-02-14  52.38  52.78  52.11  52.68  2183400  52.68
2014-02-13  51.98  52.44  51.79  52.43  1671300  52.43
2014-02-12  52.34  52.48  52.01  52.26  3991600  52.26
2014-02-11  51.51  52.75  51.42  52.54  3150500  52.54
2014-02-10  52.35  52.35  51.23  51.82  4023500  51.82
2014-02-07  52.36  52.55  51.64  52.49  4101000  52.49
2014-02-06  50.61  52.12  49.98  52.09  6487400  52.09
2014-02-05  49.52  49.74  48.92  49.29  3798600  49.29
2014-02-04  49.93  50.12  49.42  49.64  3540400  49.64
2014-02-03  50.93  50.93  49.61  49.7  3147400  49.7
2014-01-31  51.29  51.58  50.89  50.93  3877000  50.93
2014-01-30  51.78  52.1  51.57  52.03  1801700  52.03
2014-01-29  51.0  51.87  51.0  51.47  3602000  51.47
2014-01-28  50.59  51.62  50.54  51.5  3156000  51.5
2014-01-27  50.36  50.85  50.09  50.44  3864200  50.44
2014-01-24  50.96  51.38  50.36  50.36  3359800  50.36
2014-01-23  51.74  51.91  51.06  51.37  2879600  51.37
2014-01-22  52.48  52.65  51.72  52.14  3169800  52.14
2014-01-21  53.01  53.15  52.06  52.41  2973900  52.41
2014-01-17  52.96  53.01  52.57  52.62  1847000  52.62
2014-01-16  53.54  53.61  52.8  52.9  3703800  52.9
2014-01-15  53.73  53.8  53.25  53.61  2235700  53.61
2014-01-14  53.31  53.76  53.18  53.71  2132800  53.71
2014-01-13  53.66  53.9  53.16  53.18  2964300  53.18
2014-01-10  53.47  54.06  53.24  53.81  2421800  53.81
2014-01-09  53.34  53.72  53.27  53.55  1991600  53.55
2014-01-08  52.96  53.43  52.77  53.24  3075400  53.24
2014-01-07  53.07  53.2  52.86  53.07  1882600  53.07
2014-01-06  53.26  53.4  52.55  52.84  2696000  52.84
2014-01-03  53.37  53.52  52.83  53.05  1570200  53.05
2014-01-02  53.81  54.17  53.22  53.27  1909100  53.27
2013-12-31  54.04  54.32  53.92  54.26  1562200  54.26
2013-12-30  53.4  54.05  53.36  53.95  2375700  53.95
2013-12-27  53.51  53.67  53.18  53.37  1886300  53.37
2013-12-26  53.75  53.79  53.38  53.49  1297100  53.49
2013-12-24  53.41  53.69  53.36  53.69  692600  53.69
2013-12-23  53.72  53.79  53.33  53.42  1816900  53.42
2013-12-20  52.8  53.77  52.8  53.49  5598000  53.49
2013-12-19  52.17  53.05  52.05  52.97  3017300  52.97
2013-12-18  52.23  52.48  51.49  52.47  3144900  52.47
2013-12-17  52.43  52.48  51.73  51.91  2275000  51.91
2013-12-16  52.92  52.95  52.4  52.56  1895900  52.56
2013-12-13  52.64  53.01  52.46  52.54  1535500  52.54
2013-12-12  52.69  52.92  52.49  52.52  2065600  52.52
2013-12-11  53.5  53.7  52.69  52.79  2740700  52.79
2013-12-10  53.63  53.93  53.5  53.5  1371700  53.5
2013-12-09  53.77  54.17  53.77  53.83  1586600  53.83
2013-12-06  53.7  54.18  53.67  54.04  2106100  54.04
2013-12-05  53.18  53.43  52.89  53.12  2607900  53.12
2013-12-04  53.01  53.54  52.75  53.29  2502100  53.29
2013-12-03  53.38  53.63  52.97  53.23  2549200  53.23
2013-12-02  54.0  54.07  53.54  53.63  1793300  53.63
2013-11-29  54.33  54.43  53.91  53.99  1163300  53.99
2013-11-27  54.27  54.56  53.98  54.1  1769000  54.1
2013-11-26  54.15  54.51  54.03  54.21  1778000  54.21
2013-11-25  54.22  54.27  53.97  54.02  1560700  54.02
2013-11-22  53.81  54.22  53.66  54.18  1689100  54.18
2013-11-21  53.35  53.95  53.28  53.79  2191700  53.79
2013-11-20  53.55  53.63  53.06  53.15  1418800  53.15
2013-11-19  53.68  53.84  53.34  53.5  1295400  53.5
2013-11-18  54.17  54.18  53.61  53.71  2047200  53.71
2013-11-15  53.81  54.18  53.68  54.17  1777100  54.17
2013-11-14  53.47  53.97  53.29  53.94  1713600  53.94
2013-11-13  52.66  53.42  52.61  53.42  2094200  53.42
2013-11-12  53.4  53.5  52.72  52.86  2005100  52.86
2013-11-11  53.54  53.73  53.32  53.63  1476100  53.63
2013-11-08  52.46  53.63  52.44  53.59  2362600  53.59
2013-11-07  53.15  53.32  52.41  52.42  2233500  52.42
2013-11-06  52.7  53.13  52.58  53.1  1715900  53.1
2013-11-05  52.54  52.78  52.26  52.47  1593200  52.47
2013-11-04  52.98  53.15  52.59  52.66  1791000  52.66
2013-11-01  52.79  52.89  52.25  52.76  3130800  52.76
2013-10-31  51.92  53.04  51.78  52.54  4230500  52.54
2013-10-30  52.76  53.03  52.0  52.44  3133100  52.44
2013-10-29  53.0  53.06  52.66  52.84  2098900  52.84
2013-10-28  52.74  52.91  52.53  52.64  2127100  52.64
2013-10-25  53.02  53.2  52.68  52.83  1740900  52.83
