Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  19.03  19.04  18.79  18.96  14745700  18.96
2014-02-27  19.0  19.07  18.85  19.01  12154500  19.01
2014-02-26  19.0  19.41  18.94  19.1  14862900  19.1
2014-02-25  19.13  19.13  18.75  19.02  12104600  19.02
2014-02-24  19.25  19.38  19.07  19.07  13388800  19.07
2014-02-21  19.12  19.24  18.91  19.1  14790200  19.1
2014-02-20  18.75  19.0  18.72  18.99  16165800  18.99
2014-02-19  18.84  18.99  18.65  18.75  13025100  18.75
2014-02-18  18.88  18.96  18.71  18.85  13689100  18.85
2014-02-14  18.72  19.09  18.49  18.96  22145900  18.96
2014-02-13  17.7  18.9  17.64  18.77  31620000  18.77
2014-02-12  17.7  18.0  17.67  17.82  18138300  17.82
2014-02-11  17.25  17.88  17.11  17.69  23030000  17.69
2014-02-10  17.11  17.21  17.02  17.16  7728600  17.16
2014-02-07  16.98  17.14  16.84  17.09  12577000  17.09
2014-02-06  16.82  17.09  16.79  16.96  7920300  16.96
2014-02-05  16.6  16.87  16.55  16.8  16304000  16.8
2014-02-04  16.69  16.76  16.56  16.69  18623100  16.69
2014-02-03  16.51  16.74  16.46  16.67  24873400  16.67
2014-01-31  16.32  16.76  16.31  16.73  20152200  16.73
2014-01-30  16.83  16.84  16.59  16.69  10336300  16.69
2014-01-29  16.59  16.74  16.53  16.64  8983500  16.64
2014-01-28  16.59  16.74  16.47  16.66  9863600  16.66
2014-01-27  17.04  17.12  16.55  16.63  15391200  16.63
2014-01-24  17.16  17.33  16.98  17.08  19669900  17.08
2014-01-23  17.42  17.47  17.31  17.44  8232200  17.44
2014-01-22  17.6  17.63  17.47  17.57  5769500  17.57
2014-01-21  17.53  17.6  17.38  17.52  5754100  17.52
2014-01-17  17.47  17.59  17.33  17.46  9461200  17.46
2014-01-16  17.78  17.8  17.52  17.54  6960600  17.54
2014-01-15  17.62  17.98  17.59  17.83  11834200  17.83
2014-01-14  17.25  17.65  17.21  17.54  12186600  17.54
2014-01-13  17.3  17.41  17.16  17.23  9143100  17.23
2014-01-10  17.28  17.42  17.24  17.38  7970100  17.38
2014-01-09  17.33  17.41  17.23  17.31  8838000  17.31
2014-01-08  17.31  17.36  17.09  17.33  8026100  17.33
2014-01-07  17.28  17.34  17.17  17.28  8133200  17.28
2014-01-06  17.41  17.42  17.13  17.2  9975500  17.2
2014-01-03  17.45  17.61  17.38  17.42  6773000  17.42
2014-01-02  17.6  17.6  17.28  17.46  7785900  17.46
2013-12-31  17.44  17.61  17.34  17.59  5533900  17.59
2013-12-30  17.34  17.46  17.31  17.4  3601800  17.4
2013-12-27  17.43  17.43  17.27  17.34  3655700  17.34
2013-12-26  17.32  17.39  17.29  17.35  3836300  17.35
2013-12-24  17.34  17.45  17.3  17.3  4504900  17.3
2013-12-23  17.16  17.44  17.16  17.42  10214000  17.42
2013-12-20  16.74  17.17  16.74  17.1  17970700  17.1
2013-12-19  16.85  16.94  16.7  16.79  9392500  16.79
2013-12-18  16.74  16.98  16.6  16.94  11832300  16.94
2013-12-17  16.54  16.82  16.53  16.71  8851700  16.71
2013-12-16  16.71  16.72  16.55  16.57  11428800  16.57
2013-12-13  16.77  16.78  16.54  16.61  9167100  16.61
2013-12-12  16.74  16.76  16.6  16.63  9532700  16.63
2013-12-11  16.82  16.93  16.72  16.74  10718900  16.74
2013-12-10  16.71  16.82  16.52  16.74  14962400  16.74
