Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  108.4  110.09  108.1  108.99  1182200  108.99
2014-02-27  106.57  108.75  106.25  108.63  1131600  108.63
2014-02-26  107.64  107.98  106.44  106.62  1073900  106.62
2014-02-25  107.82  108.2  106.98  107.37  928700  107.37
2014-02-24  106.5  109.23  106.36  108.28  1090400  108.28
2014-02-21  106.81  107.7  106.43  106.81  826000  106.81
2014-02-20  106.72  107.07  105.49  106.2  1209700  106.2
2014-02-19  107.82  109.3  106.49  106.66  1074700  106.66
2014-02-18  107.94  108.77  107.5  107.99  987300  107.99
2014-02-14  107.22  107.75  106.58  107.09  866400  107.09
2014-02-13  106.15  107.53  105.77  107.33  955400  107.33
2014-02-12  106.99  107.63  106.56  106.98  961500  106.98
2014-02-11  105.08  106.76  104.85  106.69  1380000  106.69
2014-02-10  106.84  107.06  104.85  105.39  1555300  105.39
2014-02-07  105.62  107.19  104.89  107.09  1879200  107.09
2014-02-06  103.22  105.22  102.98  105.13  1292500  105.13
2014-02-05  105.81  108.27  102.57  102.93  2292800  102.93
2014-02-04  101.32  103.18  101.15  103.04  1323000  103.04
2014-02-03  105.14  105.46  100.8  100.98  1872100  100.98
2014-01-31  103.95  106.24  103.51  105.13  1628900  105.13
2014-01-30  105.41  106.5  105.29  105.91  805100  105.91
2014-01-29  104.47  105.61  104.32  104.51  1055400  104.51
2014-01-28  105.16  106.2  104.76  106.02  1721600  106.02
2014-01-27  106.37  106.86  103.68  104.41  2066700  104.41
2014-01-24  109.64  110.36  106.18  106.27  1529500  106.27
2014-01-23  113.56  113.57  110.49  110.7  1613000  110.7
2014-01-22  113.95  114.39  113.19  114.21  1008500  114.21
2014-01-21  113.37  114.07  112.64  113.59  1240300  113.59
2014-01-17  112.93  113.71  112.45  112.82  1154900  112.82
2014-01-16  113.74  113.81  113.02  113.11  991700  113.11
2014-01-15  113.84  114.11  113.15  113.81  1238500  113.81
2014-01-14  113.07  113.74  112.58  113.66  1392400  113.66
2014-01-13  114.37  114.77  112.34  112.63  1202700  112.63
2014-01-10  115.15  115.28  113.81  114.5  1154200  114.5
2014-01-09  115.68  116.25  114.59  114.95  1924500  114.95
2014-01-08  114.48  116.17  114.2  115.24  1944300  115.24
2014-01-07  113.26  114.55  113.07  114.01  1571500  114.01
2014-01-06  114.0  115.16  112.22  113.05  2009300  113.05
2014-01-03  113.31  114.29  112.86  113.35  980000  113.35
2014-01-02  114.03  114.26  112.87  113.33  783800  113.33
2013-12-31  113.19  114.8  113.19  114.49  686500  114.49
