Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  39.08  39.88  38.72  39.63  4714900  39.63
2014-02-27  39.76  39.76  38.67  38.88  4183900  38.88
2014-02-26  37.37  40.42  35.99  40.04  11174800  40.04
2014-02-25  35.41  36.49  35.09  35.99  3780200  35.99
2014-02-24  35.0  35.75  34.79  35.42  2396000  35.42
2014-02-21  34.71  35.4  34.56  34.84  2870700  34.84
2014-02-20  34.62  34.8  34.31  34.59  1832700  34.59
2014-02-19  34.21  34.96  34.11  34.64  2461000  34.64
2014-02-18  34.31  34.62  33.85  34.25  1348400  34.25
2014-02-14  34.31  34.39  33.91  34.32  790600  34.32
2014-02-13  33.75  34.61  33.68  34.33  1420500  34.33
2014-02-12  34.23  34.62  33.85  34.02  1287600  34.02
2014-02-11  34.01  34.68  33.85  34.08  2216300  34.08
2014-02-10  34.63  34.79  33.6  33.93  1938600  33.93
2014-02-07  34.59  34.98  34.33  34.72  1823800  34.72
2014-02-06  32.72  34.29  32.72  34.18  2959200  34.18
2014-02-05  33.16  33.28  31.73  32.72  3976300  32.72
2014-02-04  33.82  33.99  32.93  33.16  2668200  33.16
2014-02-03  35.47  35.65  33.54  33.65  3577600  33.65
2014-01-31  35.6  35.69  35.15  35.38  2182100  35.38
2014-01-30  35.56  36.73  35.26  35.94  2087200  35.94
2014-01-29  36.02  36.25  35.19  35.38  2683400  35.38
2014-01-28  35.13  37.46  35.0  36.27  6237000  36.27
2014-01-27  34.89  35.13  33.94  34.61  2312400  34.61
2014-01-24  35.05  35.35  34.8  34.89  2252500  34.89
2014-01-23  35.04  35.36  34.58  35.34  3139100  35.34
2014-01-22  35.34  35.38  34.75  35.36  2591500  35.36
2014-01-21  35.76  35.86  35.04  35.2  2529800  35.2
2014-01-17  35.35  35.88  35.25  35.41  1321600  35.41
2014-01-16  35.78  36.19  35.24  35.54  1903300  35.54
2014-01-15  36.24  36.39  35.77  35.9  1950300  35.9
2014-01-14  36.18  36.53  35.72  35.96  2645700  35.96
2014-01-13  37.11  37.17  35.79  36.14  3936200  36.14
2014-01-10  37.59  38.15  36.06  37.19  14147600  37.19
2014-01-09  32.9  33.28  32.43  33.21  3900300  33.21
2014-01-08  33.0  33.12  32.64  32.92  3332200  32.92
2014-01-07  33.06  33.45  32.86  33.0  2223200  33.0
2014-01-06  32.85  33.15  32.52  32.59  1795600  32.59
2014-01-03  32.04  33.14  32.0  32.79  2394500  32.79
2014-01-02  32.44  32.91  31.77  32.01  3862900  32.01
