Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  83.22  84.98  83.13  84.16  4916500  84.16
2014-02-27  82.15  83.27  82.07  83.04  2508800  83.04
2014-02-26  83.3  84.61  82.0  82.23  3896100  82.23
2014-02-25  83.26  83.52  82.02  83.51  3139300  83.51
2014-02-24  83.01  85.21  82.95  83.39  4927500  83.39
2014-02-21  83.21  83.55  82.27  82.31  2906500  82.31
2014-02-20  83.47  83.62  82.74  83.21  4996400  83.21
2014-02-19  83.06  84.39  82.86  83.73  4168200  83.73
2014-02-18  81.7  83.57  81.7  83.57  4743600  83.57
2014-02-14  81.61  82.0  80.76  81.54  4278600  81.54
2014-02-13  80.64  82.25  80.18  81.52  2979200  81.52
2014-02-12  82.05  82.62  81.23  81.69  2411500  81.69
2014-02-11  80.8  82.42  80.08  82.01  4032800  82.01
2014-02-10  80.18  80.97  79.43  80.93  3860500  80.93
2014-02-07  79.28  80.27  78.71  80.17  3732500  80.17
2014-02-06  79.36  79.91  78.69  78.9  4005700  78.9
2014-02-05  80.49  80.49  78.93  79.13  5266300  79.13
2014-02-04  78.96  81.47  78.85  80.03  6356500  80.03
2014-02-03  80.73  81.37  78.15  78.17  7058700  78.17
2014-01-31  80.49  81.24  80.32  80.69  3041400  80.69
2014-01-30  81.46  81.99  80.5  81.45  3544300  81.45
2014-01-29  80.36  81.61  79.97  81.29  3505800  81.29
2014-01-28  79.58  81.49  79.04  81.11  4433400  81.11
2014-01-27  81.11  81.42  79.92  80.45  4938700  80.45
2014-01-24  82.57  82.8  81.09  81.09  5042500  81.09
2014-01-23  83.35  83.35  82.07  82.88  3720600  82.88
2014-01-22  81.67  83.97  81.55  83.72  7865500  83.72
2014-01-21  80.65  81.73  80.63  81.19  5335300  81.19
2014-01-17  81.86  81.9  80.02  80.06  3980600  80.06
2014-01-16  81.54  81.74  80.6  81.32  6864300  81.32
2014-01-15  81.13  82.38  81.02  81.72  5371200  81.72
2014-01-14  78.4  80.99  78.4  80.84  7782900  80.84
2014-01-13  79.5  79.82  78.19  78.37  4941300  78.37
2014-01-10  78.99  79.89  78.5  79.83  3831600  79.83
2014-01-09  79.15  79.41  78.15  79.08  4588100  79.08
2014-01-08  79.86  80.0  78.67  79.04  4344800  79.04
2014-01-07  78.85  79.92  78.17  79.84  4118100  79.84
2014-01-06  78.37  78.67  77.8  78.34  4035400  78.34
