Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  87.66  88.33  87.32  88.02  595400  88.02
2014-02-27  86.81  87.92  86.74  87.59  822000  87.59
2014-02-26  88.44  88.59  86.87  87.08  765800  87.08
2014-02-25  88.74  89.09  88.08  88.33  342200  88.33
2014-02-24  88.53  89.73  88.49  88.91  480400  88.91
2014-02-21  88.95  89.34  88.02  88.16  572700  88.16
2014-02-20  88.56  89.1  87.96  88.95  316300  88.95
2014-02-19  88.45  89.68  88.38  88.55  465000  88.55
2014-02-18  88.36  88.99  88.21  88.85  416000  88.85
2014-02-14  88.62  88.69  87.85  88.27  470400  88.27
2014-02-13  87.54  88.68  87.41  88.54  280000  88.54
2014-02-12  88.12  88.6  87.86  88.28  322100  88.28
2014-02-11  87.01  88.19  87.01  87.96  427900  87.96
2014-02-10  87.29  87.49  86.45  87.03  371300  87.03
2014-02-07  86.87  87.43  86.45  87.36  550100  87.36
2014-02-06  85.17  87.04  85.16  86.7  626400  86.7
2014-02-05  84.59  85.6  84.4  85.33  549500  85.33
2014-02-04  84.71  85.12  84.11  84.96  692300  84.96
2014-02-03  86.8  86.93  84.6  84.68  1003000  84.68
2014-01-31  85.53  87.2  85.38  86.88  797600  86.88
2014-01-30  86.1  86.97  85.85  86.67  776600  86.67
2014-01-29  85.08  85.99  84.99  85.63  1158400  85.63
2014-01-28  85.51  86.34  85.49  86.09  1097800  86.09
2014-01-27  85.9  86.32  85.33  85.34  893300  85.34
2014-01-24  88.3  88.3  85.89  85.89  675700  85.89
2014-01-23  90.64  91.0  88.32  88.49  830100  88.49
2014-01-22  91.03  92.39  89.83  91.07  844400  91.07
2014-01-21  92.1  92.42  90.64  91.04  1061100  91.04
2014-01-17  92.04  92.29  91.61  92.08  472700  92.08
2014-01-16  92.03  92.07  91.34  91.87  363800  91.87
2014-01-15  92.09  92.29  91.21  92.05  703200  92.05
2014-01-14  89.71  92.42  89.71  92.41  865100  92.41
2014-01-13  89.12  90.63  88.78  89.19  754200  89.19
2014-01-10  89.18  89.98  88.52  89.34  384600  89.34
2014-01-09  88.57  89.46  88.43  89.42  531000  89.42
2014-01-08  87.84  88.67  87.63  88.33  426900  88.33
2014-01-07  87.62  88.36  87.34  87.84  305100  87.84
2014-01-06  88.46  88.46  87.17  87.25  391900  87.25
2014-01-03  87.76  88.32  87.63  88.06  383400  88.06
2014-01-02  88.73  88.79  87.46  87.74  441800  87.74
2013-12-31  88.82  89.46  88.8  89.18  336800  89.18
2013-12-30  88.42  88.77  88.42  88.71  214000  88.71
2013-12-27  88.35  88.8  88.16  88.27  161600  88.27
2013-12-26  88.27  88.71  88.02  88.43  331400  88.43
2013-12-24  88.04  88.61  87.64  88.19  141200  88.19
2013-12-23  88.3  88.42  87.61  87.89  494000  87.89
2013-12-20  87.56  88.22  87.33  87.8  845400  87.8
2013-12-19  87.14  87.5  86.82  87.03  402100  87.03
2013-12-18  86.14  87.28  85.01  87.21  595000  87.21
2013-12-17  86.12  86.6  85.84  86.32  667100  86.32
2013-12-16  85.42  86.3  85.4  86.05  327700  86.05
2013-12-13  85.23  85.49  84.59  85.16  458400  85.16
2013-12-12  85.0  85.49  84.97  85.06  492100  85.06
2013-12-11  86.35  86.63  84.91  84.95  613100  84.95
2013-12-10  86.15  86.88  85.96  86.48  707400  86.48
2013-12-09  86.29  86.61  85.86  86.59  414500  86.59
2013-12-06  85.3  86.11  85.24  85.91  538000  85.91
2013-12-05  84.78  85.07  84.64  84.83  321000  84.83
2013-12-04  84.28  85.27  84.14  84.96  425500  84.96
2013-12-03  84.88  85.28  84.69  85.14  527500  85.14
2013-12-02  84.83  85.28  84.63  84.85  346500  84.85
2013-11-29  84.82  85.05  84.53  84.8  245800  84.8
2013-11-27  85.32  85.42  84.45  84.81  320300  84.81
2013-11-26  84.76  85.13  84.74  84.8  495100  84.8
2013-11-25  84.91  85.19  84.62  84.85  357800  84.85
2013-11-22  84.42  85.11  84.32  84.91  355200  84.91
2013-11-21  84.82  85.01  84.33  84.79  440800  84.79
2013-11-20  84.45  84.86  84.2  84.71  840500  84.71
2013-11-19  84.3  84.74  84.1  84.44  1078300  84.44
2013-11-18  84.05  85.05  84.05  84.58  1097500  84.58
2013-11-15  82.55  83.93  82.46  83.9  796900  83.9
2013-11-14  81.6  82.56  81.47  82.53  525900  82.53
2013-11-13  80.67  81.53  80.34  81.5  696800  81.5
2013-11-12  80.71  81.34  80.43  81.18  358200  81.18
2013-11-11  80.94  81.3  80.63  80.9  227600  80.9
2013-11-08  80.1  81.19  79.99  81.15  361500  81.15
2013-11-07  80.85  81.07  79.79  80.08  682300  80.08
2013-11-06  79.91  80.71  79.91  80.69  338400  80.69
2013-11-05  79.76  80.11  79.27  79.61  298100  79.61
