Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  107.79  108.47  107.16  107.8  326300  107.8
2014-02-27  105.67  107.69  105.54  107.53  461900  107.53
2014-02-26  105.72  106.54  105.26  105.72  346700  105.72
2014-02-25  104.76  106.93  104.49  105.65  586500  105.65
2014-02-24  105.09  106.05  104.71  104.72  486000  104.72
2014-02-21  105.89  106.21  105.15  105.2  300800  105.2
2014-02-20  105.53  106.0  104.62  105.42  400200  105.42
2014-02-19  106.46  107.32  105.3  105.39  242400  105.39
2014-02-18  106.62  106.89  106.06  106.51  339000  106.51
2014-02-14  106.04  106.96  105.64  106.41  351800  106.41
2014-02-13  104.2  106.52  104.16  106.14  414900  106.14
2014-02-12  105.21  106.24  104.77  104.98  596100  104.98
2014-02-11  104.54  105.23  103.77  105.06  421600  105.06
2014-02-10  104.06  104.68  103.55  104.35  415000  104.35
2014-02-07  103.27  104.36  102.82  104.19  443300  104.19
2014-02-06  100.97  102.72  100.88  102.64  304200  102.64
2014-02-05  100.35  101.57  99.82  101.0  794000  101.0
2014-02-04  100.85  101.17  99.32  100.97  593000  100.97
2014-02-03  104.78  104.78  100.09  100.17  832700  100.17
2014-01-31  103.28  104.15  102.07  103.24  1207300  103.24
2014-01-30  108.01  108.85  104.99  105.44  1350000  105.44
2014-01-29  106.63  109.2  106.63  108.57  542400  108.57
2014-01-28  106.85  108.29  106.7  107.43  298700  107.43
2014-01-27  108.94  109.38  106.68  106.85  895700  106.85
2014-01-24  109.96  110.31  108.65  108.82  735300  108.82
2014-01-23  111.51  112.38  110.54  111.18  423800  111.18
2014-01-22  112.27  112.65  111.48  112.49  389100  112.49
2014-01-21  112.59  113.16  111.92  112.25  468800  112.25
2014-01-17  111.93  112.71  111.67  112.15  688300  112.15
2014-01-16  110.98  111.95  110.61  111.8  349800  111.8
2014-01-15  109.4  111.12  109.22  111.08  539200  111.08
2014-01-14  110.05  111.45  109.66  111.35  376300  111.35
2014-01-13  109.75  110.97  109.46  110.0  577400  110.0
2014-01-10  109.64  110.44  109.18  110.36  303700  110.36
2014-01-09  109.79  110.49  109.07  109.2  327500  109.2
2014-01-08  109.55  109.99  108.81  109.53  455000  109.53
2014-01-07  109.64  109.91  109.24  109.72  279700  109.72
2014-01-06  109.64  109.68  108.73  109.07  585500  109.07
2014-01-03  109.91  110.14  108.98  108.98  498800  108.98
2014-01-02  111.75  111.86  109.37  109.61  509900  109.61
2013-12-31  112.13  112.49  111.26  111.85  244300  111.85
2013-12-30  111.42  112.15  110.83  112.11  330300  112.11
2013-12-27  111.37  112.6  110.28  111.3  209700  111.3
2013-12-26  111.0  111.13  110.34  110.92  180600  110.92
2013-12-24  109.67  111.01  109.04  110.85  105400  110.85
2013-12-23  110.25  110.26  109.17  109.39  464600  109.39
2013-12-20  108.86  109.91  106.76  109.9  523100  109.9
2013-12-19  109.0  110.13  108.63  109.95  309200  109.95
2013-12-18  107.52  109.25  106.49  109.15  376600  109.15
2013-12-17  107.37  107.9  106.7  107.5  253100  107.5
2013-12-16  107.14  108.16  106.34  107.52  373200  107.52
2013-12-13  108.04  108.35  106.16  106.34  548800  106.34
2013-12-12  106.85  107.75  106.17  107.63  322600  107.63
2013-12-11  109.33  109.82  107.0  107.19  371500  107.19
2013-12-10  109.78  111.17  109.3  109.49  374200  109.49
2013-12-09  109.39  110.28  108.96  109.75  295500  109.75
2013-12-06  108.19  109.29  107.95  109.24  310400  109.24
2013-12-05  106.97  108.11  106.83  107.55  328800  107.55
2013-12-04  106.66  107.77  106.1  107.32  287000  107.32
2013-12-03  106.61  107.1  106.01  107.01  312800  107.01
2013-12-02  108.11  108.93  106.53  106.74  494400  106.74
2013-11-29  109.19  109.52  107.97  108.16  109600  108.16
2013-11-27  109.27  109.6  108.66  109.32  189700  109.32
2013-11-26  109.18  109.62  108.64  109.14  151800  109.14
2013-11-25  109.7  109.74  108.86  109.06  217900  109.06
2013-11-22  108.65  109.71  108.16  109.53  217900  109.53
2013-11-21  108.03  108.53  107.53  108.49  117600  108.49
2013-11-20  108.86  109.59  107.45  107.69  153900  107.69
2013-11-19  108.68  109.62  108.27  108.78  216600  108.78
2013-11-18  110.14  110.23  108.22  108.69  239900  108.69
2013-11-15  109.14  109.84  108.79  109.84  178300  109.84
2013-11-14  109.22  109.52  108.27  109.23  270000  109.23
2013-11-13  107.68  108.93  107.68  108.9  278100  108.9
2013-11-12  108.02  108.28  107.52  108.14  326800  108.14
2013-11-11  107.83  108.06  107.24  108.04  185300  108.04
2013-11-08  106.88  107.82  106.64  107.81  508900  107.81
2013-11-07  108.3  108.41  106.42  106.59  429700  106.59
2013-11-06  108.11  108.4  107.47  108.09  187700  108.09
2013-11-05  107.71  108.12  107.34  107.79  214600  107.79
2013-11-04  107.79  108.02  107.1  107.89  190700  107.89
2013-11-01  108.95  109.4  107.13  107.54  393600  107.54
2013-10-31  108.42  109.28  107.89  108.6  319900  108.6
2013-10-30  108.31  108.71  107.79  108.38  402800  108.38
2013-10-29  107.69  108.39  107.09  108.34  255700  108.34
2013-10-28  108.85  109.11  107.14  107.41  428100  107.41
2013-10-25  106.89  108.66  106.35  108.66  359500  108.66
2013-10-24  105.51  106.89  104.54  106.59  1117300  106.59
2013-10-23  110.94  110.94  104.86  106.53  1206300  106.53
2013-10-22  111.15  111.94  110.48  111.75  500900  111.75
2013-10-21  110.92  111.47  110.23  111.03  227100  111.03
2013-10-18  110.82  111.18  110.02  111.09  176400  111.09
2013-10-17  108.85  110.46  108.85  110.36  175300  110.36
2013-10-16  108.73  110.01  108.58  109.02  275500  109.02
2013-10-15  108.77  109.18  108.0  108.27  171900  108.27
2013-10-14  107.53  109.21  107.49  108.99  254500  108.99
2013-10-11  108.21  108.55  107.44  107.98  187200  107.98
2013-10-10  106.92  108.63  106.92  108.52  245300  108.52
2013-10-09  105.3  105.91  104.15  105.72  273900  105.72
2013-10-08  106.28  106.72  105.14  105.33  282300  105.33
2013-10-07  107.24  107.86  106.43  106.47  291100  106.47
2013-10-04  107.93  108.85  107.42  108.35  295900  108.35
2013-10-03  108.38  108.67  107.53  108.1  701000  108.1
2013-10-02  107.37  108.89  106.54  108.84  570900  108.84
2013-10-01  106.91  108.53  106.54  108.52  600500  108.52
2013-09-30  105.08  105.89  104.61  105.59  661500  105.59
2013-09-27  105.56  106.0  105.1  105.47  337800  105.47
2013-09-26  105.26  106.41  105.19  106.24  368700  106.24
2013-09-25  104.92  105.2  104.34  105.04  342000  105.04
2013-09-24  104.14  104.87  103.55  104.58  208000  104.58
2013-09-23  104.66  104.9  103.75  103.94  124700  103.94
2013-09-20  106.28  107.05  104.82  104.89  352500  104.89
2013-09-19  106.38  107.25  106.11  106.51  209600  106.51
2013-09-18  103.78  106.49  103.22  106.38  285800  106.38
2013-09-17  105.04  105.46  103.62  103.85  345200  103.85
2013-09-16  104.89  105.56  103.79  105.1  351700  105.1
2013-09-13  103.83  103.94  103.22  103.41  401100  103.41
2013-09-12  104.38  104.93  103.4  103.55  251100  103.55
2013-09-11  104.44  104.67  103.77  104.59  219700  104.59
2013-09-10  105.03  105.41  103.57  104.04  628400  104.04
2013-09-09  102.67  104.75  102.25  104.51  901900  104.51
2013-09-06  103.52  103.91  102.35  102.41  266800  102.41
2013-09-05  103.76  104.02  102.71  103.35  469500  103.35
2013-09-04  102.13  104.07  102.01  104.02  497700  104.02
2013-09-03  102.02  102.6  101.34  102.33  396700  102.33
2013-08-30  100.56  100.97  100.36  100.74  202300  100.74
2013-08-29  100.23  101.2  99.86  100.52  105800  100.52
2013-08-28  100.28  100.76  99.64  100.38  182500  100.38
2013-08-27  100.97  101.27  100.15  100.27  135000  100.27
2013-08-26  102.44  103.07  101.69  101.96  114200  101.96
2013-08-23  102.74  102.89  101.6  102.38  135400  102.38
2013-08-22  101.36  103.11  101.24  102.55  138700  102.55
2013-08-21  101.38  102.26  101.2  101.34  192900  101.34
2013-08-20  100.35  101.79  99.83  101.55  262000  101.55
2013-08-19  100.57  101.29  100.1  100.17  430200  100.17
2013-08-16  100.48  101.14  99.89  100.68  258700  100.68
2013-08-15  101.84  101.88  100.34  100.8  240000  100.8
2013-08-14  103.38  103.54  102.1  102.15  163600  102.15
2013-08-13  103.15  103.71  102.9  103.42  114000  103.42
2013-08-12  104.31  104.73  102.78  103.07  303100  103.07
2013-08-09  105.06  105.68  104.49  104.58  232600  104.58
2013-08-08  105.06  105.56  104.95  105.13  167900  105.13
2013-08-07  104.14  105.13  103.46  104.76  204000  104.76
2013-08-06  104.47  105.01  104.05  104.47  190500  104.47
2013-08-05  104.71  105.05  104.38  104.78  317000  104.78
2013-08-02  104.17  105.04  103.72  104.89  567800  104.89
2013-08-01  103.19  105.05  102.23  104.21  535100  104.21
2013-07-31  101.15  103.04  100.88  102.29  490600  102.29
2013-07-30  100.25  100.94  99.73  100.68  300600  100.68
2013-07-29  99.56  100.39  99.01  100.39  316900  100.39
2013-07-26  100.88  101.56  99.08  99.42  421100  99.42
2013-07-25  99.85  102.34  98.86  101.2  786000  101.2
2013-07-24  100.41  100.41  99.27  100.18  516300  100.18
2013-07-23  99.46  100.36  98.89  100.18  427900  100.18
2013-07-22  100.09  100.35  98.92  98.95  503600  98.95
2013-07-19  100.1  100.32  99.37  100.0  350000  100.0
2013-07-18  100.13  100.27  99.34  99.87  358100  99.87
2013-07-17  100.1  100.16  99.37  99.6  377500  99.6
2013-07-16  99.5  99.75  98.86  99.74  389200  99.74
2013-07-15  99.4  99.82  98.26  99.44  378700  99.44
2013-07-12  98.68  99.55  98.48  99.4  337300  99.4
2013-07-11  99.15  99.78  98.51  98.74  451900  98.74
2013-07-10  98.16  98.54  97.65  97.99  555700  97.99
2013-07-09  97.57  98.39  97.03  98.35  371800  98.35
2013-07-08  96.61  97.12  96.43  97.05  334700  97.05
2013-07-05  96.03  96.58  95.93  96.25  319200  96.25
2013-07-03  93.53  95.84  93.53  95.44  178300  95.44
2013-07-02  96.18  97.11  95.36  95.69  510200  95.69
2013-07-01  94.88  96.93  94.73  96.63  478800  96.63
2013-06-28  94.99  95.53  94.16  94.61  895500  94.61
