Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  31.9  31.98  31.63  31.78  896700  31.78
2014-02-27  31.36  31.95  31.18  31.92  811100  31.92
2014-02-26  31.09  31.62  30.81  31.36  979300  31.36
2014-02-25  31.33  31.57  30.66  31.04  1864400  31.04
2014-02-24  31.51  31.82  31.2  31.45  861500  31.45
2014-02-21  31.64  31.88  31.23  31.6  1061400  31.6
2014-02-20  31.21  31.6  31.13  31.49  1028800  31.49
2014-02-19  31.26  31.82  31.01  31.23  986200  31.23
2014-02-18  32.06  32.06  31.02  31.39  1447600  31.39
2014-02-14  31.34  32.11  31.31  32.03  1083200  32.03
2014-02-13  31.47  31.92  30.94  31.34  1742200  31.34
2014-02-12  31.91  32.15  31.61  31.73  901800  31.73
2014-02-11  31.29  31.95  31.29  31.85  776300  31.85
2014-02-10  31.15  31.35  31.0  31.25  855100  31.25
2014-02-07  31.1  31.3  30.68  31.17  877400  31.17
2014-02-06  30.46  30.94  30.36  30.79  903800  30.79
2014-02-05  30.21  30.61  29.82  30.33  1115900  30.33
2014-02-04  29.99  30.65  29.75  30.37  1508400  30.37
2014-02-03  31.38  31.49  29.74  29.86  1999400  29.86
2014-01-31  31.43  31.85  31.39  31.44  1037900  31.44
2014-01-30  31.94  32.27  31.62  32.01  1268800  32.01
2014-01-29  31.83  32.69  31.64  31.91  1208700  31.91
2014-01-28  32.12  32.34  31.86  32.31  1583700  32.31
2014-01-27  32.11  32.3  31.32  31.91  1642000  31.91
2014-01-24  32.61  32.69  31.88  31.93  2368200  31.93
2014-01-23  32.4  33.12  31.66  33.02  3299600  33.02
2014-01-22  34.37  34.91  31.71  32.01  4324600  32.01
2014-01-21  35.79  35.8  34.12  34.18  3334400  34.18
2014-01-17  36.07  36.55  36.02  36.3  772300  36.3
2014-01-16  36.28  36.7  36.11  36.18  687300  36.18
2014-01-15  35.5  36.27  35.37  36.15  1088600  36.15
2014-01-14  35.09  35.53  35.09  35.35  683300  35.35
2014-01-13  35.17  35.62  34.82  35.0  1108300  35.0
2014-01-10  34.75  35.3  34.21  35.27  1760600  35.27
2014-01-09  35.5  35.65  34.94  35.49  862200  35.49
2014-01-08  35.15  35.54  35.0  35.51  869100  35.51
2014-01-07  35.21  35.56  35.07  35.16  675200  35.16
2014-01-06  35.57  35.57  34.8  35.21  1032200  35.21
2014-01-03  35.37  35.53  35.18  35.47  701500  35.47
2014-01-02  35.47  35.54  35.0  35.26  730200  35.26
2013-12-31  35.46  35.84  35.35  35.63  588300  35.63
2013-12-30  35.72  35.89  35.27  35.47  769200  35.47
2013-12-27  35.03  35.82  35.03  35.64  784700  35.64
2013-12-26  34.68  35.21  34.51  35.03  674900  35.03
2013-12-24  34.08  34.8  34.01  34.66  395200  34.66
2013-12-23  33.46  34.17  33.35  34.07  775100  34.07
2013-12-20  33.77  33.93  33.04  33.1  1373900  33.1
2013-12-19  32.9  34.2  32.77  33.78  1411600  33.78
2013-12-18  32.61  33.14  32.32  32.92  868800  32.92
2013-12-17  32.86  32.92  32.49  32.61  818400  32.61
2013-12-16  32.93  33.05  32.6  32.91  677000  32.91
2013-12-13  32.04  32.61  31.98  32.59  893100  32.59
2013-12-12  31.71  32.16  31.64  32.05  701100  32.05
2013-12-11  32.91  33.0  31.66  31.75  1096700  31.75
2013-12-10  33.65  33.94  32.93  32.95  1047900  32.95
2013-12-09  33.05  33.69  32.91  33.63  1228100  33.63
2013-12-06  33.19  33.28  32.46  32.59  743300  32.59
2013-12-05  32.23  33.04  32.12  32.77  844000  32.77
