Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  127.61  129.47  127.11  128.97  1131000  128.97
2014-02-27  128.56  128.74  126.95  127.3  723800  127.3
2014-02-26  129.91  129.94  128.04  128.43  694100  128.43
2014-02-25  128.84  129.74  128.62  129.23  766000  129.23
2014-02-24  128.77  130.2  128.52  129.22  694600  129.22
2014-02-21  128.75  129.58  127.82  128.66  623000  128.66
2014-02-20  128.77  129.32  127.78  128.89  737600  128.89
2014-02-19  129.38  129.82  128.11  128.35  673300  128.35
2014-02-18  128.74  129.76  128.5  129.5  691800  129.5
2014-02-14  128.4  129.05  128.34  128.99  582700  128.99
2014-02-13  128.55  129.48  128.24  128.34  996900  128.34
2014-02-12  129.6  129.94  128.63  128.86  1444000  128.86
2014-02-11  129.02  130.87  128.65  129.65  1258100  129.65
2014-02-10  128.27  129.78  127.67  129.33  1070900  129.33
2014-02-07  127.3  128.13  126.78  127.81  901600  127.81
2014-02-06  126.17  127.1  126.08  126.99  864600  126.99
2014-02-05  124.63  126.32  124.24  126.02  1428300  126.02
2014-02-04  123.86  125.08  123.08  124.96  1474400  124.96
2014-02-03  123.5  124.46  123.11  123.29  1407900  123.29
2014-01-31  121.3  124.05  121.3  123.5  1584800  123.5
2014-01-30  114.16  123.27  114.16  122.16  2720200  122.16
2014-01-29  121.36  124.78  117.06  117.62  1855400  117.62
2014-01-28  118.0  119.52  117.51  117.53  1482500  117.53
2014-01-27  118.84  120.22  118.38  118.38  973600  118.38
2014-01-24  118.98  120.12  118.98  119.52  1204800  119.52
2014-01-23  121.22  121.42  120.46  120.65  1134900  120.65
2014-01-22  122.54  123.12  121.59  121.91  1153700  121.91
2014-01-21  122.49  122.99  121.73  122.14  792800  122.14
2014-01-17  122.97  123.23  121.67  121.88  898500  121.88
2014-01-16  123.45  123.57  122.45  122.85  892800  122.85
2014-01-15  121.97  123.0  121.81  122.64  786600  122.64
2014-01-14  121.19  122.07  120.87  121.73  642200  121.73
2014-01-13  121.33  122.19  120.41  120.83  651300  120.83
2014-01-10  121.35  122.1  120.88  121.8  638100  121.8
2014-01-09  119.44  121.74  119.44  120.89  624300  120.89
2014-01-08  120.61  122.17  120.13  121.32  889800  121.32
2014-01-07  121.55  122.13  120.33  121.02  984200  121.02
2014-01-06  120.54  121.57  119.76  121.54  1414000  121.54
2014-01-03  117.74  120.29  117.74  119.76  737600  119.76
2014-01-02  118.25  119.26  117.68  118.24  901900  118.24
2013-12-31  118.57  119.22  117.94  118.23  758800  118.23
2013-12-30  119.27  119.31  118.25  118.55  415900  118.55
2013-12-27  118.23  119.07  117.55  118.91  866800  118.91
2013-12-26  118.1  118.47  116.98  117.66  507400  117.66
2013-12-24  116.93  117.43  116.65  117.2  342500  117.2
2013-12-23  118.51  118.68  116.78  116.93  735200  116.93
2013-12-20  116.91  117.71  116.58  117.69  1523800  117.69
2013-12-19  118.59  118.91  116.06  116.95  751800  116.95
2013-12-18  117.23  118.77  115.32  118.55  1129400  118.55
2013-12-17  117.74  118.17  116.58  116.87  868200  116.87
2013-12-16  118.41  118.82  117.86  117.97  803900  117.97
2013-12-13  119.12  119.95  117.55  118.17  827900  118.17
2013-12-12  120.39  121.14  118.53  118.59  1277800  118.59
2013-12-11  121.42  121.42  119.34  119.46  1041900  119.46
2013-12-10  120.14  121.65  120.0  121.11  752300  121.11
2013-12-09  120.6  121.47  120.27  121.01  666500  121.01
2013-12-06  118.9  120.7  118.9  120.6  793200  120.6
2013-12-05  118.1  121.19  117.89  119.54  784000  119.54
2013-12-04  116.7  121.19  116.68  119.65  1612500  119.65
2013-12-03  114.98  118.76  114.98  117.49  554000  117.49
2013-12-02  117.12  118.1  116.14  116.66  684800  116.66
2013-11-29  118.89  118.89  117.04  117.49  462900  117.49
2013-11-27  116.28  118.82  116.24  118.64  706300  118.64
2013-11-26  115.94  116.72  115.06  116.28  1025500  116.28
2013-11-25  117.07  117.75  115.08  115.81  534400  115.81
2013-11-22  117.22  117.77  115.99  116.5  569000  116.5
2013-11-21  116.77  117.6  115.95  117.29  566300  117.29
2013-11-20  117.06  118.61  115.74  116.39  589800  116.39
2013-11-19  117.86  118.3  116.49  117.01  624600  117.01
2013-11-18  119.14  119.66  117.43  117.86  771600  117.86
2013-11-15  120.61  121.42  118.83  119.14  837100  119.14
2013-11-14  121.56  122.66  120.83  120.89  388200  120.89
2013-11-13  119.5  120.79  119.2  120.77  606600  120.77
2013-11-12  121.4  121.4  119.2  120.19  728500  120.19
2013-11-11  121.04  122.11  120.79  121.29  602300  121.29
2013-11-08  120.86  121.04  119.18  120.74  805900  120.74
2013-11-07  123.34  123.35  121.71  121.71  647200  121.71
2013-11-06  123.49  123.88  123.12  123.3  455700  123.3
2013-11-05  124.31  124.74  122.66  122.88  465600  122.88
2013-11-04  124.63  125.04  124.16  124.87  660500  124.87
2013-11-01  124.73  124.98  123.21  124.58  703900  124.58
2013-10-31  125.71  126.07  122.69  123.92  1402000  123.92
2013-10-30  125.86  126.33  124.54  125.53  591800  125.53
2013-10-29  127.75  127.81  125.03  125.92  775700  125.92
2013-10-28  130.59  130.68  126.85  127.86  856900  127.86
2013-10-25  126.75  130.95  126.75  130.29  1039500  130.29
2013-10-24  126.79  131.03  124.92  127.34  1109400  127.34
2013-10-23  132.85  133.29  131.63  132.99  471400  132.99
2013-10-22  132.41  133.93  130.74  133.04  626600  133.04
2013-10-21  131.3  131.68  130.37  131.51  422600  131.51
2013-10-18  132.36  132.46  130.49  131.44  604500  131.44
2013-10-17  129.85  132.27  129.48  132.05  494300  132.05
2013-10-16  128.12  130.25  127.36  130.0  724600  130.0
2013-10-15  126.76  128.23  126.5  127.34  371500  127.34
2013-10-14  126.82  127.65  126.36  127.45  414700  127.45
2013-10-11  126.59  127.85  125.34  127.8  512000  127.8
2013-10-10  124.3  127.25  124.22  127.25  533900  127.25
2013-10-09  122.82  124.68  122.82  123.51  431700  123.51
2013-10-08  124.79  124.79  122.63  122.75  648700  122.75
2013-10-07  122.54  125.18  122.53  123.86  733000  123.86
2013-10-04  125.51  126.04  123.43  123.78  696000  123.78
2013-10-03  126.97  127.81  124.69  125.12  562100  125.12
2013-10-02  127.83  127.83  125.47  127.72  905000  127.72
2013-10-01  125.95  128.54  125.7  126.54  1004400  126.54
2013-09-30  127.58  129.2  125.43  125.94  727900  125.94
2013-09-27  128.18  129.34  127.28  128.13  505800  128.13
2013-09-26  129.42  129.42  127.63  128.53  523300  128.53
2013-09-25  127.48  129.17  126.66  128.68  651300  128.68
2013-09-24  129.58  129.92  127.13  127.35  621200  127.35
2013-09-23  130.25  131.47  129.16  129.53  681300  129.53
2013-09-20  132.9  133.18  130.76  130.76  1055000  130.76
2013-09-19  132.56  133.93  131.54  132.99  831100  132.99
2013-09-18  127.21  132.84  126.62  132.53  1071700  132.53
2013-09-17  127.13  129.15  126.8  127.0  401500  127.0
2013-09-16  129.43  130.38  127.28  127.8  414300  127.8
2013-09-13  126.53  127.91  126.28  126.98  428600  126.98
2013-09-12  127.45  128.38  126.46  127.19  583100  127.19
2013-09-11  126.49  127.78  125.5  127.72  446900  127.72
2013-09-10  126.24  126.55  124.78  126.13  350600  126.13
2013-09-09  124.27  126.03  123.62  126.0  562300  126.0
2013-09-06  122.39  124.48  122.14  123.44  523900  123.44
2013-09-05  122.09  122.11  120.11  121.53  454600  121.53
2013-09-04  120.37  122.86  119.72  122.21  515900  122.21
2013-09-03  122.64  122.68  119.25  120.62  789500  120.62
2013-08-30  122.47  123.37  121.36  121.78  547500  121.78
2013-08-29  121.34  122.5  120.39  122.17  408000  122.17
2013-08-28  123.58  123.69  121.75  122.32  458600  122.32
2013-08-27  121.23  124.57  121.23  123.63  425700  123.63
2013-08-26  124.02  125.19  123.71  124.63  692800  124.63
2013-08-23  123.56  124.15  122.03  124.07  500400  124.07
2013-08-22  121.9  123.73  120.65  123.06  684600  123.06
2013-08-21  121.16  123.39  119.45  121.64  580500  121.64
2013-08-20  120.31  122.36  120.31  121.73  817600  121.73
2013-08-19  120.32  121.38  119.9  120.27  720700  120.27
2013-08-16  123.32  123.41  120.46  120.69  1502700  120.69
2013-08-15  123.44  126.55  123.14  123.24  770200  123.24
2013-08-14  127.62  127.83  126.19  126.35  423400  126.35
2013-08-13  129.65  129.65  127.01  127.49  501600  127.49
2013-08-12  130.7  130.7  128.31  129.52  479700  129.52
2013-08-09  129.84  131.59  129.37  130.84  494700  130.84
2013-08-08  130.47  130.7  128.97  129.77  546700  129.77
2013-08-07  130.25  130.87  129.42  129.96  582100  129.96
2013-08-06  130.91  132.16  130.12  130.84  507800  130.84
2013-08-05  129.85  131.77  129.85  130.9  491800  130.9
2013-08-02  132.6  133.9  131.5  131.66  644700  131.66
2013-08-01  133.55  134.13  132.25  132.6  592200  132.6
2013-07-31  135.79  135.97  131.55  133.02  963700  133.02
2013-07-30  136.29  136.68  134.29  134.9  682200  134.9
2013-07-29  136.04  136.38  134.82  135.28  499900  135.28
2013-07-26  135.04  136.69  134.5  136.6  443300  136.6
2013-07-25  135.22  136.45  133.26  135.58  959200  135.58
2013-07-24  137.79  138.21  134.7  135.73  830600  135.73
2013-07-23  138.72  138.86  137.49  137.93  726400  137.93
2013-07-22  138.07  138.81  137.63  138.36  511400  138.36
2013-07-19  138.55  138.97  137.12  137.96  1109800  137.96
2013-07-18  138.67  139.29  137.67  138.63  706600  138.63
2013-07-17  138.06  138.89  136.99  138.18  422200  138.18
2013-07-16  137.32  139.11  137.26  137.93  444700  137.93
2013-07-15  137.37  138.33  136.8  137.28  304300  137.28
2013-07-12  138.58  138.75  137.28  138.05  974800  138.05
2013-07-11  136.3  138.62  136.3  137.98  761700  137.98
2013-07-10  134.94  135.24  133.36  135.15  633000  135.15
2013-07-09  132.76  135.57  132.24  134.96  637300  134.96
2013-07-08  132.8  134.02  131.84  132.12  690500  132.12
2013-07-05  133.41  133.8  129.82  132.7  788800  132.7
2013-07-03  134.08  134.46  132.0  133.41  528100  133.41
2013-07-02  132.89  135.09  132.89  134.61  964900  134.61
2013-07-01  132.5  135.1  132.5  133.03  984000  133.03
2013-06-28  133.78  134.58  132.52  132.6  1675100  132.6
2013-06-27  134.02  135.02  133.47  134.13  1145200  134.13
2013-06-26  133.53  135.2  132.63  132.89  1182300  132.89
2013-06-25  131.55  133.05  130.23  132.07  1075600  132.07
2013-06-24  127.19  133.48  125.47  130.22  1358200  130.22
2013-06-21  125.44  129.48  125.44  128.41  1298400  128.41
2013-06-20  126.75  126.88  123.76  124.79  904500  124.79
2013-06-19  131.46  131.86  126.92  127.52  554000  127.52
2013-06-18  131.01  132.42  130.56  131.54  456000  131.54
2013-06-17  131.94  132.65  130.17  130.92  855400  130.92
2013-06-14  131.11  132.44  130.13  131.24  536500  131.24
2013-06-13  126.48  131.68  126.37  131.21  822200  131.21
2013-06-12  128.27  128.27  125.79  126.08  710600  126.08
2013-06-11  129.6  129.6  127.77  127.82  933000  127.82
2013-06-10  131.14  131.58  129.62  130.13  501100  130.13
2013-06-07  130.93  131.41  128.95  131.13  571900  131.13
2013-06-06  130.8  131.92  129.6  131.15  697300  131.15
2013-06-05  132.41  133.03  130.63  130.92  709300  130.92
2013-06-04  132.23  133.6  131.52  132.67  1219500  132.67
2013-06-03  129.37  132.7  128.33  131.88  1204100  131.88
2013-05-31  129.57  131.45  129.24  129.36  1733200  129.36
2013-05-30  133.26  133.59  129.83  130.04  824400  130.04
2013-05-29  132.28  133.51  129.01  133.26  2020000  133.26
2013-05-28  136.08  136.8  132.49  133.18  1198100  133.18
2013-05-24  134.93  135.33  133.87  135.13  808300  135.13
2013-05-23  133.59  135.53  132.7  135.53  5081300  135.53
2013-05-22  138.14  138.3  134.6  135.11  1483300  135.11
2013-05-21  137.49  138.42  136.99  137.94  509500  137.94
2013-05-20  135.2  137.53  135.12  137.14  923600  137.14
2013-05-17  134.66  135.55  134.58  135.24  892200  135.24
2013-05-16  133.22  135.85  133.22  134.59  1082700  134.59
2013-05-15  133.36  133.81  132.33  133.77  1063600  133.77
2013-05-14  131.22  133.25  131.22  133.24  1020200  133.24
2013-05-13  129.89  131.64  129.51  131.44  643400  131.44
2013-05-10  129.53  130.21  128.73  129.97  531100  129.97
2013-05-09  129.16  129.78  128.8  129.27  576800  129.27
2013-05-08  129.43  130.06  128.64  129.47  566900  129.47
2013-05-07  127.53  129.89  127.29  129.69  594700  129.69
2013-05-06  126.97  127.73  126.32  127.51  680800  127.51
2013-05-03  128.25  128.57  126.02  126.56  968700  126.56
2013-05-02  129.21  129.95  126.87  127.45  874200  127.45
2013-05-01  130.18  132.35  128.52  128.95  1024400  128.95
2013-04-30  127.77  129.73  127.52  129.73  735700  129.73
2013-04-29  127.33  127.99  126.61  127.79  440900  127.79
2013-04-26  127.96  128.28  126.49  126.98  509600  126.98
2013-04-25  128.68  128.73  127.3  127.87  574300  127.87
2013-04-24  128.84  129.71  128.53  128.79  673100  128.79
2013-04-23  129.1  129.1  127.84  128.61  713400  128.61
2013-04-22  129.84  129.84  128.26  128.77  691200  128.77
2013-04-19  129.2  130.1  128.57  129.76  590900  129.76
2013-04-18  128.32  129.05  127.22  128.73  519800  128.73
2013-04-17  130.27  130.27  127.86  127.93  1265600  127.93
2013-04-16  130.05  130.97  129.06  130.57  669900  130.57
2013-04-15  131.36  131.99  129.16  129.17  724600  129.17
2013-04-12  131.21  132.23  131.02  132.2  680800  132.2
2013-04-11  130.31  132.0  130.19  131.35  735100  131.35
2013-04-10  130.9  130.9  129.72  130.16  530200  130.16
2013-04-09  129.6  130.66  128.36  130.18  696000  130.18
2013-04-08  130.06  130.35  129.26  129.72  726400  129.72
2013-04-05  127.89  130.22  127.7  130.12  996000  130.12
2013-04-04  125.11  128.94  125.0  128.93  1109500  128.93
2013-04-03  125.04  125.31  124.34  124.82  717300  124.82
2013-04-02  125.67  125.98  124.72  124.95  598800  124.95
2013-04-01  124.01  124.93  123.52  124.9  580400  124.9
2013-03-28  123.71  123.93  122.98  123.52  989900  123.52
2013-03-27  123.34  123.86  122.85  123.49  654900  123.49
2013-03-26  122.87  124.41  122.87  123.93  790000  123.93
2013-03-25  123.02  123.33  122.17  122.33  795600  122.33
2013-03-22  121.4  123.3  121.32  122.63  842900  122.63
2013-03-21  121.67  122.73  121.24  121.29  603300  121.29
2013-03-20  122.42  122.92  121.69  122.34  567600  122.34
2013-03-19  122.93  123.45  121.13  122.01  652100  122.01
2013-03-18  123.72  124.52  122.41  122.55  818700  122.55
2013-03-15  124.45  124.69  123.37  124.12  1171800  124.12
2013-03-14  122.41  125.11  122.23  124.93  1557700  124.93
2013-03-13  121.27  122.78  120.71  122.58  1013300  122.58
2013-03-12  119.77  121.74  119.46  121.57  1870900  121.57
2013-03-11  119.92  120.17  118.96  119.91  787300  119.91
2013-03-08  120.78  120.89  119.08  119.97  1183700  119.97
2013-03-07  122.07  122.81  120.35  120.62  1177500  120.62
2013-03-06  122.65  122.99  121.6  122.05  714900  122.05
2013-03-05  122.91  123.51  122.01  122.54  730900  122.54
2013-03-04  121.65  122.59  121.27  122.45  1766100  122.45
2013-03-01  120.43  122.07  119.89  122.03  1117100  122.03
2013-02-28  121.75  122.31  120.62  120.7  1673200  120.7
2013-02-27  122.2  122.83  121.74  121.77  761900  121.77
2013-02-26  122.72  123.13  121.36  122.34  998700  122.34
2013-02-25  124.97  125.04  122.15  122.15  811100  122.15
2013-02-22  123.96  124.63  123.84  124.56  1064800  124.56
2013-02-21  125.32  125.56  123.46  123.47  1221900  123.47
2013-02-20  126.0  126.71  125.35  125.39  988900  125.39
2013-02-19  126.26  126.65  125.35  126.1  555500  126.1
2013-02-15  125.68  125.95  125.01  125.95  1187600  125.95
2013-02-14  125.12  126.48  125.12  125.74  621800  125.74
2013-02-13  126.76  126.89  125.58  125.92  590600  125.92
2013-02-12  125.34  126.57  125.02  126.5  685700  126.5
2013-02-11  124.57  126.05  124.57  125.48  1257400  125.48
2013-02-08  123.28  124.81  123.28  124.57  956400  124.57
2013-02-07  124.12  124.12  121.98  122.78  1070200  122.78
2013-02-06  122.12  126.15  121.95  124.23  2100200  124.23
2013-02-05  121.89  122.63  119.99  122.18  1805500  122.18
2013-02-04  121.83  122.18  120.18  121.76  3556300  121.76
2013-02-01  126.51  126.51  121.65  121.93  4489800  121.93
2013-01-31  129.52  130.77  122.49  125.49  3402500  125.49
