Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  15.39  15.67  15.33  15.47  2550400  15.47
2014-02-27  15.26  15.44  15.25  15.36  2620200  15.36
2014-02-26  15.48  15.58  15.28  15.31  4061800  15.31
2014-02-25  15.31  15.44  15.17  15.4  3324000  15.4
2014-02-24  15.18  15.44  15.14  15.24  3355600  15.24
2014-02-21  15.02  15.22  15.01  15.1  3375200  15.1
2014-02-20  15.1  15.21  14.72  14.98  4987800  14.98
2014-02-19  14.98  15.24  14.84  15.04  5599100  15.04
2014-02-18  14.5  15.07  14.5  15.02  6932900  15.02
2014-02-14  14.39  14.68  14.18  14.49  6935500  14.49
2014-02-13  14.84  15.31  14.4  14.54  13074000  14.54
2014-02-12  14.93  15.18  14.79  15.0  7024600  15.0
2014-02-11  14.68  14.9  14.41  14.88  4590600  14.88
2014-02-10  14.77  14.78  14.51  14.69  4290600  14.69
2014-02-07  14.58  14.75  14.46  14.74  2416500  14.74
2014-02-06  14.49  14.55  14.37  14.48  3402700  14.48
2014-02-05  14.36  14.51  14.28  14.48  3978200  14.48
2014-02-04  14.26  14.43  14.19  14.42  3950600  14.42
2014-02-03  14.71  14.83  14.18  14.22  4986000  14.22
2014-01-31  14.61  15.05  14.56  14.83  4575800  14.83
2014-01-30  14.93  14.98  14.61  14.87  7368800  14.87
2014-01-29  15.34  15.34  14.63  14.7  10565700  14.7
2014-01-28  15.42  15.82  15.42  15.59  5400000  15.59
2014-01-27  15.41  15.54  15.14  15.43  4673000  15.43
2014-01-24  16.15  16.15  15.27  15.44  9930700  15.44
2014-01-23  16.26  16.33  16.16  16.3  2914500  16.3
2014-01-22  16.4  16.48  16.19  16.4  3189500  16.4
2014-01-21  16.36  16.47  16.23  16.33  2858000  16.33
2014-01-17  16.54  16.54  16.05  16.25  5044500  16.25
2014-01-16  16.66  16.75  16.41  16.68  4305200  16.68
2014-01-15  16.67  16.93  16.59  16.74  4522400  16.74
2014-01-14  16.51  16.81  16.41  16.66  2640200  16.66
2014-01-13  16.69  16.86  16.38  16.43  4326400  16.43
2014-01-10  16.94  17.02  16.63  16.73  4006300  16.73
2014-01-09  16.93  17.08  16.73  16.91  3969800  16.91
2014-01-08  16.97  17.06  16.84  16.9  2696000  16.9
2014-01-07  16.93  17.15  16.89  17.02  3628800  17.02
2014-01-06  17.07  17.18  16.82  16.88  1663700  16.88
2014-01-03  17.0  17.09  16.85  16.99  1818900  16.99
2014-01-02  17.16  17.17  16.87  16.99  2339300  16.99
2013-12-31  17.18  17.34  17.11  17.15  2324100  17.15
2013-12-30  17.03  17.24  16.94  17.1  2405400  17.1
2013-12-27  17.36  17.38  17.18  17.25  1147000  17.25
2013-12-26  17.18  17.42  17.18  17.29  1239400  17.29
2013-12-24  17.19  17.28  17.04  17.17  874300  17.17
2013-12-23  17.39  17.43  17.14  17.16  2133100  17.16
2013-12-20  17.04  17.34  16.99  17.24  3546700  17.24
2013-12-19  16.91  17.1  16.83  17.09  2434300  17.09
2013-12-18  16.7  17.03  16.45  17.01  4579200  17.01
2013-12-17  16.91  16.97  16.73  16.85  2289000  16.85
2013-12-16  16.87  16.98  16.8  16.91  2212300  16.91
2013-12-13  16.73  16.89  16.58  16.75  2157200  16.75
2013-12-12  16.88  16.94  16.63  16.74  3828000  16.74
2013-12-11  17.75  17.75  16.78  16.96  10972900  16.96
2013-12-10  17.92  18.02  17.68  17.75  3062000  17.75
2013-12-09  17.68  17.86  17.64  17.84  1977200  17.84
2013-12-06  17.66  17.73  17.52  17.6  2173400  17.6
2013-12-05  17.63  17.63  17.44  17.48  2030000  17.48
2013-12-04  17.64  17.8  17.44  17.72  3193100  17.72
2013-12-03  17.57  17.72  17.43  17.7  3288600  17.7
2013-12-02  17.79  17.88  17.52  17.68  3460700  17.68
2013-11-29  17.72  18.05  17.67  17.76  2537600  17.76
2013-11-27  17.43  17.85  17.36  17.73  2866000  17.73
2013-11-26  17.5  17.57  17.29  17.44  2938500  17.44
2013-11-25  17.59  17.91  17.43  17.51  2281500  17.51
2013-11-22  17.34  17.48  17.28  17.41  2666200  17.41
2013-11-21  17.15  17.38  17.04  17.3  3825700  17.3
2013-11-20  17.1  17.36  17.0  17.07  3156900  17.07
2013-11-19  17.08  17.18  16.94  17.01  4804800  17.01
2013-11-18  17.38  17.41  17.0  17.05  3637200  17.05
2013-11-15  17.29  17.43  17.08  17.25  6179300  17.25
2013-11-14  17.46  17.49  17.21  17.28  6457400  17.28
2013-11-13  17.08  17.39  17.08  17.33  4032800  17.33
2013-11-12  17.14  17.31  17.04  17.13  4105100  17.13
2013-11-11  17.38  17.39  17.13  17.2  3173400  17.2
2013-11-08  17.45  17.63  17.25  17.33  6314700  17.33
2013-11-07  17.66  17.66  17.28  17.38  6841800  17.38
2013-11-06  17.55  17.65  17.43  17.64  6255400  17.64
2013-11-05  17.53  17.72  17.36  17.55  14821300  17.55
2013-11-04  18.22  18.26  17.54  17.61  8726400  17.61
2013-11-01  17.44  18.14  17.1  18.14  15069100  18.14
2013-10-31  18.16  18.85  16.89  17.37  35305400  17.37
2013-10-30  22.33  22.41  21.99  22.24  3161200  22.24
2013-10-29  22.35  22.7  22.06  22.21  3494100  22.21
2013-10-28  21.86  22.65  21.86  22.31  4562600  22.31
2013-10-25  21.61  21.84  21.37  21.83  2256400  21.83
2013-10-24  21.46  21.62  21.31  21.6  1801400  21.6
2013-10-23  21.18  21.48  20.98  21.45  3348100  21.45
2013-10-22  21.07  21.45  20.92  21.38  2788000  21.38
2013-10-21  21.2  21.21  20.88  20.95  1914200  20.95
2013-10-18  21.43  21.48  21.14  21.28  2164400  21.28
2013-10-17  20.75  21.23  20.65  21.21  1560200  21.21
2013-10-16  20.46  20.87  20.37  20.87  1825300  20.87
2013-10-15  20.72  20.77  20.35  20.37  1975300  20.37
2013-10-14  20.53  20.8  20.32  20.8  1418700  20.8
2013-10-11  20.38  20.71  20.19  20.67  2578300  20.67
2013-10-10  20.22  20.45  20.12  20.45  3672600  20.45
2013-10-09  19.85  20.23  19.74  20.01  4485600  20.01
2013-10-08  20.14  20.6  19.82  19.82  3763500  19.82
2013-10-07  19.85  20.13  19.66  19.82  1984100  19.82
2013-10-04  20.35  20.48  20.01  20.06  2802500  20.06
2013-10-03  20.67  20.69  20.18  20.36  2840000  20.36
2013-10-02  20.41  20.97  20.33  20.76  3103000  20.76
2013-10-01  20.42  20.71  20.35  20.57  2285500  20.57
2013-09-30  20.33  20.73  20.3  20.45  2904100  20.45
2013-09-27  20.57  20.66  20.48  20.58  1422500  20.58
2013-09-26  20.62  20.77  20.47  20.68  2020000  20.68
2013-09-25  21.06  21.08  20.6  20.6  1478800  20.6
2013-09-24  21.08  21.19  20.85  21.05  2007500  21.05
2013-09-23  21.12  21.2  20.92  21.11  1518500  21.11
2013-09-20  21.37  21.43  21.21  21.26  2253300  21.26
2013-09-19  21.68  21.78  21.33  21.4  3353100  21.4
2013-09-18  21.14  21.65  20.77  21.65  2955700  21.65
2013-09-17  20.95  21.24  20.76  21.15  2063700  21.15
