Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  90.25  92.14  90.09  91.28  4689200  91.28
2014-02-27  89.65  90.43  89.51  90.29  3075600  90.29
2014-02-26  90.16  90.69  89.21  89.73  4840200  89.73
2014-02-25  90.0  90.37  89.15  89.91  2914800  89.91
2014-02-24  88.79  90.43  88.79  89.92  3261200  89.92
2014-02-21  89.06  89.41  88.56  88.75  3808700  88.75
2014-02-20  88.8  89.23  88.12  89.01  4411800  89.01
2014-02-19  88.89  90.32  88.75  88.84  4332300  88.84
2014-02-18  88.8  89.14  88.29  89.02  3591600  89.02
2014-02-14  88.86  89.27  88.26  89.0  2671800  89.0
2014-02-13  88.37  88.98  88.01  88.9  2759700  88.9
2014-02-12  88.69  89.05  88.4  89.02  2488600  89.02
2014-02-11  88.36  88.84  88.17  88.58  3602400  88.58
2014-02-10  87.83  88.96  87.5  88.34  5387900  88.34
2014-02-07  85.96  87.17  85.78  87.0  4495200  87.0
2014-02-06  84.5  85.76  84.32  85.69  5432400  85.69
2014-02-05  83.51  84.12  82.95  83.72  3260100  83.72
2014-02-04  83.19  84.71  82.63  84.0  5380500  84.0
2014-02-03  84.99  85.42  82.77  82.86  5769800  82.86
2014-01-31  85.28  85.91  84.91  85.02  4778000  85.02
2014-01-30  86.45  86.98  86.07  86.62  4259000  86.62
2014-01-29  86.29  86.9  85.43  85.55  3357900  85.55
2014-01-28  85.85  87.18  85.6  86.64  4108700  86.64
2014-01-27  87.15  87.77  85.71  85.72  5651400  85.72
2014-01-24  88.56  89.37  86.66  86.95  6289300  86.95
2014-01-23  90.49  90.49  88.68  89.17  5260900  89.17
2014-01-22  90.64  91.42  90.62  91.13  3848700  91.13
2014-01-21  91.97  92.71  89.64  90.59  7954600  90.59
2014-01-17  91.83  93.62  90.55  90.97  14989900  90.97
2014-01-16  88.0  88.24  87.26  87.78  3326100  87.78
2014-01-15  87.46  88.53  87.08  88.25  4494900  88.25
2014-01-14  87.08  87.45  86.07  87.12  4777900  87.12
2014-01-13  88.52  89.0  86.88  86.99  5641000  86.99
2014-01-10  89.26  89.56  88.1  88.55  2901600  88.55
2014-01-09  89.89  89.93  88.07  88.88  3469200  88.88
2014-01-08  88.66  89.64  88.66  89.41  3880200  89.41
2014-01-07  89.94  90.47  88.78  89.13  4039500  89.13
2014-01-06  89.47  90.02  89.15  89.47  2844700  89.47
2014-01-03  88.92  89.85  88.4  89.51  3888500  89.51
2014-01-02  90.67  90.85  89.15  89.22  5112000  89.22
2013-12-31  89.64  90.56  89.29  90.5  3083500  90.5
2013-12-30  88.96  89.39  88.91  89.36  1769000  89.36
2013-12-27  88.59  89.28  88.59  88.96  1797400  88.96
2013-12-26  88.67  89.0  88.53  88.77  1745200  88.77
2013-12-24  88.11  88.51  87.96  88.46  1042700  88.46
2013-12-23  87.77  88.35  87.71  88.08  3242600  88.08
2013-12-20  86.48  87.55  86.21  87.34  6294500  87.34
2013-12-19  85.72  86.31  85.69  86.19  3956300  86.19
2013-12-18  84.08  85.9  83.34  85.77  5332300  85.77
2013-12-17  84.49  84.5  83.77  83.89  2893700  83.89
2013-12-16  83.74  84.75  83.74  84.3  3599000  84.3
2013-12-13  83.1  83.7  83.01  83.46  3594900  83.46
2013-12-12  83.57  84.07  83.0  83.09  3574300  83.09
2013-12-11  85.06  85.45  83.59  83.68  3782300  83.68
2013-12-10  85.16  85.52  84.86  85.07  2354200  85.07
2013-12-09  85.95  86.18  85.13  85.53  2436500  85.53
2013-12-06  85.37  85.87  85.13  85.71  2666600  85.71
2013-12-05  84.05  84.77  83.93  84.32  3677800  84.32
2013-12-04  83.99  85.02  83.54  84.28  3579700  84.28
2013-12-03  84.67  85.11  83.98  84.39  3546100  84.39
2013-12-02  85.8  86.31  84.94  85.07  3620800  85.07
2013-11-29  85.66  85.97  85.29  85.58  2144600  85.58
2013-11-27  85.04  85.44  84.76  85.37  2520000  85.37
2013-11-26  84.53  85.37  84.48  84.87  4896800  84.87
2013-11-25  84.1  84.54  83.86  84.37  3657700  84.37
2013-11-22  83.7  83.71  83.15  83.63  2690300  83.63
2013-11-21  82.41  83.78  82.35  83.73  4355200  83.73
2013-11-20  82.75  83.21  81.75  82.04  3510500  82.04
2013-11-19  82.17  82.67  82.06  82.25  2775000  82.25
2013-11-18  82.64  82.77  81.95  82.13  3104800  82.13
2013-11-15  82.82  83.05  82.16  82.59  4439700  82.59
2013-11-14  81.4  81.7  81.14  81.68  2284100  81.68
2013-11-13  80.36  81.26  80.01  81.23  2828200  81.23
2013-11-12  81.02  81.14  80.37  80.82  2237200  80.82
2013-11-11  81.38  81.47  80.98  81.19  2224200  81.19
2013-11-08  81.1  81.74  80.87  81.57  4369500  81.57
2013-11-07  82.12  82.39  80.67  80.71  3485800  80.71
2013-11-06  82.34  82.39  81.61  81.91  2636900  81.91
2013-11-05  81.42  81.92  80.88  81.69  2591400  81.69
2013-11-04  82.2  82.43  81.54  81.72  2643600  81.72
2013-11-01  81.91  82.43  81.58  81.95  3358900  81.95
2013-10-31  82.58  82.78  81.48  81.59  5637700  81.59
2013-10-30  83.49  83.62  82.59  82.89  3747800  82.89
2013-10-29  82.9  83.52  82.71  83.44  3485200  83.44
2013-10-28  82.51  82.93  81.82  82.55  4566100  82.55
2013-10-25  80.55  82.46  80.55  82.4  6291100  82.4
2013-10-24  80.56  80.79  80.24  80.69  3181800  80.69
2013-10-23  80.35  80.61  79.8  80.42  2895100  80.42
2013-10-22  80.56  80.96  80.22  80.66  3300000  80.66
2013-10-21  80.26  80.78  80.1  80.19  3691500  80.19
2013-10-18  79.9  80.47  79.1  80.31  7598200  80.31
2013-10-17  77.74  80.19  77.6  80.02  10366600  80.02
2013-10-16  75.44  76.55  75.25  76.12  6468200  76.12
2013-10-15  75.44  76.17  75.04  75.06  4113700  75.06
2013-10-14  75.13  75.91  74.9  75.87  3017200  75.87
2013-10-11  74.48  75.25  74.22  75.21  3913900  75.21
2013-10-10  73.0  74.48  72.82  74.47  3769900  74.47
2013-10-09  72.19  72.52  71.89  72.03  4701500  72.03
2013-10-08  72.84  72.91  71.94  72.03  3945800  72.03
2013-10-07  73.31  73.34  72.71  72.75  3320300  72.75
2013-10-04  73.69  74.14  73.42  74.12  2883500  74.12
2013-10-03  73.92  74.1  73.11  73.83  4364500  73.83
2013-10-02  74.94  75.1  73.98  74.39  4363400  74.39
2013-10-01  75.22  75.59  75.03  75.51  2969600  75.51
2013-09-30  74.55  75.43  74.22  75.1  3330500  75.1
2013-09-27  75.64  75.67  75.01  75.47  2522500  75.47
2013-09-26  75.57  76.57  75.35  75.89  2927000  75.89
2013-09-25  75.7  76.13  75.19  75.56  3090300  75.56
2013-09-24  75.96  76.51  75.53  75.64  3020200  75.64
2013-09-23  76.86  77.22  75.7  76.01  4078900  76.01
2013-09-20  77.19  77.46  76.72  76.89  10105500  76.89
2013-09-19  77.38  77.47  76.72  77.14  3997600  77.14
2013-09-18  76.56  77.38  76.12  77.21  4136000  77.21
2013-09-17  75.18  76.57  75.18  76.49  4047200  76.49
2013-09-16  75.92  76.01  75.02  75.18  4536200  75.18
2013-09-13  75.16  75.33  74.65  74.88  2664400  74.88
2013-09-12  74.87  75.19  74.55  74.87  2502200  74.87
2013-09-11  74.28  74.8  73.98  74.76  3297900  74.76
2013-09-10  73.8  74.24  73.58  74.18  3269100  74.18
2013-09-09  73.18  73.4  72.74  73.25  3189500  73.25
2013-09-06  73.51  73.61  72.0  72.94  3369200  72.94
2013-09-05  72.75  73.82  72.49  73.39  3600700  73.39
2013-09-04  72.11  73.09  71.83  72.73  2913300  72.73
2013-09-03  72.18  72.99  71.73  72.02  3994100  72.02
2013-08-30  71.75  71.84  71.07  71.51  3779500  71.51
2013-08-29  71.41  72.22  71.18  71.82  2957100  71.82
2013-08-28  71.3  71.94  71.14  71.61  2963200  71.61
2013-08-27  72.4  72.52  71.37  71.51  3712600  71.51
2013-08-26  73.35  74.06  73.02  73.2  2372400  73.2
2013-08-23  73.46  73.59  72.72  73.24  2518500  73.24
2013-08-22  73.25  73.59  72.99  73.45  2354900  73.45
2013-08-21  73.6  73.92  72.84  73.03  2983100  73.03
2013-08-20  73.99  74.25  73.38  73.85  2900900  73.85
2013-08-19  74.7  74.79  73.88  73.92  3478900  73.92
2013-08-16  74.44  74.93  74.23  74.75  4248200  74.75
2013-08-15  74.85  75.01  74.2  74.46  3834400  74.46
2013-08-14  75.62  76.01  75.33  75.46  2945400  75.46
2013-08-13  75.06  76.01  74.47  75.8  2964900  75.8
2013-08-12  74.69  75.19  74.47  75.07  2292600  75.07
2013-08-09  75.76  75.94  74.59  75.08  3963600  75.08
2013-08-08  75.36  76.83  75.05  75.76  3293600  75.76
2013-08-07  75.04  75.29  74.43  74.72  3083900  74.72
2013-08-06  75.45  75.68  75.05  75.39  2566000  75.39
2013-08-05  75.05  75.62  74.79  75.51  2237100  75.51
2013-08-02  75.2  75.31  74.58  75.27  2485400  75.27
2013-08-01  74.12  75.68  74.1  75.21  5981400  75.21
2013-07-31  74.73  75.44  73.06  73.36  10320700  73.36
2013-07-30  75.06  75.12  74.41  74.77  3762200  74.77
2013-07-29  74.74  74.94  73.91  74.64  3249400  74.64
2013-07-26  75.08  75.13  74.0  74.92  3537600  74.92
2013-07-25  74.64  75.39  74.61  75.35  4080300  75.35
2013-07-24  74.43  75.65  74.33  74.94  6139000  74.94
2013-07-23  74.61  74.76  73.94  73.99  4113000  73.99
2013-07-22  74.01  74.78  73.79  74.3  5456700  74.3
2013-07-19  73.21  74.33  73.06  73.65  8072500  73.65
2013-07-18  75.02  75.33  73.45  73.6  10352300  73.6
2013-07-17  74.93  77.02  74.2  76.37  16305300  76.37
2013-07-16  77.65  77.9  77.31  77.83  4637600  77.83
2013-07-15  78.17  78.19  77.06  77.41  4243300  77.41
2013-07-12  76.9  78.01  76.86  77.89  4878200  77.89
2013-07-11  77.11  77.19  76.13  76.51  5715000  76.51
2013-07-10  76.95  77.13  75.51  75.9  4872200  75.9
2013-07-09  77.31  77.52  76.65  77.18  3915200  77.18
2013-07-08  76.48  77.38  76.42  76.61  5106200  76.61
2013-07-05  74.89  75.94  74.7  75.88  4501500  75.88
2013-07-03  73.6  74.36  73.49  74.16  3007000  74.16
2013-07-02  75.01  75.86  73.88  74.2  5041200  74.2
2013-07-01  74.88  75.8  74.78  74.99  5007600  74.99
2013-06-28  74.37  74.69  73.69  74.12  7964400  74.12
2013-06-27  73.74  74.78  73.74  74.47  4215300  74.47
2013-06-26  73.0  73.61  72.69  73.26  4894200  73.26
2013-06-25  72.01  73.02  71.94  72.6  4754200  72.6
2013-06-24  71.95  72.21  71.06  71.39  6293100  71.39
