Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  537.8  541.74  534.68  538.44  350000  538.44
2014-02-27  534.78  538.92  531.07  538.46  260100  538.46
2014-02-26  540.04  545.43  532.4  535.04  409900  535.04
2014-02-25  549.85  549.85  538.16  539.3  263500  539.3
2014-02-24  544.9  544.9  540.06  542.21  220800  542.21
2014-02-21  534.06  540.75  533.42  538.96  365400  538.96
2014-02-20  538.22  539.5  535.16  538.59  280700  538.59
2014-02-19  539.51  543.83  535.75  536.34  259600  536.34
2014-02-18  540.88  544.58  538.55  542.0  370000  542.0
2014-02-14  544.38  544.38  537.54  539.08  342900  539.08
2014-02-13  540.0  544.0  536.0  540.8  325600  540.8
2014-02-12  561.62  561.62  536.33  542.07  390800  542.07
2014-02-11  530.5  539.2  526.12  536.12  303200  536.12
2014-02-10  531.45  534.61  523.13  526.43  548300  526.43
2014-02-07  517.41  537.47  517.17  534.4  713600  534.4
2014-02-06  493.01  518.81  493.01  517.16  606800  517.16
2014-02-05  482.02  488.26  481.53  487.32  234500  487.32
2014-02-04  484.39  488.07  481.3  486.19  376000  486.19
2014-02-03  496.94  498.04  481.74  483.06  402000  483.06
2014-01-31  494.72  497.89  494.11  495.06  347100  495.06
2014-01-30  492.86  500.48  492.86  498.92  317100  498.92
2014-01-29  498.95  501.42  492.32  492.94  307700  492.94
2014-01-28  503.8  507.79  499.45  501.03  332000  501.03
2014-01-27  508.99  508.99  496.72  503.6  521600  503.6
2014-01-24  499.0  506.46  498.2  499.25  447000  499.25
2014-01-23  503.26  504.17  497.44  499.29  182400  499.29
2014-01-22  503.0  506.1  501.34  503.38  392300  503.38
2014-01-21  498.86  507.72  498.86  502.24  390200  502.24
2014-01-17  500.0  505.86  496.47  505.86  486800  505.86
2014-01-16  495.03  497.25  491.05  495.47  222300  495.47
2014-01-15  497.0  498.38  492.3  495.08  194000  495.08
2014-01-14  498.24  498.24  487.3  495.78  350800  495.78
2014-01-13  490.19  495.0  485.53  486.38  419300  486.38
2014-01-10  492.99  493.11  488.82  490.0  393100  490.0
2014-01-09  489.26  493.22  486.87  492.45  354300  492.45
2014-01-08  483.59  489.07  481.94  489.07  312100  489.07
2014-01-07  479.22  486.4  478.52  483.59  417300  483.59
2014-01-06  478.51  483.3  476.81  478.77  357100  478.77
2014-01-03  474.28  478.58  472.78  475.5  193500  475.5
2014-01-02  477.67  479.7  472.51  474.11  151800  474.11
2013-12-31  483.74  483.74  475.82  477.94  174800  477.94
2013-12-30  476.83  479.66  474.53  479.33  195100  479.33
2013-12-27  475.38  479.0  474.08  476.83  180600  476.83
2013-12-26  479.95  479.95  474.46  476.85  125000  476.85
2013-12-24  479.95  479.95  471.36  475.57  86900  475.57
2013-12-23  465.34  474.99  465.34  472.32  269000  472.32
2013-12-20  472.39  473.93  470.95  473.19  446900  473.19
2013-12-19  471.24  473.33  467.4  470.84  287300  470.84
2013-12-18  464.75  471.2  461.6  470.56  319300  470.56
2013-12-17  463.77  467.34  461.14  461.76  274300  461.76
2013-12-16  466.27  469.07  463.7  464.0  280500  464.0
2013-12-13  466.29  470.77  463.85  465.18  217200  465.18
2013-12-12  466.38  469.41  463.5  465.9  266200  465.9
2013-12-11  470.86  473.68  466.24  467.79  448100  467.79
2013-12-10  467.47  484.16  461.61  471.86  965300  471.86
2013-12-09  456.88  462.73  456.03  457.34  567100  457.34
2013-12-06  462.63  464.1  458.87  459.6  228200  459.6
2013-12-05  459.99  463.19  457.36  460.0  226200  460.0
