Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  16.49  16.65  16.35  16.53  126252100  16.53
2014-02-27  16.27  16.49  16.21  16.49  71314500  16.49
2014-02-26  16.36  16.4  16.13  16.33  89831600  16.33
2014-02-25  16.5  16.56  16.32  16.34  81457000  16.34
2014-02-24  16.3  16.63  16.3  16.53  102909600  16.53
2014-02-21  16.29  16.49  16.25  16.29  106236900  16.29
2014-02-20  16.22  16.36  16.18  16.3  107425900  16.3
2014-02-19  16.38  16.45  16.18  16.2  137734500  16.2
2014-02-18  16.7  16.74  16.47  16.47  121778600  16.47
2014-02-14  16.74  16.76  16.65  16.7  100684300  16.7
2014-02-13  16.65  16.82  16.63  16.75  95756900  16.75
2014-02-12  16.87  16.91  16.65  16.75  96948900  16.75
2014-02-11  16.73  16.92  16.64  16.88  92617500  16.88
2014-02-10  16.71  16.73  16.6  16.72  95792500  16.72
2014-02-07  16.82  16.88  16.63  16.82  122571100  16.82
2014-02-06  16.45  16.73  16.44  16.69  110029100  16.69
2014-02-05  16.31  16.45  16.15  16.4  110576200  16.4
2014-02-04  16.49  16.56  16.26  16.35  125337000  16.35
2014-02-03  16.77  16.88  16.3  16.35  159981200  16.35
2014-01-31  16.72  16.98  16.61  16.75  139432100  16.75
2014-01-30  16.81  16.99  16.77  16.93  91028200  16.93
2014-01-29  16.55  16.85  16.49  16.68  130026900  16.68
2014-01-28  16.45  16.76  16.37  16.73  92891300  16.73
2014-01-27  16.37  16.54  16.06  16.31  134872600  16.31
2014-01-24  16.67  16.72  16.45  16.45  112899300  16.45
2014-01-23  17.07  17.09  16.74  16.86  123765900  16.86
2014-01-22  17.08  17.15  17.0  17.15  68114400  17.15
2014-01-21  17.08  17.16  16.87  17.01  118269200  17.01
2014-01-17  17.2  17.22  16.99  17.01  96232200  17.01
2014-01-16  17.09  17.14  16.99  17.08  163613100  17.08
2014-01-15  17.23  17.42  17.11  17.15  329333100  17.15
2014-01-14  16.54  16.77  16.53  16.77  97786600  16.77
2014-01-13  16.79  16.8  16.4  16.43  90025400  16.43
2014-01-10  16.75  16.79  16.61  16.77  87454100  16.77
2014-01-09  16.67  16.93  16.61  16.83  100947200  16.83
2014-01-08  16.67  16.69  16.52  16.58  101036400  16.58
2014-01-07  16.77  16.79  16.45  16.5  110605100  16.5
2014-01-06  16.63  16.73  16.56  16.66  114431300  16.66
2014-01-03  16.27  16.5  16.23  16.41  129921800  16.41
2014-01-02  15.69  16.16  15.68  16.1  148709900  16.1
2013-12-31  15.6  15.62  15.51  15.57  57188900  15.57
2013-12-30  15.64  15.69  15.52  15.54  56218800  15.54
2013-12-27  15.67  15.7  15.58  15.67  40049300  15.67
2013-12-26  15.74  15.75  15.64  15.65  48803600  15.65
2013-12-24  15.72  15.75  15.67  15.7  21770400  15.7
2013-12-23  15.72  15.79  15.69  15.69  52565800  15.69
2013-12-20  15.75  15.87  15.6  15.6  131956000  15.6
2013-12-19  15.66  15.79  15.6  15.75  97918700  15.75
2013-12-18  15.28  15.71  15.06  15.69  152929300  15.69
2013-12-17  15.24  15.3  15.14  15.18  74247300  15.18
2013-12-16  15.22  15.34  15.2  15.24  71467000  15.24
2013-12-13  15.28  15.33  15.13  15.18  61575600  15.18
2013-12-12  15.26  15.35  15.12  15.25  76113900  15.25
2013-12-11  15.55  15.55  15.18  15.25  117565000  15.25
2013-12-10  15.52  15.68  15.51  15.56  67486300  15.56
2013-12-09  15.62  15.67  15.56  15.58  50167200  15.58
2013-12-06  15.61  15.72  15.46  15.56  92203100  15.56
2013-12-05  15.61  15.64  15.36  15.43  95230500  15.43
2013-12-04  15.39  15.73  15.36  15.63  96497900  15.63
2013-12-03  15.63  15.78  15.38  15.53  106450300  15.53
2013-12-02  15.83  15.96  15.69  15.72  92987400  15.72
2013-11-29  15.83  15.91  15.78  15.81  44288400  15.81
2013-11-27  15.86  15.93  15.75  15.82  75503600  15.82
2013-11-26  15.83  15.96  15.8  15.87  114833700  15.87
2013-11-25  15.66  15.97  15.65  15.8  153765500  15.8
2013-11-22  15.69  15.78  15.59  15.63  110331100  15.63
2013-11-21  15.21  15.59  15.19  15.58  142053600  15.58
2013-11-20  15.24  15.26  15.07  15.13  107174900  15.13
2013-11-19  14.97  15.29  14.96  15.19  161505600  15.19
2013-11-18  14.97  15.16  14.85  14.91  145554400  14.91
2013-11-15  14.78  14.94  14.76  14.91  105475300  14.91
2013-11-14  14.67  14.81  14.6  14.79  128999400  14.79
2013-11-13  14.25  14.63  14.19  14.63  128018500  14.63
2013-11-12  14.32  14.45  14.25  14.31  69498300  14.31
2013-11-11  14.26  14.41  14.23  14.39  66357400  14.39
2013-11-08  13.85  14.31  13.83  14.31  158227300  14.31
2013-11-07  13.99  14.02  13.79  13.79  80775000  13.79
2013-11-06  13.98  14.01  13.9  13.95  66712900  13.95
2013-11-05  13.98  14.01  13.89  13.92  71809700  13.92
2013-11-04  14.08  14.11  13.99  14.03  53063200  14.03
2013-11-01  13.99  14.09  13.95  14.01  75610400  14.01
2013-10-31  14.13  14.15  13.95  13.96  105713400  13.96
2013-10-30  14.18  14.28  14.14  14.16  76624200  14.16
2013-10-29  14.25  14.28  14.05  14.14  79563100  14.14
2013-10-28  14.28  14.31  14.2  14.22  62328000  14.22
2013-10-25  14.14  14.26  14.13  14.25  58592400  14.25
2013-10-24  14.11  14.19  14.06  14.16  92566100  14.16
2013-10-23  14.44  14.47  14.16  14.2  108529700  14.2
2013-10-22  14.54  14.62  14.44  14.51  102836000  14.51
