Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  69.0  69.73  68.77  69.5  3864400  69.5
2014-02-27  69.15  69.49  68.06  68.89  3614000  68.89
2014-02-26  68.63  69.72  68.53  69.21  4075800  69.21
2014-02-25  69.47  69.47  68.58  68.66  2555400  68.66
2014-02-24  69.48  70.15  69.45  69.48  2624000  69.48
2014-02-21  69.39  69.95  69.13  69.29  3905400  69.29
2014-02-20  69.1  69.68  69.09  69.35  2567800  69.35
2014-02-19  69.01  70.03  69.01  69.12  2500400  69.12
2014-02-18  69.45  69.61  69.02  69.29  2353600  69.29
2014-02-14  68.89  69.31  68.83  69.08  2462500  69.08
2014-02-13  68.96  69.35  68.62  69.26  2267100  69.26
2014-02-12  69.66  69.82  69.06  69.12  2515700  69.12
2014-02-11  68.3  69.69  68.16  69.45  2382800  69.45
2014-02-10  67.77  68.39  67.65  68.3  2087600  68.3
2014-02-07  67.29  68.21  67.14  67.9  3076100  67.9
2014-02-06  67.54  67.67  67.04  67.09  3559900  67.09
2014-02-05  66.78  67.6  66.68  67.3  2628700  67.3
2014-02-04  66.65  67.07  66.44  66.95  2715400  66.95
2014-02-03  68.35  68.49  66.44  66.55  4812900  66.55
2014-01-31  68.62  68.78  68.25  68.3  4409500  68.3
2014-01-30  68.76  69.43  68.44  69.27  3773600  69.27
2014-01-29  68.33  69.11  68.01  68.4  3629200  68.4
2014-01-28  68.01  68.73  67.9  68.5  2971600  68.5
2014-01-27  67.76  68.35  67.71  67.88  3808900  67.88
2014-01-24  68.53  68.73  67.31  67.64  4124200  67.64
2014-01-23  70.45  70.74  68.98  69.0  4464100  69.0
2014-01-22  69.62  70.1  69.48  69.74  3375500  69.74
2014-01-21  70.03  70.14  69.22  69.56  3220400  69.56
2014-01-17  69.96  70.12  69.52  69.93  3000500  69.93
2014-01-16  69.37  70.47  69.37  70.06  2596000  70.06
2014-01-15  69.78  69.91  68.96  69.83  2801500  69.83
2014-01-14  70.14  70.33  69.38  69.66  4011900  69.66
2014-01-13  69.8  70.65  69.8  70.1  4022200  70.1
2014-01-10  70.2  70.21  69.72  70.01  3104000  70.01
2014-01-09  70.18  70.29  69.46  70.21  3924800  70.21
2014-01-08  69.78  70.05  69.53  70.02  3214400  70.02
2014-01-07  69.21  69.98  68.92  69.79  3541100  69.79
2014-01-06  69.83  69.94  69.04  69.42  3160800  69.42
2014-01-03  69.39  69.67  69.06  69.3  1785300  69.3
2014-01-02  69.54  69.68  69.04  69.19  2070000  69.19
2013-12-31  69.34  69.81  69.26  69.55  1661500  69.55
2013-12-30  69.42  69.49  69.02  69.25  2276600  69.25
2013-12-27  69.32  69.49  69.04  69.47  1295300  69.47
