Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  37.54  38.21  37.5  37.8  3996200  37.8
2014-02-27  37.33  37.72  37.21  37.51  4075100  37.51
2014-02-26  37.62  37.89  37.55  37.81  1904000  37.81
2014-02-25  37.63  37.79  37.49  37.55  2189600  37.55
2014-02-24  37.03  37.86  37.02  37.7  3577100  37.7
2014-02-21  37.24  37.4  37.05  37.22  3957700  37.22
2014-02-20  36.88  37.29  36.57  37.18  2703000  37.18
2014-02-19  37.44  37.59  36.73  36.81  3926300  36.81
2014-02-18  37.56  37.7  37.4  37.56  1785600  37.56
2014-02-14  37.4  37.7  37.28  37.6  2203500  37.6
2014-02-13  36.89  37.47  36.89  37.43  2834000  37.43
2014-02-12  37.37  37.66  37.03  37.24  3190600  37.24
2014-02-11  37.27  37.5  37.12  37.39  3536700  37.39
2014-02-10  36.98  37.35  36.8  37.32  2758600  37.32
2014-02-07  37.05  37.21  36.69  37.06  2282600  37.06
2014-02-06  36.49  36.9  36.35  36.86  2368000  36.86
2014-02-05  36.41  36.61  36.2  36.43  2545300  36.43
2014-02-04  36.4  36.68  36.06  36.55  2761400  36.55
2014-02-03  37.22  37.25  36.13  36.19  4340900  36.19
2014-01-31  37.17  37.53  36.91  37.18  3099500  37.18
2014-01-30  37.49  37.73  37.2  37.64  2715100  37.64
2014-01-29  37.27  37.6  36.88  37.15  3728900  37.15
2014-01-28  37.13  37.69  37.12  37.65  4852100  37.65
2014-01-27  38.03  38.18  37.54  37.56  5370500  37.56
2014-01-24  38.25  38.41  37.97  38.03  4785000  38.03
2014-01-23  38.69  38.69  38.24  38.52  4772400  38.52
2014-01-22  39.01  39.07  38.81  39.02  4390800  39.02
2014-01-21  38.61  39.1  38.53  39.07  5777700  39.07
2014-01-17  38.8  38.88  38.42  38.54  4857700  38.54
2014-01-16  38.15  38.5  37.79  38.49  6083700  38.49
2014-01-15  38.29  38.71  38.28  38.54  5083100  38.54
2014-01-14  38.39  38.39  37.95  38.2  5714500  38.2
2014-01-13  38.33  38.53  38.1  38.3  8287800  38.3
2014-01-10  38.19  38.54  38.06  38.42  6802100  38.42
2014-01-09  38.02  38.33  37.96  38.17  4480600  38.17
2014-01-08  37.5  37.96  37.44  37.91  5537000  37.91
2014-01-07  37.49  37.84  37.49  37.8  7039600  37.8
2014-01-06  37.13  37.35  37.03  37.2  4863400  37.2
2014-01-03  36.64  36.85  36.52  36.7  2176100  36.7
2014-01-02  36.96  36.96  36.48  36.55  3185400  36.55
2013-12-31  36.95  37.19  36.9  37.09  2702800  37.09
2013-12-30  36.87  37.04  36.76  36.93  2278200  36.93
2013-12-27  36.93  37.1  36.81  36.87  1939200  36.87
2013-12-26  37.02  37.19  36.87  36.93  3432900  36.93
2013-12-24  36.94  37.15  36.86  37.01  1687500  37.01
2013-12-23  36.52  37.06  36.44  37.01  4739200  37.01
2013-12-20  36.52  36.61  36.26  36.46  5025300  36.46
2013-12-19  35.89  36.42  35.76  36.37  5628800  36.37
2013-12-18  35.28  36.04  35.2  36.03  5393900  36.03
2013-12-17  35.59  35.65  35.19  35.27  3445200  35.27
2013-12-16  35.2  35.81  35.06  35.65  4390200  35.65
2013-12-13  35.15  35.36  34.88  35.12  4333500  35.12
2013-12-12  34.53  35.33  34.41  35.14  6661200  35.14
2013-12-11  34.35  34.7  34.15  34.47  5817800  34.47
2013-12-10  34.5  34.65  34.31  34.35  2696100  34.35
2013-12-09  34.78  34.88  34.6  34.63  3283200  34.63
2013-12-06  34.69  34.84  34.51  34.74  3736700  34.74
2013-12-05  34.41  34.5  34.22  34.28  3867900  34.28
2013-12-04  34.45  34.79  34.31  34.59  6089700  34.59
2013-12-03  34.33  34.6  33.85  34.08  3649700  34.08
2013-12-02  34.61  34.85  34.43  34.49  3034100  34.49
2013-11-29  34.79  34.85  34.52  34.53  1940200  34.53
2013-11-27  34.79  34.83  34.59  34.69  2678800  34.69
2013-11-26  34.64  34.86  34.54  34.8  4189700  34.8
2013-11-25  34.64  34.9  34.59  34.66  2807900  34.66
2013-11-22  34.14  34.59  33.94  34.53  3355300  34.53
2013-11-21  33.9  34.26  33.88  34.18  2575800  34.18
2013-11-20  33.66  33.92  33.48  33.8  3005900  33.8
2013-11-19  33.76  33.82  33.49  33.65  2577200  33.65
2013-11-18  33.57  33.91  33.44  33.63  3145300  33.63
2013-11-15  33.5  33.7  33.36  33.57  3972300  33.57
2013-11-14  33.15  33.36  32.99  33.35  3192900  33.35
2013-11-13  32.74  33.1  32.65  33.06  4420300  33.06
2013-11-12  33.25  33.28  32.82  32.84  3582000  32.84
2013-11-11  33.36  33.41  33.1  33.29  3049300  33.29
2013-11-08  32.67  33.45  32.62  33.42  6757800  33.42
2013-11-07  33.39  33.46  32.67  32.68  4660600  32.68
2013-11-06  33.29  33.37  33.16  33.34  2967200  33.34
2013-11-05  33.31  33.35  33.16  33.23  3388300  33.23
2013-11-04  33.56  33.56  33.28  33.43  2307100  33.43
2013-11-01  33.51  33.82  33.44  33.45  3211400  33.45
2013-10-31  33.97  33.97  33.53  33.53  4056800  33.53
2013-10-30  34.09  34.22  33.94  33.99  3769400  33.99
2013-10-29  34.41  34.43  34.03  34.11  3238300  34.11
2013-10-28  34.33  34.46  34.15  34.33  2772500  34.33
2013-10-25  34.11  34.41  34.08  34.36  2447100  34.36
2013-10-24  34.4  34.45  34.06  34.18  2381500  34.18
2013-10-23  34.02  34.44  33.88  34.26  4934900  34.26
2013-10-22  33.66  34.37  33.5  34.24  7037400  34.24
2013-10-21  33.12  33.71  33.07  33.62  4688200  33.62
2013-10-18  33.66  33.66  32.97  33.17  7211800  33.17
2013-10-17  33.32  33.8  32.92  33.56  5323400  33.56
2013-10-16  33.39  33.92  33.25  33.78  3717700  33.78
2013-10-15  33.34  33.4  33.04  33.1  2858300  33.1
2013-10-14  33.13  33.43  33.09  33.38  2250100  33.38
2013-10-11  33.16  33.4  32.81  33.29  3169700  33.29
2013-10-10  32.74  33.26  32.74  33.26  3708000  33.26
2013-10-09  32.28  32.48  32.26  32.34  3056900  32.34
2013-10-08  32.7  32.82  32.23  32.24  3307600  32.24
2013-10-07  32.94  33.04  32.71  32.71  1759500  32.71
2013-10-04  32.97  33.28  32.9  33.24  1943800  33.24
2013-10-03  33.25  33.3  32.83  32.97  3208900  32.97
2013-10-02  33.43  33.46  33.14  33.38  2674000  33.38
2013-10-01  33.49  33.65  33.36  33.59  2793700  33.59
2013-09-30  33.27  33.5  33.06  33.31  2592700  33.31
2013-09-27  33.27  33.59  33.25  33.53  3570400  33.53
2013-09-26  33.55  33.69  33.26  33.5  2380100  33.5
2013-09-25  33.42  33.7  33.03  33.54  3887300  33.54
2013-09-24  33.52  33.65  33.27  33.43  4736500  33.43
2013-09-23  34.47  34.55  33.67  33.75  3437600  33.75
2013-09-20  34.67  34.75  34.47  34.6  5078700  34.6
2013-09-19  34.8  34.86  34.3  34.61  6515600  34.61
2013-09-18  34.63  35.13  34.59  34.75  5299300  34.75
2013-09-17  34.45  34.62  34.12  34.61  4002700  34.61
2013-09-16  33.92  34.13  33.73  34.04  3320100  34.04
2013-09-13  33.39  33.63  33.31  33.57  1727100  33.57
2013-09-12  33.43  33.61  33.38  33.43  2400700  33.43
2013-09-11  33.36  33.57  33.16  33.42  2490900  33.42
2013-09-10  33.56  33.73  33.29  33.37  2860500  33.37
2013-09-09  33.07  33.35  32.87  33.32  2910500  33.32
2013-09-06  33.57  33.63  32.9  33.09  5480000  33.09
2013-09-05  33.51  33.73  33.37  33.49  3208000  33.49
2013-09-04  33.39  33.68  33.32  33.49  2463500  33.49
2013-09-03  33.96  34.02  33.11  33.37  3969800  33.37
2013-08-30  33.91  33.91  33.43  33.52  3077600  33.52
2013-08-29  33.81  34.15  33.71  33.82  2338000  33.82
2013-08-28  34.04  34.22  33.8  33.88  3546400  33.88
2013-08-27  34.81  34.81  33.98  34.04  3274100  34.04
2013-08-26  35.3  35.62  35.12  35.14  2393200  35.14
2013-08-23  35.55  35.69  35.17  35.3  3510900  35.3
2013-08-22  34.98  35.52  34.89  35.45  1814800  35.45
2013-08-21  35.11  35.19  34.74  34.88  3097500  34.88
2013-08-20  34.97  35.39  34.97  35.18  4275200  35.18
2013-08-19  35.03  35.13  34.87  35.03  2756400  35.03
2013-08-16  34.81  35.3  34.73  35.07  3553900  35.07
2013-08-15  35.05  35.17  34.77  34.86  2304500  34.86
2013-08-14  35.35  35.54  35.12  35.24  1743500  35.24
2013-08-13  35.14  35.65  35.1  35.41  3578200  35.41
2013-08-12  34.95  35.29  34.78  35.11  2211000  35.11
2013-08-09  35.03  35.28  34.91  35.0  2030700  35.0
2013-08-08  35.21  35.38  34.85  35.02  2486200  35.02
2013-08-07  35.2  35.32  34.88  35.04  2147000  35.04
2013-08-06  35.61  35.65  35.19  35.39  2083300  35.39
2013-08-05  35.66  35.89  35.43  35.7  2079400  35.7
2013-08-02  35.53  35.76  35.37  35.72  3179900  35.72
2013-08-01  35.29  35.76  35.16  35.73  2964600  35.73
2013-07-31  35.0  35.46  34.95  35.0  3405400  35.0
2013-07-30  34.97  35.19  34.84  34.92  2622600  34.92
2013-07-29  35.02  35.05  34.62  34.79  2382900  34.79
2013-07-26  34.63  35.07  34.63  35.05  2827100  35.05
2013-07-25  34.89  35.06  34.66  34.95  3259000  34.95
2013-07-24  35.08  35.22  34.93  35.0  1941500  35.0
2013-07-23  34.75  35.12  34.47  35.04  3191400  35.04
2013-07-22  34.4  34.84  34.36  34.78  3252600  34.78
2013-07-19  34.46  34.51  34.03  34.43  4637900  34.43
2013-07-18  33.87  34.51  33.55  34.39  5246500  34.39
2013-07-17  34.24  34.34  34.02  34.16  3582900  34.16
2013-07-16  34.44  34.52  33.61  34.17  4397600  34.17
2013-07-15  34.14  34.53  34.09  34.47  2956500  34.47
2013-07-12  34.0  34.23  33.62  34.13  4456100  34.13
2013-07-11  34.51  34.52  33.75  33.92  3825100  33.92
2013-07-10  34.39  34.41  33.88  34.13  3216000  34.13
2013-07-09  34.48  34.56  34.08  34.38  3442900  34.38
2013-07-08  34.33  34.43  34.16  34.28  3693900  34.28
2013-07-05  33.83  34.22  33.79  34.21  3325600  34.21
2013-07-03  33.32  33.66  33.18  33.51  1793500  33.51
