Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  144.62  145.62  142.97  144.16  656700  144.16
2014-02-27  142.68  145.21  142.68  144.69  823600  144.69
2014-02-26  142.04  144.06  141.68  143.04  911900  143.04
2014-02-25  143.01  143.78  140.65  141.96  1094800  141.96
2014-02-24  141.54  143.0  141.41  142.44  883300  142.44
2014-02-21  140.85  142.24  140.18  141.57  709600  141.57
2014-02-20  139.06  140.96  139.05  140.3  812300  140.3
2014-02-19  140.32  140.79  138.95  139.13  579300  139.13
2014-02-18  139.18  141.57  138.97  140.39  871400  140.39
2014-02-14  137.47  139.39  137.1  139.19  750500  139.19
2014-02-13  135.79  138.02  135.57  137.89  682500  137.89
2014-02-12  136.5  137.37  135.49  136.66  855200  136.66
2014-02-11  132.93  136.65  132.66  136.65  1237300  136.65
2014-02-10  130.93  133.23  130.33  133.14  1359600  133.14
2014-02-07  128.62  131.2  128.62  131.02  719400  131.02
2014-02-06  129.13  130.1  128.1  128.4  755300  128.4
2014-02-05  127.82  130.13  127.25  129.14  995400  129.14
2014-02-04  126.09  128.29  125.48  128.11  998900  128.11
2014-02-03  129.14  130.2  125.0  125.42  839700  125.42
2014-01-31  130.0  131.26  125.53  129.59  1479700  129.59
2014-01-30  131.47  131.84  129.78  131.02  885400  131.02
2014-01-29  130.44  132.12  129.67  130.31  745200  130.31
2014-01-28  130.04  131.83  129.83  130.75  693000  130.75
2014-01-27  132.69  132.71  129.82  129.87  821500  129.87
2014-01-24  135.52  135.52  133.06  133.09  636300  133.09
2014-01-23  135.44  136.16  134.79  135.94  640600  135.94
2014-01-22  136.0  136.62  135.93  136.32  339800  136.32
2014-01-21  136.38  136.89  135.56  136.02  505000  136.02
2014-01-17  136.3  137.0  134.81  135.21  722100  135.21
2014-01-16  135.62  136.53  134.26  136.39  566300  136.39
2014-01-15  135.05  135.79  134.67  135.79  538600  135.79
2014-01-14  133.44  135.34  133.35  135.2  464200  135.2
2014-01-13  133.61  134.91  133.03  133.48  648900  133.48
2014-01-10  134.46  134.64  132.89  134.2  530300  134.2
2014-01-09  132.7  134.55  132.54  134.54  523000  134.54
2014-01-08  131.85  132.55  131.17  132.53  794800  132.53
2014-01-07  129.82  132.03  129.82  130.69  733800  130.69
2014-01-06  130.04  130.04  127.94  129.11  1831900  129.11
2014-01-03  131.61  132.26  130.79  130.93  655200  130.93
2014-01-02  133.8  133.95  131.4  131.63  558600  131.63
2013-12-31  133.33  134.22  132.88  133.73  279700  133.73
2013-12-30  133.21  134.55  132.81  133.43  612700  133.43
2013-12-27  133.78  133.78  133.02  133.08  209200  133.08
2013-12-26  133.27  133.89  132.9  133.53  189100  133.53
2013-12-24  132.27  133.38  132.14  133.08  196000  133.08
2013-12-23  132.11  132.9  130.53  132.12  539600  132.12
