Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  83.12  83.16  82.96  82.96  5392100  82.96
2014-02-27  83.14  83.16  83.1  83.11  4172500  83.11
2014-02-26  83.26  83.26  83.14  83.14  5270300  83.14
2014-02-25  83.23  83.26  83.2  83.22  1586900  83.22
2014-02-24  83.24  83.34  83.17  83.22  4298400  83.22
2014-02-21  83.22  83.26  83.21  83.23  1450800  83.23
2014-02-20  83.21  83.28  83.21  83.21  1416900  83.21
2014-02-19  83.2  83.29  83.13  83.19  2260400  83.19
2014-02-18  83.27  83.3  83.15  83.21  1277300  83.21
2014-02-14  83.3  83.35  83.24  83.28  1889900  83.28
2014-02-13  83.29  83.36  83.26  83.32  1293000  83.32
2014-02-12  83.34  83.4  83.26  83.27  2088300  83.27
2014-02-11  83.3  83.4  83.26  83.4  1673200  83.4
2014-02-10  83.31  83.4  83.27  83.38  2825700  83.38
2014-02-07  83.23  83.4  83.2  83.4  1556600  83.4
2014-02-06  83.21  83.27  83.16  83.23  2123600  83.23
2014-02-05  83.06  83.25  83.06  83.25  4322200  83.25
2014-02-04  83.05  83.22  83.02  83.15  3656400  83.15
2014-02-03  83.11  83.14  83.0  83.0  4727600  83.0
2014-01-31  83.07  83.19  83.06  83.07  4261900  83.07
2014-01-30  83.08  83.37  83.07  83.17  9560800  83.17
2014-01-29  83.18  83.26  82.95  83.05  6514100  83.05
2014-01-28  83.17  83.25  83.1  83.19  2402400  83.19
2014-01-27  83.22  83.32  83.13  83.17  6878000  83.17
2014-01-24  83.32  83.43  83.22  83.22  2383300  83.22
2014-01-23  83.27  83.49  83.26  83.32  2443400  83.32
2014-01-22  83.57  83.61  83.27  83.27  2257500  83.27
2014-01-21  83.17  83.77  83.08  83.77  4011000  83.77
2014-01-17  83.22  83.31  83.1  83.11  5024400  83.11
2014-01-16  83.08  83.42  83.07  83.29  5414700  83.29
2014-01-15  82.92  83.22  82.92  83.17  4860600  83.17
2014-01-14  83.04  83.18  82.93  82.96  10632700  82.96
2014-01-13  83.21  83.38  82.75  83.19  36166100  83.19
2014-01-10  66.3  66.82  66.3  66.79  394000  66.79
2014-01-09  65.98  66.49  65.82  66.3  498900  66.3
2014-01-08  65.88  65.94  65.25  65.87  837800  65.87
2014-01-07  65.98  66.44  65.73  65.92  628400  65.92
2014-01-06  66.54  66.76  65.79  65.91  787800  65.91
2014-01-03  66.83  67.31  66.38  66.47  419300  66.47
2014-01-02  67.73  67.73  66.47  66.82  765200  66.82
2013-12-31  67.52  67.99  67.52  67.88  354600  67.88
2013-12-30  67.18  67.79  67.05  67.46  369900  67.46
2013-12-27  67.01  67.24  66.83  67.11  225500  67.11
2013-12-26  67.02  67.12  66.62  67.0  310400  67.0
2013-12-24  66.9  67.14  66.72  66.9  105100  66.9
2013-12-23  67.4  67.53  66.84  66.96  433300  66.96
2013-12-20  67.16  67.26  66.81  67.16  754700  67.16
2013-12-19  66.75  67.16  66.52  66.76  488600  66.76
2013-12-18  65.92  67.11  65.03  67.09  787200  67.09
2013-12-17  66.11  66.37  65.75  66.01  699400  66.01
2013-12-16  65.85  66.41  65.7  65.75  463600  65.75
2013-12-13  65.86  65.93  65.25  65.59  1115300  65.59
2013-12-12  66.96  66.98  65.54  65.76  964800  65.76
2013-12-11  67.22  67.74  67.01  67.2  1269300  67.2
2013-12-10  67.02  67.15  66.68  67.05  776500  67.05
2013-12-09  66.65  67.28  66.23  67.27  1123600  67.27
2013-12-06  66.57  66.57  65.71  66.53  905600  66.53
2013-12-05  66.35  66.62  65.65  65.97  673800  65.97
2013-12-04  66.4  66.57  65.48  66.47  463600  66.47
2013-12-03  66.01  66.76  65.88  66.62  361100  66.62
2013-12-02  67.32  67.32  66.25  66.37  490000  66.37
2013-11-29  67.56  67.71  67.22  67.35  230600  67.35
2013-11-27  66.91  67.65  66.53  67.55  390700  67.55
2013-11-26  67.22  67.37  66.72  66.81  705400  66.81
2013-11-25  67.73  67.94  67.2  67.45  353000  67.45
2013-11-22  67.72  67.93  67.33  67.67  404800  67.67
2013-11-21  67.51  68.07  67.33  67.8  470100  67.8
2013-11-20  67.43  68.05  67.1  67.2  580100  67.2
2013-11-19  67.44  68.07  67.35  67.46  899700  67.46
2013-11-18  67.83  68.04  67.33  67.48  411200  67.48
2013-11-15  68.27  68.56  67.39  67.84  350000  67.84
2013-11-14  67.85  68.36  67.61  68.09  474000  68.09
2013-11-13  67.08  67.69  66.49  67.68  460600  67.68
2013-11-12  67.44  67.7  67.14  67.26  334100  67.26
2013-11-11  68.02  68.54  67.2  67.69  408900  67.69
2013-11-08  67.07  67.95  66.84  67.94  712100  67.94
2013-11-07  68.32  68.32  66.91  67.36  885000  67.36
2013-11-06  66.88  68.51  66.88  68.4  1122400  68.4
2013-11-05  66.82  67.27  66.54  66.81  1252100  66.81
2013-11-04  66.91  67.2  66.74  66.96  1071900  66.96
2013-11-01  66.83  67.1  65.88  66.6  988700  66.6
2013-10-31  65.71  67.48  64.81  66.89  2043600  66.89
2013-10-30  69.86  69.92  67.31  67.42  1744600  67.42
2013-10-29  69.13  69.91  69.07  69.87  803900  69.87
2013-10-28  68.31  69.28  68.18  69.06  844300  69.06
2013-10-25  67.76  68.36  67.74  68.23  627700  68.23
2013-10-24  69.28  69.48  67.75  67.77  738600  67.77
2013-10-23  69.32  69.59  68.93  69.02  631300  69.02
2013-10-22  69.56  70.21  69.22  69.47  595100  69.47
2013-10-21  69.53  69.55  69.04  69.34  361800  69.34
2013-10-18  69.08  69.52  68.54  69.41  991600  69.41
2013-10-17  67.63  69.24  67.56  69.19  766600  69.19
2013-10-16  67.35  67.89  67.21  67.78  638900  67.78
2013-10-15  67.74  67.8  66.62  66.82  466800  66.82
2013-10-14  67.52  68.01  67.29  67.92  660100  67.92
2013-10-11  67.02  67.87  66.93  67.85  671800  67.85
2013-10-10  66.39  66.98  66.27  66.97  676600  66.97
2013-10-09  66.48  66.67  65.86  66.02  1168600  66.02
2013-10-08  66.9  67.27  66.33  66.35  1575500  66.35
2013-10-07  66.17  67.14  66.1  66.85  999900  66.85
2013-10-04  66.13  67.66  66.1  66.76  1605000  66.76
2013-10-03  66.29  66.48  65.5  66.19  1211800  66.19
2013-10-02  65.13  66.6  64.53  66.41  1681800  66.41
2013-10-01  64.08  65.32  64.03  65.32  759800  65.32
2013-09-30  63.6  64.61  63.42  64.26  1027300  64.26
2013-09-27  63.73  64.53  63.63  63.98  714100  63.98
2013-09-26  64.25  64.59  63.69  64.12  881800  64.12
2013-09-25  64.77  64.82  64.0  64.42  1279600  64.42
2013-09-24  65.17  65.3  64.57  64.63  843300  64.63
2013-09-23  65.11  65.5  64.9  65.26  566700  65.26
2013-09-20  66.16  66.23  65.31  65.34  1050300  65.34
2013-09-19  66.6  66.81  65.9  65.99  1264800  65.99
2013-09-18  65.35  66.59  64.78  66.51  1036700  66.51
2013-09-17  65.1  65.55  65.07  65.31  412500  65.31
2013-09-16  65.2  65.72  64.99  65.04  500100  65.04
