Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.29  55.84  55.27  55.56  599700  55.56
2014-02-27  54.86  55.3  54.79  55.3  731200  55.3
2014-02-26  54.77  55.16  54.65  54.82  597600  54.82
2014-02-25  54.74  54.85  54.43  54.57  644600  54.57
2014-02-24  54.79  55.24  54.7  54.75  680700  54.75
2014-02-21  54.76  55.23  54.53  54.79  2236800  54.79
2014-02-20  54.76  54.98  54.32  54.62  1030400  54.62
2014-02-19  54.54  55.43  54.54  54.78  880100  54.78
2014-02-18  54.47  55.04  54.42  54.74  1235000  54.74
2014-02-14  54.3  54.7  54.16  54.5  1499300  54.5
2014-02-13  53.43  54.74  53.37  54.35  1105600  54.35
2014-02-12  53.91  54.18  53.59  53.72  1363100  53.72
2014-02-11  53.0  54.06  52.91  53.81  949700  53.81
2014-02-10  52.55  53.21  52.51  53.13  1121400  53.13
2014-02-07  51.86  52.75  51.72  52.68  1228500  52.68
2014-02-06  51.53  51.9  51.19  51.89  1338700  51.89
2014-02-05  50.83  51.83  50.17  51.53  1672100  51.53
2014-02-04  51.27  51.44  50.1  51.07  2069100  51.07
2014-02-03  51.18  51.92  50.99  51.04  2194500  51.04
2014-01-31  50.84  51.65  50.64  51.07  1681800  51.07
2014-01-30  51.68  52.62  50.59  51.48  2554800  51.48
2014-01-29  47.76  49.32  47.63  48.95  1626600  48.95
2014-01-28  48.48  48.61  48.0  48.16  1289300  48.16
2014-01-27  48.6  49.55  48.32  48.42  1211700  48.42
2014-01-24  49.58  49.7  48.47  48.49  831600  48.49
2014-01-23  50.47  50.66  49.65  49.89  821000  49.89
2014-01-22  50.58  50.69  50.3  50.63  662700  50.63
2014-01-21  50.61  50.69  50.06  50.44  941000  50.44
2014-01-17  51.01  51.02  50.37  50.41  667700  50.41
2014-01-16  50.85  50.87  50.54  50.84  510800  50.84
2014-01-15  51.16  51.31  50.71  50.86  597500  50.86
2014-01-14  50.66  51.11  50.66  51.09  747400  51.09
2014-01-13  51.64  51.78  50.59  50.66  873500  50.66
2014-01-10  52.21  52.21  51.55  51.81  506500  51.81
2014-01-09  52.09  52.33  51.68  52.04  678800  52.04
2014-01-08  51.84  52.08  51.68  51.92  589300  51.92
2014-01-07  51.45  52.0  51.45  51.92  654800  51.92
2014-01-06  51.53  51.69  50.96  51.34  760000  51.34
2014-01-03  51.36  51.76  51.31  51.53  429900  51.53
2014-01-02  51.13  51.5  51.01  51.29  617400  51.29
2013-12-31  51.63  51.85  51.26  51.54  710500  51.54
2013-12-30  51.42  51.7  51.28  51.67  533500  51.67
2013-12-27  51.46  51.65  51.27  51.46  379800  51.46
2013-12-26  51.14  51.5  50.84  51.38  540300  51.38
2013-12-24  50.77  51.29  50.77  51.05  249200  51.05
2013-12-23  50.97  50.98  50.59  50.77  445700  50.77
2013-12-20  50.73  50.94  50.4  50.81  1018700  50.81
2013-12-19  50.9  50.96  50.31  50.63  892100  50.63
2013-12-18  50.08  51.14  49.9  51.06  1206900  51.06
2013-12-17  50.37  50.48  49.56  50.0  715900  50.0
2013-12-16  49.86  50.52  49.73  50.43  743400  50.43
2013-12-13  49.77  50.13  49.5  49.79  625500  49.79
2013-12-12  49.72  49.94  49.48  49.74  598200  49.74
2013-12-11  50.38  50.52  49.62  49.75  780700  49.75
2013-12-10  50.06  50.78  49.99  50.44  978200  50.44
2013-12-09  49.92  50.36  49.77  50.24  650100  50.24
2013-12-06  49.68  50.07  49.47  49.93  652200  49.93
2013-12-05  49.35  49.65  49.14  49.21  632200  49.21
2013-12-04  49.5  49.83  49.23  49.51  910700  49.51
2013-12-03  49.97  50.06  49.25  49.6  1017300  49.6
2013-12-02  49.89  50.56  49.62  50.08  683700  50.08
2013-11-29  50.43  50.49  49.82  49.86  514300  49.86
2013-11-27  50.16  50.49  49.95  50.3  456100  50.3
2013-11-26  50.0  50.29  49.73  50.02  836100  50.02
2013-11-25  49.94  50.19  49.85  49.95  560600  49.95
2013-11-22  50.07  50.21  49.61  49.76  836000  49.76
2013-11-21  49.76  50.26  49.72  50.07  617300  50.07
2013-11-20  50.26  50.46  49.57  49.61  776900  49.61
2013-11-19  50.08  50.44  49.96  50.26  519100  50.26
2013-11-18  49.91  50.4  49.79  50.07  620600  50.07
2013-11-15  49.95  50.17  49.49  49.92  1254200  49.92
2013-11-14  49.43  49.5  49.06  49.29  771900  49.29
2013-11-13  48.84  49.23  48.6  49.23  1233000  49.23
2013-11-12  49.4  49.45  48.91  49.1  842300  49.1
2013-11-11  49.29  49.66  49.14  49.47  653500  49.47
2013-11-08  49.13  49.54  49.08  49.26  880600  49.26
2013-11-07  49.78  50.11  49.08  49.12  944300  49.12
2013-11-06  49.44  49.95  49.34  49.79  1197300  49.79
2013-11-05  49.22  49.54  48.73  49.33  953100  49.33
2013-11-04  48.82  49.32  48.68  49.24  855900  49.24
2013-11-01  48.69  49.0  48.35  48.64  1044400  48.64
2013-10-31  48.31  48.95  48.12  48.65  1442300  48.65
2013-10-30  48.73  48.92  48.21  48.31  1218600  48.31
2013-10-29  48.63  48.77  48.55  48.62  787400  48.62
2013-10-28  48.38  48.66  48.18  48.53  990600  48.53
2013-10-25  47.72  48.52  47.69  48.36  1206900  48.36
2013-10-24  46.76  47.75  46.64  47.62  1569000  47.62
2013-10-23  45.95  46.07  45.04  45.78  1756900  45.78
2013-10-22  45.99  46.51  45.93  46.35  497300  46.35
2013-10-21  45.91  46.11  45.56  45.8  366500  45.8
2013-10-18  46.0  46.01  45.53  45.94  575200  45.94
2013-10-17  44.93  45.84  44.83  45.8  1274500  45.8
2013-10-16  44.85  45.01  44.56  45.0  1038800  45.0
2013-10-15  45.16  45.3  44.56  44.56  1185600  44.56
2013-10-14  45.02  45.4  44.79  45.34  743000  45.34
2013-10-11  44.62  45.28  44.42  45.26  1069100  45.26
2013-10-10  44.8  45.12  44.29  44.54  2069200  44.54
2013-10-09  44.48  44.67  44.07  44.42  877600  44.42
2013-10-08  44.47  44.82  44.36  44.44  1016700  44.44
2013-10-07  44.6  44.92  44.35  44.67  513400  44.67
2013-10-04  44.66  45.09  44.45  44.97  780900  44.97
2013-10-03  45.28  45.31  44.28  44.68  954400  44.68
2013-10-02  44.96  45.38  44.66  45.27  1319500  45.27
2013-10-01  44.66  45.33  44.55  45.2  698500  45.2
2013-09-30  44.43  44.89  44.2  44.66  1471500  44.66
2013-09-27  44.9  45.11  44.67  44.78  1341600  44.78
2013-09-26  45.31  45.71  44.97  45.25  439100  45.25
2013-09-25  44.6  45.46  44.48  45.18  1428300  45.18
2013-09-24  45.35  45.55  45.22  45.22  396100  45.22
2013-09-23  45.35  46.13  45.32  45.4  656700  45.4
2013-09-20  45.92  46.13  45.18  45.56  1590200  45.56
2013-09-19  46.22  46.57  45.84  45.85  556600  45.85
2013-09-18  45.46  46.47  45.04  46.23  975500  46.23
