Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  53.91  54.92  53.4  53.77  7802600  53.77
2014-02-27  53.56  54.1  53.5  53.95  6487400  53.95
2014-02-26  53.64  54.04  53.45  53.57  5892400  53.57
2014-02-25  54.33  54.53  53.63  53.68  7250300  53.68
2014-02-24  54.24  54.77  54.23  54.31  6620900  54.31
2014-02-21  53.41  54.57  53.38  54.14  7107300  54.14
2014-02-20  53.64  53.9  53.44  53.85  12437500  53.85
2014-02-19  54.23  54.62  53.42  53.46  8397400  53.46
2014-02-18  54.24  54.96  54.21  54.63  7657600  54.63
2014-02-14  53.41  54.47  53.4  54.37  8203900  54.37
2014-02-13  52.6  53.5  52.51  53.49  6062500  53.49
2014-02-12  52.62  53.33  52.54  52.85  8098300  52.85
2014-02-11  51.66  52.98  51.38  52.62  10454000  52.62
2014-02-10  50.9  52.17  50.62  52.12  11130500  52.12
2014-02-07  48.98  50.37  48.96  50.33  8543300  50.33
2014-02-06  48.81  49.18  48.6  48.98  8135800  48.98
2014-02-05  48.58  49.0  47.52  48.54  12439600  48.54
2014-02-04  48.78  49.38  48.51  48.94  7643300  48.94
2014-02-03  50.13  50.29  48.54  48.64  10149600  48.64
2014-01-31  50.04  50.47  49.76  49.97  7725400  49.97
2014-01-30  50.61  51.06  50.17  50.49  7528200  50.49
2014-01-29  50.72  51.23  49.85  50.22  11328500  50.22
2014-01-28  49.92  51.5  49.91  51.07  13141200  51.07
2014-01-27  51.08  51.09  49.45  49.72  19683300  49.72
2014-01-24  54.6  55.47  50.31  50.94  29291200  50.94
2014-01-23  54.31  54.31  52.71  53.95  14121100  53.95
2014-01-22  54.74  55.18  54.59  54.81  6548700  54.81
2014-01-21  54.43  55.18  54.22  54.59  7880000  54.59
2014-01-17  54.92  55.07  54.26  54.36  8914500  54.36
2014-01-16  54.25  55.07  54.14  54.8  9356000  54.8
2014-01-15  55.7  55.72  54.3  54.5  10135400  54.5
2014-01-14  55.49  55.98  54.83  55.68  9995100  55.68
2014-01-13  55.96  56.83  55.31  55.42  12153100  55.42
2014-01-10  55.82  56.28  55.42  56.18  14480200  56.18
2014-01-09  53.69  55.09  53.64  55.03  10347500  55.03
2014-01-08  52.48  53.44  52.3  53.42  6431400  53.42
2014-01-07  52.6  53.46  52.5  52.56  8960800  52.56
2014-01-06  53.07  53.1  52.43  52.64  7741700  52.64
2014-01-03  52.41  53.18  52.37  52.85  4485000  52.85
2014-01-02  52.52  53.16  52.14  52.27  5647500  52.27
2013-12-31  53.05  53.39  52.59  53.15  3994800  53.15
2013-12-30  52.67  53.12  52.21  53.06  4418200  53.06
2013-12-27  53.3  53.44  52.72  52.79  3658500  52.79
2013-12-26  52.82  53.26  52.62  53.24  2644600  53.24
2013-12-24  52.73  52.93  52.26  52.84  2533900  52.84
2013-12-23  53.06  53.23  52.66  52.97  4997600  52.97
2013-12-20  53.64  54.01  52.78  53.01  11075300  53.01
2013-12-19  53.11  54.13  52.57  53.48  11879000  53.48
2013-12-18  50.95  52.35  50.39  52.24  8873700  52.24
2013-12-17  50.66  50.98  50.05  50.76  6394600  50.76
2013-12-16  50.45  50.82  49.97  50.54  5551700  50.54
2013-12-13  50.37  50.53  49.77  50.39  5361700  50.39
2013-12-12  50.2  50.45  49.77  50.21  6328200  50.21
2013-12-11  50.77  50.77  50.05  50.31  6774300  50.31
2013-12-10  50.64  50.98  50.44  50.88  6119800  50.88
2013-12-09  50.24  51.64  50.16  50.86  7682100  50.86
2013-12-06  50.86  50.97  49.88  50.34  8421100  50.34
2013-12-05  50.62  51.25  50.3  50.46  5443400  50.46
2013-12-04  50.31  51.2  50.18  50.74  8181600  50.74
2013-12-03  51.03  51.26  50.47  50.62  4927500  50.62
2013-12-02  50.94  51.65  50.87  51.13  5884800  51.13
2013-11-29  51.6  51.73  50.99  51.03  3020700  51.03
2013-11-27  51.82  52.0  51.12  51.32  5428400  51.32
2013-11-26  52.41  52.51  51.0  51.53  10806500  51.53
2013-11-25  53.03  53.24  52.36  52.49  5835100  52.49
2013-11-22  52.11  53.18  51.84  53.05  8474900  53.05
2013-11-21  51.65  52.01  51.42  52.0  5911300  52.0
2013-11-20  51.44  51.74  50.96  51.44  6255500  51.44
2013-11-19  51.55  51.75  51.05  51.63  5163200  51.63
2013-11-18  52.26  52.32  51.41  51.51  5572100  51.51
2013-11-15  52.41  52.65  51.79  52.07  9196800  52.07
2013-11-14  51.84  52.78  51.76  52.38  10478500  52.38
2013-11-13  51.74  51.95  51.25  51.51  12097500  51.51
2013-11-12  52.05  52.5  51.67  52.19  5878800  52.19
2013-11-11  52.03  52.89  52.0  52.23  5688200  52.23
2013-11-08  50.98  52.07  50.92  52.0  7655100  52.0
2013-11-07  51.75  51.88  50.66  50.95  6434000  50.95
2013-11-06  52.51  52.53  51.56  51.69  5466000  51.69
2013-11-05  52.74  52.75  51.78  52.17  7995900  52.17
2013-11-04  52.35  52.78  52.31  52.68  9217200  52.68
2013-11-01  52.28  52.85  52.01  52.13  7328600  52.13
2013-10-31  52.74  52.79  52.15  52.17  6515800  52.17
2013-10-30  53.23  53.23  52.27  52.77  6748100  52.77
2013-10-29  51.66  53.32  51.55  52.96  13573200  52.96
2013-10-28  50.02  52.01  49.97  51.67  28012700  51.67
2013-10-25  48.9  49.02  48.2  48.44  5949800  48.44
2013-10-24  49.05  49.37  48.84  49.04  5637100  49.04
2013-10-23  49.48  49.5  48.35  48.63  5408600  48.63
2013-10-22  48.91  49.58  48.87  49.39  7794900  49.39
2013-10-21  49.34  49.34  48.42  48.94  4534200  48.94
2013-10-18  49.57  49.57  48.83  49.38  6559100  49.38
2013-10-17  48.26  49.45  48.19  49.34  7330100  49.34
2013-10-16  47.53  48.55  47.38  48.47  7092400  48.47
2013-10-15  47.2  47.62  47.04  47.07  4995000  47.07
2013-10-14  47.05  47.62  46.86  47.35  6007000  47.35
2013-10-11  47.56  47.56  47.04  47.36  5153800  47.36
2013-10-10  46.54  47.58  46.48  47.52  6864800  47.52
2013-10-09  46.38  46.49  45.85  46.1  5338800  46.1
2013-10-08  46.62  46.73  46.26  46.29  6375000  46.29
2013-10-07  46.89  47.15  46.69  46.7  4908600  46.7
2013-10-04  46.37  47.23  46.02  47.2  6265200  47.2
2013-10-03  46.47  46.62  45.83  46.25  5362100  46.25
2013-10-02  46.53  46.92  46.08  46.61  6041600  46.61
2013-10-01  45.79  46.59  45.76  46.57  7915400  46.57
2013-09-30  45.07  45.89  45.06  45.63  11380800  45.63
2013-09-27  45.93  46.06  45.25  45.55  8511700  45.55
2013-09-26  45.95  46.43  45.87  46.27  4145300  46.27
2013-09-25  46.09  46.23  45.75  45.95  6791600  45.95
2013-09-24  45.71  46.46  45.61  46.16  7263800  46.16
2013-09-23  45.95  45.96  45.33  45.89  5768700  45.89
2013-09-20  46.89  46.92  46.01  46.12  9965900  46.12
2013-09-19  45.85  46.91  45.73  46.86  10868400  46.86
2013-09-18  44.83  45.98  44.77  45.86  10418300  45.86
2013-09-17  44.45  44.83  44.44  44.76  5845700  44.76
2013-09-16  43.85  44.78  43.74  44.5  10187400  44.5
2013-09-13  43.09  43.09  42.67  42.95  4606200  42.95
2013-09-12  42.6  43.14  42.51  43.06  6565000  43.06
2013-09-11  42.01  42.68  41.87  42.65  6526000  42.65
2013-09-10  41.88  42.02  41.64  41.92  4672300  41.92
2013-09-09  41.35  41.73  41.35  41.7  7220300  41.7
2013-09-06  41.23  41.61  41.03  41.3  7240100  41.3
2013-09-05  41.33  41.33  40.74  41.13  6381400  41.13
2013-09-04  41.16  41.41  40.98  41.4  6946500  41.4
2013-09-03  41.42  41.52  40.96  41.13  5043700  41.13
2013-08-30  41.21  41.23  40.82  41.1  5961000  41.1
2013-08-29  41.34  41.6  41.12  41.2  4466300  41.2
2013-08-28  41.1  41.58  40.79  41.44  6096800  41.44
2013-08-27  41.42  41.46  40.91  41.08  5998700  41.08
2013-08-26  41.64  41.93  41.48  41.82  7087500  41.82
2013-08-23  41.17  41.74  41.08  41.64  6674000  41.64
2013-08-22  40.78  41.22  40.53  41.07  4615900  41.07
2013-08-21  40.92  41.13  40.64  40.74  6793000  40.74
2013-08-20  41.35  41.66  40.98  40.98  6069800  40.98
2013-08-19  40.91  41.64  40.88  41.36  6968500  41.36
2013-08-16  41.26  41.54  40.68  41.09  8485000  41.09
2013-08-15  41.96  42.02  41.12  41.39  7261000  41.39
2013-08-14  42.57  43.07  42.3  42.32  5096100  42.32
2013-08-13  42.42  42.76  42.16  42.72  6495100  42.72
2013-08-12  42.78  42.84  42.4  42.5  6177700  42.5
2013-08-09  43.17  43.47  42.87  43.07  4189100  43.07
2013-08-08  43.4  43.57  42.78  43.38  5931500  43.38
2013-08-07  43.34  43.45  43.07  43.12  4702800  43.12
2013-08-06  43.13  43.77  42.84  43.52  6843400  43.52
2013-08-05  43.1  43.37  42.79  43.01  5975500  43.01
2013-08-02  43.45  43.65  43.14  43.22  6180300  43.22
2013-08-01  43.08  43.61  42.85  43.37  7702600  43.37
2013-07-31  42.77  43.03  42.58  42.63  7961700  42.63
2013-07-30  43.4  43.43  42.43  42.72  9836800  42.72
2013-07-29  43.48  43.69  43.08  43.14  8874900  43.14
2013-07-26  43.21  43.65  42.55  43.6  8223600  43.6
2013-07-25  43.21  44.81  42.89  43.31  13016300  43.31
2013-07-24  44.57  44.75  43.88  43.96  5237400  43.96
2013-07-23  44.38  44.68  44.08  44.55  6990000  44.55
2013-07-22  43.64  44.37  43.52  44.37  7308500  44.37
2013-07-19  43.37  43.72  42.92  43.57  9116500  43.57
2013-07-18  43.99  44.01  43.23  43.33  8158300  43.33
2013-07-17  44.54  44.8  43.88  43.88  8247000  43.88
2013-07-16  44.56  44.88  44.26  44.36  4515600  44.36
2013-07-15  45.01  45.03  44.4  44.52  5919500  44.52
2013-07-12  45.01  45.36  44.61  45.16  8591000  45.16
2013-07-11  44.86  45.49  44.74  45.38  8572800  45.38
2013-07-10  43.84  44.42  43.84  44.23  5258900  44.23
2013-07-09  43.65  44.06  43.52  43.91  6101000  43.91
2013-07-08  43.44  43.79  43.28  43.35  6756500  43.35
2013-07-05  43.13  43.63  42.8  43.56  5466800  43.56
2013-07-03  43.33  43.33  42.36  42.71  7264400  42.71
2013-07-02  43.79  44.27  43.25  43.37  10519200  43.37
2013-07-01  44.07  44.54  43.65  43.84  10018400  43.84
2013-06-28  45.01  45.52  43.71  43.72  16318900  43.72
2013-06-27  45.55  45.83  45.16  45.29  5895700  45.29
2013-06-26  44.57  45.7  44.25  45.46  9040900  45.46
2013-06-25  44.78  44.78  44.09  44.2  6949000  44.2
2013-06-24  44.33  44.96  43.91  44.48  8740100  44.48
2013-06-21  44.03  45.06  43.85  44.73  15314100  44.73
2013-06-20  44.81  44.87  43.36  43.61  12529600  43.61
2013-06-19  45.59  46.01  45.03  45.05  7826000  45.05
2013-06-18  45.59  45.98  45.45  45.83  7155500  45.83
2013-06-17  45.95  46.06  45.13  45.43  9537100  45.43
2013-06-14  46.22  46.45  45.75  45.78  7540700  45.78
2013-06-13  45.26  46.22  45.24  46.14  8511600  46.14
2013-06-12  46.55  46.88  45.54  45.55  8841600  45.55
2013-06-11  45.98  46.68  45.73  46.26  9303200  46.26
2013-06-10  46.56  46.78  46.08  46.28  7340400  46.28
2013-06-07  46.06  46.46  45.82  46.46  11199700  46.46
2013-06-06  45.37  46.26  44.92  45.98  12443300  45.98
2013-06-05  45.71  46.05  44.77  45.16  13964000  45.16
2013-06-04  46.01  47.13  45.39  45.81  21511100  45.81
2013-06-03  46.07  48.49  45.73  46.55  27384300  46.55
2013-05-31  45.8  46.41  45.0  45.01  12289600  45.01
2013-05-30  45.96  46.79  45.81  46.0  9857700  46.0
2013-05-29  46.12  46.26  45.2  45.69  9825100  45.69
2013-05-28  46.59  47.76  46.42  46.64  15042500  46.64
2013-05-24  45.55  46.52  44.81  46.37  12605100  46.37
2013-05-23  45.18  46.2  44.87  45.98  11956400  45.98
2013-05-22  43.86  46.45  43.86  45.39  25345900  45.39
2013-05-21  42.87  43.47  42.5  43.1  10156700  43.1
2013-05-20  42.42  43.18  42.41  42.81  9532500  42.81
2013-05-17  42.06  42.49  41.77  42.36  11128100  42.36
2013-05-16  42.74  43.57  41.7  41.84  26059700  41.84
2013-05-15  41.3  44.59  41.24  43.37  33357300  43.37
2013-05-14  40.11  41.4  40.06  41.29  16783000  41.29
2013-05-13  39.52  40.07  39.38  40.05  7298700  40.05
2013-05-10  39.19  39.61  39.07  39.61  7725500  39.61
2013-05-09  38.84  39.13  38.46  39.06  7654600  39.06
2013-05-08  39.19  39.32  38.7  38.82  7678900  38.82
2013-05-07  39.31  39.33  38.79  39.15  8143400  39.15
2013-05-06  39.25  39.29  38.98  39.15  5827200  39.15
2013-05-03  39.47  39.5  39.18  39.32  6184200  39.32
2013-05-02  39.02  39.16  38.81  39.14  8235800  39.14
2013-05-01  38.61  38.96  38.32  38.85  9958300  38.85
2013-04-30  38.96  38.96  38.32  38.85  11857100  38.85
2013-04-29  39.26  39.4  38.94  39.04  6717600  39.04
2013-04-26  39.25  39.53  38.85  39.4  10983900  39.4
2013-04-25  39.93  40.01  39.15  39.34  13873200  39.34
2013-04-24  41.34  41.36  40.49  40.55  6817200  40.55
2013-04-23  41.3  41.94  41.09  41.38  8816400  41.38
2013-04-22  40.28  41.09  40.06  41.02  10883200  41.02
2013-04-19  39.82  40.36  39.63  40.25  8233800  40.25
2013-04-18  39.84  39.94  39.44  39.67  8538800  39.67
2013-04-17  39.99  40.21  39.65  39.92  8612600  39.92
2013-04-16  40.19  40.21  39.68  40.17  9873700  40.17
2013-04-15  40.46  40.59  39.81  39.86  9015000  39.86
2013-04-12  40.14  40.6  40.13  40.52  7196300  40.52
2013-04-11  40.37  40.56  40.17  40.4  6937200  40.4
2013-04-10  39.95  40.32  39.79  40.29  7595900  40.29
2013-04-09  39.81  40.11  39.78  39.94  8696000  39.94
2013-04-08  39.63  39.85  39.26  39.84  7201600  39.84
2013-04-05  39.34  39.87  39.17  39.72  6491800  39.72
2013-04-04  40.07  40.31  39.77  39.89  8596200  39.89
2013-04-03  40.32  40.46  40.05  40.17  12053600  40.17
2013-04-02  39.94  40.54  39.94  40.43  9125800  40.43
2013-04-01  39.89  40.12  39.71  39.91  6612500  39.91
2013-03-28  39.72  40.01  39.58  39.95  10885800  39.95
2013-03-27  39.28  39.62  39.15  39.56  5791800  39.56
2013-03-26  39.09  39.52  38.95  39.46  6779100  39.46
2013-03-25  39.24  39.24  38.79  39.05  26233800  39.05
2013-03-22  38.74  39.27  38.61  39.18  25838700  39.18
2013-03-21  38.62  38.7  38.49  38.52  8730500  38.52
2013-03-20  38.3  38.76  38.19  38.67  12545500  38.67
2013-03-19  37.77  38.23  37.68  38.16  9687100  38.16
2013-03-18  37.28  37.95  37.25  37.71  9021500  37.71
2013-03-15  37.31  37.81  37.11  37.79  13210500  37.79
2013-03-14  37.35  37.46  36.99  37.33  12365700  37.33
2013-03-13  37.01  37.41  36.82  37.33  9563400  37.33
2013-03-12  36.4  37.07  36.4  37.07  10267000  37.07
2013-03-11  36.17  36.53  36.14  36.39  6714900  36.39
2013-03-08  36.43  36.52  36.18  36.28  10532000  36.28
2013-03-07  36.64  36.67  36.38  36.4  7642000  36.4
2013-03-06  36.48  36.72  36.37  36.63  7226200  36.63
2013-03-05  35.89  36.47  35.89  36.44  7663900  36.44
2013-03-04  35.34  35.84  35.34  35.83  7199800  35.83
2013-03-01  35.79  36.14  35.69  36.04  9749800  36.04
2013-02-28  35.96  36.03  35.65  35.86  9315100  35.86
2013-02-27  35.33  36.11  35.22  35.99  7366000  35.99
2013-02-26  35.45  35.68  35.23  35.3  6688600  35.3
2013-02-25  35.87  35.98  35.25  35.25  7779200  35.25
2013-02-22  35.61  35.86  35.61  35.79  5027800  35.79
2013-02-21  35.51  35.68  35.42  35.59  7056600  35.59
2013-02-20  35.75  35.88  35.57  35.59  5774300  35.59
2013-02-19  35.48  35.87  35.48  35.83  5517200  35.83
2013-02-15  35.59  35.72  35.38  35.48  7038900  35.48
2013-02-14  34.98  35.6  34.96  35.48  7408500  35.48
2013-02-13  35.4  35.44  34.95  35.04  11953600  35.04
2013-02-12  35.8  35.85  35.42  35.42  6692100  35.42
2013-02-11  35.74  35.97  35.69  35.82  5318800  35.82
2013-02-08  35.41  35.92  35.4  35.92  8462400  35.92
2013-02-07  35.48  35.66  35.19  35.39  8029900  35.39
2013-02-06  35.31  35.63  35.29  35.45  15233200  35.45
2013-02-05  35.57  35.97  35.4  35.41  10766000  35.41
2013-02-04  35.39  35.69  35.28  35.42  8562200  35.42
2013-02-01  35.32  35.86  35.25  35.8  11810800  35.8
2013-01-31  35.4  35.55  34.7  35.06  14268300  35.06
2013-01-30  35.42  35.57  35.26  35.52  10978900  35.52
2013-01-29  35.14  35.56  35.12  35.44  9501400  35.44
2013-01-28  35.1  35.47  34.96  35.32  13034300  35.32
2013-01-25  34.78  35.61  34.78  35.59  20038100  35.59
2013-01-24  33.9  34.9  33.86  34.74  21433100  34.74
2013-01-23  33.7  33.86  33.57  33.85  12752600  33.85
2013-01-22  33.33  33.81  33.29  33.8  9315000  33.8
2013-01-18  33.19  33.45  33.08  33.43  7424500  33.43
2013-01-17  33.39  33.42  33.15  33.24  6719900  33.24
2013-01-16  33.17  33.37  33.15  33.3  6278700  33.3
2013-01-15  33.01  33.34  33.0  33.27  8170000  33.27
2013-01-14  33.1  33.27  33.08  33.19  5599300  33.19
2013-01-11  32.99  33.21  32.94  33.11  7067300  33.11
2013-01-10  32.74  33.09  32.68  33.07  7943400  33.07
2013-01-09  32.5  32.68  32.39  32.67  11742200  32.67
2013-01-08  32.35  32.64  32.34  32.48  9651300  32.48
2013-01-07  32.27  32.54  32.22  32.4  6047800  32.4
2013-01-04  32.33  32.43  32.1  32.35  8631900  32.35
2013-01-03  31.75  32.28  31.64  32.24  10281400  32.24
2013-01-02  31.86  31.86  31.53  31.73  12153200  31.73
2012-12-31  31.03  31.4  30.87  31.27  12461800  31.27
2012-12-28  30.64  30.95  30.58  30.61  6481700  30.61
2012-12-27  30.97  31.04  30.56  30.84  6857400  30.84
2012-12-26  31.16  31.18  30.9  31.04  4105500  31.04
2012-12-24  31.11  31.24  31.02  31.15  2805800  31.15
2012-12-21  31.08  31.32  30.88  31.24  13793800  31.24
2012-12-20  31.21  31.31  31.03  31.25  7304400  31.25
2012-12-19  31.65  31.7  31.21  31.25  8865200  31.25
2012-12-18  31.5  31.77  31.35  31.69  16619000  31.69
2012-12-17  31.39  31.62  31.33  31.47  10174200  31.47
2012-12-14  31.28  31.56  31.25  31.41  7628000  31.41
2012-12-13  31.79  31.85  31.37  31.46  9106600  31.46
2012-12-12  32.03  32.2  31.75  31.87  11161900  31.87
2012-12-11  31.56  31.89  31.46  31.73  7486400  31.73
2012-12-10  31.18  31.53  31.14  31.48  6905400  31.48
2012-12-07  31.18  31.39  31.06  31.24  7278700  31.24
2012-12-06  31.44  31.55  31.23  31.4  5547500  31.4
2012-12-05  31.38  31.61  31.27  31.46  8381800  31.46
2012-12-04  31.42  31.5  31.12  31.38  7260400  31.38
2012-12-03  31.39  31.55  31.09  31.35  9350600  31.35
2012-11-30  31.45  31.47  31.22  31.31  8580300  31.31
2012-11-29  31.53  31.7  31.43  31.49  6014800  31.49
2012-11-28  31.17  31.46  30.81  31.41  6113900  31.41
2012-11-27  31.38  31.49  31.25  31.29  6876300  31.29
2012-11-26  31.2  31.41  31.08  31.41  6785100  31.41
2012-11-23  31.18  31.35  31.14  31.3  3453800  31.3
2012-11-21  30.95  31.12  30.74  31.1  5576100  31.1
2012-11-20  30.75  30.89  30.57  30.85  6498200  30.85
2012-11-19  30.62  30.76  30.5  30.74  8238100  30.74
2012-11-16  29.54  30.55  29.51  30.43  18815600  30.43
2012-11-15  30.11  30.11  29.4  29.56  23036600  29.56
2012-11-14  30.57  30.61  30.11  30.21  11417900  30.21
2012-11-13  30.52  30.9  30.46  30.58  6693800  30.58
2012-11-12  30.89  30.95  30.63  30.65  8011000  30.65
2012-11-09  30.74  31.13  30.7  30.93  6998300  30.93
2012-11-08  31.22  31.29  30.82  30.82  7168200  30.82
2012-11-07  31.71  31.77  31.02  31.3  9236800  31.3
2012-11-06  31.85  32.09  31.7  31.92  7544000  31.92
2012-11-05  31.76  31.87  31.63  31.75  7639500  31.75
2012-11-02  32.3  32.39  31.83  31.84  14852500  31.84
2012-11-01  32.12  32.49  32.09  32.13  11474400  32.13
2012-10-31  32.25  32.33  31.7  31.91  7950500  31.91
2012-10-26  32.44  32.46  32.09  32.26  9164400  32.26
