Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  17.58  17.64  17.27  17.56  5696200  17.56
2014-02-27  16.97  17.65  16.89  17.57  8579800  17.57
2014-02-26  17.0  17.16  16.84  16.94  4960700  16.94
2014-02-25  17.07  17.1  16.73  16.93  5627200  16.93
2014-02-24  17.01  17.37  16.87  17.11  5497400  17.11
2014-02-21  17.17  17.33  16.98  16.98  5031400  16.98
2014-02-20  17.06  17.17  16.91  17.07  6159700  17.07
2014-02-19  16.56  17.4  16.56  17.1  11741100  17.1
2014-02-18  16.67  16.84  16.5  16.63  5860500  16.63
2014-02-14  16.56  16.78  16.5  16.65  4361000  16.65
2014-02-13  16.36  16.6  16.3  16.44  4463000  16.44
2014-02-12  16.86  16.96  16.46  16.53  5474100  16.53
2014-02-11  16.45  16.76  16.44  16.68  6420000  16.68
2014-02-10  16.43  16.57  16.3  16.37  5564100  16.37
2014-02-07  16.51  16.62  16.17  16.47  6964300  16.47
2014-02-06  16.12  16.46  15.77  16.41  8074800  16.41
2014-02-05  16.52  16.55  15.93  16.03  10338200  16.03
2014-02-04  16.51  16.83  16.41  16.6  8276800  16.6
2014-02-03  16.98  16.99  16.42  16.51  7931400  16.51
2014-01-31  16.76  17.27  16.56  16.96  11859100  16.96
2014-01-30  16.94  17.18  16.26  16.8  15818800  16.8
2014-01-29  16.93  17.42  16.92  17.3  9679700  17.3
2014-01-28  17.03  17.28  16.88  17.23  5633500  17.23
2014-01-27  17.12  17.41  16.63  16.88  8317400  16.88
2014-01-24  17.23  17.31  16.66  16.78  9979900  16.78
2014-01-23  17.41  17.72  17.29  17.36  5823200  17.36
2014-01-22  17.72  17.91  17.44  17.52  5486300  17.52
2014-01-21  17.92  17.92  17.53  17.67  5755300  17.67
2014-01-17  17.76  17.91  17.69  17.88  6501300  17.88
2014-01-16  17.87  18.08  17.66  17.75  4195600  17.75
2014-01-15  17.48  17.84  17.46  17.79  5783900  17.79
2014-01-14  17.26  17.63  17.23  17.48  5931200  17.48
2014-01-13  17.44  17.78  17.2  17.27  7167000  17.27
2014-01-10  17.39  17.82  17.28  17.46  10825600  17.46
2014-01-09  17.83  17.83  17.06  17.38  11408600  17.38
2014-01-08  18.22  18.24  17.79  17.85  6827700  17.85
2014-01-07  18.46  18.46  18.06  18.2  6219000  18.2
2014-01-06  18.66  18.71  18.2  18.39  6905100  18.39
2014-01-03  19.4  19.54  18.58  18.68  9377500  18.68
2014-01-02  19.36  19.84  19.34  19.44  6999900  19.44
2013-12-31  19.21  19.47  19.17  19.43  4340800  19.43
2013-12-30  19.28  19.43  18.95  19.13  6467100  19.13
2013-12-27  18.58  19.33  18.58  19.15  6139600  19.15
2013-12-26  18.42  18.7  18.4  18.54  3149800  18.54
2013-12-24  18.14  18.66  18.13  18.44  3059900  18.44
2013-12-23  18.14  18.36  18.04  18.17  5456900  18.17
2013-12-20  18.97  19.04  18.05  18.14  11338500  18.14
2013-12-19  18.54  19.16  18.44  19.03  5083600  19.03
2013-12-18  18.47  18.74  18.16  18.52  7401000  18.52
2013-12-17  18.41  18.49  18.03  18.34  4436700  18.34
2013-12-16  18.35  18.61  18.32  18.45  3996000  18.45
2013-12-13  18.28  18.36  18.15  18.32  4630300  18.32
2013-12-12  18.34  18.4  17.96  18.24  5111400  18.24
2013-12-11  18.96  19.02  18.28  18.4  6727300  18.4
