Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  61.39  61.82  60.86  61.45  1312300  61.45
2014-02-27  60.79  61.44  60.59  61.39  1010400  61.39
2014-02-26  61.09  61.48  60.6  60.87  971500  60.87
2014-02-25  61.38  61.61  60.82  61.01  992300  61.01
2014-02-24  61.32  61.68  61.15  61.3  1220000  61.3
2014-02-21  60.41  61.54  60.16  61.16  1676600  61.16
2014-02-20  59.22  60.58  59.02  60.42  2055700  60.42
2014-02-19  57.98  59.75  57.94  59.27  2051200  59.27
2014-02-18  58.11  58.48  57.8  58.1  1826600  58.1
2014-02-14  57.48  58.26  57.41  57.96  2241000  57.96
2014-02-13  55.09  57.25  54.79  56.93  1660400  56.93
2014-02-12  54.77  55.55  54.73  55.44  1766000  55.44
2014-02-11  54.11  54.68  53.9  54.67  1843400  54.67
2014-02-10  53.99  54.04  53.41  53.9  1754700  53.9
2014-02-07  53.77  54.34  53.5  53.91  1723400  53.91
2014-02-06  52.49  53.64  52.41  53.44  1093300  53.44
2014-02-05  51.88  52.57  51.36  52.44  1344400  52.44
2014-02-04  51.66  52.22  50.83  52.18  1675000  52.18
2014-02-03  53.78  53.85  50.98  51.32  2573600  51.32
2014-01-31  53.37  54.17  53.34  53.7  1142400  53.7
2014-01-30  54.26  54.49  53.78  54.22  1060100  54.22
2014-01-29  53.45  54.32  53.03  53.83  2134200  53.83
2014-01-28  53.75  54.2  53.55  53.87  1295000  53.87
2014-01-27  54.07  54.31  53.14  53.56  1779500  53.56
2014-01-24  54.85  54.89  53.36  53.59  1643600  53.59
2014-01-23  56.21  56.39  54.97  55.51  1412000  55.51
2014-01-22  56.25  56.66  55.55  56.62  1116000  56.62
2014-01-21  56.13  56.33  55.08  55.98  1513600  55.98
2014-01-17  56.8  56.8  55.56  55.68  1930300  55.68
2014-01-16  55.89  56.81  55.8  56.8  1607500  56.8
2014-01-15  56.73  56.79  54.39  55.83  3576600  55.83
2014-01-14  55.81  56.7  55.65  56.65  1217400  56.65
2014-01-13  56.7  57.16  55.36  55.44  1347100  55.44
2014-01-10  56.43  56.81  56.13  56.62  883200  56.62
2014-01-09  56.32  56.86  55.73  56.17  1056800  56.17
2014-01-08  56.33  56.87  55.86  56.15  1466400  56.15
2014-01-07  55.33  56.3  55.2  56.25  1349300  56.25
2014-01-06  54.87  55.48  54.55  54.87  1292500  54.87
2014-01-03  54.83  55.0  54.37  54.76  1155100  54.76
2014-01-02  55.76  55.83  54.46  54.81  1301500  54.81
2013-12-31  55.78  56.32  55.56  55.78  902400  55.78
2013-12-30  55.54  56.01  55.19  55.83  772300  55.83
2013-12-27  55.6  55.86  55.36  55.7  696600  55.7
2013-12-26  56.04  56.16  55.3  55.62  1263300  55.62
2013-12-24  55.82  55.87  55.48  55.72  303500  55.72
2013-12-23  55.37  55.97  55.37  55.7  1104700  55.7
2013-12-20  54.65  54.98  54.35  54.89  2040000  54.89
2013-12-19  55.68  55.68  53.96  54.46  2264100  54.46
2013-12-18  55.05  55.73  53.65  55.73  2289500  55.73
2013-12-17  54.51  55.32  54.37  55.26  1340300  55.26
2013-12-16  53.88  54.62  53.63  54.57  1353200  54.57
2013-12-13  53.36  54.06  53.29  53.66  1008800  53.66
2013-12-12  52.84  53.45  52.44  53.25  1179200  53.25
2013-12-11  54.45  54.65  52.67  52.98  1497400  52.98
2013-12-10  53.55  54.4  53.55  54.35  1615800  54.35
2013-12-09  53.54  54.12  53.39  53.83  1196600  53.83
2013-12-06  53.43  53.51  53.02  53.41  1072800  53.41
2013-12-05  51.89  52.67  51.69  52.64  1517600  52.64
2013-12-04  51.95  52.51  51.59  52.03  1101600  52.03
2013-12-03  52.69  52.75  51.88  52.16  1432800  52.16
