Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  110.79  112.96  110.59  112.43  1083900  112.43
2014-02-27  111.36  112.25  109.73  110.93  717800  110.93
2014-02-26  112.58  112.94  110.98  111.4  625200  111.4
2014-02-25  110.67  112.72  110.25  112.1  836700  112.1
2014-02-24  110.91  111.54  110.6  110.63  694500  110.63
2014-02-21  110.7  111.69  110.3  110.91  582900  110.91
2014-02-20  110.86  111.74  110.04  110.66  655300  110.66
2014-02-19  110.93  111.97  110.48  110.84  515100  110.84
2014-02-18  110.77  111.35  109.85  111.32  690100  111.32
2014-02-14  110.21  111.23  109.74  110.96  361500  110.96
2014-02-13  109.47  111.24  109.47  110.11  726700  110.11
2014-02-12  109.72  110.29  109.03  110.13  503600  110.13
2014-02-11  109.68  110.38  109.32  109.64  990100  109.64
2014-02-10  109.15  110.24  108.41  109.92  738100  109.92
2014-02-07  108.92  109.99  107.92  109.18  1089000  109.18
2014-02-06  106.98  108.66  106.77  108.49  953600  108.49
2014-02-05  107.58  107.72  106.19  106.73  717400  106.73
2014-02-04  106.67  107.94  105.94  107.74  915800  107.74
2014-02-03  107.93  108.42  105.82  106.06  830100  106.06
2014-01-31  107.03  108.63  106.64  108.09  1013600  108.09
2014-01-30  106.53  108.34  106.48  108.0  872400  108.0
2014-01-29  104.86  106.84  104.19  105.8  1056800  105.8
2014-01-28  104.36  105.99  104.36  105.32  762000  105.32
2014-01-27  104.95  105.63  103.93  104.31  809800  104.31
2014-01-24  106.75  106.85  104.89  104.89  833600  104.89
2014-01-23  106.26  107.12  105.94  106.9  662800  106.9
2014-01-22  106.57  107.81  106.41  107.29  705800  107.29
2014-01-21  105.1  106.93  105.1  106.21  976700  106.21
2014-01-17  105.12  105.24  104.14  104.74  991800  104.74
2014-01-16  104.88  105.66  104.68  104.87  553800  104.87
2014-01-15  104.25  105.35  104.25  105.19  913800  105.19
2014-01-14  104.05  104.99  103.6  104.56  970400  104.56
