Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  33.47  33.7  33.18  33.5  2544000  33.5
2014-02-27  33.02  33.44  32.82  33.39  2853200  33.39
2014-02-26  32.76  33.25  32.3  32.92  3769800  32.92
2014-02-25  32.79  32.79  32.39  32.62  2150200  32.62
2014-02-24  32.58  32.88  32.43  32.67  1868100  32.67
2014-02-21  32.81  32.89  32.41  32.42  3808200  32.42
2014-02-20  32.42  32.82  32.36  32.67  2767800  32.67
2014-02-19  32.4  32.77  32.23  32.45  3270800  32.45
2014-02-18  32.62  33.0  32.53  32.9  2225900  32.9
2014-02-14  32.65  32.9  32.58  32.74  2730400  32.74
2014-02-13  32.27  32.85  32.27  32.83  2067300  32.83
2014-02-12  32.02  32.45  31.92  32.42  3015300  32.42
2014-02-11  31.71  32.12  31.65  32.06  3127000  32.06
2014-02-10  31.84  31.95  31.62  31.83  3492700  31.83
2014-02-07  31.47  32.4  31.42  31.93  2773000  31.93
2014-02-06  31.1  31.45  30.89  31.38  2517800  31.38
2014-02-05  30.67  31.02  30.51  30.92  2652900  30.92
2014-02-04  31.02  31.17  30.73  30.98  2820300  30.98
2014-02-03  31.75  31.81  30.77  30.95  4474600  30.95
2014-01-31  31.75  32.18  31.57  31.85  3902700  31.85
2014-01-30  32.19  32.35  31.8  32.09  2396000  32.09
2014-01-29  32.16  32.28  31.81  31.96  3061200  31.96
2014-01-28  31.9  32.31  31.71  32.3  3718700  32.3
2014-01-27  32.04  32.33  31.86  32.0  4678000  32.0
2014-01-24  33.04  33.16  32.41  32.41  3773200  32.41
2014-01-23  33.81  33.95  33.02  33.39  4363600  33.39
2014-01-22  35.91  35.95  34.03  34.04  6244700  34.04
2014-01-21  34.29  34.35  33.74  34.0  4428100  34.0
2014-01-17  33.81  34.2  33.69  34.17  3719000  34.17
2014-01-16  33.86  34.26  33.69  33.79  4178700  33.79
2014-01-15  33.76  34.16  33.54  33.86  3787000  33.86
2014-01-14  33.34  33.8  33.12  33.75  2612900  33.75
2014-01-13  33.72  33.82  33.07  33.19  2557900  33.19
2014-01-10  33.71  33.76  33.44  33.76  1857600  33.76
2014-01-09  33.37  33.6  33.14  33.59  2187200  33.59
2014-01-08  33.21  33.4  32.87  33.34  2096700  33.34
2014-01-07  32.88  33.24  32.78  33.2  2074800  33.2
2014-01-06  32.67  32.84  32.53  32.68  2892700  32.68
2014-01-03  32.84  33.0  32.75  32.86  1599200  32.86
2014-01-02  33.24  33.31  32.77  32.9  1948800  32.9
2013-12-31  33.52  33.53  33.33  33.39  1132500  33.39
