Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.3  28.56  28.26  28.4  3645900  28.4
2014-02-27  28.36  28.43  28.09  28.26  4321500  28.26
2014-02-26  28.43  28.57  28.32  28.33  4586200  28.33
2014-02-25  28.59  28.64  28.35  28.43  4099900  28.43
2014-02-24  28.53  28.65  28.37  28.54  5072200  28.54
2014-02-21  28.54  28.64  28.32  28.5  8652200  28.5
2014-02-20  28.94  28.96  28.55  28.56  8794400  28.56
2014-02-19  29.16  29.19  28.87  28.94  2821100  28.94
2014-02-18  29.36  29.37  28.97  29.19  4035100  29.19
2014-02-14  28.97  29.47  28.95  29.36  5152500  29.36
2014-02-13  28.9  29.06  28.8  29.0  3733600  29.0
2014-02-12  29.14  29.14  28.91  28.97  6946300  28.97
2014-02-11  29.02  29.6  28.6  29.08  15397000  29.08
2014-02-10  30.93  31.1  30.74  31.05  3912900  31.05
2014-02-07  30.81  31.05  30.71  30.85  3860100  30.85
2014-02-06  30.8  30.8  30.35  30.7  4731400  30.7
2014-02-05  30.69  30.85  30.51  30.72  2696200  30.72
2014-02-04  30.76  30.92  30.55  30.82  2894600  30.82
2014-02-03  31.75  31.79  30.65  30.7  3711900  30.7
2014-01-31  31.58  32.08  31.45  31.79  2873200  31.79
2014-01-30  32.0  32.15  31.69  31.8  2414300  31.8
2014-01-29  32.36  32.41  31.63  31.86  5246900  31.86
2014-01-28  32.64  32.69  32.21  32.54  5947400  32.54
2014-01-27  32.56  32.84  32.42  32.74  3131100  32.74
2014-01-24  32.84  32.92  32.5  32.5  2632400  32.5
2014-01-23  33.24  33.29  32.83  33.01  2617900  33.01
2014-01-22  33.26  33.52  33.19  33.39  1945300  33.39
2014-01-21  33.36  33.37  32.99  33.3  2005900  33.3
2014-01-17  33.65  33.68  33.11  33.17  1862700  33.17
2014-01-16  33.48  33.82  33.26  33.79  2608100  33.79
2014-01-15  33.67  33.92  33.41  33.5  2467000  33.5
2014-01-14  33.32  33.65  33.32  33.62  2255300  33.62
2014-01-13  33.45  33.73  33.25  33.31  2162900  33.31
2014-01-10  33.57  33.68  33.44  33.6  2135000  33.6
2014-01-09  33.33  33.51  33.11  33.49  2340500  33.49
2014-01-08  33.41  33.46  33.14  33.36  2927100  33.36
2014-01-07  33.14  33.67  33.14  33.64  3518800  33.64
2014-01-06  33.35  33.42  33.0  33.08  1710400  33.08
2014-01-03  33.28  33.41  33.16  33.23  1403900  33.23
2014-01-02  33.4  33.47  33.2  33.31  1904000  33.31
2013-12-31  33.44  33.57  33.19  33.44  1698000  33.44
2013-12-30  33.31  33.44  33.21  33.42  1228100  33.42
2013-12-27  33.14  33.46  33.03  33.29  1386200  33.29
2013-12-26  33.23  33.33  33.07  33.17  1543000  33.17
2013-12-24  33.1  33.35  33.05  33.23  921900  33.23
2013-12-23  33.48  33.49  32.99  33.06  2420900  33.06
2013-12-20  33.2  33.66  33.14  33.28  4579500  33.28
2013-12-19  32.79  33.64  32.59  33.21  9165600  33.21
2013-12-18  31.27  31.56  30.8  31.55  5236600  31.55
2013-12-17  31.42  31.49  30.98  31.24  4221900  31.24
2013-12-16  31.45  31.61  31.21  31.53  2973200  31.53
2013-12-13  31.87  31.87  31.29  31.43  3993400  31.43
2013-12-12  32.27  32.28  31.75  31.9  2827400  31.9
2013-12-11  32.33  32.39  32.07  32.27  2733700  32.27
2013-12-10  32.79  32.81  32.14  32.26  2634800  32.26
2013-12-09  32.9  33.22  32.72  32.87  3049800  32.87
2013-12-06  32.61  32.89  32.56  32.82  2561400  32.82
2013-12-05  32.49  32.66  32.22  32.39  1853100  32.39
2013-12-04  32.5  32.75  32.21  32.63  2914900  32.63
2013-12-03  32.49  32.83  32.36  32.69  2963800  32.69
2013-12-02  32.75  32.84  32.42  32.64  2636100  32.64
2013-11-29  32.64  32.96  32.5  32.74  1798300  32.74
2013-11-27  32.23  32.68  32.19  32.56  2330100  32.56
2013-11-26  32.45  32.59  32.06  32.2  5737000  32.2
2013-11-25  32.46  32.69  32.29  32.37  2205100  32.37
2013-11-22  31.87  32.53  31.87  32.43  2960800  32.43
2013-11-21  31.99  32.05  31.81  31.93  2732500  31.93
2013-11-20  32.32  32.38  31.88  32.02  2769600  32.02
2013-11-19  32.25  32.4  32.02  32.31  2301400  32.31
2013-11-18  32.83  32.83  32.25  32.34  2743000  32.34
2013-11-15  32.77  32.8  32.47  32.75  2558700  32.75
2013-11-14  32.56  32.94  32.47  32.81  2535900  32.81
2013-11-13  32.03  32.59  31.98  32.56  2863300  32.56
2013-11-12  32.13  32.21  31.8  32.08  2549700  32.08
2013-11-11  32.39  32.58  32.0  32.16  3346800  32.16
2013-11-08  32.1  32.39  31.74  32.39  3220100  32.39
2013-11-07  32.72  32.75  32.02  32.11  3243700  32.11
2013-11-06  32.38  32.71  32.25  32.64  4164600  32.64
2013-11-05  31.41  32.45  31.29  32.31  5417100  32.31
2013-11-04  31.57  31.69  31.22  31.41  2284300  31.41
2013-11-01  31.61  31.67  31.36  31.56  2904600  31.56
2013-10-31  31.84  31.98  31.56  31.57  2446400  31.57
2013-10-30  32.06  32.06  31.7  31.84  3086700  31.84
2013-10-29  31.85  32.0  31.61  31.99  3910500  31.99
2013-10-28  31.27  31.77  31.22  31.71  6858800  31.71
2013-10-25  31.11  31.28  30.96  31.23  3405300  31.23
2013-10-24  31.2  31.27  30.91  31.09  2102400  31.09
2013-10-23  31.28  31.39  31.09  31.12  2957500  31.12
2013-10-22  30.71  31.38  30.68  31.33  4061500  31.33
2013-10-21  30.68  30.71  30.36  30.69  2615000  30.69
2013-10-18  30.86  30.92  30.55  30.69  3677000  30.69
2013-10-17  30.61  30.93  30.54  30.85  2448700  30.85
2013-10-16  30.51  30.75  30.42  30.72  3206800  30.72
2013-10-15  30.22  30.5  30.12  30.3  2641600  30.3
2013-10-14  30.2  30.36  30.13  30.29  1537100  30.29
2013-10-11  30.21  30.44  30.15  30.38  2579600  30.38
2013-10-10  29.96  30.33  29.94  30.31  3390200  30.31
2013-10-09  29.71  29.91  29.53  29.73  3428100  29.73
2013-10-08  29.94  29.94  29.63  29.63  2768900  29.63
2013-10-07  29.68  30.09  29.63  29.87  2582100  29.87
2013-10-04  29.87  29.97  29.73  29.9  2774100  29.9
