Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  72.05  72.23  70.96  71.53  1799700  71.53
2014-02-27  71.48  72.04  71.02  71.83  2095600  71.83
2014-02-26  71.99  72.57  71.35  71.61  1685700  71.61
2014-02-25  71.67  72.43  71.51  72.0  1979200  72.0
2014-02-24  71.87  72.48  71.76  71.77  1837700  71.77
2014-02-21  71.83  72.04  71.52  71.75  2140900  71.75
2014-02-20  70.98  71.81  70.58  71.51  1720600  71.51
2014-02-19  70.79  71.87  70.41  70.94  2574600  70.94
2014-02-18  70.11  71.24  70.0  70.8  1900300  70.8
2014-02-14  69.75  70.45  69.51  70.27  1487000  70.27
2014-02-13  69.16  70.36  68.68  69.92  2132500  69.92
2014-02-12  69.81  70.96  69.41  69.47  3257100  69.47
2014-02-11  66.65  69.89  66.55  69.56  5032100  69.56
2014-02-10  67.3  67.48  66.09  66.66  3884300  66.66
2014-02-07  66.54  67.59  66.31  67.54  2074600  67.54
2014-02-06  65.56  66.57  65.25  66.27  2235500  66.27
2014-02-05  65.38  65.97  64.78  65.37  2599200  65.37
2014-02-04  66.13  66.38  65.24  65.56  2076500  65.56
2014-02-03  67.96  68.02  65.62  65.76  3835000  65.76
2014-01-31  68.52  68.54  67.47  68.02  2546100  68.02
2014-01-30  68.75  69.39  67.53  68.96  3887200  68.96
2014-01-29  66.76  67.25  66.06  66.45  2646300  66.45
2014-01-28  65.46  67.45  65.46  67.39  3021600  67.39
2014-01-27  65.44  65.98  65.11  65.26  2608100  65.26
2014-01-24  66.63  66.88  65.36  65.42  2869300  65.42
2014-01-23  67.55  67.84  66.71  66.96  2632100  66.96
2014-01-22  68.2  68.23  67.26  67.95  3116700  67.95
2014-01-21  68.47  68.55  67.59  68.0  2199400  68.0
2014-01-17  68.08  68.2  67.64  67.68  3781700  67.68
2014-01-16  67.91  68.17  67.74  67.94  1586200  67.94
2014-01-15  68.25  68.3  67.56  67.91  2316000  67.91
2014-01-14  68.01  68.3  67.6  68.2  1985400  68.2
2014-01-13  69.51  69.51  67.65  67.95  2660600  67.95
2014-01-10  68.38  69.34  67.85  69.32  3432900  69.32
2014-01-09  67.36  68.86  67.03  68.18  3823500  68.18
2014-01-08  66.16  67.17  65.95  67.03  3602800  67.03
2014-01-07  66.83  67.84  66.76  67.55  2251600  67.55
2014-01-06  66.85  67.4  66.38  66.73  2214000  66.73
2014-01-03  66.25  66.91  66.24  66.79  1301100  66.79
2014-01-02  66.45  66.65  65.91  66.13  1608500  66.13
2013-12-31  67.17  67.34  66.56  66.81  1232500  66.81
2013-12-30  66.95  67.21  66.52  67.07  970100  67.07
2013-12-27  67.23  67.43  66.67  66.84  638800  66.84
2013-12-26  66.83  67.35  66.82  67.18  914700  67.18
2013-12-24  66.79  67.01  66.46  66.82  412700  66.82
2013-12-23  66.7  66.83  66.13  66.69  1694300  66.69
2013-12-20  66.32  66.63  66.12  66.26  3408800  66.26
