Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  96.63  97.52  96.3  96.97  5411100  96.97
2014-02-27  97.21  97.64  96.52  96.7  4337700  96.7
2014-02-26  96.66  97.91  96.34  97.2  4753900  97.2
2014-02-25  96.84  96.98  95.82  96.41  5989200  96.41
2014-02-24  97.55  98.24  97.18  97.32  4887800  97.32
2014-02-21  97.11  97.95  96.92  97.5  5554600  97.5
2014-02-20  96.51  97.52  95.3  96.92  7718400  96.92
2014-02-19  96.19  97.67  96.11  96.21  5865200  96.21
2014-02-18  95.85  96.94  95.85  96.56  4871700  96.56
2014-02-14  95.86  96.68  95.84  96.55  4145300  96.55
2014-02-13  95.29  96.41  95.11  96.11  4387000  96.11
2014-02-12  95.31  96.64  95.17  96.17  8002000  96.17
2014-02-11  94.62  95.34  94.28  94.96  6006100  94.96
2014-02-10  94.97  94.98  93.63  94.5  5933400  94.5
2014-02-07  94.17  95.24  93.88  94.87  9140200  94.87
2014-02-06  91.94  94.23  91.79  93.83  6844200  93.83
2014-02-05  92.24  92.51  91.06  91.96  5134500  91.96
2014-02-04  92.48  92.65  91.49  92.5  6839700  92.5
2014-02-03  93.74  93.94  91.95  92.42  9084100  92.42
2014-01-31  92.16  94.69  92.01  93.91  9697300  93.91
2014-01-30  91.53  93.85  90.73  93.2  14764700  93.2
2014-01-29  91.31  91.96  90.29  90.62  8145900  90.62
2014-01-28  91.4  92.67  91.35  92.47  9409600  92.47
2014-01-27  91.77  92.31  89.07  91.29  22202300  91.29
2014-01-24  87.98  87.99  85.88  86.17  8087400  86.17
2014-01-23  88.7  89.08  88.05  88.48  5014800  88.48
2014-01-22  90.59  90.82  89.35  89.64  4787300  89.64
2014-01-21  91.6  91.85  89.64  90.6  5544900  90.6
2014-01-17  92.15  92.26  91.01  91.44  6833400  91.44
2014-01-16  91.89  92.86  91.7  92.01  4771000  92.01
2014-01-15  90.29  92.59  90.29  91.81  10121900  91.81
2014-01-14  89.27  90.12  89.27  89.97  3712100  89.97
2014-01-13  89.68  90.67  89.24  89.31  5213600  89.31
2014-01-10  88.83  90.01  88.71  89.92  5416000  89.92
2014-01-09  88.68  89.22  88.12  89.13  4466400  89.13
2014-01-08  88.2  89.24  88.09  88.56  4421600  88.56
2014-01-07  88.19  88.65  88.17  88.35  3512100  88.35
2014-01-06  89.6  89.71  87.8  88.06  5233900  88.06
2014-01-03  89.42  89.67  89.01  89.24  3722000  89.24
2014-01-02  89.83  89.87  88.75  89.29  4898000  89.29
2013-12-31  90.41  90.59  89.87  90.22  3098900  90.22
2013-12-30  90.26  90.44  89.69  90.28  2625000  90.28
2013-12-27  90.55  90.84  89.97  90.28  3373800  90.28
2013-12-26  90.4  91.08  90.11  90.56  4790800  90.56
2013-12-24  89.42  90.39  89.41  90.32  2675700  90.32
2013-12-23  88.73  89.49  88.69  89.38  5733300  89.38
2013-12-20  87.28  88.53  87.24  88.35  7389700  88.35
2013-12-19  86.93  87.27  86.69  86.97  4299700  86.97
2013-12-18  86.45  87.89  86.09  87.6  6963200  87.6
2013-12-17  86.66  87.09  85.82  86.36  4764400  86.36
2013-12-16  85.94  87.28  85.88  86.81  6976200  86.81
2013-12-13  85.11  85.67  85.01  85.49  4226200  85.49
2013-12-12  84.81  85.14  84.28  85.01  4551700  85.01
2013-12-11  85.48  85.66  84.57  84.73  5624100  84.73
2013-12-10  85.41  86.31  85.36  85.86  4987000  85.86
2013-12-09  85.14  85.97  85.0  85.53  6023400  85.53
2013-12-06  84.5  85.02  84.37  84.94  5759300  84.94
2013-12-05  83.37  84.03  83.15  83.86  5291900  83.86
2013-12-04  83.2  83.83  82.57  83.42  5246700  83.42
2013-12-03  83.26  83.41  82.73  83.33  3924300  83.33
2013-12-02  84.15  84.53  83.48  83.7  4834700  83.7
2013-11-29  84.09  84.63  83.98  84.05  2284400  84.05
2013-11-27  83.88  84.38  83.78  84.12  3053600  84.12
2013-11-26  84.25  84.28  83.46  83.81  3834900  83.81
2013-11-25  83.85  84.39  83.32  83.85  8111400  83.85
2013-11-22  81.68  82.41  81.47  82.34  4403800  82.34
