Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  27.87  28.06  27.7  27.95  2007100  27.95
2014-02-27  27.58  28.0  27.56  27.82  1677500  27.82
2014-02-26  27.97  28.02  27.56  27.63  2096700  27.63
2014-02-25  27.45  27.89  27.45  27.86  2429900  27.86
2014-02-24  27.43  27.89  27.43  27.45  1783600  27.45
2014-02-21  27.35  27.46  27.19  27.44  2310300  27.44
2014-02-20  27.28  27.4  27.12  27.35  1793900  27.35
2014-02-19  27.15  27.39  27.02  27.24  2737200  27.24
2014-02-18  27.08  27.25  26.59  27.24  2006500  27.24
2014-02-14  26.79  27.07  26.67  27.01  2185800  27.01
2014-02-13  26.52  27.0  26.48  26.82  1521800  26.82
2014-02-12  26.58  26.88  26.58  26.68  2693800  26.68
2014-02-11  26.3  26.71  26.29  26.56  4085600  26.56
2014-02-10  26.21  26.49  26.19  26.32  3016600  26.32
2014-02-07  25.98  26.35  25.94  26.32  3145400  26.32
2014-02-06  25.5  26.31  25.5  25.85  6715900  25.85
2014-02-05  26.55  26.86  26.29  26.72  2707200  26.72
2014-02-04  26.39  26.86  26.2  26.78  2365000  26.78
2014-02-03  26.48  26.54  26.11  26.21  3642100  26.21
2014-01-31  26.5  26.75  26.18  26.54  2785500  26.54
2014-01-30  27.43  27.43  26.6  26.72  4987700  26.72
2014-01-29  26.61  27.09  26.33  26.9  3657000  26.9
2014-01-28  25.91  26.71  25.85  26.65  4006500  26.65
2014-01-27  25.5  26.0  25.5  25.86  4674800  25.86
2014-01-24  26.14  26.25  25.47  25.47  2035700  25.47
2014-01-23  26.41  26.52  26.15  26.28  1300600  26.28
2014-01-22  26.4  26.65  26.29  26.55  1614300  26.55
2014-01-21  26.7  26.7  26.26  26.37  2294400  26.37
2014-01-17  26.6  26.76  26.4  26.5  2297900  26.5
2014-01-16  26.49  26.74  26.43  26.56  1570500  26.56
2014-01-15  26.48  26.72  26.43  26.55  1316900  26.55
2014-01-14  26.27  26.58  26.27  26.44  1483400  26.44
2014-01-13  26.23  26.5  26.1  26.2  2013800  26.2
2014-01-10  26.26  26.55  26.18  26.38  1752900  26.38
