Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  66.41  67.47  66.41  67.08  5577100  67.08
2014-02-27  65.38  66.54  65.17  66.4  4732500  66.4
2014-02-26  65.9  66.45  65.4  65.54  4726900  65.54
2014-02-25  66.09  66.33  65.6  65.76  4438800  65.76
2014-02-24  66.38  67.29  66.29  66.46  4822800  66.46
2014-02-21  66.07  66.6  65.74  66.06  5038300  66.06
2014-02-20  65.95  66.08  64.66  65.91  6616900  65.91
2014-02-19  65.79  66.58  65.49  65.82  7185400  65.82
2014-02-18  65.23  66.45  65.17  66.29  6013100  66.29
2014-02-14  64.14  65.93  63.85  64.96  7916300  64.96
2014-02-13  63.91  64.9  63.43  64.61  12806300  64.61
2014-02-12  61.6  62.04  61.13  61.85  6713300  61.85
2014-02-11  60.58  61.15  60.37  60.9  6747800  60.9
2014-02-10  60.55  60.7  60.19  60.59  4311500  60.59
2014-02-07  60.55  60.85  60.0  60.5  4719500  60.5
2014-02-06  59.18  61.04  58.79  60.29  6706800  60.29
2014-02-05  57.42  59.04  56.75  58.94  8278900  58.94
2014-02-04  56.73  58.16  56.47  57.87  8234500  57.87
2014-02-03  58.59  58.72  55.71  56.31  11594800  56.31
2014-01-31  58.19  59.08  57.9  58.72  6940300  58.72
2014-01-30  59.0  60.17  58.66  59.17  7782600  59.17
2014-01-29  58.25  58.43  57.37  57.72  5709200  57.72
2014-01-28  58.39  59.04  58.24  58.7  4131400  58.7
2014-01-27  58.38  58.85  57.51  58.18  5826900  58.18
2014-01-24  59.56  59.69  58.03  58.39  7373300  58.39
2014-01-23  60.1  60.5  59.16  59.7  4422200  59.7
2014-01-22  60.01  60.95  59.71  60.77  3580500  60.77
2014-01-21  61.23  61.23  59.29  59.7  5797000  59.7
2014-01-17  60.79  61.17  60.03  60.49  5014200  60.49
2014-01-16  61.02  61.31  60.59  60.8  3943800  60.8
2014-01-15  60.83  61.37  60.47  61.0  7616600  61.0
2014-01-14  61.55  61.55  60.3  60.65  5845500  60.65
2014-01-13  62.49  62.69  60.65  60.94  5463200  60.94
2014-01-10  62.5  63.28  62.07  62.99  3754800  62.99
2014-01-09  63.0  63.09  61.38  62.49  3565500  62.49
2014-01-08  63.22  63.33  62.46  62.74  2653400  62.74
2014-01-07  63.29  63.84  63.1  63.38  2258700  63.38
2014-01-06  63.71  63.83  62.89  63.01  3663000  63.01
2014-01-03  63.19  63.42  62.79  63.14  2226100  63.14
2014-01-02  63.25  63.73  62.41  63.25  6723000  63.25
2013-12-31  63.66  64.06  63.36  63.74  3884000  63.74
2013-12-30  62.99  64.06  62.99  63.66  6983700  63.66
2013-12-27  63.04  63.33  62.23  63.04  3968400  63.04
2013-12-26  62.06  63.14  61.74  63.0  3886400  63.0
2013-12-24  61.69  61.91  61.44  61.66  2351100  61.66
2013-12-23  61.07  61.85  60.82  61.81  4681700  61.81
2013-12-20  60.66  61.23  60.38  60.7  5626000  60.7
2013-12-19  59.61  60.85  59.56  60.72  4903600  60.72
2013-12-18  58.72  59.87  58.1  59.79  6198600  59.79
2013-12-17  59.03  59.09  58.21  58.72  3290100  58.72
2013-12-16  58.84  59.4  58.53  59.13  3385100  59.13
2013-12-13  58.31  58.73  58.06  58.42  2523800  58.42
2013-12-12  58.25  58.6  57.84  58.17  3485400  58.17
2013-12-11  59.61  59.61  58.25  58.44  3519100  58.44
2013-12-10  58.77  59.37  58.68  59.24  3953200  59.24
2013-12-09  58.96  59.57  58.53  58.95  3007100  58.95
2013-12-06  58.91  59.14  58.49  58.78  3391700  58.78
2013-12-05  57.88  58.31  57.62  58.14  3520600  58.14
2013-12-04  57.97  59.16  57.4  57.97  4582700  57.97
2013-12-03  58.25  58.6  58.03  58.34  3169200  58.34
2013-12-02  58.48  59.08  58.1  58.59  3673000  58.59
2013-11-29  58.79  58.9  58.43  58.44  1777900  58.44
2013-11-27  58.48  58.74  58.07  58.68  2812900  58.68
2013-11-26  58.27  58.59  58.01  58.41  6083500  58.41
2013-11-25  58.63  58.75  58.19  58.35  3014900  58.35
2013-11-22  58.48  58.68  58.2  58.51  3594400  58.51
2013-11-21  58.47  58.73  58.04  58.29  4967400  58.29
2013-11-20  58.91  58.99  57.91  58.08  6151200  58.08
2013-11-19  59.31  59.47  58.38  58.76  3773400  58.76
2013-11-18  60.52  60.63  59.33  59.48  2801000  59.48
2013-11-15  60.92  60.93  60.12  60.43  3614000  60.43
2013-11-14  59.88  60.96  59.8  60.72  5630600  60.72
