Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  46.82  47.45  46.74  47.08  1676700  47.08
2014-02-27  46.46  46.93  46.23  46.75  1603600  46.75
2014-02-26  47.14  47.21  46.46  46.47  2098900  46.47
2014-02-25  47.38  47.51  46.94  46.99  2080300  46.99
2014-02-24  47.42  47.89  47.23  47.25  2890200  47.25
2014-02-21  46.99  47.46  46.8  47.34  2712200  47.34
2014-02-20  46.24  46.99  46.13  46.88  2686800  46.88
2014-02-19  46.2  46.53  46.05  46.15  1718500  46.15
2014-02-18  46.06  46.5  45.93  46.34  2112500  46.34
2014-02-14  45.56  46.18  45.46  46.15  1829500  46.15
2014-02-13  45.24  45.99  45.15  45.96  2794200  45.96
2014-02-12  45.43  45.78  45.34  45.5  3445600  45.5
2014-02-11  44.78  45.38  44.56  45.33  2127800  45.33
2014-02-10  44.31  44.76  44.06  44.74  1399400  44.74
2014-02-07  44.33  44.81  44.24  44.4  2355500  44.4
2014-02-06  42.95  44.26  42.94  44.2  2402200  44.2
2014-02-05  42.87  43.54  42.32  43.44  3258200  43.44
2014-02-04  42.25  42.99  42.24  42.95  2520300  42.95
2014-02-03  43.4  43.69  42.07  42.13  2388300  42.13
2014-01-31  43.45  43.75  42.94  43.29  2069700  43.29
2014-01-30  43.42  44.02  43.39  43.85  1277000  43.85
2014-01-29  43.69  43.69  43.08  43.14  2321500  43.14
2014-01-28  43.41  44.03  43.37  43.99  1919300  43.99
2014-01-27  43.55  43.78  43.32  43.33  1893300  43.33
2014-01-24  43.92  44.06  43.53  43.53  1964300  43.53
2014-01-23  44.54  44.64  44.06  44.18  1395100  44.18
2014-01-22  44.92  45.03  44.66  44.87  1745900  44.87
2014-01-21  44.68  44.88  44.5  44.76  1262300  44.76
2014-01-17  44.47  44.53  44.17  44.28  1306900  44.28
2014-01-16  44.65  44.75  43.67  44.52  1535900  44.52
2014-01-15  44.67  44.93  44.36  44.76  1580100  44.76
2014-01-14  44.1  44.55  44.04  44.51  1619000  44.51
2014-01-13  44.25  44.56  43.78  43.91  1761100  43.91
2014-01-10  44.14  44.46  43.92  44.4  1832200  44.4
2014-01-09  43.96  44.35  43.86  44.23  1546200  44.23
2014-01-08  44.19  44.34  43.82  43.98  1916000  43.98
2014-01-07  43.34  44.11  43.29  44.01  1694600  44.01
2014-01-06  43.97  44.09  43.31  43.32  1793800  43.32
2014-01-03  43.36  44.03  43.3  43.67  1148800  43.67
2014-01-02  43.86  44.03  43.45  43.58  3407700  43.58
2013-12-31  44.13  44.36  44.04  44.13  932300  44.13
2013-12-30  43.68  44.05  43.68  44.03  2527700  44.03
2013-12-27  43.69  43.77  43.42  43.63  706900  43.63
2013-12-26  43.44  43.61  43.2  43.54  714500  43.54
2013-12-24  43.26  43.5  43.14  43.41  411300  43.41
2013-12-23  43.32  43.48  42.94  43.13  1247100  43.13
2013-12-20  42.56  43.26  42.43  43.14  4495000  43.14
2013-12-19  42.34  42.66  42.25  42.39  2266300  42.39
2013-12-18  41.79  42.33  41.1  42.25  1889100  42.25
2013-12-17  41.33  41.7  41.22  41.55  1773600  41.55
2013-12-16  40.95  41.4  40.82  41.32  1334800  41.32
2013-12-13  40.88  41.15  40.55  40.66  1443000  40.66
2013-12-12  41.9  42.01  40.88  40.91  2037000  40.91
2013-12-11  42.04  42.31  41.68  41.93  2430000  41.93
2013-12-10  42.35  42.35  41.79  41.92  1373100  41.92
2013-12-09  42.6  42.67  41.99  42.33  1910700  42.33
2013-12-06  42.57  42.85  42.47  42.59  1543400  42.59
2013-12-05  42.58  42.67  42.1  42.15  1719300  42.15
2013-12-04  42.4  42.87  42.03  42.72  2575300  42.72
2013-12-03  42.04  42.5  41.98  42.49  1674600  42.49
2013-12-02  41.93  42.41  41.92  42.13  1573800  42.13
2013-11-29  42.12  42.21  41.87  41.94  642000  41.94
2013-11-27  41.86  42.23  41.76  42.16  848900  42.16
2013-11-26  41.62  42.09  41.51  41.89  2031300  41.89
2013-11-25  41.73  41.88  41.36  41.42  1502600  41.42
2013-11-22  42.02  42.05  41.41  41.57  2954600  41.57
2013-11-21  41.39  42.05  41.35  42.0  1206100  42.0
2013-11-20  41.54  41.8  41.26  41.31  1080700  41.31
2013-11-19  41.77  41.91  41.28  41.47  2797300  41.47
2013-11-18  41.92  42.04  41.62  41.76  905600  41.76
2013-11-15  42.0  42.1  41.44  41.86  1272200  41.86
2013-11-14  41.8  42.24  41.74  42.01  2232200  42.01
