Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  39.93  39.99  39.56  39.66  6653200  39.66
2014-02-27  40.26  40.63  40.22  40.45  3672000  40.45
2014-02-26  40.1  40.33  39.91  40.22  2581700  40.22
2014-02-25  40.0  40.23  39.65  40.08  2240500  40.08
2014-02-24  39.28  39.96  39.27  39.69  1946400  39.69
2014-02-21  39.01  39.55  39.01  39.42  2317900  39.42
2014-02-20  39.22  39.25  38.85  39.11  2814400  39.11
2014-02-19  39.65  39.67  39.12  39.18  2781000  39.18
2014-02-18  40.43  40.54  39.14  39.51  4268500  39.51
2014-02-14  40.05  40.51  39.82  40.5  1517800  40.5
2014-02-13  39.75  40.01  39.61  39.99  1557900  39.99
2014-02-12  40.04  40.23  39.95  40.15  1753700  40.15
2014-02-11  39.53  40.24  39.5  40.03  3118000  40.03
2014-02-10  39.54  40.11  39.42  40.06  2513900  40.06
2014-02-07  40.11  40.18  39.34  39.66  2905300  39.66
2014-02-06  39.0  39.91  38.94  39.88  3158200  39.88
2014-02-05  38.69  38.81  38.36  38.38  3498100  38.38
2014-02-04  38.68  38.92  38.41  38.8  2653400  38.8
2014-02-03  39.18  39.19  37.72  38.51  9866400  38.51
2014-01-31  39.05  39.39  38.9  38.94  3267800  38.94
2014-01-30  39.74  39.97  39.48  39.79  2034400  39.79
2014-01-29  40.0  40.02  39.1  39.29  4496500  39.29
2014-01-28  40.13  40.55  40.01  40.33  5928200  40.33
2014-01-27  39.91  39.95  38.77  39.12  5824100  39.12
2014-01-24  39.92  39.92  38.86  38.9  6148400  38.9
2014-01-23  40.63  40.65  40.09  40.39  2908100  40.39
2014-01-22  41.03  41.13  40.5  40.82  3538700  40.82
2014-01-21  41.36  41.43  40.25  40.57  3915300  40.57
2014-01-17  41.37  41.4  40.96  41.1  2297800  41.1
2014-01-16  41.2  41.33  40.96  41.27  2253300  41.27
2014-01-15  41.29  41.5  41.16  41.32  4416000  41.32
2014-01-14  41.23  41.42  40.93  41.26  3387000  41.26
2014-01-13  40.73  41.63  40.68  41.16  7469500  41.16
2014-01-10  40.05  41.03  39.93  40.99  6450500  40.99
2014-01-09  39.28  39.75  39.1  39.71  4467500  39.71
2014-01-08  39.51  39.52  38.86  39.15  4236700  39.15
2014-01-07  39.42  39.62  38.99  39.24  3763600  39.24
2014-01-06  39.57  39.59  38.92  38.98  3599900  38.98
2014-01-03  39.67  39.77  39.4  39.6  2655900  39.6
2014-01-02  39.39  39.74  39.36  39.56  2953600  39.56
2013-12-31  39.92  40.22  39.7  39.92  2499700  39.92
2013-12-30  39.81  39.93  39.55  39.89  3001800  39.89
2013-12-27  39.86  40.16  39.57  39.64  4184400  39.64
2013-12-26  39.25  39.38  39.1  39.29  1832300  39.29
2013-12-24  38.95  39.23  38.87  39.19  1731000  39.19
2013-12-23  39.2  39.36  38.83  38.9  6279700  38.9
2013-12-20  38.76  38.8  38.19  38.61  11550300  38.61
2013-12-19  38.35  38.6  37.05  37.81  16530400  37.81
2013-12-18  36.41  36.92  36.04  36.88  5451100  36.88
2013-12-17  36.16  36.53  36.11  36.32  4329200  36.32
2013-12-16  35.65  36.48  35.65  36.24  6702600  36.24
2013-12-13  35.07  35.84  35.01  35.76  6797100  35.76
2013-12-12  35.21  35.42  34.93  35.12  2997500  35.12
2013-12-11  35.42  35.54  35.12  35.16  3243400  35.16
2013-12-10  35.42  35.63  35.27  35.47  2864000  35.47
2013-12-09  34.97  35.69  34.95  35.38  3324600  35.38
2013-12-06  34.86  35.23  34.69  35.12  4529500  35.12
2013-12-05  34.78  34.97  34.6  34.77  4708600  34.77
2013-12-04  35.02  35.37  34.94  35.33  5142800  35.33
2013-12-03  35.69  35.77  35.41  35.62  3788000  35.62
2013-12-02  35.67  36.0  35.65  35.85  2539600  35.85
2013-11-29  36.08  36.2  35.8  35.88  1403700  35.88
2013-11-27  35.87  36.11  35.78  35.96  3291800  35.96
2013-11-26  35.71  36.0  35.52  35.73  6090200  35.73
2013-11-25  36.05  36.19  35.8  36.07  2247300  36.07
2013-11-22  35.53  36.11  35.22  35.89  6938800  35.89
2013-11-21  35.45  35.77  35.24  35.65  3888000  35.65
2013-11-20  35.16  35.73  35.07  35.53  4535800  35.53
2013-11-19  35.16  35.25  34.76  35.14  5361000  35.14
2013-11-18  35.48  35.55  35.06  35.2  4634700  35.2
2013-11-15  35.49  35.58  35.22  35.52  4319200  35.52
2013-11-14  35.37  35.76  35.25  35.63  2201600  35.63
2013-11-13  34.6  35.44  34.49  35.35  4053000  35.35
2013-11-12  35.3  35.41  34.84  35.2  4744400  35.2
2013-11-11  35.55  35.69  35.36  35.62  1851200  35.62
2013-11-08  35.23  35.8  34.93  35.79  3273200  35.79
2013-11-07  35.62  35.78  35.0  35.19  4710500  35.19
