Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  52.37  52.4  51.62  51.86  1823100  51.86
2014-02-27  52.41  52.55  52.04  52.36  1491300  52.36
2014-02-26  52.47  52.77  52.25  52.52  1460500  52.52
2014-02-25  53.11  53.53  52.2  52.42  2602900  52.42
2014-02-24  54.19  54.48  53.33  53.34  1957500  53.34
2014-02-21  54.27  54.67  54.1  54.12  1539300  54.12
2014-02-20  53.72  54.36  53.45  54.16  1463600  54.16
2014-02-19  54.4  54.86  53.69  53.77  1640400  53.77
2014-02-18  54.72  55.17  54.33  54.42  1736000  54.42
2014-02-14  53.89  54.68  53.84  54.64  1366400  54.64
2014-02-13  53.59  54.08  53.5  54.03  1572800  54.03
2014-02-12  53.94  54.54  53.67  53.79  1666000  53.79
2014-02-11  52.84  54.01  52.73  53.87  2225300  53.87
2014-02-10  52.38  53.43  52.3  52.93  2233700  52.93
2014-02-07  52.91  53.15  52.01  52.39  2922600  52.39
2014-02-06  53.06  53.15  52.04  52.48  3896100  52.48
2014-02-05  53.47  54.5  52.5  53.16  10199900  53.16
2014-02-04  58.11  58.88  57.46  58.64  3252400  58.64
2014-02-03  57.91  58.54  57.11  57.73  2807400  57.73
2014-01-31  57.53  58.91  57.53  58.54  2069000  58.54
2014-01-30  57.94  58.68  57.69  58.28  1655100  58.28
2014-01-29  56.96  58.43  56.87  57.63  2240800  57.63
2014-01-28  56.92  57.49  56.84  57.45  1784500  57.45
2014-01-27  57.36  57.86  56.52  57.0  1431900  57.0
2014-01-24  58.87  58.92  57.18  57.21  2039400  57.21
2014-01-23  59.27  59.73  58.21  59.05  2290000  59.05
2014-01-22  59.84  60.31  59.73  60.23  1738200  60.23
2014-01-21  59.49  59.7  58.8  59.66  1728600  59.66
2014-01-17  59.11  59.49  58.74  59.13  1448900  59.13
2014-01-16  58.35  59.69  58.35  59.52  1567000  59.52
2014-01-15  57.97  59.45  57.74  59.34  3266200  59.34
2014-01-14  57.67  57.99  57.03  57.74  1013300  57.74
2014-01-13  57.45  58.14  57.35  57.45  1771000  57.45
2014-01-10  56.62  58.27  56.6  57.7  2561500  57.7
2014-01-09  56.47  56.7  56.12  56.55  1133300  56.55
2014-01-08  56.69  56.74  56.1  56.27  1516900  56.27
2014-01-07  56.64  57.0  56.39  56.68  1309800  56.68
2014-01-06  57.65  57.76  56.52  56.61  2063900  56.61
2014-01-03  58.01  58.05  57.07  57.28  1319600  57.28
2014-01-02  58.21  58.48  57.61  57.82  1501000  57.82
2013-12-31  58.24  58.55  58.09  58.35  953900  58.35
2013-12-30  57.18  58.43  57.18  58.22  1267500  58.22
2013-12-27  57.1  57.78  56.92  57.72  1412800  57.72
2013-12-26  57.26  57.32  56.91  57.13  1938400  57.13
2013-12-24  57.22  57.27  56.8  57.04  999500  57.04
2013-12-23  56.87  57.16  56.51  57.04  2337800  57.04
2013-12-20  56.4  57.1  56.35  56.54  5227500  56.54
2013-12-19  56.47  56.73  56.28  56.48  1630000  56.48
2013-12-18  56.39  56.61  55.93  56.49  2085900  56.49
2013-12-17  56.19  56.49  55.95  56.37  1795400  56.37
2013-12-16  56.64  56.76  55.92  56.2  1995900  56.2
2013-12-13  56.93  57.14  56.11  56.4  2896800  56.4
2013-12-12  56.99  57.21  56.66  56.78  2123100  56.78
2013-12-11  57.21  57.47  56.78  57.02  1867500  57.02
2013-12-10  57.62  57.77  57.17  57.37  1464800  57.37
2013-12-09  57.73  58.01  57.4  57.56  1365200  57.56
2013-12-06  58.13  58.13  56.99  57.54  2457300  57.54
2013-12-05  57.83  58.09  57.69  57.91  1264400  57.91
2013-12-04  57.51  58.02  57.11  57.89  2174700  57.89
2013-12-03  57.86  58.11  57.5  57.78  1639600  57.78
2013-12-02  58.45  58.75  57.91  58.12  1614000  58.12
2013-11-29  58.42  58.81  58.23  58.29  569500  58.29
2013-11-27  58.35  58.58  58.12  58.34  1153700  58.34
2013-11-26  58.44  58.73  58.09  58.17  1961400  58.17
2013-11-25  58.58  58.65  58.16  58.43  1072900  58.43
2013-11-22  57.88  58.53  57.8  58.32  1345800  58.32
2013-11-21  57.36  57.93  57.03  57.75  1417200  57.75
2013-11-20  57.49  58.11  57.13  57.31  3949800  57.31
2013-11-19  59.59  59.59  58.17  58.59  3040300  58.59
2013-11-18  59.71  60.28  59.58  59.71  1949400  59.71
2013-11-15  59.88  60.07  59.32  59.61  2131900  59.61
2013-11-14  59.6  59.77  59.33  59.55  1390100  59.55
2013-11-13  58.36  59.51  58.18  59.33  1881300  59.33
2013-11-12  58.8  58.98  58.54  58.56  2187100  58.56
2013-11-11  59.15  59.6  58.6  58.95  2224700  58.95
2013-11-08  59.13  59.39  58.91  59.29  1440500  59.29
2013-11-07  59.99  60.01  59.07  59.23  2042800  59.23
2013-11-06  58.64  60.59  58.52  59.73  3286600  59.73
2013-11-05  60.95  61.38  60.38  60.56  2871800  60.56
2013-11-04  60.31  61.56  59.7  61.35  2904100  61.35
2013-11-01  59.68  60.31  59.13  59.57  2066600  59.57
2013-10-31  59.95  59.96  59.13  59.37  2419500  59.37
2013-10-30  60.51  60.68  59.72  59.9  1545800  59.9
2013-10-29  60.57  60.63  59.82  60.54  1199800  60.54
2013-10-28  60.51  60.89  60.15  60.43  1214200  60.43
2013-10-25  61.03  61.03  59.75  60.39  2152900  60.39
2013-10-24  60.38  61.3  59.52  60.75  1826200  60.75
2013-10-23  60.19  60.65  60.14  60.53  786100  60.53
2013-10-22  60.31  60.72  59.87  60.35  1109100  60.35
2013-10-21  59.96  60.24  59.68  60.19  933200  60.19
2013-10-18  59.21  60.13  59.13  59.84  1534000  59.84
2013-10-17  58.56  59.41  58.31  59.15  1250300  59.15
2013-10-16  58.52  59.53  58.42  58.63  1324500  58.63
2013-10-15  58.67  59.07  58.09  58.41  1546000  58.41
2013-10-14  58.39  59.25  58.34  59.1  824200  59.1
2013-10-11  57.91  58.61  57.86  58.54  928400  58.54
2013-10-10  58.06  58.45  57.57  58.19  1331100  58.19
2013-10-09  57.4  57.77  57.01  57.64  1316400  57.64
2013-10-08  57.76  57.82  57.33  57.43  1357700  57.43
2013-10-07  57.12  58.25  56.75  57.93  1730300  57.93
2013-10-04  57.47  58.19  57.16  58.12  1090600  58.12
2013-10-03  58.46  58.62  57.0  57.41  2116200  57.41
2013-10-02  59.08  59.18  58.5  58.76  1613800  58.76
2013-10-01  59.34  59.75  59.11  59.49  1329900  59.49
2013-09-30  59.19  59.48  58.34  59.22  2057200  59.22
2013-09-27  60.46  60.6  60.01  60.08  1066100  60.08
2013-09-26  60.86  61.13  60.09  60.55  1333300  60.55
2013-09-25  61.3  61.38  60.5  60.6  1466100  60.6
2013-09-24  61.19  61.76  61.17  61.33  1229000  61.33
2013-09-23  61.49  61.6  60.65  61.26  1457600  61.26
2013-09-20  61.29  62.08  61.07  61.71  2808400  61.71
2013-09-19  61.46  61.87  61.22  61.24  1267100  61.24
2013-09-18  60.2  61.71  60.03  61.42  1680400  61.42
2013-09-17  59.57  60.4  59.35  60.02  1357600  60.02
2013-09-16  59.4  59.95  59.32  59.66  1015400  59.66
2013-09-13  59.4  59.53  58.31  58.77  1040400  58.77
2013-09-12  59.48  59.68  59.0  59.26  1405900  59.26
2013-09-11  58.96  59.87  58.65  59.63  1645700  59.63
2013-09-10  58.29  58.96  58.27  58.86  1229300  58.86
2013-09-09  57.47  58.08  57.47  58.06  1250300  58.06
2013-09-06  57.67  57.82  56.89  57.35  1160000  57.35
2013-09-05  57.05  57.76  56.78  57.5  1030600  57.5
2013-09-04  56.85  57.24  56.31  57.16  999100  57.16
2013-09-03  56.76  57.0  56.5  56.75  1603000  56.75
2013-08-30  56.92  56.93  55.98  56.18  1009900  56.18
2013-08-29  56.81  57.22  56.54  56.73  968200  56.73
2013-08-28  56.88  57.02  56.36  56.77  1184200  56.77
2013-08-27  57.47  57.86  56.63  56.91  1234100  56.91
2013-08-26  57.19  59.83  57.19  58.11  2684900  58.11
2013-08-23  56.32  56.59  56.12  56.5  911300  56.5
2013-08-22  55.83  56.53  55.8  56.23  654800  56.23
2013-08-21  55.72  56.34  55.47  55.91  909300  55.91
2013-08-20  55.22  56.12  54.99  55.77  819000  55.77
2013-08-19  55.48  55.62  55.0  55.34  871500  55.34
2013-08-16  55.07  55.62  54.91  55.45  934400  55.45
2013-08-15  54.86  55.33  54.59  55.2  1151600  55.2
2013-08-14  55.65  55.97  54.91  55.04  952300  55.04
2013-08-13  56.37  56.47  55.49  55.75  742900  55.75
2013-08-12  55.9  56.44  55.82  56.36  906000  56.36
2013-08-09  56.19  56.27  55.76  56.1  1088700  56.1
2013-08-08  55.66  56.05  55.34  56.04  1372800  56.04
2013-08-07  55.35  56.22  54.92  55.62  4337100  55.62
2013-08-06  58.77  59.46  58.54  58.85  1623000  58.85
2013-08-05  58.85  59.17  58.38  58.93  749800  58.93
2013-08-02  59.83  59.92  58.5  58.98  1678400  58.98
2013-08-01  59.49  60.61  58.65  60.33  1136400  60.33
2013-07-31  58.63  59.53  58.45  58.89  933000  58.89
2013-07-30  58.53  58.77  58.12  58.48  625900  58.48
2013-07-29  58.34  58.69  58.15  58.36  392900  58.36
2013-07-26  58.0  58.72  57.92  58.67  479500  58.67
2013-07-25  58.54  58.62  57.78  58.46  828900  58.46
2013-07-24  59.73  59.75  58.56  58.56  871700  58.56
2013-07-23  60.16  60.16  59.01  59.15  761800  59.15
2013-07-22  60.37  60.38  59.71  59.8  758800  59.8
2013-07-19  59.93  60.19  59.68  59.86  705600  59.86
2013-07-18  59.51  60.08  59.5  59.96  849700  59.96
2013-07-17  59.79  59.91  59.1  59.32  794700  59.32
2013-07-16  59.43  59.82  59.22  59.5  1509200  59.5
2013-07-15  57.23  59.62  57.17  59.21  1900000  59.21
2013-07-12  57.8  58.04  56.86  57.13  1361900  57.13
2013-07-11  58.31  58.47  57.94  58.16  963400  58.16
2013-07-10  57.51  58.0  57.12  57.43  833600  57.43
2013-07-09  57.46  58.35  57.46  57.68  779100  57.68
2013-07-08  56.83  57.39  56.65  57.3  870100  57.3
2013-07-05  56.06  56.71  55.55  56.7  632800  56.7
2013-07-03  55.5  55.78  55.21  55.68  458100  55.68
2013-07-02  55.7  56.19  55.42  55.77  919900  55.77
2013-07-01  56.17  56.3  55.54  55.83  818300  55.83
2013-06-28  54.87  55.88  54.82  55.62  2058400  55.62
2013-06-27  54.75  55.44  54.65  55.05  1164600  55.05
2013-06-26  54.65  54.79  54.05  54.45  1200500  54.45
2013-06-25  54.41  54.48  53.7  54.03  1925900  54.03
2013-06-24  53.9  54.15  53.09  53.67  2219100  53.67
2013-06-21  54.11  55.05  53.81  54.12  5348500  54.12
2013-06-20  55.43  55.68  54.63  54.74  1999300  54.74
2013-06-19  56.7  56.88  55.83  55.84  1165500  55.84
2013-06-18  56.48  56.72  56.02  56.63  1313200  56.63
2013-06-17  56.27  56.55  55.76  56.21  1036800  56.21
2013-06-14  56.06  56.5  55.69  55.81  1222200  55.81
2013-06-13  55.16  56.26  55.16  56.03  1380300  56.03
2013-06-12  56.07  56.42  55.29  55.34  857700  55.34
2013-06-11  55.63  56.11  55.55  55.81  586100  55.81
2013-06-10  55.44  56.12  55.23  56.12  1577100  56.12
2013-06-07  56.11  56.85  55.71  56.46  1252400  56.46
2013-06-06  55.72  56.0  55.2  55.62  955700  55.62
2013-06-05  55.45  55.88  55.26  55.57  1374500  55.57
2013-06-04  55.93  56.36  55.22  55.47  1250900  55.47
2013-06-03  55.7  56.0  55.35  56.0  1064600  56.0
2013-05-31  56.01  56.21  55.41  55.66  2271500  55.66
2013-05-30  56.75  56.93  56.31  56.42  998800  56.42
2013-05-29  56.61  56.99  56.38  56.61  1423700  56.61
2013-05-28  58.41  58.49  56.64  56.81  1418300  56.81
2013-05-24  57.98  58.05  57.06  57.63  966300  57.63
2013-05-23  57.84  58.41  57.74  58.4  1015000  58.4
2013-05-22  58.78  59.0  57.79  58.03  1803000  58.03
2013-05-21  57.26  58.87  57.2  58.77  1829400  58.77
2013-05-20  57.02  57.4  57.01  57.13  837500  57.13
2013-05-17  57.22  57.26  56.78  57.25  965900  57.25
2013-05-16  56.73  57.33  56.46  56.81  1205300  56.81
2013-05-15  55.89  56.8  55.76  56.6  1089600  56.6
2013-05-14  55.12  55.83  55.02  55.83  1030700  55.83
2013-05-13  55.43  55.54  54.77  55.04  1728000  55.04
2013-05-10  55.2  56.32  55.04  55.96  2383200  55.96
2013-05-09  56.15  56.39  54.71  54.98  6167300  54.98
2013-05-08  55.61  56.84  55.08  56.21  4612600  56.21
2013-05-07  59.27  60.77  59.14  60.43  2060300  60.43
2013-05-06  59.31  59.6  59.22  59.27  1633800  59.27
2013-05-03  58.77  59.62  58.74  59.36  1430700  59.36
2013-05-02  58.03  58.53  57.88  58.28  944600  58.28
2013-05-01  58.37  58.85  57.73  57.82  1284900  57.82
2013-04-30  57.84  58.31  57.35  58.3  1406900  58.3
2013-04-29  57.42  57.94  57.33  57.76  656500  57.76
2013-04-26  57.02  57.68  56.95  57.37  1093700  57.37
2013-04-25  56.87  57.48  56.78  57.13  925900  57.13
2013-04-24  56.62  56.95  56.42  56.59  1296500  56.59
2013-04-23  56.1  56.65  56.09  56.36  1199600  56.36
2013-04-22  55.52  56.12  55.0  55.97  833900  55.97
2013-04-19  55.65  55.73  54.66  55.3  1306900  55.3
2013-04-18  55.78  55.79  54.92  55.22  1130000  55.22
2013-04-17  55.59  55.8  54.99  55.54  1235400  55.54
2013-04-16  55.75  56.16  55.1  56.12  1607300  56.12
2013-04-15  57.87  57.87  56.21  56.46  1367500  56.46
2013-04-12  58.26  58.86  56.68  57.92  2464700  57.92
2013-04-11  59.71  59.99  59.22  59.48  848900  59.48
2013-04-10  59.32  59.98  59.12  59.58  1500400  59.58
2013-04-09  58.78  59.35  58.33  59.16  1368500  59.16
2013-04-08  58.02  58.73  57.53  58.72  1131100  58.72
2013-04-05  56.88  57.97  56.52  57.9  1206800  57.9
2013-04-04  57.35  57.5  57.02  57.43  1244900  57.43
2013-04-03  57.52  57.84  57.01  57.08  1446300  57.08
2013-04-02  57.92  57.92  57.38  57.57  1383600  57.57
2013-04-01  58.41  58.6  57.4  57.53  1254500  57.53
2013-03-28  57.96  58.39  57.82  58.37  1488400  58.37
2013-03-27  57.55  58.09  57.44  58.07  1241100  58.07
2013-03-26  57.44  58.07  57.39  57.93  1171300  57.93
2013-03-25  57.19  57.67  56.6  57.5  1700200  57.5
2013-03-22  56.6  57.18  56.44  57.04  1487800  57.04
2013-03-21  57.4  57.67  56.36  56.39  1277900  56.39
2013-03-20  57.94  58.21  57.54  57.62  1396100  57.62
2013-03-19  58.12  58.47  57.58  57.96  1352100  57.96
2013-03-18  57.74  58.69  57.54  58.11  1273300  58.11
2013-03-15  57.87  58.31  57.36  58.25  2334500  58.25
2013-03-14  57.99  58.26  57.35  58.12  1222100  58.12
2013-03-13  56.27  58.08  56.09  57.99  2100600  57.99
2013-03-12  56.01  56.75  56.01  56.3  1944200  56.3
2013-03-11  55.95  56.47  55.91  55.96  1552200  55.96
2013-03-08  56.12  56.49  55.92  55.96  1882200  55.96
2013-03-07  56.32  56.76  55.75  55.89  1503300  55.89
2013-03-06  56.54  56.71  56.1  56.18  1390100  56.18
2013-03-05  56.13  56.77  56.03  56.49  3039100  56.49
2013-03-04  56.02  56.22  55.24  56.02  1839400  56.02
2013-03-01  55.71  56.35  55.58  56.02  1566200  56.02
2013-02-28  56.15  56.51  55.86  55.98  1993400  55.98
2013-02-27  54.95  56.51  54.95  56.14  2017800  56.14
2013-02-26  55.53  55.84  54.44  54.61  2095200  54.61
2013-02-25  56.77  56.92  55.34  55.38  1302500  55.38
2013-02-22  56.41  56.78  56.3  56.55  986800  56.55
2013-02-21  56.82  56.88  56.05  56.11  1777800  56.11
2013-02-20  56.97  57.46  56.78  57.04  1875200  57.04
2013-02-19  56.53  57.08  56.02  56.94  1932200  56.94
2013-02-15  56.39  56.89  56.18  56.37  2304000  56.37
2013-02-14  57.21  57.34  56.51  56.66  1947200  56.66
2013-02-13  57.82  57.9  57.02  57.37  2011400  57.37
2013-02-12  58.08  58.1  57.49  57.68  1538000  57.68
2013-02-11  58.24  58.44  57.74  57.89  1939400  57.89
2013-02-08  57.91  58.51  57.68  58.26  2604200  58.26
2013-02-07  58.61  59.03  57.32  58.47  4152700  58.47
2013-02-06  60.05  60.45  58.54  59.02  6424400  59.02
2013-02-05  64.47  65.73  63.5  65.37  2064200  65.37
2013-02-04  63.91  65.3  63.91  64.42  1390800  64.42
2013-02-01  65.12  65.47  64.38  65.26  1352400  65.26
