Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  77.88  80.04  77.65  79.59  2567900  79.59
2014-02-27  78.2  78.48  77.49  77.8  1256500  77.8
2014-02-26  78.03  78.57  77.42  78.02  1380300  78.02
2014-02-25  79.0  79.17  77.85  78.16  2112300  78.16
2014-02-24  77.1  79.63  77.02  79.19  3548400  79.19
2014-02-21  76.68  78.28  76.68  77.34  2497000  77.34
2014-02-20  76.76  77.58  76.48  77.1  3099400  77.1
2014-02-19  77.5  77.84  76.37  76.44  2027500  76.44
2014-02-18  77.86  78.66  77.56  77.59  3107900  77.59
2014-02-14  75.99  78.11  75.94  77.71  4840900  77.71
2014-02-13  75.7  76.44  75.37  76.14  4297700  76.14
2014-02-12  77.39  77.63  75.68  75.94  3877600  75.94
2014-02-11  76.7  77.74  76.37  77.22  4185700  77.22
2014-02-10  77.45  77.47  76.29  76.74  4078200  76.74
2014-02-07  80.11  80.93  76.13  77.47  8994700  77.47
2014-02-06  85.51  85.57  84.68  85.37  1552000  85.37
2014-02-05  84.23  85.73  84.11  85.07  1493600  85.07
2014-02-04  84.75  85.01  83.68  84.95  1090100  84.95
2014-02-03  86.46  86.66  84.45  84.52  1367700  84.52
2014-01-31  86.7  87.13  85.98  86.31  1421300  86.31
2014-01-30  86.62  88.05  86.59  87.65  984100  87.65
2014-01-29  85.48  87.43  84.75  85.88  1425600  85.88
2014-01-28  86.96  87.48  85.9  85.94  1535000  85.94
2014-01-27  86.55  87.75  86.13  87.0  1310400  87.0
2014-01-24  89.41  89.44  86.5  86.7  1566500  86.7
2014-01-23  88.72  89.62  88.63  89.54  1122800  89.54
2014-01-22  90.35  90.48  89.29  89.66  968200  89.66
2014-01-21  89.81  90.55  89.36  90.13  1207300  90.13
2014-01-17  89.08  89.63  88.21  89.46  996800  89.46
2014-01-16  89.5  89.66  88.59  88.82  1537800  88.82
2014-01-15  89.64  90.02  89.34  89.86  1298200  89.86
2014-01-14  88.73  89.84  88.56  89.49  867100  89.49
2014-01-13  88.93  89.82  88.73  88.78  959600  88.78
2014-01-10  90.41  90.63  88.78  89.21  1055800  89.21
