Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  46.7  47.1  46.51  46.88  569200  46.88
2014-02-27  46.42  46.73  46.24  46.65  456700  46.65
2014-02-26  46.56  46.62  46.28  46.46  452800  46.46
2014-02-25  46.73  47.17  46.42  46.54  372000  46.54
2014-02-24  46.77  47.03  46.63  46.65  632400  46.65
2014-02-21  46.93  46.97  46.5  46.75  489300  46.75
2014-02-20  46.66  46.86  46.32  46.79  483000  46.79
2014-02-19  46.96  47.1  46.51  46.56  753400  46.56
2014-02-18  46.88  47.3  46.83  47.17  642100  47.17
2014-02-14  46.75  47.0  46.61  47.0  611400  47.0
2014-02-13  46.15  46.93  46.01  46.92  698700  46.92
2014-02-12  46.47  46.67  46.25  46.51  710400  46.51
2014-02-11  45.8  46.48  45.69  46.32  852700  46.32
2014-02-10  45.63  45.78  45.22  45.78  945600  45.78
2014-02-07  45.23  45.73  44.9  45.73  1376000  45.73
2014-02-06  46.5  46.68  45.08  45.21  1464400  45.21
2014-02-05  47.07  47.43  46.94  47.1  791200  47.1
2014-02-04  47.69  47.82  47.07  47.25  1142800  47.25
2014-02-03  48.55  48.7  47.48  47.61  989400  47.61
2014-01-31  48.32  48.85  47.96  48.45  913900  48.45
2014-01-30  49.03  49.26  48.79  49.23  408700  49.23
2014-01-29  48.83  49.14  48.58  48.61  533100  48.61
2014-01-28  48.82  49.31  48.78  49.26  630700  49.26
2014-01-27  48.6  49.14  47.52  48.77  893000  48.77
2014-01-24  49.7  49.84  48.8  48.81  900000  48.81
2014-01-23  50.54  50.75  49.97  50.14  930200  50.14
2014-01-22  50.69  50.79  50.42  50.7  676800  50.7
2014-01-21  50.9  50.99  50.25  50.48  890700  50.48
2014-01-17  50.48  50.6  50.21  50.52  1408100  50.52
2014-01-16  50.59  50.75  50.35  50.51  528000  50.51
2014-01-15  51.06  51.12  50.62  50.87  510800  50.87
2014-01-14  50.54  50.89  50.46  50.8  342400  50.8
2014-01-13  50.99  51.24  50.4  50.51  804400  50.51
2014-01-10  51.41  51.49  51.04  51.15  543600  51.15
2014-01-09  50.9  51.18  50.83  51.11  569700  51.11
2014-01-08  51.07  51.07  50.64  50.89  1036600  50.89
2014-01-07  51.02  51.31  50.92  51.05  530400  51.05
2014-01-06  51.18  51.39  50.85  51.0  554100  51.0
2014-01-03  51.5  51.67  51.01  51.13  415500  51.13
2014-01-02  52.15  52.19  51.25  51.45  541000  51.45
2013-12-31  52.43  52.5  52.2  52.37  331500  52.37
