Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  86.8  87.72  86.5  87.28  1036000  87.28
2014-02-27  86.21  86.91  85.89  86.77  980100  86.77
2014-02-26  87.28  87.4  86.3  86.47  1059900  86.47
2014-02-25  87.24  87.6  86.7  86.81  1231200  86.81
2014-02-24  86.83  87.76  86.75  87.06  970200  87.06
2014-02-21  87.28  87.79  86.98  87.01  879800  87.01
2014-02-20  86.99  87.83  86.83  86.95  1260200  86.95
2014-02-19  87.1  87.57  86.66  86.87  798400  86.87
2014-02-18  88.07  88.12  86.98  87.35  1065100  87.35
2014-02-14  86.94  88.57  86.78  88.11  1010700  88.11
2014-02-13  86.07  87.29  86.07  86.96  761100  86.96
2014-02-12  86.92  87.22  86.34  86.54  786900  86.54
2014-02-11  86.23  87.09  85.95  86.83  1194200  86.83
2014-02-10  85.44  86.12  85.12  86.12  1190700  86.12
2014-02-07  85.33  85.68  85.04  85.63  1014700  85.63
2014-02-06  84.58  85.15  84.17  85.06  1110900  85.06
2014-02-05  84.62  85.13  83.7  84.56  2126800  84.56
2014-02-04  86.31  86.9  84.39  85.81  2844400  85.81
2014-02-03  88.51  88.66  86.07  86.36  2652800  86.36
2014-01-31  86.63  88.57  86.41  88.27  1814500  88.27
2014-01-30  88.12  88.14  87.36  87.47  1076200  87.47
2014-01-29  87.6  87.62  86.34  87.08  1589400  87.08
2014-01-28  87.45  88.9  87.31  88.4  1030800  88.4
2014-01-27  88.17  88.39  87.36  87.45  1553400  87.45
2014-01-24  88.73  90.68  87.89  88.12  2419500  88.12
2014-01-23  88.57  88.94  88.07  88.54  870600  88.54
2014-01-22  89.54  89.99  88.61  89.18  1075400  89.18
2014-01-21  89.87  90.29  89.08  89.39  1391700  89.39
2014-01-17  89.28  89.47  88.69  89.25  2565700  89.25
2014-01-16  88.76  89.52  88.39  89.4  1395600  89.4
2014-01-15  88.95  89.27  88.4  88.96  1273300  88.96
2014-01-14  88.8  88.99  87.89  88.95  1188500  88.95
2014-01-13  88.54  89.31  87.9  88.39  1577200  88.39
2014-01-10  88.64  89.03  88.38  88.57  1107700  88.57
2014-01-09  88.58  89.07  88.17  88.42  1777000  88.42
2014-01-08  88.84  89.0  87.99  88.28  2797100  88.28
2014-01-07  90.81  91.03  89.57  89.77  1658100  89.77
2014-01-06  91.14  91.43  90.0  90.38  907900  90.38
2014-01-03  90.99  91.02  90.09  90.76  837000  90.76
2014-01-02  92.01  92.01  89.92  90.43  1353300  90.43
2013-12-31  93.01  93.1  91.71  92.02  899400  92.02
2013-12-30  92.22  93.03  92.07  92.95  638300  92.95
2013-12-27  92.35  92.75  92.25  92.53  493500  92.53
2013-12-26  92.29  92.29  91.64  91.95  407200  91.95
2013-12-24  92.01  92.37  91.65  91.92  333500  91.92
2013-12-23  92.42  92.67  91.53  91.75  805400  91.75
2013-12-20  91.99  92.45  91.77  92.22  1146500  92.22
2013-12-19  92.63  92.75  91.5  91.8  884400  91.8
2013-12-18  91.55  92.68  90.82  92.65  1572300  92.65
2013-12-17  92.44  92.53  90.81  91.5  979600  91.5
2013-12-16  92.79  93.49  92.25  92.59  775300  92.59
2013-12-13  92.84  92.92  92.19  92.5  579200  92.5
2013-12-12  94.03  94.37  92.45  92.56  1396700  92.56
2013-12-11  93.98  94.86  93.67  93.84  754000  93.84
2013-12-10  94.9  94.92  93.34  93.75  1249000  93.75
2013-12-09  95.09  95.98  94.72  95.01  1617300  95.01
2013-12-06  92.86  95.13  92.77  95.06  1725700  95.06
2013-12-05  92.71  92.85  91.84  92.21  1562600  92.21
2013-12-04  91.99  93.24  91.33  93.08  2015500  93.08
2013-12-03  91.58  92.56  91.52  92.54  804800  92.54
2013-12-02  92.68  92.68  91.6  91.79  1056000  91.79
2013-11-29  92.73  93.02  92.3  92.43  287800  92.43
2013-11-27  92.47  92.63  91.76  92.42  678100  92.42
2013-11-26  91.85  92.73  91.74  92.27  1258700  92.27
2013-11-25  91.9  92.47  91.48  91.9  1367200  91.9
2013-11-22  93.06  93.3  92.62  92.95  954100  92.95
2013-11-21  92.15  93.36  91.95  93.16  1190900  93.16
2013-11-20  91.26  92.27  91.26  91.77  730000  91.77
2013-11-19  91.55  91.96  91.29  91.34  876500  91.34
2013-11-18  93.05  93.05  91.7  91.88  1588100  91.88
2013-11-15  92.01  92.86  91.96  92.85  1383800  92.85
2013-11-14  91.34  92.25  91.31  92.2  1026200  92.2
