Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  47.79  48.5  47.69  48.18  1239200  48.18
2014-02-27  47.84  47.94  47.52  47.78  1059000  47.78
2014-02-26  47.64  48.1  47.39  48.07  1388300  48.07
2014-02-25  47.55  47.67  47.06  47.53  1332900  47.53
2014-02-24  46.69  47.85  46.69  47.54  1461800  47.54
2014-02-21  46.78  47.12  46.42  46.74  1340800  46.74
2014-02-20  46.74  47.05  45.96  46.71  1608800  46.71
2014-02-19  47.57  47.68  46.61  46.78  1954800  46.78
2014-02-18  47.68  47.92  47.43  47.82  1502800  47.82
2014-02-14  47.36  47.92  46.6  47.63  1948100  47.63
2014-02-13  46.0  46.72  45.86  46.64  902600  46.64
2014-02-12  46.49  47.05  46.24  46.46  672000  46.46
2014-02-11  45.76  46.64  45.58  46.47  1034100  46.47
2014-02-10  45.67  45.95  45.4  45.88  666500  45.88
2014-02-07  45.92  46.21  45.24  45.75  1673100  45.75
2014-02-06  44.86  45.85  44.62  45.81  1442000  45.81
2014-02-05  44.7  45.01  44.42  44.89  1255700  44.89
2014-02-04  44.26  44.95  44.03  44.83  1455900  44.83
2014-02-03  45.75  45.83  43.96  44.01  2385900  44.01
2014-01-31  46.14  46.52  45.73  45.8  1284700  45.8
2014-01-30  46.9  47.03  46.45  46.9  922800  46.9
2014-01-29  46.31  47.0  46.3  46.44  2106200  46.44
2014-01-28  46.65  47.01  46.35  46.78  1598500  46.78
2014-01-27  47.23  47.54  46.46  46.57  1511300  46.57
2014-01-24  48.31  48.53  47.21  47.23  1816800  47.23
2014-01-23  49.51  49.51  48.41  48.79  1665000  48.79
2014-01-22  49.68  49.95  49.14  49.92  1754100  49.92
2014-01-21  48.54  49.54  48.23  49.51  2569800  49.51
2014-01-17  49.95  49.95  47.45  47.65  2319000  47.65
2014-01-16  47.68  47.74  47.1  47.43  1259300  47.43
2014-01-15  47.31  47.85  47.31  47.73  1091000  47.73
2014-01-14  47.33  47.53  47.02  47.21  1053700  47.21
2014-01-13  47.8  47.91  47.13  47.22  1006100  47.22
2014-01-10  47.86  48.03  47.62  47.8  1347900  47.8
2014-01-09  47.7  48.19  47.7  48.01  1095600  48.01
2014-01-08  47.45  47.87  47.29  47.62  1463700  47.62
2014-01-07  47.32  47.58  47.02  47.3  882600  47.3
2014-01-06  47.32  47.6  46.96  47.0  1131700  47.0
2014-01-03  47.01  47.34  46.9  47.08  843500  47.08
2014-01-02  47.24  47.43  46.84  46.85  1094700  46.85
2013-12-31  47.65  47.81  47.37  47.54  824100  47.54
2013-12-30  47.46  47.69  47.37  47.63  1179500  47.63
2013-12-27  47.49  47.7  47.26  47.47  884100  47.47
2013-12-26  48.69  48.69  47.39  47.51  1307000  47.51
2013-12-24  47.13  47.46  46.99  47.37  353200  47.37
2013-12-23  46.83  47.16  46.74  47.13  1043400  47.13
2013-12-20  46.76  46.94  46.32  46.73  2485200  46.73
2013-12-19  45.96  46.67  45.75  46.54  2326500  46.54
2013-12-18  45.5  46.39  45.13  46.36  1791000  46.36
