Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  51.3  52.08  51.12  51.69  19195000  51.69
2014-02-27  50.65  51.37  50.5  51.08  17736300  51.08
2014-02-26  50.92  50.92  50.2  50.68  15258200  50.68
2014-02-25  51.26  51.46  50.19  50.77  20414000  50.77
2014-02-24  51.72  51.86  51.13  51.15  16379900  51.15
2014-02-21  52.06  52.06  51.0  51.05  24052400  51.05
2014-02-20  51.78  52.14  51.33  51.76  25738600  51.76
2014-02-19  53.27  53.37  51.21  51.57  40202800  51.57
2014-02-18  53.96  53.97  53.19  53.53  20270700  53.53
2014-02-14  53.01  54.11  53.0  53.7  35824900  53.7
2014-02-13  53.52  54.29  52.77  52.97  83269800  52.97
2014-02-12  55.23  55.28  55.03  55.24  8014000  55.24
2014-02-11  54.31  55.05  54.28  55.0  7931900  55.0
2014-02-10  54.77  54.77  54.21  54.35  6944600  54.35
2014-02-07  54.38  54.83  54.19  54.64  9766600  54.64
2014-02-06  53.74  54.15  53.4  54.03  7901000  54.03
2014-02-05  53.1  53.66  52.83  53.38  9114500  53.38
2014-02-04  52.92  53.6  52.19  53.52  14025100  53.52
2014-02-03  54.74  54.96  52.53  52.77  19152700  52.77
2014-01-31  52.89  54.7  52.89  54.45  16060200  54.45
2014-01-30  53.31  54.35  52.98  54.19  14498800  54.19
2014-01-29  53.28  53.46  52.51  53.06  15216000  53.06
2014-01-28  54.0  54.13  52.81  53.35  16502300  53.35
2014-01-27  52.51  53.87  51.85  52.49  18953200  52.49
2014-01-24  52.72  52.88  52.18  52.4  14335200  52.4
2014-01-23  53.23  53.58  52.83  53.08  9245300  53.08
2014-01-22  53.27  53.78  53.0  53.74  8187400  53.74
2014-01-21  54.05  54.31  53.06  53.31  8580100  53.31
2014-01-17  53.32  53.66  53.08  53.54  12150400  53.54
2014-01-16  54.07  54.3  53.23  53.54  10131500  53.54
2014-01-15  53.25  54.65  53.17  54.07  14577500  54.07
2014-01-14  52.53  52.85  51.98  52.81  8794400  52.81
2014-01-13  53.51  53.69  52.0  52.16  11520900  52.16
2014-01-10  53.02  53.72  52.58  53.54  10653800  53.54
2014-01-09  52.9  53.17  52.31  52.88  10459600  52.88
2014-01-08  52.69  53.45  52.52  52.75  14865800  52.75
2014-01-07  51.34  53.2  51.11  52.83  18580700  52.83
2014-01-06  51.13  51.62  50.67  51.02  8993900  51.02
2014-01-03  51.63  51.71  50.85  51.07  6685700  51.07
2014-01-02  51.8  51.9  51.27  51.45  9761200  51.45
2013-12-31  51.88  52.09  51.71  51.97  9322700  51.97
2013-12-30  51.56  52.02  51.55  51.87  5587700  51.87
2013-12-27  51.74  51.8  51.32  51.79  5604200  51.79
2013-12-26  51.18  51.54  51.18  51.51  4073300  51.51
2013-12-24  50.91  51.29  50.72  51.28  3185400  51.28
2013-12-23  51.0  51.45  50.88  50.99  7864800  50.99
2013-12-20  50.67  51.3  50.62  50.94  16808700  50.94
2013-12-19  50.24  50.81  49.98  50.78  10870700  50.78
2013-12-18  49.26  50.3  48.7  50.27  12301600  50.27
2013-12-17  49.61  49.61  48.74  49.05  7294100  49.05
2013-12-16  49.44  49.62  48.96  49.24  9718800  49.24
2013-12-13  48.86  49.47  48.69  49.01  11365300  49.01
2013-12-12  48.52  49.16  48.5  48.67  7702200  48.67
2013-12-11  49.31  49.39  48.65  48.66  9986000  48.66
2013-12-10  49.24  49.57  49.11  49.39  9528700  49.39
2013-12-09  49.44  49.52  48.92  49.14  7433500  49.14
2013-12-06  49.49  49.61  48.89  49.27  10908600  49.27
2013-12-05  48.67  49.09  48.21  49.08  10546900  49.08
2013-12-04  48.71  49.25  48.25  48.88  9688200  48.88
2013-12-03  49.27  49.35  48.24  48.77  11062300  48.77
2013-12-02  49.82  49.9  49.07  49.12  11409300  49.12
2013-11-29  49.73  50.15  49.66  49.87  5599600  49.87
2013-11-27  49.65  50.02  49.34  49.78  8279800  49.78
2013-11-26  50.04  50.29  49.56  49.78  12526200  49.78
2013-11-25  49.48  50.75  49.34  49.91  17834300  49.91
2013-11-22  47.49  49.95  47.49  49.52  27177000  49.52
2013-11-21  47.14  47.71  46.92  47.45  7078600  47.45
2013-11-20  47.7  47.85  46.76  46.85  8348100  46.85
2013-11-19  47.34  47.57  47.1  47.46  6270300  47.46
2013-11-18  47.64  47.92  47.34  47.38  8386500  47.38
2013-11-15  47.74  47.99  47.4  47.73  10013700  47.73
2013-11-14  47.52  47.78  47.24  47.69  6418400  47.69
2013-11-13  46.85  47.41  46.62  47.39  7398300  47.39
2013-11-12  47.32  47.34  46.58  46.98  8372300  46.98
2013-11-11  47.95  48.18  47.05  47.35  8948200  47.35
2013-11-08  47.34  48.24  46.91  48.18  10010100  48.18
