Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  73.19  73.97  72.91  73.82  1654500  73.82
2014-02-27  72.41  73.24  72.1  73.16  1942300  73.16
2014-02-26  73.31  73.57  71.86  72.58  2314000  72.58
2014-02-25  74.17  74.91  73.1  73.26  1421200  73.26
2014-02-24  73.91  74.94  73.7  74.32  2772200  74.32
2014-02-21  73.9  74.82  73.57  73.71  1789100  73.71
2014-02-20  74.68  75.06  73.54  73.76  1694400  73.76
2014-02-19  75.79  76.69  74.72  74.77  1943100  74.77
2014-02-18  77.14  77.41  76.13  76.22  1776300  76.22
2014-02-14  76.76  77.52  76.7  77.11  910900  77.11
2014-02-13  76.43  77.17  76.03  76.99  884500  76.99
2014-02-12  76.58  77.17  76.37  76.8  735900  76.8
2014-02-11  75.64  77.05  75.5  76.55  1258500  76.55
2014-02-10  75.65  76.32  75.03  75.56  1259400  75.56
2014-02-07  76.71  78.0  75.57  75.69  1852000  75.69
2014-02-06  73.98  76.14  73.54  75.98  1902300  75.98
2014-02-05  74.05  74.16  72.4  73.56  2180900  73.56
2014-02-04  70.7  74.2  70.52  73.61  2456900  73.61
2014-02-03  74.48  75.21  72.98  73.18  2735400  73.18
2014-01-31  73.5  75.35  73.23  74.76  4281100  74.76
2014-01-30  73.13  74.8  72.63  74.32  4651700  74.32
2014-01-29  72.71  73.42  72.11  72.34  2589600  72.34
2014-01-28  73.18  73.41  72.78  73.2  4170300  73.2
2014-01-27  74.43  75.05  72.89  72.93  3849800  72.93
2014-01-24  75.01  75.31  74.2  74.42  2508600  74.42
2014-01-23  75.37  75.72  75.19  75.51  2061600  75.51
2014-01-22  75.75  76.38  75.68  75.85  1145900  75.85
2014-01-21  75.75  76.1  75.57  75.73  1223500  75.73
2014-01-17  75.26  75.82  75.05  75.49  1690400  75.49
2014-01-16  75.32  75.9  75.12  75.5  1246700  75.5
2014-01-15  75.38  76.7  75.22  75.76  3598300  75.76
2014-01-14  74.57  75.45  74.19  75.29  1706000  75.29
2014-01-13  76.39  76.41  73.85  74.02  2558300  74.02
2014-01-10  77.2  77.48  75.9  76.49  1727400  76.49
2014-01-09  77.34  77.8  76.92  77.1  1577700  77.1
2014-01-08  76.82  78.04  76.59  77.06  2578400  77.06
2014-01-07  78.55  79.08  77.29  77.82  1598100  77.82
2014-01-06  79.0  79.97  78.39  78.4  1961200  78.4
2014-01-03  78.12  79.55  77.81  79.2  1343300  79.2
2014-01-02  77.96  78.75  77.32  77.96  2070900  77.96
2013-12-31  78.93  79.46  78.13  78.46  1307600  78.46
2013-12-30  79.11  79.18  77.59  78.44  2752800  78.44
2013-12-27  80.21  80.21  78.83  78.91  1438400  78.91
2013-12-26  80.37  80.78  79.55  79.88  2441800  79.88
2013-12-24  80.38  80.46  78.68  80.03  1715300  80.03
2013-12-23  81.72  81.79  79.75  80.52  1962700  80.52
2013-12-20  80.99  81.77  80.7  81.17  2693400  81.17
2013-12-19  81.52  82.05  80.97  81.06  2118300  81.06
2013-12-18  80.6  82.06  79.84  81.99  2379700  81.99
2013-12-17  79.64  80.46  79.53  80.3  2430700  80.3
2013-12-16  79.43  80.36  79.29  79.78  1968200  79.78
2013-12-13  77.63  79.3  77.6  78.96  1792000  78.96
2013-12-12  76.57  77.62  76.05  77.6  1519900  77.6
2013-12-11  77.2  77.73  76.32  76.46  1351900  76.46
2013-12-10  78.14  78.42  76.49  77.25  1615700  77.25
2013-12-09  77.47  79.28  77.46  78.5  1846200  78.5
2013-12-06  76.96  77.56  76.03  77.47  2648900  77.47
2013-12-05  76.86  77.38  75.06  76.2  2882200  76.2
2013-12-04  77.62  78.19  76.4  77.11  2536700  77.11
2013-12-03  78.19  78.58  77.44  77.99  1319000  77.99
2013-12-02  79.01  79.29  78.34  78.4  1364900  78.4
2013-11-29  79.07  79.42  78.76  78.94  667000  78.94
2013-11-27  79.41  79.49  78.74  79.28  1020200  79.28
2013-11-26  79.15  79.82  78.57  78.94  1940500  78.94
2013-11-25  80.9  80.91  79.12  79.26  1305600  79.26
2013-11-22  80.28  81.25  80.28  80.77  1756400  80.77
2013-11-21  78.54  80.74  78.49  80.51  1979300  80.51
2013-11-20  78.27  79.46  77.94  78.42  2050400  78.42
2013-11-19  76.98  78.27  76.39  78.15  1776300  78.15
2013-11-18  76.67  77.81  76.24  76.84  1984300  76.84
2013-11-15  75.81  76.76  75.81  76.63  1531000  76.63
2013-11-14  75.8  76.14  74.94  75.94  1022800  75.94
2013-11-13  75.58  75.79  74.73  75.74  1345000  75.74
2013-11-12  75.03  75.81  74.76  75.68  1901600  75.68
2013-11-11  74.43  75.95  74.41  75.07  1462600  75.07
2013-11-08  72.08  75.16  71.91  74.95  2152600  74.95
2013-11-07  72.0  73.06  71.86  71.91  1647000  71.91
2013-11-06  70.95  72.05  70.84  71.98  1053000  71.98
2013-11-05  71.19  72.27  70.95  70.95  1408300  70.95
2013-11-04  71.21  71.59  69.51  71.1  2151300  71.1
2013-11-01  71.47  72.42  71.47  71.95  1372400  71.95
