Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.31  28.54  28.28  28.43  1882700  28.43
2014-02-27  28.35  28.55  28.14  28.25  1644000  28.25
2014-02-26  28.66  28.75  28.34  28.37  1094200  28.37
2014-02-25  28.44  28.74  28.33  28.6  2057700  28.6
2014-02-24  28.58  28.68  28.34  28.34  1790400  28.34
2014-02-21  28.63  28.83  28.46  28.48  2038500  28.48
2014-02-20  28.42  28.71  28.4  28.61  1626900  28.61
2014-02-19  28.44  28.74  28.28  28.38  2360300  28.38
2014-02-18  28.59  28.64  28.39  28.47  1624700  28.47
2014-02-14  28.16  28.54  28.07  28.53  1536400  28.53
2014-02-13  27.88  28.21  27.86  28.2  1402900  28.2
2014-02-12  27.95  28.08  27.84  27.97  1200300  27.97
2014-02-11  27.52  27.95  27.44  27.94  2417500  27.94
2014-02-10  27.22  27.58  27.03  27.57  2006900  27.57
2014-02-07  27.08  27.24  26.92  27.23  1993700  27.23
2014-02-06  26.94  27.12  26.82  26.94  2590700  26.94
2014-02-05  27.01  27.02  26.82  26.86  2689400  26.86
2014-02-04  27.3  27.3  26.79  27.0  3305600  27.0
2014-02-03  27.48  27.65  27.08  27.15  3842600  27.15
2014-01-31  26.81  27.53  26.75  27.51  4178100  27.51
2014-01-30  26.45  27.16  26.4  26.96  2611700  26.96
2014-01-29  26.56  26.68  26.41  26.51  2643000  26.51
2014-01-28  26.3  26.7  26.27  26.69  3192100  26.69
2014-01-27  26.32  26.4  26.23  26.28  2507800  26.28
2014-01-24  26.58  26.7  26.28  26.28  3368600  26.28
2014-01-23  26.58  26.69  26.37  26.64  1713600  26.64
2014-01-22  26.44  26.68  26.4  26.66  1550000  26.66
2014-01-21  26.31  26.47  26.2  26.46  2301600  26.46
2014-01-17  26.37  26.43  26.17  26.17  2092200  26.17
2014-01-16  26.2  26.37  26.1  26.36  2154700  26.36
2014-01-15  26.4  26.46  26.04  26.16  2485300  26.16
2014-01-14  26.5  26.61  26.36  26.41  1930100  26.41
2014-01-13  26.8  26.93  26.38  26.47  2819500  26.47
2014-01-10  26.4  26.94  26.4  26.84  3555200  26.84
2014-01-09  26.08  26.35  25.9  26.27  2663800  26.27
2014-01-08  26.04  26.04  25.77  25.98  3314900  25.98
2014-01-07  25.88  26.08  25.84  26.04  2307700  26.04
2014-01-06  25.91  26.0  25.69  25.86  3154300  25.86
2014-01-03  26.09  26.13  25.83  26.03  1789800  26.03
2014-01-02  26.54  26.54  25.95  26.04  2218200  26.04
2013-12-31  26.45  26.56  26.37  26.5  1598300  26.5
2013-12-30  26.41  26.58  26.31  26.46  1521900  26.46
2013-12-27  26.41  26.58  26.29  26.43  1201800  26.43
2013-12-26  26.56  26.56  26.33  26.4  988100  26.4
2013-12-24  26.48  26.65  26.35  26.52  763300  26.52
2013-12-23  26.82  26.82  26.51  26.54  1366500  26.54
2013-12-20  26.38  26.78  26.37  26.65  3201300  26.65
2013-12-19  26.45  26.45  26.13  26.41  2008300  26.41
2013-12-18  26.11  26.59  25.83  26.52  3739900  26.52
2013-12-17  26.12  26.24  25.97  26.19  2831400  26.19
2013-12-16  26.11  26.32  25.99  26.13  2102500  26.13
2013-12-13  25.86  26.05  25.82  25.95  2496900  25.95
2013-12-12  25.73  26.14  25.7  25.88  4334500  25.88
2013-12-11  25.9  25.99  25.64  25.71  2807400  25.71
2013-12-10  26.23  26.23  25.87  25.87  3293800  25.87
2013-12-09  26.24  26.35  26.03  26.23  2329500  26.23
2013-12-06  26.16  26.44  26.13  26.23  2886200  26.23
2013-12-05  26.25  26.33  25.97  26.01  2851700  26.01
2013-12-04  26.12  26.33  26.0  26.31  1951500  26.31
2013-12-03  26.09  26.34  26.02  26.25  2383900  26.25
2013-12-02  26.27  26.37  25.97  26.2  2881400  26.2
2013-11-29  26.3  26.46  26.23  26.28  1093800  26.28
2013-11-27  26.46  26.46  26.21  26.3  2994300  26.3
2013-11-26  26.74  26.85  26.34  26.35  4393200  26.35
2013-11-25  27.04  27.12  26.71  26.73  2992600  26.73
2013-11-22  26.97  27.07  26.84  27.04  2891000  27.04
2013-11-21  27.03  27.16  26.91  27.04  2624500  27.04
2013-11-20  27.28  27.45  26.93  27.0  2052100  27.0
2013-11-19  27.33  27.41  27.19  27.3  1998600  27.3
2013-11-18  27.41  27.48  27.21  27.39  2562700  27.39
2013-11-15  26.98  27.34  26.94  27.34  2523400  27.34
2013-11-14  26.75  27.13  26.72  27.03  2865700  27.03
2013-11-13  26.48  26.69  26.36  26.67  2198400  26.67
2013-11-12  26.97  27.06  26.5  26.64  3742200  26.64
2013-11-11  27.13  27.27  26.88  27.09  1639000  27.09
2013-11-08  26.97  27.01  26.53  27.01  5037200  27.01
2013-11-07  27.33  27.54  27.05  27.1  2800900  27.1
2013-11-06  27.23  27.39  27.18  27.29  2481500  27.29
2013-11-05  27.23  27.5  27.11  27.18  2948500  27.18
2013-11-04  27.43  27.47  27.11  27.36  2446500  27.36
2013-11-01  27.29  27.44  27.22  27.35  2748000  27.35
2013-10-31  27.15  27.34  26.79  27.19  3201000  27.19
2013-10-30  27.49  27.72  27.16  27.17  3280000  27.17
2013-10-29  27.59  27.65  27.3  27.43  3120500  27.43
2013-10-28  27.55  27.76  27.45  27.52  6991600  27.52
2013-10-25  27.27  27.56  27.1  27.5  6592400  27.5
2013-10-24  27.16  27.4  27.0  27.31  7867400  27.31
2013-10-23  27.12  27.52  27.08  27.19  3569400  27.19
2013-10-22  26.98  27.27  26.94  27.1  3486800  27.1
2013-10-21  26.78  26.9  26.53  26.88  2907000  26.88
2013-10-18  26.81  26.99  26.75  26.8  1799500  26.8
2013-10-17  26.21  26.81  26.08  26.75  3594500  26.75
2013-10-16  26.35  26.47  26.16  26.37  3000200  26.37
2013-10-15  26.3  26.54  26.21  26.25  5983100  26.25
2013-10-14  26.51  26.55  26.11  26.43  4399400  26.43
2013-10-11  25.99  26.57  25.97  26.55  3936700  26.55
2013-10-10  25.78  26.09  25.53  26.03  1925000  26.03
2013-10-09  25.57  25.85  25.4  25.63  4169600  25.63
2013-10-08  25.41  25.66  25.38  25.47  3997800  25.47
2013-10-07  25.4  25.62  25.32  25.41  2642700  25.41
2013-10-04  25.51  25.62  25.43  25.54  2227300  25.54
2013-10-03  25.84  25.84  25.44  25.5  3037400  25.5
2013-10-02  25.77  26.02  25.71  25.95  2698700  25.95
2013-10-01  25.84  25.98  25.72  25.88  2295700  25.88
2013-09-30  25.6  25.82  25.55  25.82  4204900  25.82
2013-09-27  25.74  25.85  25.61  25.71  2688700  25.71
2013-09-26  25.92  26.04  25.8  25.85  5527000  25.85
2013-09-25  26.27  26.32  25.86  25.87  5781400  25.87
2013-09-24  26.43  26.51  26.27  26.29  5824200  26.29
2013-09-23  25.99  26.55  25.89  26.44  2286800  26.44
2013-09-20  26.32  26.37  25.98  26.09  2441600  26.09
2013-09-19  26.39  26.53  26.26  26.31  2531700  26.31
2013-09-18  25.63  26.47  25.51  26.41  2216400  26.41
2013-09-17  25.69  25.84  25.51  25.62  2061400  25.62
2013-09-16  26.02  26.15  25.55  25.63  4038600  25.63
2013-09-13  25.52  25.71  25.45  25.69  3604900  25.69
2013-09-12  25.54  25.74  25.4  25.42  2177600  25.42
2013-09-11  25.65  25.65  25.33  25.5  2774300  25.5
2013-09-10  25.51  25.63  25.42  25.62  2023900  25.62
2013-09-09  25.5  25.65  25.35  25.45  1491700  25.45
