Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  23.6  23.73  23.55  23.65  2565700  23.65
2014-02-27  23.52  23.78  23.45  23.56  7500600  23.56
2014-02-26  24.28  24.37  23.53  23.55  10724700  23.55
2014-02-25  24.36  24.48  23.99  24.19  5774500  24.19
2014-02-24  24.55  24.7  24.37  24.38  3178600  24.38
2014-02-21  24.26  24.53  24.16  24.48  3749600  24.48
2014-02-20  24.18  24.54  24.06  24.28  3884500  24.28
2014-02-19  23.99  24.47  23.93  24.14  5924300  24.14
2014-02-18  24.0  24.15  23.72  24.09  5914600  24.09
2014-02-14  23.44  24.06  23.38  24.05  5238300  24.05
2014-02-13  23.22  23.52  23.15  23.5  3591300  23.5
2014-02-12  23.28  23.52  23.28  23.3  3341000  23.3
2014-02-11  23.12  23.33  23.06  23.32  3701500  23.32
2014-02-10  23.05  23.19  22.86  23.16  3059400  23.16
2014-02-07  23.0  23.23  22.94  23.09  3168100  23.09
2014-02-06  22.81  22.98  22.72  22.95  4360200  22.95
2014-02-05  22.74  22.86  22.39  22.81  5107600  22.81
2014-02-04  22.92  22.95  22.64  22.83  3668600  22.83
2014-02-03  23.24  23.4  22.73  22.82  4106100  22.82
2014-01-31  23.1  23.53  23.09  23.16  7158900  23.16
2014-01-30  23.02  23.38  23.01  23.31  2780100  23.31
2014-01-29  22.97  23.14  22.79  22.92  2779400  22.92
2014-01-28  22.94  23.13  22.9  23.1  2212800  23.1
2014-01-27  22.94  23.07  22.86  22.95  2559900  22.95
2014-01-24  23.22  23.41  22.92  22.92  2767400  22.92
2014-01-23  23.47  23.52  23.17  23.33  2523700  23.33
2014-01-22  23.45  23.63  23.44  23.55  1708000  23.55
2014-01-21  23.26  23.5  23.23  23.47  2551900  23.47
2014-01-17  23.34  23.36  23.17  23.18  2868100  23.18
2014-01-16  23.21  23.38  23.02  23.32  5048000  23.32
2014-01-15  22.97  23.23  22.85  23.22  6575700  23.22
2014-01-14  22.81  23.05  22.77  23.0  3566000  23.0
2014-01-13  23.06  23.13  22.77  22.81  5265600  22.81
2014-01-10  22.99  23.44  22.98  23.14  5118800  23.14
2014-01-09  22.62  22.88  22.48  22.87  3654400  22.87
2014-01-08  22.79  22.87  22.53  22.61  2521700  22.61
2014-01-07  22.65  22.97  22.58  22.85  2760300  22.85
2014-01-06  22.7  22.71  22.46  22.61  2697800  22.61
2014-01-03  22.63  22.77  22.47  22.58  3187900  22.58
2014-01-02  22.94  23.06  22.58  22.59  2980400  22.59
2013-12-31  22.89  23.0  22.8  22.95  1945900  22.95
2013-12-30  22.91  23.0  22.84  22.88  2159200  22.88
2013-12-27  22.84  23.01  22.78  22.89  1436900  22.89
2013-12-26  22.93  23.02  22.77  22.84  1472800  22.84
2013-12-24  22.85  22.99  22.73  22.92  745000  22.92
2013-12-23  23.07  23.13  22.79  22.83  2700100  22.83
2013-12-20  22.55  23.28  22.55  23.02  6128700  23.02
2013-12-19  22.64  22.66  22.34  22.53  2527600  22.53
2013-12-18  22.62  22.8  22.24  22.76  3646500  22.76
2013-12-17  22.52  22.79  22.42  22.66  4905400  22.66
2013-12-16  22.61  22.78  22.4  22.56  3075100  22.56
2013-12-13  22.61  22.67  22.39  22.45  3138100  22.45
2013-12-12  22.59  22.81  22.58  22.62  2201800  22.62
2013-12-11  22.96  23.04  22.53  22.62  3826200  22.62
2013-12-10  22.99  23.27  22.93  23.01  4628500  23.01
2013-12-09  23.12  23.14  22.77  23.05  3158000  23.05
2013-12-06  23.02  23.26  22.77  23.12  6625800  23.12
2013-12-05  22.77  23.0  22.6  22.96  4889300  22.96
2013-12-04  22.57  22.86  22.47  22.86  3277300  22.86
2013-12-03  22.79  22.94  22.69  22.82  5254800  22.82
2013-12-02  22.94  23.19  22.74  22.9  6728500  22.9
2013-11-29  23.18  23.36  23.11  23.19  3062100  23.19
2013-11-27  23.32  23.34  23.12  23.21  9252800  23.21
2013-11-26  23.95  23.98  22.71  23.34  22806800  23.34
2013-11-25  24.76  24.78  24.55  24.62  3862800  24.62
2013-11-22  24.29  24.8  24.22  24.73  8578100  24.73
2013-11-21  24.22  24.42  24.1  24.29  2765600  24.29
2013-11-20  24.45  24.54  24.11  24.14  2351000  24.14
2013-11-19  24.59  24.68  24.35  24.43  1856200  24.43
2013-11-18  24.82  24.85  24.57  24.66  4160300  24.66
2013-11-15  24.67  24.82  24.54  24.82  7225800  24.82
2013-11-14  24.8  24.89  24.57  24.69  2643000  24.69
2013-11-13  24.31  24.74  24.21  24.73  3029200  24.73
2013-11-12  24.44  24.56  24.35  24.44  12282500  24.44
2013-11-11  24.41  24.67  24.3  24.54  2677500  24.54
2013-11-08  24.2  24.38  23.91  24.37  9744800  24.37
2013-11-07  24.67  24.84  24.24  24.28  3674000  24.28
2013-11-06  23.8  24.71  23.63  24.59  6943300  24.59
2013-11-05  23.98  24.06  23.8  23.82  2911200  23.82
2013-11-04  24.03  24.13  23.77  24.0  2264600  24.0
2013-11-01  24.19  24.26  23.94  23.96  3496600  23.96
2013-10-31  24.06  24.3  23.81  24.15  3046300  24.15
2013-10-30  24.42  24.55  23.99  24.03  2753600  24.03
2013-10-29  24.39  24.48  24.1  24.35  2056500  24.35
2013-10-28  24.48  24.58  24.24  24.38  2690300  24.38
2013-10-25  24.15  24.43  24.03  24.41  2429900  24.41
2013-10-24  24.32  24.38  23.98  24.17  1846900  24.17
2013-10-23  24.24  24.56  24.14  24.23  3514400  24.23
2013-10-22  24.21  24.49  24.11  24.26  3481400  24.26
2013-10-21  24.1  24.24  24.02  24.15  1839800  24.15
2013-10-18  24.32  24.38  24.12  24.15  2679800  24.15
2013-10-17  23.83  24.3  23.73  24.23  1828600  24.23
2013-10-16  23.73  23.93  23.63  23.9  2584400  23.9
2013-10-15  23.86  24.02  23.59  23.6  2088500  23.6
2013-10-14  23.91  23.98  23.54  23.96  2343300  23.96
2013-10-11  23.79  24.01  23.72  24.01  1450800  24.01
2013-10-10  23.58  23.91  23.39  23.89  1577500  23.89
2013-10-09  23.51  23.88  23.38  23.49  2248600  23.49
2013-10-08  23.41  23.63  23.31  23.41  2870000  23.41
2013-10-07  23.55  23.7  23.43  23.43  1365900  23.43
2013-10-04  23.42  23.74  23.4  23.69  2884400  23.69
2013-10-03  23.85  23.85  23.39  23.43  3406400  23.43
2013-10-02  23.68  24.15  23.59  23.96  3749200  23.96
2013-10-01  23.58  23.94  23.5  23.75  2888700  23.75
2013-09-30  23.37  23.61  23.28  23.53  3036200  23.53
2013-09-27  23.54  23.73  23.4  23.49  2304500  23.49
2013-09-26  23.55  23.79  23.52  23.65  2766600  23.65
2013-09-25  23.57  23.78  23.51  23.56  2046800  23.56
2013-09-24  23.76  23.8  23.57  23.59  2652500  23.59
2013-09-23  23.45  23.82  23.33  23.81  3785000  23.81
2013-09-20  23.76  23.91  23.44  23.48  5236500  23.48
2013-09-19  23.92  24.18  23.58  23.77  5124000  23.77
2013-09-18  23.05  23.95  23.02  23.86  7327000  23.86
2013-09-17  22.49  23.06  22.45  23.06  3329800  23.06
2013-09-16  22.72  22.77  22.42  22.45  3118300  22.45
2013-09-13  22.47  22.64  22.42  22.47  1588200  22.47
2013-09-12  22.46  22.57  22.26  22.45  2444500  22.45
2013-09-11  22.67  22.71  22.27  22.44  3413300  22.44
2013-09-10  22.68  22.75  22.55  22.69  2033600  22.69
2013-09-09  22.41  22.73  22.41  22.6  1969400  22.6
2013-09-06  22.44  22.61  22.33  22.39  2877900  22.39
2013-09-05  22.49  22.61  22.28  22.34  2314100  22.34
2013-09-04  22.33  22.53  22.08  22.51  3224100  22.51
2013-09-03  22.66  22.7  22.24  22.34  2859700  22.34
2013-08-30  22.62  22.72  22.4  22.51  2228100  22.51
2013-08-29  22.68  22.85  22.58  22.63  1995400  22.63
2013-08-28  22.58  22.89  22.5  22.77  3174600  22.77
2013-08-27  22.39  22.79  22.32  22.62  3174000  22.62
2013-08-26  22.73  22.78  22.53  22.57  2233900  22.57
2013-08-23  22.59  22.83  22.48  22.75  1646900  22.75
2013-08-22  22.58  22.72  22.48  22.59  1605600  22.59
2013-08-21  22.76  22.84  22.55  22.58  2443800  22.58
2013-08-20  22.51  23.0  22.45  22.88  3711900  22.88
2013-08-19  22.71  22.78  22.46  22.51  2888800  22.51
2013-08-16  22.85  22.91  22.65  22.76  3565300  22.76
2013-08-15  23.02  23.04  22.81  22.86  2749300  22.86
2013-08-14  23.33  23.46  23.04  23.12  2383600  23.12
2013-08-13  23.47  23.53  23.28  23.39  3801400  23.39
