Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.1  40.17  39.41  40.1  1647300  40.1
2014-02-27  38.95  40.21  38.71  40.11  2088400  40.11
2014-02-26  39.49  39.77  38.66  38.89  1707600  38.89
2014-02-25  40.14  40.21  38.91  39.57  2241700  39.57
2014-02-24  39.7  40.9  39.7  40.3  2075500  40.3
2014-02-21  40.0  40.55  39.66  39.69  2019000  39.69
2014-02-20  39.84  40.19  39.49  39.92  1927000  39.92
2014-02-19  39.05  41.01  39.05  39.79  5326300  39.79
2014-02-18  38.4  39.33  37.91  39.1  1880300  39.1
2014-02-14  37.94  38.75  37.94  38.43  1732100  38.43
2014-02-13  37.38  38.3  37.38  37.78  2092900  37.78
2014-02-12  38.25  38.63  37.78  37.87  1749300  37.87
2014-02-11  37.44  38.19  37.38  38.06  2100700  38.06
2014-02-10  36.48  37.16  36.32  37.15  1966900  37.15
2014-02-07  37.15  37.32  36.14  36.44  1898800  36.44
2014-02-06  35.99  37.21  35.99  37.05  1262900  37.05
2014-02-05  37.65  37.65  36.34  36.61  2490200  36.61
2014-02-04  36.94  38.04  36.82  37.69  2322100  37.69
2014-02-03  37.66  37.66  36.47  36.82  2669600  36.82
2014-01-31  37.61  38.69  36.95  37.29  3863700  37.29
2014-01-30  37.74  38.08  36.93  37.84  3605500  37.84
2014-01-29  37.21  37.64  36.96  37.49  2857500  37.49
2014-01-28  37.35  37.71  37.08  37.6  2029900  37.6
2014-01-27  37.34  38.13  36.87  37.19  2896700  37.19
2014-01-24  38.4  38.4  37.18  37.41  4121800  37.41
2014-01-23  38.64  39.51  37.82  37.94  3425200  37.94
2014-01-22  38.36  39.11  38.32  38.83  2711800  38.83
2014-01-21  38.25  38.75  38.09  38.12  1900000  38.12
2014-01-17  38.24  38.8  38.14  38.15  1578600  38.15
2014-01-16  38.25  38.74  38.0  38.23  2606700  38.23
2014-01-15  36.79  38.48  36.77  38.33  4009000  38.33
2014-01-14  36.54  36.98  36.25  36.49  1721400  36.49
2014-01-13  36.41  37.04  36.28  36.35  2416000  36.35
2014-01-10  36.36  36.82  36.04  36.57  2099800  36.57
2014-01-09  36.94  37.0  35.66  36.2  2507900  36.2
2014-01-08  36.05  37.44  35.89  36.84  2595500  36.84
2014-01-07  38.0  38.23  36.98  37.37  2069900  37.37
2014-01-06  37.76  38.53  37.57  37.93  1543600  37.93
2014-01-03  37.64  37.99  37.45  37.75  1509000  37.75
2014-01-02  37.78  38.29  37.51  37.62  1171100  37.62
2013-12-31  37.77  38.04  37.62  37.98  1152400  37.98
2013-12-30  38.48  38.62  37.63  37.7  1259300  37.7
2013-12-27  37.84  38.47  37.68  38.33  2023600  38.33
2013-12-26  37.88  38.07  37.41  37.79  1285100  37.79
2013-12-24  37.44  38.1  37.4  37.8  841800  37.8
2013-12-23  38.07  38.39  36.99  37.45  2857700  37.45
2013-12-20  38.47  38.5  37.76  37.78  2414000  37.78
2013-12-19  37.42  38.53  37.29  38.34  2630300  38.34
2013-12-18  37.21  37.53  36.69  37.5  2175100  37.5
2013-12-17  37.1  37.45  36.57  37.37  1792200  37.37
2013-12-16  37.19  37.78  37.19  37.22  1862200  37.22
2013-12-13  36.82  37.19  36.59  37.12  1340700  37.12
2013-12-12  36.91  37.26  36.54  36.78  1517200  36.78
2013-12-11  37.74  37.94  36.78  36.91  2080600  36.91
2013-12-10  36.62  38.21  36.62  37.87  2978700  37.87
2013-12-09  36.53  37.28  36.49  37.04  2274900  37.04
2013-12-06  37.53  37.89  36.28  36.53  1659700  36.53
2013-12-05  36.69  37.54  36.46  37.22  2665300  37.22
2013-12-04  36.34  37.03  36.29  36.69  1787400  36.69
2013-12-03  35.87  36.92  35.82  36.42  2302700  36.42
2013-12-02  35.65  36.41  35.29  36.1  2271900  36.1
2013-11-29  35.47  35.91  35.04  35.52  1226900  35.52
2013-11-27  35.05  35.84  34.87  35.38  2789700  35.38
2013-11-26  34.83  35.35  34.56  35.02  2024300  35.02
2013-11-25  35.27  35.3  34.75  34.96  1455800  34.96
2013-11-22  34.71  35.44  34.34  35.25  2019900  35.25
2013-11-21  34.58  34.92  34.3  34.51  1896000  34.51
2013-11-20  34.4  34.89  34.2  34.51  1817300  34.51
2013-11-19  34.43  34.72  33.61  34.24  2242400  34.24
2013-11-18  35.61  35.75  34.27  34.5  3272500  34.5
2013-11-15  35.81  36.41  35.53  35.92  2776900  35.92
2013-11-14  35.87  36.11  35.09  35.62  1718300  35.62
2013-11-13  35.12  35.96  34.9  35.96  1784000  35.96
2013-11-12  35.54  35.85  35.13  35.31  1544100  35.31
2013-11-11  36.13  36.53  35.9  36.0  1342700  36.0
2013-11-08  35.59  36.49  35.55  36.22  2586800  36.22
2013-11-07  35.96  36.24  35.06  35.55  2741100  35.55
2013-11-06  36.62  36.88  35.34  35.78  2291300  35.78
2013-11-05  37.28  37.3  36.47  36.57  2432200  36.57
2013-11-04  36.85  38.08  36.35  37.56  3830700  37.56
2013-11-01  36.67  36.72  35.52  36.45  4122000  36.45
2013-10-31  37.09  37.3  36.21  36.31  4081500  36.31
2013-10-30  37.31  38.04  36.21  36.65  3611300  36.65
2013-10-29  37.88  38.74  36.63  37.54  4417800  37.54
2013-10-28  36.77  38.55  36.31  37.75  10546800  37.75
2013-10-25  38.17  38.2  37.67  37.94  1752200  37.94
2013-10-24  37.73  38.27  37.38  38.04  1501000  38.04
2013-10-23  37.77  37.81  36.95  37.52  2729900  37.52
2013-10-22  38.17  38.7  37.82  38.17  2137500  38.17
2013-10-21  37.92  38.25  37.17  37.79  2494800  37.79
2013-10-18  37.95  38.07  37.44  37.8  2449500  37.8
2013-10-17  37.52  38.19  37.18  37.57  2296600  37.57
2013-10-16  38.43  38.68  37.21  37.55  3453800  37.55
2013-10-15  38.12  38.65  37.79  38.15  3326800  38.15
2013-10-14  37.71  38.54  37.36  38.22  3333300  38.22
2013-10-11  36.38  39.02  36.05  37.97  10227000  37.97
2013-10-10  35.31  36.68  35.19  36.6  3937100  36.6
2013-10-09  35.01  35.22  34.75  34.89  1860300  34.89
2013-10-08  35.22  35.92  34.79  34.92  2091400  34.92
2013-10-07  35.67  35.93  35.15  35.15  1769400  35.15
2013-10-04  35.25  36.39  35.16  36.14  2963000  36.14
2013-10-03  34.35  35.34  34.26  35.24  3364500  35.24
2013-10-02  33.58  34.39  33.39  34.35  1776600  34.35
2013-10-01  33.36  33.83  33.05  33.81  3026700  33.81
2013-09-30  32.85  33.86  32.79  33.48  2191000  33.48
2013-09-27  33.98  34.07  33.16  33.33  1786400  33.33
2013-09-26  33.7  34.08  33.45  33.6  1260300  33.6
2013-09-25  34.07  34.3  33.32  33.4  2379400  33.4
2013-09-24  34.56  34.61  33.84  33.96  2494900  33.96
2013-09-23  34.48  35.16  34.44  34.58  1260200  34.58
2013-09-20  35.15  35.16  34.32  34.71  2173300  34.71
2013-09-19  35.42  36.37  35.08  35.16  2818100  35.16
2013-09-18  34.31  35.75  33.97  35.38  1874600  35.38
2013-09-17  33.77  34.63  33.76  34.28  1713500  34.28
2013-09-16  34.1  34.23  33.7  33.73  1362900  33.73
2013-09-13  34.33  34.41  33.52  33.63  1489700  33.63
2013-09-12  34.72  34.99  34.35  34.38  1834700  34.38
2013-09-11  34.3  35.11  33.75  34.99  1589600  34.99
2013-09-10  34.68  34.77  33.96  34.3  1357100  34.3
2013-09-09  33.43  34.58  33.43  34.53  1885300  34.53
2013-09-06  33.3  33.71  32.84  33.28  1420500  33.28
