Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  72.83  74.07  72.82  73.43  2753900  73.43
2014-02-27  71.36  72.73  71.22  72.62  2609400  72.62
2014-02-26  71.18  71.62  70.79  71.33  2298700  71.33
2014-02-25  71.81  71.86  70.72  71.04  3350700  71.04
2014-02-24  70.97  72.1  70.97  71.73  2823400  71.73
2014-02-21  70.84  71.54  70.58  70.97  2969900  70.97
2014-02-20  70.89  70.99  70.21  70.84  2789400  70.84
2014-02-19  72.14  72.59  70.9  70.95  2275300  70.95
2014-02-18  72.68  73.1  72.23  72.42  1850100  72.42
2014-02-14  72.2  72.54  72.08  72.4  1587100  72.4
2014-02-13  70.81  72.42  70.81  72.37  2839800  72.37
2014-02-12  71.4  72.1  71.28  71.66  2378700  71.66
2014-02-11  71.32  71.88  71.04  71.26  3026200  71.26
2014-02-10  71.4  71.97  70.91  71.37  2091900  71.37
2014-02-07  70.12  71.42  70.12  71.4  3471600  71.4
2014-02-06  68.66  69.98  68.56  69.92  2295900  69.92
2014-02-05  68.31  68.54  67.56  68.36  2667900  68.36
2014-02-04  68.82  69.36  68.06  68.42  3110800  68.42
2014-02-03  70.21  70.3  68.29  68.57  3856900  68.57
2014-01-31  69.63  70.68  69.41  70.3  3228800  70.3
2014-01-30  70.3  71.0  69.98  70.65  2205800  70.65
2014-01-29  69.77  70.61  69.47  69.56  2906200  69.56
2014-01-28  69.66  70.8  69.62  70.56  2293300  70.56
2014-01-27  70.24  70.44  69.41  69.64  3277800  69.64
2014-01-24  70.93  71.46  70.26  70.26  3768800  70.26
2014-01-23  72.05  72.05  70.75  71.23  4323900  71.23
2014-01-22  72.37  72.65  72.14  72.33  4125300  72.33
2014-01-21  72.48  72.82  72.09  72.29  6158300  72.29
2014-01-17  73.55  73.58  71.97  72.07  10411300  72.07
2014-01-16  76.77  76.9  75.98  76.11  3130300  76.11
2014-01-15  76.91  77.18  76.47  76.69  3054300  76.69
2014-01-14  76.94  77.38  76.48  77.02  2530900  77.02
2014-01-13  77.28  77.57  75.81  76.04  2639600  76.04
2014-01-10  77.64  77.9  77.06  77.68  2324500  77.68
2014-01-09  77.72  78.0  77.4  77.51  3648000  77.51
2014-01-08  76.88  77.58  76.84  77.51  3035100  77.51
2014-01-07  77.97  78.14  76.79  76.94  5041100  76.94
2014-01-06  77.22  77.73  76.24  76.26  3489200  76.26
2014-01-03  76.9  77.26  76.57  77.0  1940000  77.0
2014-01-02  76.27  77.39  76.26  76.91  3070300  76.91
2013-12-31  75.67  76.38  75.52  76.28  1935400  76.28
2013-12-30  75.64  75.83  75.21  75.49  1429300  75.49
2013-12-27  75.54  75.63  75.18  75.45  693500  75.45
2013-12-26  75.29  75.67  75.07  75.55  1615100  75.55
2013-12-24  74.74  75.14  74.64  75.05  666700  75.05
2013-12-23  74.62  75.0  74.17  74.68  1908700  74.68
2013-12-20  73.61  74.48  73.28  74.4  4705200  74.4
2013-12-19  73.04  73.46  72.45  73.32  2984300  73.32
2013-12-18  71.57  73.19  70.91  73.13  3311900  73.13
2013-12-17  72.41  72.63  71.16  71.48  2010800  71.48
2013-12-16  71.44  72.19  71.23  71.86  2232700  71.86
2013-12-13  71.38  71.5  70.78  71.16  1837800  71.16
2013-12-12  71.38  71.58  70.71  71.17  2558500  71.17
2013-12-11  72.69  72.9  71.38  71.55  3254600  71.55
2013-12-10  72.39  72.9  72.04  72.5  1858000  72.5
2013-12-09  72.7  73.01  72.48  72.68  2612400  72.68
2013-12-06  72.45  72.87  72.01  72.28  4134500  72.28
2013-12-05  71.94  72.11  71.29  71.63  3508500  71.63
2013-12-04  70.96  72.32  70.84  72.03  3459500  72.03
2013-12-03  71.61  71.84  71.04  71.32  4238700  71.32
2013-12-02  72.33  72.68  71.54  71.78  3869000  71.78
2013-11-29  71.38  71.87  71.01  71.32  1699700  71.32
2013-11-27  70.78  71.29  70.53  71.2  1967300  71.2
2013-11-26  70.23  70.81  70.08  70.5  2322700  70.5
2013-11-25  69.42  70.47  69.29  70.1  2474500  70.1
2013-11-22  69.66  69.66  68.74  69.31  3018400  69.31
2013-11-21  68.95  69.55  68.76  69.33  2755000  69.33
2013-11-20  69.59  69.61  68.44  68.5  2884700  68.5
2013-11-19  69.12  69.29  68.72  68.95  2335700  68.95
2013-11-18  70.14  70.27  69.02  69.12  3286800  69.12
2013-11-15  70.09  70.62  69.93  70.06  2738800  70.06
2013-11-14  69.82  70.57  69.8  70.38  2641000  70.38
