Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  35.43  35.65  34.7  35.0  9607300  35.0
2014-02-27  35.46  35.98  35.33  35.38  6431500  35.38
2014-02-26  35.43  35.63  35.21  35.37  8983300  35.37
2014-02-25  35.59  35.75  35.11  35.53  11764200  35.53
2014-02-24  36.05  36.33  35.38  35.65  14665400  35.65
2014-02-21  38.14  39.28  35.58  36.07  23860400  36.07
2014-02-20  40.1  40.32  38.53  39.28  12099400  39.28
2014-02-19  39.55  40.98  39.55  40.07  8361500  40.07
2014-02-18  39.44  39.95  39.32  39.66  5652200  39.66
2014-02-14  38.91  39.08  38.05  38.86  6104600  38.86
2014-02-13  38.36  39.17  38.04  38.83  9862000  38.83
2014-02-12  39.47  39.62  38.59  38.61  4969700  38.61
2014-02-11  38.82  39.38  38.74  39.25  5497400  39.25
2014-02-10  39.13  39.2  38.19  38.71  7631200  38.71
2014-02-07  40.3  40.49  38.8  39.32  8471500  39.32
2014-02-06  40.51  40.92  40.17  40.26  6866000  40.26
2014-02-05  41.73  41.78  40.33  40.42  5773100  40.42
2014-02-04  40.12  41.78  40.12  41.61  8096300  41.61
2014-02-03  40.55  40.75  39.41  39.46  5629300  39.46
2014-01-31  39.37  40.38  39.24  39.98  4302400  39.98
2014-01-30  40.56  40.59  39.67  39.72  4543600  39.72
2014-01-29  39.62  40.94  39.26  40.49  6470000  40.49
2014-01-28  39.52  40.6  39.52  40.37  6614000  40.37
2014-01-27  39.53  39.55  38.47  39.05  3973900  39.05
2014-01-24  39.56  40.0  39.42  39.53  7004800  39.53
2014-01-23  40.04  40.42  39.66  39.79  6241500  39.79
2014-01-22  39.57  40.6  39.55  39.89  7167500  39.89
2014-01-21  37.93  39.11  37.8  39.07  6039800  39.07
2014-01-17  38.26  38.36  37.41  37.46  3797500  37.46
2014-01-16  37.85  38.25  37.29  38.14  4536400  38.14
2014-01-15  37.37  37.83  37.24  37.6  3897000  37.6
2014-01-14  36.53  37.37  36.53  37.34  6762500  37.34
2014-01-13  37.55  37.76  36.36  36.42  5779500  36.42
2014-01-10  37.41  37.84  37.24  37.48  3466800  37.48
2014-01-09  38.91  38.96  36.87  37.42  7391100  37.42
2014-01-08  38.71  39.32  38.57  38.73  4964900  38.73
2014-01-07  38.38  39.21  38.33  38.85  4838400  38.85
2014-01-06  38.13  38.34  37.79  38.18  3309600  38.18
2014-01-03  38.15  38.52  37.61  37.93  3461500  37.93
2014-01-02  38.55  39.28  37.96  38.15  4825100  38.15
2013-12-31  38.65  38.92  38.26  38.74  2994100  38.74
2013-12-30  39.0  39.33  38.46  38.7  3145500  38.7
2013-12-27  38.54  38.79  38.15  38.71  2509000  38.71
2013-12-26  38.95  38.95  38.39  38.54  3267400  38.54
2013-12-24  38.54  38.93  38.43  38.91  1306200  38.91
2013-12-23  38.52  39.27  38.45  38.55  3758200  38.55
2013-12-20  38.58  38.85  38.3  38.41  6809300  38.41
2013-12-19  37.13  38.35  37.02  38.29  8211600  38.29
2013-12-18  36.02  36.42  35.48  36.39  5384200  36.39
2013-12-17  35.75  36.18  35.38  35.8  4973800  35.8
2013-12-16  36.17  36.36  35.53  35.8  6734700  35.8
2013-12-13  36.47  36.57  35.85  36.1  5788900  36.1
2013-12-12  35.79  36.7  35.77  36.55  5889100  36.55
2013-12-11  36.25  36.41  35.48  35.71  5322300  35.71
