Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  48.9  49.13  48.46  48.81  2999600  48.81
2014-02-27  48.5  48.94  48.35  48.82  2724700  48.82
2014-02-26  48.33  48.88  48.29  48.46  2514900  48.46
2014-02-25  47.89  48.39  47.8  48.27  2769400  48.27
2014-02-24  47.82  48.36  47.69  47.95  2467500  47.95
2014-02-21  47.64  48.26  47.58  47.65  2440300  47.65
2014-02-20  47.84  48.1  47.5  47.64  2385900  47.64
2014-02-19  48.12  48.35  47.75  47.84  3052200  47.84
2014-02-18  48.63  48.63  47.95  48.13  3015800  48.13
2014-02-14  47.82  48.47  47.51  48.08  3728000  48.08
2014-02-13  46.83  47.97  46.83  47.9  4622300  47.9
2014-02-12  47.56  47.8  46.86  46.94  3688400  46.94
2014-02-11  47.32  47.52  46.95  47.34  3878500  47.34
2014-02-10  47.59  47.67  46.97  47.2  3701400  47.2
2014-02-07  46.85  47.7  46.7  47.56  6449000  47.56
2014-02-06  45.62  46.56  45.45  46.42  5194200  46.42
2014-02-05  45.65  45.65  44.31  45.41  9090200  45.41
2014-02-04  46.61  46.61  45.36  45.63  9302300  45.63
2014-02-03  47.89  47.9  46.22  46.5  5957700  46.5
2014-01-31  47.82  48.08  47.43  47.89  5602700  47.89
2014-01-30  48.33  48.54  48.1  48.29  3519600  48.29
2014-01-29  48.69  49.25  47.78  47.93  5724500  47.93
2014-01-28  48.44  49.29  48.35  48.8  5264900  48.8
2014-01-27  48.82  49.07  48.3  48.3  5137500  48.3
2014-01-24  48.72  49.3  48.7  48.81  6744300  48.81
2014-01-23  48.98  49.52  48.38  49.35  10833000  49.35
2014-01-22  48.86  49.88  48.4  49.38  23412900  49.38
2014-01-21  52.76  53.15  52.46  52.55  5950800  52.55
2014-01-17  52.12  53.2  52.01  52.56  5610800  52.56
2014-01-16  53.54  54.13  52.05  52.63  7099800  52.63
2014-01-15  53.89  54.44  53.0  54.13  3677400  54.13
2014-01-14  54.16  54.39  53.7  53.88  3584800  53.88
2014-01-13  55.75  55.98  53.93  54.3  5552600  54.3
2014-01-10  55.65  56.16  55.33  56.08  2504700  56.08
2014-01-09  55.58  55.67  55.05  55.65  2505100  55.65
2014-01-08  56.3  56.3  55.57  55.71  3304400  55.71
2014-01-07  56.27  56.59  55.03  56.38  4074600  56.38
2014-01-06  56.41  56.64  55.8  55.86  2268100  55.86
2014-01-03  56.0  56.72  55.82  56.24  2006100  56.24
2014-01-02  56.15  56.65  55.64  55.91  3446700  55.91
2013-12-31  56.45  56.67  55.75  56.13  2224500  56.13
2013-12-30  56.14  56.51  55.72  56.39  1632700  56.39
2013-12-27  56.75  56.88  55.99  56.27  1225900  56.27
2013-12-26  56.51  56.88  56.39  56.57  1017600  56.57
2013-12-24  56.3  56.68  56.05  56.43  872900  56.43
2013-12-23  56.14  56.23  55.76  56.11  1412500  56.11
2013-12-20  55.49  56.45  55.41  56.06  3186600  56.06
2013-12-19  55.7  55.89  55.32  55.43  1671300  55.43
2013-12-18  55.41  55.75  54.77  55.72  2175300  55.72
2013-12-17  55.43  55.47  54.93  55.3  1960900  55.3
2013-12-16  55.6  55.83  54.9  55.32  2503100  55.32
2013-12-13  55.52  56.1  55.36  55.5  1886700  55.5
2013-12-12  55.43  56.09  55.18  55.52  2635700  55.52
2013-12-11  55.89  56.13  55.38  55.46  2936500  55.46
2013-12-10  56.13  56.27  55.51  56.15  3254000  56.15
2013-12-09  56.3  56.68  55.97  56.06  3047600  56.06
2013-12-06  56.08  56.37  55.17  55.62  2474400  55.62
2013-12-05  56.3  56.45  55.35  55.72  3170900  55.72
2013-12-04  55.72  56.56  55.61  56.47  3336100  56.47
2013-12-03  56.16  56.66  55.81  56.31  4421100  56.31
2013-12-02  57.1  57.36  56.05  56.2  7634600  56.2
2013-11-29  56.9  57.6  56.8  57.55  2832200  57.55
2013-11-27  55.95  57.07  55.81  56.79  5042300  56.79
2013-11-26  54.53  56.81  54.43  56.02  10365100  56.02
2013-11-25  53.76  54.3  53.7  54.23  2727600  54.23
2013-11-22  53.88  53.98  53.41  53.9  2618300  53.9
2013-11-21  53.12  53.81  52.89  53.65  3211600  53.65
2013-11-20  53.88  54.41  52.98  53.13  5637100  53.13
2013-11-19  53.61  53.95  53.48  53.63  2650200  53.63
2013-11-18  53.87  54.0  53.59  53.71  3676700  53.71
2013-11-15  53.56  54.05  53.14  53.82  5375100  53.82
2013-11-14  53.05  53.49  52.8  53.33  3986600  53.33
2013-11-13  51.95  53.07  51.94  52.99  3910200  52.99
2013-11-12  51.7  52.35  51.67  52.17  3093200  52.17
2013-11-11  51.38  51.89  51.26  51.72  2517600  51.72
2013-11-08  50.81  51.54  50.66  51.5  3375600  51.5
2013-11-07  52.0  52.18  51.12  51.37  4063800  51.37
2013-11-06  51.46  52.04  51.24  52.0  3950300  52.0
2013-11-05  50.69  51.67  50.47  51.46  4616600  51.46
2013-11-04  50.2  51.05  50.19  50.76  3765300  50.76
2013-11-01  50.58  50.75  49.86  50.12  3464300  50.12
2013-10-31  50.73  50.82  50.21  50.38  3903800  50.38
2013-10-30  50.62  50.83  50.35  50.53  4081700  50.53
2013-10-29  50.0  50.5  49.98  50.46  4346900  50.46
2013-10-28  49.6  49.99  49.21  49.88  4641600  49.88
2013-10-25  49.19  49.72  49.15  49.59  5401300  49.59
2013-10-24  48.23  48.9  47.96  48.8  6640200  48.8
2013-10-23  49.29  49.31  47.6  48.26  15100800  48.26
2013-10-22  49.5  50.56  49.2  49.8  20707100  49.8
2013-10-21  53.66  54.02  52.88  53.86  6048800  53.86
2013-10-18  53.88  54.06  53.3  53.55  4775200  53.55
2013-10-17  53.59  54.52  53.14  53.82  5185100  53.82
2013-10-16  53.65  53.97  53.3  53.63  4328400  53.63
2013-10-15  53.74  53.75  53.13  53.31  4793900  53.31
2013-10-14  53.25  53.8  52.86  53.8  4298100  53.8
2013-10-11  53.89  54.26  53.61  54.26  2547500  54.26
2013-10-10  54.13  54.44  53.85  53.87  2926000  53.87
2013-10-09  53.17  53.95  52.81  53.54  3539800  53.54
2013-10-08  54.1  54.14  52.98  53.27  3811100  53.27
2013-10-07  54.21  54.91  54.0  54.07  2379100  54.07
2013-10-04  54.01  55.09  53.89  54.7  3598200  54.7
2013-10-03  54.08  54.81  53.75  54.02  3746400  54.02
2013-10-02  53.83  54.02  53.48  53.98  2759900  53.98
2013-10-01  54.32  54.38  53.87  54.03  2730800  54.03
2013-09-30  53.58  54.27  53.27  54.2  2004600  54.2
2013-09-27  54.17  54.28  53.84  53.92  2209500  53.92
2013-09-26  54.16  54.53  53.92  54.17  2662500  54.17
2013-09-25  54.41  54.5  53.47  53.9  3179500  53.9
2013-09-24  54.11  54.76  53.78  54.4  2625900  54.4
2013-09-23  54.67  54.68  53.83  54.28  2428400  54.28
2013-09-20  55.05  55.09  54.29  54.71  3700600  54.71
2013-09-19  55.17  55.45  54.92  55.05  1885600  55.05
2013-09-18  54.91  55.17  53.78  55.06  3149000  55.06
2013-09-17  54.65  55.1  54.49  54.95  3952100  54.95
2013-09-16  54.86  55.48  54.47  54.65  3830100  54.65
2013-09-13  53.52  54.3  53.5  54.3  2959700  54.3
2013-09-12  53.92  54.0  53.45  53.58  2715700  53.58
2013-09-11  53.48  53.98  53.2  53.86  2286500  53.86
2013-09-10  53.43  53.57  52.88  53.43  2143400  53.43
