Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  82.6  83.17  81.99  82.54  611900  82.54
2014-02-27  82.27  82.49  81.63  82.47  584700  82.47
2014-02-26  82.57  83.0  81.91  81.97  883700  81.97
2014-02-25  82.48  82.93  82.06  82.42  1086500  82.42
2014-02-24  81.69  83.8  81.57  82.82  1236100  82.82
2014-02-21  81.0  82.38  80.98  81.97  1305100  81.97
2014-02-20  78.94  81.18  78.86  80.98  1355900  80.98
2014-02-19  78.74  80.09  78.56  78.8  1073000  78.8
2014-02-18  78.44  78.94  78.11  78.75  958400  78.75
2014-02-14  77.77  78.53  77.49  78.52  723400  78.52
2014-02-13  77.05  77.84  76.84  77.84  488700  77.84
2014-02-12  77.32  77.86  77.2  77.56  807700  77.56
2014-02-11  76.83  77.42  76.61  77.02  675200  77.02
2014-02-10  77.01  77.45  76.6  76.82  953200  76.82
2014-02-07  76.29  77.21  76.29  77.18  644800  77.18
2014-02-06  75.74  76.14  75.0  76.1  1138300  76.1
2014-02-05  74.05  74.7  73.46  74.61  848900  74.61
2014-02-04  74.49  74.72  73.22  74.52  1332200  74.52
2014-02-03  75.37  75.65  74.23  74.27  1822800  74.27
2014-01-31  74.64  75.91  74.46  75.26  940500  75.26
2014-01-30  75.72  75.89  75.24  75.67  693100  75.67
2014-01-29  75.17  75.46  74.64  75.12  1036300  75.12
2014-01-28  76.31  76.42  75.47  76.06  833900  76.06
2014-01-27  76.74  77.29  76.03  76.29  990300  76.29
2014-01-24  78.14  78.23  76.75  76.76  1159800  76.76
2014-01-23  78.77  79.27  78.52  78.97  1265100  78.97
2014-01-22  78.43  79.08  77.03  78.87  1575400  78.87
2014-01-21  77.69  79.25  76.51  77.91  1975700  77.91
2014-01-17  77.06  78.05  77.01  77.27  2003300  77.27
2014-01-16  75.73  76.92  75.55  76.74  1071600  76.74
2014-01-15  75.83  76.26  75.41  75.69  835100  75.69
2014-01-14  75.22  75.81  74.57  75.81  931400  75.81
2014-01-13  75.48  75.91  74.78  74.84  806300  74.84
2014-01-10  75.95  76.07  75.44  75.68  873700  75.68
2014-01-09  75.94  76.33  75.4  75.88  429800  75.88
2014-01-08  75.48  75.9  74.72  75.71  1068900  75.71
2014-01-07  75.45  75.76  75.29  75.48  890900  75.48
2014-01-06  74.49  76.32  74.03  75.37  2243500  75.37
2014-01-03  72.78  73.58  72.76  73.51  567200  73.51
2014-01-02  73.71  73.71  72.66  72.82  731200  72.82
2013-12-31  73.49  73.92  73.27  73.62  316800  73.62
2013-12-30  73.81  73.91  73.24  73.48  266400  73.48
2013-12-27  73.91  74.13  73.58  73.7  224800  73.7
2013-12-26  73.62  73.97  73.25  73.74  171300  73.74
2013-12-24  72.96  73.49  72.84  73.43  111300  73.43
2013-12-23  73.32  73.32  72.64  72.78  427700  72.78
2013-12-20  71.53  72.81  71.52  72.58  723200  72.58
2013-12-19  71.98  72.2  71.36  71.61  983200  71.61
2013-12-18  71.0  72.09  70.3  71.93  902600  71.93
2013-12-17  71.8  71.84  70.69  70.77  1108300  70.77
2013-12-16  71.38  72.0  71.38  71.57  885500  71.57
2013-12-13  71.1  71.25  70.86  71.02  512700  71.02
2013-12-12  71.35  71.55  70.72  70.97  572000  70.97
2013-12-11  72.57  72.57  71.19  71.29  565200  71.29
2013-12-10  72.76  73.18  72.39  72.6  393800  72.6
2013-12-09  73.16  73.54  72.75  73.11  596900  73.11
2013-12-06  72.61  73.29  72.5  73.21  415200  73.21
2013-12-05  72.26  72.67  71.93  72.12  604800  72.12
2013-12-04  71.91  72.58  71.52  72.37  834900  72.37
2013-12-03  72.14  72.65  71.78  72.18  577600  72.18
2013-12-02  72.44  72.95  72.27  72.37  522400  72.37
2013-11-29  72.96  73.14  72.44  72.44  418600  72.44
2013-11-27  72.77  72.98  72.45  72.97  447700  72.97
2013-11-26  72.34  72.93  72.15  72.61  669500  72.61
2013-11-25  72.8  72.9  72.13  72.26  427500  72.26
2013-11-22  72.71  72.94  72.47  72.71  851700  72.71
2013-11-21  72.05  72.68  71.95  72.64  560000  72.64
2013-11-20  71.75  72.43  71.43  71.76  588700  71.76
2013-11-19  71.87  72.3  71.24  71.71  1473400  71.71
2013-11-18  71.2  72.31  71.04  71.88  869100  71.88
2013-11-15  70.44  70.83  69.95  70.83  1450800  70.83
2013-11-14  70.17  70.71  69.73  70.46  500500  70.46
2013-11-13  69.47  70.29  69.47  70.25  578700  70.25
2013-11-12  70.53  70.72  69.99  70.07  554900  70.07
2013-11-11  70.65  70.9  70.45  70.69  489100  70.69
2013-11-08  69.76  71.0  69.44  70.62  661600  70.62
2013-11-07  70.83  71.23  69.65  69.72  526900  69.72
2013-11-06  70.24  70.7  69.8  70.69  538600  70.69
2013-11-05  69.93  70.65  69.7  70.08  679300  70.08
2013-11-04  69.67  70.1  69.42  69.99  556700  69.99
2013-11-01  69.46  69.82  68.94  69.52  706500  69.52
2013-10-31  69.53  69.74  68.9  69.26  652100  69.26
2013-10-30  69.98  70.24  69.26  69.46  684600  69.46
2013-10-29  69.74  69.9  69.0  69.61  784400  69.61
2013-10-28  69.99  70.26  69.37  69.55  909700  69.55
2013-10-25  69.66  70.45  68.19  70.11  1637000  70.11
2013-10-24  71.46  71.87  71.07  71.65  802500  71.65
2013-10-23  70.03  71.46  69.92  71.44  990500  71.44
2013-10-22  69.69  70.25  69.12  70.13  950600  70.13
2013-10-21  69.96  69.96  68.93  69.27  625500  69.27
2013-10-18  69.98  69.98  68.83  69.96  1047100  69.96
2013-10-17  68.18  69.88  68.07  69.59  1086100  69.59
2013-10-16  68.13  68.62  68.03  68.43  813400  68.43
2013-10-15  68.24  68.56  67.31  67.5  888600  67.5
2013-10-14  67.49  68.4  67.31  68.36  553100  68.36
2013-10-11  67.43  67.99  67.08  67.98  527100  67.98
2013-10-10  67.02  67.75  66.44  67.71  785000  67.71
2013-10-09  65.66  66.24  65.22  65.98  910700  65.98
2013-10-08  66.37  66.37  65.32  65.36  813900  65.36
2013-10-07  65.97  66.71  65.73  66.32  409000  66.32
2013-10-04  66.33  66.61  65.77  66.44  494600  66.44
2013-10-03  66.92  67.15  65.66  66.29  998500  66.29
2013-10-02  68.28  68.28  66.77  67.16  1264000  67.16
2013-10-01  67.56  68.94  67.35  68.68  1316500  68.68
2013-09-30  67.31  67.63  67.12  67.3  916800  67.3
2013-09-27  67.91  68.27  67.75  68.03  715900  68.03
2013-09-26  68.38  68.75  67.95  68.36  1182400  68.36
2013-09-25  68.78  68.78  67.87  68.42  2303800  68.42
2013-09-24  67.93  69.44  67.56  68.84  1383200  68.84
2013-09-23  68.9  69.13  67.51  68.12  1904200  68.12
2013-09-20  71.71  72.0  68.63  69.43  2873200  69.43
2013-09-19  73.45  74.43  73.45  73.67  736800  73.67
2013-09-18  73.66  73.98  72.53  73.38  1042400  73.38
2013-09-17  72.98  73.98  72.79  73.89  432700  73.89
2013-09-16  72.46  73.31  72.12  73.07  610300  73.07
2013-09-13  72.4  72.59  71.65  72.43  325300  72.43
2013-09-12  71.81  72.68  71.81  72.19  407900  72.19
2013-09-11  71.51  72.17  71.46  71.99  373300  71.99
2013-09-10  71.09  71.69  71.06  71.38  585100  71.38
2013-09-09  70.65  70.97  70.54  70.81  491100  70.81
2013-09-06  70.68  70.94  69.55  70.5  337800  70.5
2013-09-05  70.66  70.89  70.31  70.54  641500  70.54
2013-09-04  70.04  70.71  69.84  70.67  576700  70.67
2013-09-03  70.62  71.37  69.69  70.1  974000  70.1
2013-08-30  71.07  71.11  69.98  70.19  395000  70.19
2013-08-29  70.25  71.11  70.04  70.84  345200  70.84
2013-08-28  70.09  70.7  70.04  70.44  342800  70.44
2013-08-27  70.84  71.16  69.92  70.08  422000  70.08
2013-08-26  71.45  72.0  71.23  71.42  313100  71.42
2013-08-23  71.1  71.53  70.99  71.44  367700  71.44
2013-08-22  70.83  71.39  70.68  71.19  400200  71.19
2013-08-21  71.38  71.52  70.56  70.6  622900  70.6
2013-08-20  71.55  71.96  71.1  71.41  578800  71.41
2013-08-19  71.86  72.31  71.51  71.54  800800  71.54
2013-08-16  72.37  72.82  71.66  71.97  2469600  71.97
2013-08-15  73.06  73.17  71.8  72.36  1072000  72.36
2013-08-14  73.71  73.87  72.98  73.59  1397500  73.59
2013-08-13  73.15  73.76  72.14  73.68  1662300  73.68
2013-08-12  74.05  74.35  70.95  72.73  2192800  72.73
2013-08-09  73.92  74.23  73.48  73.81  568000  73.81
2013-08-08  74.15  74.64  73.64  74.03  468200  74.03
2013-08-07  73.02  73.95  72.94  73.78  883900  73.78
2013-08-06  73.09  73.57  72.88  73.23  847800  73.23
2013-08-05  72.82  73.48  72.82  73.27  694500  73.27
2013-08-02  72.13  73.2  71.94  73.08  776300  73.08
2013-08-01  70.72  72.4  70.19  72.32  654100  72.32
2013-07-31  69.95  70.95  69.91  70.3  583400  70.3
2013-07-30  69.79  70.18  69.38  69.77  379000  69.77
2013-07-29  69.38  69.91  69.35  69.52  569400  69.52
2013-07-26  69.73  69.98  69.52  69.92  465100  69.92
2013-07-25  70.03  70.37  69.5  70.11  559500  70.11
2013-07-24  70.12  70.63  69.69  70.24  687800  70.24
2013-07-23  69.9  70.11  69.39  69.82  579400  69.82
2013-07-22  69.71  70.36  69.38  69.92  543600  69.92
2013-07-19  69.09  70.65  67.9  69.56  1879900  69.56
2013-07-18  67.48  68.15  67.48  67.69  743800  67.69
2013-07-17  67.25  67.57  67.12  67.47  531000  67.47
2013-07-16  67.16  67.35  67.01  67.02  647900  67.02
2013-07-15  66.85  67.17  66.57  67.16  502000  67.16
2013-07-12  66.73  67.11  65.99  66.91  1102900  66.91
2013-07-11  66.19  66.78  66.19  66.74  556600  66.74
2013-07-10  65.59  66.13  65.48  65.87  810200  65.87
2013-07-09  64.59  65.9  64.52  65.64  827600  65.64
2013-07-08  63.8  64.48  63.71  64.34  641900  64.34
2013-07-05  63.17  63.68  63.16  63.6  576300  63.6
2013-07-03  62.02  63.0  61.72  62.8  460900  62.8
2013-07-02  62.76  62.82  61.68  62.33  573000  62.33
2013-07-01  62.83  63.61  62.73  62.81  496200  62.81
2013-06-28  62.09  63.18  61.94  62.64  968100  62.64
2013-06-27  62.23  62.51  61.86  62.16  607400  62.16
2013-06-26  61.47  62.2  61.14  62.03  517400  62.03
2013-06-25  61.48  61.48  60.78  60.99  646900  60.99
2013-06-24  61.62  61.63  60.39  60.98  840000  60.98
2013-06-21  62.03  62.54  61.67  62.07  1062200  62.07
2013-06-20  62.39  62.59  61.31  61.6  825000  61.6
2013-06-19  63.87  64.1  62.98  62.99  519900  62.99
2013-06-18  63.71  64.04  63.4  63.91  863500  63.91
2013-06-17  64.19  64.34  63.36  63.66  802800  63.66
2013-06-14  64.13  64.33  63.44  63.69  597400  63.69
2013-06-13  63.7  64.24  63.41  64.08  723700  64.08
2013-06-12  64.53  64.58  63.8  63.84  736400  63.84
2013-06-11  63.61  64.59  63.45  64.09  650800  64.09
2013-06-10  64.8  64.99  63.89  64.2  442200  64.2
2013-06-07  64.28  64.88  64.11  64.71  593500  64.71
2013-06-06  63.12  63.95  62.85  63.93  549400  63.93
2013-06-05  63.89  64.15  63.09  63.13  436400  63.13
2013-06-04  64.28  64.7  63.64  64.13  472500  64.13
2013-06-03  64.14  64.45  63.39  64.33  827100  64.33
2013-05-31  64.91  65.44  63.96  63.96  734300  63.96
2013-05-30  65.54  65.95  65.09  65.13  669700  65.13
2013-05-29  65.56  66.01  65.15  65.52  480600  65.52
2013-05-28  65.95  66.76  65.66  65.98  586400  65.98
2013-05-24  65.0  65.48  64.73  65.37  714300  65.37
2013-05-23  64.68  65.66  64.58  65.25  551500  65.25
2013-05-22  65.99  66.3  64.97  65.12  606000  65.12
2013-05-21  65.77  66.11  65.51  65.95  445600  65.95
2013-05-20  65.48  66.11  65.48  65.89  483100  65.89
2013-05-17  64.91  65.85  64.91  65.65  856000  65.65
2013-05-16  65.48  65.81  64.86  64.86  408000  64.86
2013-05-15  64.87  65.86  64.64  65.68  473200  65.68
2013-05-14  64.49  64.95  64.49  64.95  465500  64.95
2013-05-13  64.43  64.96  64.37  64.48  342900  64.48
2013-05-10  64.48  64.79  64.25  64.58  368400  64.58
2013-05-09  64.38  64.88  64.15  64.51  527200  64.51
2013-05-08  64.3  64.39  63.87  64.28  447900  64.28
2013-05-07  63.92  64.27  63.59  64.26  460200  64.26
2013-05-06  63.16  63.99  63.16  63.81  552200  63.81
2013-05-03  62.93  63.39  62.82  63.33  532500  63.33
2013-05-02  61.46  62.45  61.46  62.34  643900  62.34
2013-05-01  61.61  62.3  61.4  61.4  1813600  61.4
2013-04-30  61.21  62.05  60.95  61.87  784600  61.87
2013-04-29  60.92  61.24  60.67  61.21  521400  61.21
2013-04-26  60.98  61.17  60.65  60.87  622800  60.87
2013-04-25  60.68  61.41  60.62  60.89  1169100  60.89
2013-04-24  60.63  61.46  60.6  60.64  1075200  60.64
2013-04-23  60.43  60.5  59.74  60.32  1104800  60.32
2013-04-22  60.07  60.29  59.15  60.03  876700  60.03
2013-04-19  59.32  60.28  59.24  60.08  1575600  60.08
2013-04-18  58.69  58.8  57.8  58.68  1164400  58.68
2013-04-17  59.62  59.68  58.54  58.59  1119400  58.59
2013-04-16  60.51  60.61  59.81  60.37  805300  60.37
2013-04-15  61.48  61.78  60.11  60.11  928500  60.11
2013-04-12  62.31  62.33  61.51  61.83  957600  61.83
