Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  66.29  66.88  65.62  66.5  6263300  66.5
2014-02-27  66.0  66.25  65.33  66.25  4988900  66.25
2014-02-26  66.63  66.8  65.83  66.13  5159400  66.13
2014-02-25  66.3  66.85  66.14  66.52  5871500  66.52
2014-02-24  65.0  66.79  64.98  66.42  8054500  66.42
2014-02-21  64.99  65.03  64.63  64.68  6576200  64.68
2014-02-20  64.98  65.2  64.87  64.92  6111800  64.92
2014-02-19  65.26  66.0  64.99  65.0  6144900  65.0
2014-02-18  65.57  65.73  65.2  65.37  4877100  65.37
2014-02-14  64.66  65.65  64.5  65.53  4596800  65.53
2014-02-13  64.44  65.11  64.23  64.71  5844700  64.71
2014-02-12  65.93  66.08  64.4  64.53  6962800  64.53
2014-02-11  63.97  65.01  63.92  64.88  5754200  64.88
2014-02-10  64.28  64.28  63.45  63.9  5854800  63.9
2014-02-07  64.1  64.31  63.48  64.28  5337100  64.28
2014-02-06  63.01  63.72  62.79  63.62  5546800  63.62
2014-02-05  63.01  63.14  62.08  62.79  6528300  62.79
2014-02-04  63.35  63.41  62.78  63.04  6543700  63.04
2014-02-03  64.41  64.69  63.09  63.18  7768000  63.18
2014-01-31  64.36  64.78  63.67  64.26  10717600  64.26
2014-01-30  65.89  65.94  64.62  65.05  5527800  65.05
2014-01-29  65.47  65.51  64.65  65.12  5671600  65.12
2014-01-28  65.25  65.58  65.04  65.51  4338000  65.51
2014-01-27  65.58  65.89  64.94  65.16  5381000  65.16
2014-01-24  67.06  67.06  65.7  65.87  6016100  65.87
2014-01-23  67.33  67.86  66.88  67.13  4333500  67.13
2014-01-22  67.77  68.07  67.33  67.65  4100700  67.65
2014-01-21  67.36  67.55  67.0  67.54  4711800  67.54
2014-01-17  67.3  67.57  66.79  66.8  4852000  66.8
2014-01-16  67.33  67.35  66.38  67.11  5356700  67.11
2014-01-15  67.65  67.97  67.09  67.36  4573700  67.36
2014-01-14  67.12  67.66  66.95  67.6  4783800  67.6
2014-01-13  67.95  68.02  66.76  67.02  7244000  67.02
2014-01-10  68.88  69.04  68.06  68.14  4799400  68.14
2014-01-09  69.08  69.2  68.4  68.73  4078900  68.73
2014-01-08  69.73  69.73  68.78  68.95  6405300  68.95
2014-01-07  69.51  69.75  69.22  69.63  3659500  69.63
2014-01-06  69.6  70.06  69.28  69.52  4418300  69.52
2014-01-03  69.34  69.61  69.09  69.22  3095000  69.22
2014-01-02  69.52  70.17  68.79  69.04  4351800  69.04
2013-12-31  69.21  69.99  69.01  69.9  3281300  69.9
2013-12-30  69.72  69.89  69.13  69.17  3035400  69.17
2013-12-27  69.33  69.85  69.32  69.65  1965600  69.65
2013-12-26  69.26  69.7  69.19  69.45  2413200  69.45
2013-12-24  68.89  69.24  68.58  69.19  1625000  69.19
2013-12-23  69.33  70.0  68.71  68.82  4177400  68.82
2013-12-20  68.38  69.74  68.32  69.14  8311700  69.14
2013-12-19  68.18  68.65  67.99  68.35  6962200  68.35
2013-12-18  68.72  68.87  67.51  68.67  7959500  68.67
2013-12-17  69.08  69.11  68.32  68.33  4880900  68.33
2013-12-16  68.96  69.4  68.78  69.05  4167400  69.05
2013-12-13  68.81  69.42  68.56  68.7  4649000  68.7
2013-12-12  68.39  69.05  68.18  68.74  5714600  68.74
2013-12-11  69.57  69.59  68.32  68.38  5776900  68.38
2013-12-10  69.46  69.89  69.08  69.57  4712300  69.57
2013-12-09  69.8  70.23  69.45  69.69  4952900  69.69
2013-12-06  70.43  70.72  69.46  70.02  5560700  70.02
2013-12-05  70.46  70.59  69.38  70.09  5040400  70.09
2013-12-04  71.57  71.85  70.36  70.65  5399100  70.65
2013-12-03  71.7  72.36  71.37  71.7  5411900  71.7
2013-12-02  72.61  72.71  71.48  71.8  5696100  71.8
2013-11-29  71.87  72.76  71.73  72.03  2434300  72.03
2013-11-27  72.17  72.62  71.61  71.85  3301300  71.85
2013-11-26  72.05  72.73  71.72  72.16  4089800  72.16
2013-11-25  72.98  73.14  71.98  72.04  5294800  72.04
2013-11-22  72.72  73.29  72.47  73.24  3633800  73.24
2013-11-21  71.7  72.82  71.63  72.56  3988900  72.56
2013-11-20  71.73  72.16  71.33  71.49  4139300  71.49
2013-11-19  71.36  71.93  71.01  71.5  7124200  71.5
2013-11-18  72.69  72.85  71.43  71.54  4718300  71.54
2013-11-15  72.77  72.79  71.98  72.52  5341200  72.52
2013-11-14  72.8  73.02  72.43  72.9  3833000  72.9
2013-11-13  71.97  72.58  71.8  72.56  3463600  72.56
2013-11-12  72.48  72.69  71.84  72.05  3125000  72.05
2013-11-11  72.68  73.05  72.55  72.78  2786700  72.78
2013-11-08  71.72  72.94  71.6  72.91  4819600  72.91
2013-11-07  73.07  73.14  71.5  71.74  5836600  71.74
2013-11-06  72.42  73.19  72.34  73.12  5644300  73.12
2013-11-05  72.26  72.5  71.73  71.8  4592500  71.8
2013-11-04  72.59  72.73  72.07  72.55  3604300  72.55
2013-11-01  72.79  72.79  71.45  72.32  4921000  72.32
2013-10-31  72.88  73.69  72.5  72.55  5556600  72.55
2013-10-30  73.62  73.7  72.1  72.48  5278500  72.48
2013-10-29  73.41  73.8  73.21  73.55  3389900  73.55
2013-10-28  73.13  73.28  72.82  73.11  3480100  73.11
2013-10-25  72.76  73.32  72.24  73.28  4218700  73.28
2013-10-24  71.9  72.71  71.67  72.61  3707900  72.61
2013-10-23  72.14  72.14  71.18  71.62  4442600  71.62
2013-10-22  72.48  72.75  72.1  72.48  3597300  72.48
2013-10-21  72.75  72.8  72.13  72.28  3407000  72.28
2013-10-18  72.8  72.81  71.96  72.65  5223700  72.65
2013-10-17  71.91  72.69  71.77  72.63  4494300  72.63
2013-10-16  71.56  72.32  71.44  72.19  5534800  72.19
2013-10-15  71.14  71.49  70.71  71.13  6252200  71.13
2013-10-14  70.55  71.27  70.5  71.2  4223800  71.2
2013-10-11  70.07  71.09  70.01  70.95  4592100  70.95
2013-10-10  69.06  70.36  68.95  70.33  4454400  70.33
2013-10-09  68.81  68.96  68.2  68.35  5768400  68.35
2013-10-08  69.33  69.68  68.72  68.74  5142800  68.74
2013-10-07  68.97  69.73  68.72  69.44  4621600  69.44
2013-10-04  68.75  69.54  68.6  69.52  4996700  69.52
2013-10-03  68.76  68.89  68.15  68.74  6550800  68.74
2013-10-02  68.6  69.14  68.33  68.93  5022400  68.93
2013-10-01  68.04  69.01  67.9  68.61  4141300  68.61
2013-09-30  68.27  68.49  67.88  68.09  4802100  68.09
2013-09-27  68.73  68.95  68.5  68.88  3423000  68.88
2013-09-26  68.91  69.01  68.47  68.8  3836600  68.8
2013-09-25  69.06  69.25  68.61  68.89  3970000  68.89
2013-09-24  69.2  69.6  68.91  68.97  5739700  68.97
2013-09-23  69.22  69.29  68.38  69.14  4680500  69.14
2013-09-20  69.4  69.64  68.83  69.55  10130600  69.55
2013-09-19  69.16  69.47  68.64  69.4  4741300  69.4
2013-09-18  68.17  69.49  68.0  69.12  5209400  69.12
2013-09-17  67.9  68.5  67.85  68.28  3737500  68.28
2013-09-16  68.35  68.39  67.73  67.93  4780300  67.93
2013-09-13  67.73  68.01  67.48  67.78  3996100  67.78
2013-09-12  67.78  67.8  67.32  67.38  3616300  67.38
2013-09-11  67.33  67.97  67.18  67.75  3782500  67.75
2013-09-10  67.5  67.56  66.92  67.26  4464700  67.26
2013-09-09  66.86  67.52  66.67  67.47  5166400  67.47
2013-09-06  66.5  67.37  66.08  66.81  5990100  66.81
2013-09-05  66.28  66.72  66.09  66.39  4285000  66.39
2013-09-04  65.51  66.71  65.35  66.28  6529100  66.28
2013-09-03  65.6  65.63  65.16  65.43  5541900  65.43
2013-08-30  64.93  65.19  64.77  64.95  4963300  64.95
2013-08-29  65.15  65.19  64.63  64.81  4382800  64.81
2013-08-28  64.83  65.96  64.83  65.41  6656000  65.41
2013-08-27  64.61  65.21  64.6  64.68  5352100  64.68
2013-08-26  65.23  65.58  64.86  64.96  3214400  64.96
2013-08-23  64.91  65.29  64.69  65.19  4396400  65.19
2013-08-22  64.24  65.07  64.11  64.8  4100800  64.8
2013-08-21  64.63  64.68  63.96  64.19  4414200  64.19
2013-08-20  64.48  65.05  64.23  64.64  5589600  64.64
2013-08-19  66.04  66.04  64.45  64.49  6449400  64.49
