Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  71.5  72.47  71.36  71.95  2649300  71.95
2014-02-27  71.55  71.71  70.47  71.34  1611700  71.34
2014-02-26  70.62  71.45  70.49  70.98  1886500  70.98
2014-02-25  70.95  71.07  70.26  70.36  2208800  70.36
2014-02-24  71.09  71.46  70.81  70.82  1931300  70.82
2014-02-21  71.31  71.81  70.93  70.96  2178400  70.96
2014-02-20  70.92  71.62  70.57  71.28  1887000  71.28
2014-02-19  71.27  71.8  70.73  70.78  1541800  70.78
2014-02-18  71.0  71.54  70.81  71.34  2142600  71.34
2014-02-14  70.9  71.16  70.71  71.0  2177000  71.0
2014-02-13  70.0  71.04  69.93  70.97  1428800  70.97
2014-02-12  69.85  70.97  69.67  70.49  3207600  70.49
2014-02-11  68.87  70.16  68.8  69.91  2605700  69.91
2014-02-10  67.65  69.05  67.62  69.04  2507300  69.04
2014-02-07  66.79  67.81  66.79  67.75  1360700  67.75
2014-02-06  66.61  67.05  66.29  66.57  1479400  66.57
2014-02-05  66.3  66.92  66.04  66.42  1577600  66.42
2014-02-04  66.59  66.91  65.97  66.55  1797200  66.55
2014-02-03  68.32  68.4  66.27  66.35  2610900  66.35
2014-01-31  67.89  68.44  67.4  68.24  2267900  68.24
2014-01-30  68.26  68.78  67.72  68.56  2186700  68.56
2014-01-29  68.61  68.72  67.57  67.93  1921600  67.93
2014-01-28  67.83  69.35  67.74  68.85  2478300  68.85
2014-01-27  68.05  68.36  67.11  67.71  3066800  67.71
2014-01-24  69.11  70.42  68.0  68.0  5575800  68.0
2014-01-23  67.47  67.5  66.47  66.82  3834200  66.82
2014-01-22  68.16  68.25  67.52  67.77  2995100  67.77
2014-01-21  68.62  68.69  67.64  67.86  4115100  67.86
2014-01-17  69.1  69.3  67.62  67.87  4867200  67.87
2014-01-16  69.23  69.65  69.04  69.35  1863300  69.35
2014-01-15  69.36  69.64  68.8  69.63  1426900  69.63
2014-01-14  68.74  69.39  68.57  69.36  1318500  69.36
2014-01-13  68.92  69.32  68.36  68.44  1384300  68.44
2014-01-10  69.17  69.51  68.6  69.34  1845200  69.34
2014-01-09  68.11  69.04  67.96  68.98  2123900  68.98
2014-01-08  67.73  68.1  67.54  67.92  2143300  67.92
2014-01-07  67.42  67.94  67.07  67.74  1880500  67.74
2014-01-06  67.95  68.04  66.83  67.03  1806700  67.03
2014-01-03  67.16  67.84  66.98  67.5  1009100  67.5
2014-01-02  67.55  67.78  66.93  67.1  1091400  67.1
2013-12-31  67.8  68.0  67.39  67.78  950500  67.78
2013-12-30  67.45  67.77  67.27  67.59  826000  67.59
2013-12-27  67.33  67.77  67.11  67.5  787400  67.5
2013-12-26  67.42  67.5  66.93  67.17  838200  67.17
2013-12-24  66.68  67.44  66.63  67.21  686900  67.21
2013-12-23  66.87  66.91  66.31  66.62  1973300  66.62
