Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  43.21  43.55  43.08  43.31  1317500  43.31
2014-02-27  43.22  43.52  42.97  43.13  2566100  43.13
2014-02-26  44.05  44.14  43.25  43.25  2601600  43.25
2014-02-25  44.3  44.44  43.76  43.94  2155800  43.94
2014-02-24  44.05  44.44  44.03  44.19  1559100  44.19
2014-02-21  43.76  44.06  43.57  43.98  4120500  43.98
2014-02-20  43.46  43.76  43.35  43.69  1633100  43.69
2014-02-19  43.22  43.63  43.16  43.55  2421100  43.55
2014-02-18  43.05  43.36  42.61  43.25  2728200  43.25
2014-02-14  42.5  43.75  42.0  43.01  5164300  43.01
2014-02-13  40.6  41.17  40.6  40.97  2355300  40.97
2014-02-12  40.9  41.29  40.69  40.86  1666000  40.86
2014-02-11  40.5  40.92  40.41  40.9  1559500  40.9
2014-02-10  40.24  40.74  40.15  40.65  1135200  40.65
2014-02-07  40.11  40.49  39.89  40.32  1011900  40.32
2014-02-06  39.95  40.08  39.62  40.02  1463400  40.02
2014-02-05  39.66  40.12  39.6  39.84  1478600  39.84
2014-02-04  40.1  40.14  39.65  40.05  1329500  40.05
2014-02-03  41.38  41.38  39.78  39.88  2059400  39.88
2014-01-31  40.69  41.62  40.65  41.21  1681700  41.21
2014-01-30  41.35  41.45  41.01  41.16  1223400  41.16
2014-01-29  41.5  41.5  40.54  41.1  2643500  41.1
2014-01-28  41.98  42.28  41.7  41.97  1423800  41.97
2014-01-27  42.28  42.38  41.77  41.93  1921000  41.93
2014-01-24  41.8  42.89  41.74  42.29  3984400  42.29
2014-01-23  41.99  42.1  41.59  41.86  1781400  41.86
2014-01-22  42.33  42.6  42.23  42.32  1060400  42.32
2014-01-21  42.15  42.37  41.76  42.1  2230700  42.1
2014-01-17  42.67  42.74  41.62  41.79  3204600  41.79
2014-01-16  42.3  43.01  42.22  42.85  1398700  42.85
2014-01-15  42.78  42.78  42.15  42.31  1558900  42.31
2014-01-14  42.39  42.83  42.25  42.63  1777400  42.63
2014-01-13  42.61  42.91  42.16  42.25  2073000  42.25
2014-01-10  42.76  43.03  42.49  42.83  1546400  42.83
2014-01-09  42.5  42.56  42.01  42.49  1955800  42.49
2014-01-08  42.84  42.9  42.3  42.59  2115300  42.59
2014-01-07  42.7  42.99  42.56  42.87  2032900  42.87
2014-01-06  42.68  42.83  42.24  42.4  2519100  42.4
2014-01-03  42.66  42.78  42.36  42.42  2342700  42.42
2014-01-02  42.77  42.92  42.37  42.73  2169200  42.73
2013-12-31  43.04  43.19  42.81  42.97  1307000  42.97
2013-12-30  42.94  43.13  42.71  43.06  1168800  43.06
2013-12-27  42.36  43.39  42.36  42.99  1985000  42.99
2013-12-26  42.52  42.74  42.28  42.51  1254400  42.51
2013-12-24  42.59  42.6  42.25  42.52  712300  42.52
2013-12-23  42.49  42.58  42.13  42.48  1814500  42.48
2013-12-20  42.92  42.99  42.12  42.39  7044500  42.39
2013-12-19  42.97  43.12  42.5  42.89  3002500  42.89
2013-12-18  42.41  43.02  41.74  43.02  4878400  43.02
2013-12-17  40.78  42.67  40.75  42.43  6191700  42.43
2013-12-16  40.65  41.24  40.5  40.67  3037700  40.67
2013-12-13  40.51  40.6  40.13  40.45  2167800  40.45
2013-12-12  40.33  40.62  40.01  40.51  3336100  40.51
2013-12-11  40.59  40.83  40.24  40.35  3239000  40.35
2013-12-10  42.13  42.31  40.54  40.66  5033700  40.66
2013-12-09  42.17  42.81  41.9  42.24  6171700  42.24
2013-12-06  39.83  42.36  39.83  42.12  8138300  42.12
2013-12-05  39.73  40.59  39.45  39.81  6828100  39.81
2013-12-04  38.47  40.02  38.35  39.75  6807300  39.75
2013-12-03  38.14  38.67  38.14  38.53  1993600  38.53
2013-12-02  38.38  38.58  38.09  38.34  1677200  38.34
2013-11-29  38.56  38.71  38.37  38.45  699200  38.45
2013-11-27  38.53  38.7  38.35  38.44  1564400  38.44
2013-11-26  38.31  38.95  38.22  38.49  4463200  38.49
2013-11-25  38.8  38.95  38.4  38.52  3030900  38.52
2013-11-22  38.62  39.12  38.48  39.08  2150900  39.08
2013-11-21  38.35  38.7  38.12  38.61  2605000  38.61
2013-11-20  38.85  38.85  38.02  38.32  5343900  38.32
2013-11-19  39.42  39.52  38.6  38.92  7039300  38.92
2013-11-18  42.24  42.24  41.43  41.51  1846200  41.51
2013-11-15  42.21  42.36  41.69  42.11  1167200  42.11
2013-11-14  41.87  42.42  41.8  42.23  1093000  42.23
2013-11-13  41.33  41.89  41.17  41.87  816100  41.87
2013-11-12  41.45  41.58  41.06  41.31  1644600  41.31
2013-11-11  41.63  41.93  41.43  41.67  1194200  41.67
2013-11-08  41.55  41.74  41.14  41.63  1136800  41.63
2013-11-07  42.34  42.48  41.48  41.5  1246600  41.5
2013-11-06  42.27  42.49  42.21  42.46  1398300  42.46
2013-11-05  41.82  42.32  41.7  42.03  1138500  42.03
2013-11-04  42.54  42.61  41.84  42.0  1243100  42.0
2013-11-01  42.18  42.49  42.18  42.38  1233900  42.38
2013-10-31  42.66  42.81  42.25  42.26  1375600  42.26
2013-10-30  43.07  43.07  42.54  42.66  888300  42.66
2013-10-29  42.55  43.04  42.55  42.95  1282700  42.95
2013-10-28  42.13  42.89  42.13  42.55  2359400  42.55
2013-10-25  42.04  42.35  41.91  42.25  1152900  42.25
2013-10-24  42.49  42.53  41.7  42.09  3082200  42.09
2013-10-23  42.34  42.66  42.25  42.34  2038400  42.34
2013-10-22  41.43  42.44  41.43  42.38  1808500  42.38
2013-10-21  41.36  41.54  41.1  41.54  1055400  41.54
2013-10-18  41.41  41.48  41.12  41.29  1454600  41.29
2013-10-17  41.06  41.35  40.97  41.33  1257900  41.33
2013-10-16  40.79  41.31  40.79  41.23  1471400  41.23
2013-10-15  40.5  41.02  40.4  40.57  1532500  40.57
2013-10-14  40.53  40.6  40.2  40.52  790900  40.52
2013-10-11  40.58  40.73  40.38  40.58  1195300  40.58
2013-10-10  40.1  40.76  40.02  40.7  1654200  40.7
2013-10-09  39.91  40.03  39.58  39.79  1740600  39.79
2013-10-08  39.97  40.35  39.71  39.71  1315700  39.71
2013-10-07  39.94  40.21  39.83  39.95  1005100  39.95
2013-10-04  40.21  40.52  40.1  40.23  1591100  40.23
2013-10-03  40.34  40.53  40.17  40.26  2214000  40.26
2013-10-02  40.36  40.46  39.71  40.35  2247100  40.35
2013-10-01  39.96  40.74  39.95  40.6  1865000  40.6
2013-09-30  40.13  40.4  39.91  40.11  1494600  40.11
2013-09-27  40.55  40.69  40.08  40.35  992100  40.35
2013-09-26  40.88  41.04  40.52  40.76  1332900  40.76
2013-09-25  40.98  41.04  40.63  40.67  823000  40.67
2013-09-24  41.02  41.1  40.73  40.88  1715700  40.88
2013-09-23  41.08  41.2  40.81  41.14  1232100  41.14
2013-09-20  41.57  41.66  41.13  41.18  1721200  41.18
2013-09-19  41.93  42.18  41.43  41.57  1817000  41.57
2013-09-18  41.26  41.97  41.03  41.97  1287700  41.97
2013-09-17  41.74  41.88  41.28  41.34  1860500  41.34
2013-09-16  42.12  42.25  41.74  41.79  1411200  41.79
2013-09-13  40.82  41.79  40.82  41.65  2475900  41.65
2013-09-12  40.85  41.28  40.56  40.61  2033800  40.61
2013-09-11  40.72  41.08  40.51  40.86  1897100  40.86
2013-09-10  41.39  41.54  40.49  40.63  3073200  40.63
2013-09-09  41.49  41.68  41.27  41.37  1577600  41.37
2013-09-06  41.48  41.56  41.15  41.37  2238100  41.37
2013-09-05  42.19  42.33  40.89  41.26  3822300  41.26
2013-09-04  42.15  42.53  41.85  42.28  3898700  42.28
2013-09-03  42.66  42.75  42.0  42.12  2675500  42.12
2013-08-30  42.65  42.65  42.02  42.54  1797800  42.54
2013-08-29  43.07  43.07  42.24  42.69  3092700  42.69
2013-08-28  44.25  44.27  44.01  44.05  1303500  44.05
2013-08-27  44.38  44.69  44.31  44.4  1191600  44.4
2013-08-26  45.72  45.81  44.72  44.73  1389900  44.73
2013-08-23  45.35  45.75  45.32  45.7  983700  45.7
2013-08-22  44.76  45.35  44.58  45.17  697000  45.17
