Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  63.31  63.9  62.7  63.2  1162500  63.2
2014-02-27  63.46  63.6  62.76  63.27  831300  63.27
2014-02-26  63.47  64.1  63.32  63.61  1107200  63.61
2014-02-25  63.16  63.49  62.84  63.3  1105100  63.3
2014-02-24  62.19  63.73  62.13  63.4  1187600  63.4
2014-02-21  62.53  62.82  62.2  62.2  984700  62.2
2014-02-20  62.38  62.75  62.0  62.35  871800  62.35
2014-02-19  62.92  63.66  62.43  62.54  1570300  62.54
2014-02-18  62.23  63.13  62.2  62.88  1136500  62.88
2014-02-14  62.04  62.2  61.58  61.72  1068300  61.72
2014-02-13  61.16  62.39  60.92  62.31  1142200  62.31
2014-02-12  61.29  61.67  61.17  61.45  1245100  61.45
2014-02-11  60.22  61.65  60.05  61.32  1647700  61.32
2014-02-10  59.9  60.33  59.56  60.26  889300  60.26
2014-02-07  58.61  60.19  58.61  60.06  1802900  60.06
2014-02-06  58.19  58.61  57.96  58.38  1237500  58.38
2014-02-05  58.27  58.4  57.18  57.91  1722200  57.91
2014-02-04  58.81  58.92  57.95  58.5  1717200  58.5
2014-02-03  60.15  60.8  58.49  58.59  3271500  58.59
2014-01-31  57.12  61.79  55.65  60.41  6005500  60.41
2014-01-30  54.43  55.25  54.05  55.16  1233700  55.16
2014-01-29  53.01  54.16  52.92  54.04  1374300  54.04
2014-01-28  53.42  53.86  53.24  53.68  1030900  53.68
2014-01-27  54.26  54.65  53.3  53.4  1324600  53.4
2014-01-24  55.31  55.56  54.27  54.27  1274500  54.27
2014-01-23  56.77  56.99  55.36  55.89  1492200  55.89
2014-01-22  55.5  57.42  55.35  57.11  1798500  57.11
2014-01-21  55.84  55.94  55.16  55.55  658100  55.55
2014-01-17  55.97  56.11  55.39  55.45  669700  55.45
2014-01-16  56.04  56.44  55.95  56.1  432400  56.1
2014-01-15  55.78  56.33  55.78  56.2  596800  56.2
2014-01-14  55.0  55.85  54.7  55.85  912000  55.85
2014-01-13  55.8  55.99  54.68  54.75  829100  54.75
2014-01-10  56.26  56.33  55.7  55.84  681500  55.84
2014-01-09  55.95  56.35  55.82  56.16  1096700  56.16
2014-01-08  55.65  56.47  55.44  55.77  1320700  55.77
2014-01-07  55.69  56.09  55.37  55.65  801200  55.65
2014-01-06  56.01  56.08  55.06  55.56  988300  55.56
2014-01-03  55.64  56.19  55.61  55.88  539800  55.88
2014-01-02  55.8  56.05  55.48  55.59  846700  55.59
2013-12-31  56.0  56.2  55.77  55.88  485300  55.88
2013-12-30  55.69  55.98  55.54  55.83  381100  55.83
2013-12-27  55.8  55.91  55.33  55.63  465000  55.63
2013-12-26  55.41  55.71  55.29  55.55  474200  55.55
2013-12-24  54.59  55.36  54.59  55.33  328300  55.33
2013-12-23  54.7  55.18  54.61  54.72  939000  54.72
2013-12-20  54.28  54.67  53.41  54.64  1288700  54.64
2013-12-19  53.6  54.4  53.3  54.15  1334300  54.15
2013-12-18  53.18  53.34  52.02  53.26  1325100  53.26
2013-12-17  52.71  53.22  52.42  52.82  947200  52.82
2013-12-16  52.41  53.12  52.31  52.83  1001300  52.83
2013-12-13  52.36  52.66  51.87  52.13  974800  52.13
2013-12-12  52.45  52.45  51.94  52.16  695000  52.16
2013-12-11  53.11  53.29  52.64  52.72  779700  52.72
2013-12-10  52.98  53.88  52.95  53.06  1013900  53.06
2013-12-09  53.87  53.95  52.99  53.15  850600  53.15
2013-12-06  53.03  54.03  52.76  53.9  1117400  53.9
2013-12-05  53.31  53.39  52.55  52.8  960100  52.8
2013-12-04  52.27  53.66  52.27  53.42  1727800  53.42
2013-12-03  52.21  52.9  52.21  52.43  1152900  52.43
2013-12-02  52.43  52.73  52.05  52.55  573100  52.55
2013-11-29  52.66  52.67  52.34  52.43  208600  52.43
2013-11-27  52.48  52.74  52.17  52.52  511200  52.52
2013-11-26  52.78  52.89  52.23  52.48  866700  52.48
2013-11-25  53.08  53.27  52.59  52.66  706500  52.66
2013-11-22  53.59  53.59  52.8  53.07  1096600  53.07
2013-11-21  53.02  53.74  52.99  53.66  648500  53.66
2013-11-20  53.34  53.68  52.74  52.95  809400  52.95
2013-11-19  53.34  53.87  53.25  53.36  1614600  53.36
2013-11-18  53.43  53.74  53.31  53.42  967500  53.42
2013-11-15  52.92  53.54  52.88  53.4  1092500  53.4
2013-11-14  52.66  53.11  52.53  53.09  906400  53.09
2013-11-13  51.46  52.71  51.3  52.69  1050300  52.69
2013-11-12  50.81  51.69  50.76  51.65  759300  51.65
2013-11-11  50.84  51.23  50.73  51.01  687300  51.01
2013-11-08  50.05  50.94  49.84  50.85  818800  50.85
2013-11-07  51.06  51.53  50.07  50.14  991400  50.14
2013-11-06  50.75  51.03  50.46  51.01  1174200  51.01
2013-11-05  50.22  50.9  49.92  50.57  1690800  50.57
2013-11-04  50.3  50.58  49.93  50.23  1162800  50.23
2013-11-01  49.33  50.33  49.07  50.21  1870300  50.21
2013-10-31  49.01  49.82  46.63  49.08  3972800  49.08
2013-10-30  51.75  52.07  50.96  51.41  1214600  51.41
2013-10-29  51.81  52.27  51.72  51.8  1163800  51.8
2013-10-28  51.67  52.01  51.47  51.54  851600  51.54
2013-10-25  51.63  51.76  51.4  51.63  777900  51.63
2013-10-24  51.99  52.24  51.54  51.58  582600  51.58
2013-10-23  52.5  52.84  51.93  51.99  653200  51.99
2013-10-22  52.78  53.6  52.63  52.9  748900  52.9
2013-10-21  52.44  52.83  52.36  52.77  708300  52.77
2013-10-18  53.02  53.22  52.25  52.36  785500  52.36
2013-10-17  51.79  52.92  51.45  52.81  1133600  52.81
2013-10-16  52.14  52.25  51.81  52.17  1061200  52.17
2013-10-15  51.66  52.16  51.62  51.68  1343300  51.68
2013-10-14  51.65  52.03  51.5  51.95  680600  51.95
2013-10-11  50.98  52.14  50.95  51.96  1520700  51.96
2013-10-10  50.19  51.25  50.17  51.24  895200  51.24
2013-10-09  49.88  50.01  49.15  49.56  1229200  49.56
2013-10-08  50.67  50.81  49.08  49.79  1557600  49.79
2013-10-07  51.29  51.36  50.62  50.69  1152200  50.69
2013-10-04  51.33  52.16  51.19  51.73  515400  51.73
2013-10-03  51.58  51.8  51.18  51.36  658400  51.36
