Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  21.97  22.11  21.7  21.8  40863200  21.8
2014-02-27  21.88  22.05  21.86  21.92  25804000  21.92
2014-02-26  21.84  22.02  21.55  21.93  43574600  21.93
2014-02-25  22.15  22.22  21.76  21.84  45303600  21.84
2014-02-24  22.19  22.34  22.0  22.12  41858000  22.12
2014-02-21  22.37  22.45  22.13  22.13  31483000  22.13
2014-02-20  22.24  22.4  22.16  22.3  26215000  22.3
2014-02-19  22.33  22.56  22.22  22.28  29309100  22.28
2014-02-18  22.49  22.54  22.33  22.41  31014400  22.41
2014-02-14  22.22  22.77  22.2  22.56  64513500  22.56
2014-02-13  21.99  22.27  21.68  22.27  153739400  22.27
2014-02-12  22.61  22.92  22.52  22.85  69832400  22.85
2014-02-11  22.78  22.88  22.67  22.71  45804800  22.71
2014-02-10  22.64  22.88  22.56  22.83  45300500  22.83
2014-02-07  22.52  22.72  22.3  22.67  54109200  22.67
2014-02-06  22.04  22.58  21.97  22.49  49584300  22.49
2014-02-05  21.69  22.07  21.58  21.98  46291400  21.98
2014-02-04  21.58  21.82  21.4  21.8  46626500  21.8
2014-02-03  21.93  21.95  21.46  21.55  60693300  21.55
2014-01-31  21.61  21.99  21.61  21.91  43325300  21.91
2014-01-30  21.77  21.99  21.63  21.98  42883000  21.98
2014-01-29  21.62  21.84  21.6  21.65  35406500  21.65
2014-01-28  21.88  22.0  21.7  21.75  41431800  21.75
2014-01-27  21.77  22.11  21.76  22.0  60510000  22.0
2014-01-24  22.4  22.54  22.17  22.2  40917300  22.2
2014-01-23  22.69  22.85  22.46  22.56  37013600  22.56
2014-01-22  22.91  22.95  22.78  22.84  30700100  22.84
2014-01-21  22.91  22.95  22.64  22.83  33423000  22.83
2014-01-17  22.58  22.78  22.58  22.74  44349100  22.74
2014-01-16  22.85  22.91  22.63  22.78  38918100  22.78
2014-01-15  22.5  23.0  22.42  22.78  61767800  22.78
2014-01-14  22.33  22.52  22.2  22.41  44300800  22.41
2014-01-13  22.39  22.82  22.14  22.19  59600000  22.19
2014-01-10  22.23  22.28  21.99  22.22  30318600  22.22
2014-01-09  22.29  22.31  21.92  22.09  31794000  22.09
2014-01-08  22.29  22.36  22.15  22.29  38362700  22.29
2014-01-07  22.26  22.41  22.15  22.31  37368800  22.31
2014-01-06  21.96  22.23  21.93  22.01  34150300  22.01
2014-01-03  22.09  22.12  21.83  21.98  36328200  21.98
2014-01-02  22.17  22.29  21.91  22.0  44377000  22.0
2013-12-31  22.08  22.3  21.98  22.26  33240500  22.26
2013-12-30  21.83  22.16  21.83  22.08  27711600  22.08
2013-12-27  21.62  21.88  21.61  21.85  24098500  21.85
2013-12-26  21.55  21.71  21.55  21.63  17064400  21.63
2013-12-24  21.3  21.6  21.28  21.53  18372000  21.53
2013-12-23  21.09  21.47  21.06  21.41  41245900  21.41
2013-12-20  20.9  21.09  20.8  20.97  64140500  20.97
2013-12-19  20.91  20.92  20.61  20.91  36678100  20.91
2013-12-18  20.72  20.88  20.36  20.84  55495300  20.84
2013-12-17  20.58  20.97  20.52  20.76  45343300  20.76
2013-12-16  20.19  20.59  20.09  20.52  54485600  20.52
2013-12-13  20.43  20.43  20.07  20.09  51883000  20.09
2013-12-12  20.66  20.67  20.1  20.35  69575100  20.35
2013-12-11  20.83  20.85  20.49  20.72  66075000  20.72
2013-12-10  21.1  21.18  20.99  21.05  45957600  21.05
2013-12-09  21.14  21.17  21.04  21.06  41430000  21.06
2013-12-06  20.96  21.16  20.91  21.12  51266300  21.12
2013-12-05  21.04  21.14  20.73  20.75  61782100  20.75
2013-12-04  20.93  21.19  20.91  21.09  44500500  21.09
2013-12-03  20.89  21.1  20.86  21.1  52496700  21.1
2013-12-02  21.13  21.14  20.9  20.93  35385200  20.93
2013-11-29  21.23  21.28  21.04  21.09  25043700  21.09
2013-11-27  21.13  21.19  20.99  21.11  40021100  21.11
2013-11-26  21.14  21.25  20.92  21.05  48629300  21.05
2013-11-25  21.29  21.36  21.11  21.11  37566000  21.11
2013-11-22  21.25  21.34  21.15  21.3  41105000  21.3
2013-11-21  21.2  21.33  21.09  21.31  40695500  21.31
2013-11-20  21.31  21.31  21.06  21.07  44299700  21.07
2013-11-19  21.15  21.38  20.96  21.26  57309700  21.26
2013-11-18  21.44  21.56  21.04  21.13  66008900  21.13
2013-11-15  21.3  21.53  21.1  21.38  85506000  21.38
