Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  27.49  27.97  27.49  27.71  5997300  27.71
2014-02-27  27.15  27.49  27.08  27.46  5116500  27.46
2014-02-26  27.28  27.55  27.15  27.21  5581100  27.21
2014-02-25  27.51  27.57  27.1  27.16  6721100  27.16
2014-02-24  27.18  27.7  27.18  27.54  6525600  27.54
2014-02-21  27.28  27.47  27.16  27.17  5603300  27.17
2014-02-20  27.02  27.25  26.91  27.2  8478800  27.2
2014-02-19  27.14  27.44  26.91  26.94  7563800  26.94
2014-02-18  27.37  27.39  27.02  27.26  4357300  27.26
2014-02-14  27.16  27.44  27.13  27.38  5811500  27.38
2014-02-13  27.04  27.22  26.89  27.22  5536700  27.22
2014-02-12  27.23  27.4  27.08  27.24  4672900  27.24
2014-02-11  27.02  27.29  26.99  27.16  4183100  27.16
2014-02-10  27.04  27.07  26.75  26.92  4643900  26.92
2014-02-07  27.03  27.3  26.87  27.1  5693600  27.1
2014-02-06  26.49  26.92  26.45  26.88  5257900  26.88
2014-02-05  26.12  26.41  26.04  26.36  6735300  26.36
2014-02-04  25.94  26.4  25.86  26.21  8696600  26.21
2014-02-03  26.79  26.91  25.7  25.88  9549000  25.88
2014-01-31  26.26  26.91  26.12  26.76  7427100  26.76
2014-01-30  26.26  26.72  26.23  26.62  5531500  26.62
2014-01-29  26.05  26.24  25.88  25.99  7285700  25.99
2014-01-28  26.05  26.55  26.05  26.37  4908800  26.37
2014-01-27  25.95  26.23  25.75  26.0  7424700  26.0
2014-01-24  26.6  26.7  26.05  26.06  9372900  26.06
2014-01-23  27.02  27.17  26.73  26.87  8602900  26.87
2014-01-22  27.05  27.23  27.01  27.07  7842500  27.07
2014-01-21  27.2  27.37  26.76  26.89  9569800  26.89
2014-01-17  27.24  27.24  26.91  27.08  11725900  27.08
2014-01-16  27.31  27.36  26.61  27.09  27360000  27.09
2014-01-15  28.78  29.09  28.67  29.07  12041300  29.07
2014-01-14  28.46  28.82  28.25  28.72  8011700  28.72
2014-01-13  28.67  28.82  28.17  28.27  6856500  28.27
2014-01-10  28.6  28.78  28.47  28.72  4576200  28.72
2014-01-09  28.14  28.52  28.06  28.5  4581300  28.5
2014-01-08  28.11  28.25  27.89  28.07  5024000  28.07
2014-01-07  28.14  28.27  28.04  28.19  3842500  28.19
2014-01-06  28.41  28.59  27.93  28.07  5073200  28.07
2014-01-03  28.11  28.62  28.1  28.27  4632500  28.27
2014-01-02  28.45  28.51  28.03  28.09  4479900  28.09
2013-12-31  28.27  28.64  28.27  28.61  4025200  28.61
2013-12-30  28.16  28.3  28.1  28.18  3721800  28.18
2013-12-27  28.37  28.4  28.06  28.13  3043300  28.13
2013-12-26  28.21  28.34  28.17  28.27  2574000  28.27
2013-12-24  28.12  28.23  28.11  28.2  1590400  28.2
2013-12-23  28.14  28.24  28.02  28.08  3221500  28.08
2013-12-20  27.7  28.11  27.62  27.93  9628100  27.93
2013-12-19  27.72  27.82  27.62  27.73  6828500  27.73
2013-12-18  27.57  27.87  27.25  27.78  9028000  27.78
2013-12-17  27.78  27.81  27.39  27.52  4254800  27.52
2013-12-16  27.58  27.79  27.58  27.69  7021800  27.69
2013-12-13  27.28  27.73  27.25  27.42  6276200  27.42
2013-12-12  27.1  27.29  27.1  27.13  4254300  27.13
2013-12-11  27.82  27.83  27.17  27.2  6214100  27.2
2013-12-10  27.88  28.1  27.83  27.84  4781400  27.84
2013-12-09  27.7  27.98  27.7  27.93  4215200  27.93
2013-12-06  27.62  27.75  27.52  27.6  5065100  27.6
2013-12-05  27.09  27.53  27.05  27.43  5863500  27.43
2013-12-04  27.13  27.38  26.87  27.05  4615900  27.05
2013-12-03  27.22  27.52  27.11  27.26  6621200  27.26
2013-12-02  27.12  27.43  27.11  27.18  3905300  27.18
2013-11-29  27.16  27.3  27.05  27.12  2250900  27.12
2013-11-27  27.05  27.21  26.94  27.15  3021900  27.15
2013-11-26  27.13  27.18  26.87  26.96  4646000  26.96
2013-11-25  27.04  27.23  27.03  27.1  3127600  27.1
2013-11-22  26.76  27.05  26.71  27.05  3930700  27.05
2013-11-21  26.64  26.8  26.47  26.75  4638400  26.75
2013-11-20  26.66  26.71  26.46  26.62  4638000  26.62
2013-11-19  26.9  26.96  26.46  26.61  6256500  26.61
2013-11-18  26.77  27.18  26.73  26.93  6664600  26.93
2013-11-15  26.74  26.78  26.53  26.7  7559700  26.7
2013-11-14  26.69  26.84  26.64  26.7  7416300  26.7
2013-11-13  26.38  26.6  26.29  26.6  4599000  26.6
2013-11-12  26.57  26.62  26.35  26.49  4712400  26.49
2013-11-11  26.31  26.66  26.21  26.65  5805900  26.65
2013-11-08  25.97  26.34  25.93  26.32  6094700  26.32
2013-11-07  26.04  26.35  25.91  25.94  5239200  25.94
2013-11-06  26.18  26.27  25.91  25.96  6704000  25.96
2013-11-05  26.15  26.23  26.01  26.17  4330000  26.17
2013-11-04  26.2  26.35  26.06  26.19  5185300  26.19
2013-11-01  25.8  26.07  25.77  25.99  4104400  25.99
2013-10-31  25.96  26.03  25.68  25.77  5827500  25.77
